tag,S_alpha_RP,design_in_json,design_out_json,pickle,success,Vb,Wt,Vb_coeff,T,q_design,S_r
3s_dc2_scA_100,1.0,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_100\3s_dc2_scA_100_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_100\3s_dc2_scA_100_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_100\3s_dc2_scA_100_out.pickle,True,1275749.9999999998,3061799.999999999,0.4166666666666667,0.3967366816118549,2.04,0.4901960784313725
3s_dc2_scA_120,1.2,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_120\3s_dc2_scA_120_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_120\3s_dc2_scA_120_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_120\3s_dc2_scA_120_out.pickle,True,1530899.9999999995,3061799.999999999,0.5,0.3694267357724962,2.04,0.5882352941176471
3s_dc2_scA_13,0.133,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_13\3s_dc2_scA_13_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_13\3s_dc2_scA_13_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_13\3s_dc2_scA_13_out.pickle,True,79905.84271543477,3061799.999999999,0.026097668925284,0.7199782679216568,1.4156651191482836,0.026097668925284
3s_dc2_scA_20,0.2,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_20\3s_dc2_scA_20_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_20\3s_dc2_scA_20_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_20\3s_dc2_scA_20_out.pickle,True,83384.86978356921,3061799.999999999,0.0272339374823859,0.7199782679216568,2.04,0.0272339374823859
3s_dc2_scA_30,0.3,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_30\3s_dc2_scA_30_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_30\3s_dc2_scA_30_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_30\3s_dc2_scA_30_out.pickle,True,133976.0222333515,3061799.999999999,0.0437572742286731,0.6721571492816952,2.04,0.0437572742286731
3s_dc2_scA_40,0.4,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_40\3s_dc2_scA_40_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_40\3s_dc2_scA_40_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_40\3s_dc2_scA_40_out.pickle,True,263352.91735893534,3061799.999999999,0.0860124493301115,0.5813111984301537,2.04,0.1011911168589547
3s_dc2_scA_50,0.5,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_50\3s_dc2_scA_50_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_50\3s_dc2_scA_50_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_50\3s_dc2_scA_50_out.pickle,True,350408.4417402483,3061799.999999999,0.114445241929665,0.54611269936771,2.04,0.1346414610937235
3s_dc2_scA_60,0.6,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_60\3s_dc2_scA_60_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_60\3s_dc2_scA_60_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_60\3s_dc2_scA_60_out.pickle,True,430585.7618032295,3061799.999999999,0.1406315767859526,0.5333083914301358,2.04,0.1654489138658265
3s_dc2_scA_70,0.7,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_70\3s_dc2_scA_70_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_70\3s_dc2_scA_70_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\3s_dc2_scA_70\3s_dc2_scA_70_out.pickle,True,788942.2271455966,3061799.999999999,0.2576726850694352,0.4527707957683927,2.04,0.3031443353758062
5s_dc2_scA_100,1.0,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\5s_dc2_scA_100\5s_dc2_scA_100_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\5s_dc2_scA_100\5s_dc2_scA_100_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\5s_dc2_scA_100\5s_dc2_scA_100_out.pickle,True,1288293.3514693934,5178599.999999999,0.24877251602158762,0.6699561082229996,2.04,0.29267354826069136
5s_dc2_scA_120,1.2,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\5s_dc2_scA_120\5s_dc2_scA_120_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\5s_dc2_scA_120\5s_dc2_scA_120_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\5s_dc2_scA_120\5s_dc2_scA_120_out.pickle,True,1666854.3190624116,5178599.999999999,0.3218735409304468,0.6213620399547463,2.04,0.37867475403581985
5s_dc2_scA_13,0.133,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\5s_dc2_scA_13\5s_dc2_scA_13_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\5s_dc2_scA_13\5s_dc2_scA_13_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\5s_dc2_scA_13\5s_dc2_scA_13_out.pickle,True,133392.36800218967,5178599.999999999,0.025758384119682867,1.0326734734759246,1.0,0.025758384119682867
5s_dc2_scA_20,0.2,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\5s_dc2_scA_20\5s_dc2_scA_20_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\5s_dc2_scA_20\5s_dc2_scA_20_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\5s_dc2_scA_20\5s_dc2_scA_20_out.pickle,True,164068.65224614347,5178599.999999999,0.031682047705198994,1.0326734734759246,1.2225981278253408,0.031682047705198994
5s_dc2_scA_30,0.3,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\5s_dc2_scA_30\5s_dc2_scA_30_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\5s_dc2_scA_30\5s_dc2_scA_30_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_scA_reference\5s_dc2_scA_30\5s_dc2_scA_30_out.pickle,True,164068.65224614294,5178599.999999999,0.03168204770519889,1.0326734734759246,1.833897191738017,0.03168204770519889
