tag,S_alpha_RP,design_in_json,design_out_json,pickle,success,Vb,Wt,Vb_coeff,T,q_design,S_r
3s_cbf_dc2_site0,0.2095940633333333,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site0\3s_cbf_dc2_site0_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site0\3s_cbf_dc2_site0_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site0\3s_cbf_dc2_site0_out.pickle,True,87384.86839229577,3061799.999999999,0.0285403580874961,0.7199782679216568,2.04,0.0285403580874961
3s_cbf_dc2_site1,0.27397254,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site1\3s_cbf_dc2_site1_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site1\3s_cbf_dc2_site1_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site1\3s_cbf_dc2_site1_out.pickle,True,119785.53283036356,3061799.999999999,0.0391225856784778,0.6865612912684532,2.04,0.0391225856784778
3s_cbf_dc2_site10,0.3945794766666666,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site10\3s_cbf_dc2_site10_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site10\3s_cbf_dc2_site10_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site10\3s_cbf_dc2_site10_out.pickle,True,259784.1407753216,3061799.999999999,0.0848468681087339,0.5813111984301537,2.04,0.0998198448338046
3s_cbf_dc2_site11,0.3554570966666666,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site11\3s_cbf_dc2_site11_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site11\3s_cbf_dc2_site11_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site11\3s_cbf_dc2_site11_out.pickle,True,234026.65850775945,3061799.999999999,0.0764343387901755,0.5813111984301537,2.04,0.0899227515178535
3s_cbf_dc2_site12,0.2873592966666666,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site12\3s_cbf_dc2_site12_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site12\3s_cbf_dc2_site12_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site12\3s_cbf_dc2_site12_out.pickle,True,128330.8517305786,3061799.999999999,0.0419135318213399,0.6721571492816951,2.04,0.0419135318213399
3s_cbf_dc2_site13,0.2818172766666666,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site13\3s_cbf_dc2_site13_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site13\3s_cbf_dc2_site13_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site13\3s_cbf_dc2_site13_out.pickle,True,125855.85908145308,3061799.999999999,0.041105186191604,0.6721571492816947,2.04,0.041105186191604
3s_cbf_dc2_site14,0.31311126,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site14\3s_cbf_dc2_site14_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site14\3s_cbf_dc2_site14_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site14\3s_cbf_dc2_site14_out.pickle,True,140864.4938179819,3061799.999999999,0.0460070853151681,0.6672272790734812,2.04,0.0460070853151681
3s_cbf_dc2_site15,0.3194166266666666,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site15\3s_cbf_dc2_site15_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site15\3s_cbf_dc2_site15_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site15\3s_cbf_dc2_site15_out.pickle,True,122418.5730151744,3061799.999999999,0.0399825504654694,0.6391120585316888,2.5,0.0399825504654694
3s_cbf_dc2_site16,0.2447261666666667,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site16\3s_cbf_dc2_site16_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site16\3s_cbf_dc2_site16_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site16\3s_cbf_dc2_site16_out.pickle,True,106998.5125943608,3061799.999999999,0.0349462775473123,0.6865612912684532,2.04,0.0349462775473123
3s_cbf_dc2_site17,0.4033222566666667,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site17\3s_cbf_dc2_site17_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site17\3s_cbf_dc2_site17_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site17\3s_cbf_dc2_site17_out.pickle,True,276413.40663281584,3061799.999999999,0.0902780738888287,0.5584443698413003,2.04,0.1062094986927397
3s_cbf_dc2_site18,0.3851585133333333,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site18\3s_cbf_dc2_site18_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site18\3s_cbf_dc2_site18_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site18\3s_cbf_dc2_site18_out.pickle,True,253581.5453299093,3061799.999999999,0.082821067780361,0.5813111984301537,2.04,0.0974365503298365
3s_cbf_dc2_site19,0.1812650333333333,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site19\3s_cbf_dc2_site19_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site19\3s_cbf_dc2_site19_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site19\3s_cbf_dc2_site19_out.pickle,True,79905.84271543502,3061799.999999999,0.0260976689252841,0.7199782679216568,1.9294028948214292,0.0260976689252841
3s_cbf_dc2_site2,0.2444998366666666,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site2\3s_cbf_dc2_site2_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site2\3s_cbf_dc2_site2_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site2\3s_cbf_dc2_site2_out.pickle,True,106899.55720399394,3061799.999999999,0.0349139581958305,0.6865612912684532,2.04,0.0349139581958305
3s_cbf_dc2_site20,0.3247466333333333,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site20\3s_cbf_dc2_site20_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site20\3s_cbf_dc2_site20_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site20\3s_cbf_dc2_site20_out.pickle,True,124461.33396066404,3061799.999999999,0.0406497269451512,0.6391120585316887,2.5,0.0406497269451512
3s_cbf_dc2_site21,0.4283516866666666,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site21\3s_cbf_dc2_site21_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site21\3s_cbf_dc2_site21_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site21\3s_cbf_dc2_site21_out.pickle,True,293567.1091573346,3061799.999999999,0.0958805634454682,0.5584443698413003,2.04,0.1128006628770214
3s_cbf_dc2_site22,0.3265701233333333,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site22\3s_cbf_dc2_site22_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site22\3s_cbf_dc2_site22_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site22\3s_cbf_dc2_site22_out.pickle,True,125160.19878193836,3061799.999999999,0.0408779798752166,0.6391120585316887,2.5,0.0408779798752166
3s_cbf_dc2_site23,0.24931882,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site23\3s_cbf_dc2_site23_in.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site23\3s_cbf_dc2_site23_out.json,C:\Users\clemettn\Documents\phd\casestudy_structures\concentrically_braced_frames\ec8_gen2_site_specific_designs\3s_cbf_dc2_site23\3s_cbf_dc2_site23_out.pickle,True,109006.5000614204,3061799.999999999,0.0356020968258607,0.6865612912684532,2.04,0.0356020968258607
