,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.1351284691917735,-0.15020630832483078,-0.39886341467346353,-0.39817138265687796,-0.40266185396149984,-0.40688581098117205,-0.4024158769426033,-0.40660028638698237,-0.39956281820517175,-0.3778640986300329,-0.3613075310488794,-0.33806734333291644,-0.31906099827846157,-0.30097888595674893,-0.278995482054481,-0.2603272691715775,-0.24341669820699624,-0.21246398137571912,-0.19756793702505612,-0.17880691844321342,-0.14784211796957977,-0.1199825548437218,-0.08430247153549206,-0.04992046147499067,-0.02201779852111163,0.008834936239278366,0.023340558445296096,0.02569422207646536,0.010567404231022192,0.014858193800343167,0.02447766177758174,-0.019188124560391543,-0.006063660348424468,-0.029221009031024488,-0.04820325976706439,-0.07384379341725039
rotD50,"AvgSA([0, 3])",3.0,-0.1351284691917735,1.0,0.9451284210705085,0.7446163957838419,0.73198008624205,0.7015403929076623,0.6834709132208096,0.6623070376754675,0.658734353876824,0.6713863026018488,0.7128129283713763,0.7477851919332887,0.7688924730212938,0.7993280897625444,0.8193481199664806,0.8366599735874454,0.8548322497364953,0.8948129952632871,0.9198821692004343,0.9287428286058157,0.937629378361798,0.951373943389364,0.9595320848869098,0.9685981662910059,0.9680693422021719,0.9646028443644332,0.9576262792532569,0.950050844763662,0.9292295395364072,0.9017844403095586,0.8694174826351334,0.8517527770384341,0.8418692467009475,0.8360247889298082,0.8033909380859872,0.8076671626990533,0.8192501513902892
rotD50,"AvgSA([0, 6])",6.0,-0.15020630832483078,0.9451284210705085,1.0,0.6950365829178656,0.689467699993145,0.672922946621993,0.6608393647606853,0.6366000313381409,0.6164711836840744,0.6028879978016037,0.6290603344078032,0.6556134993171829,0.6733836148643866,0.6989213147471184,0.7136411574956846,0.7262576478176332,0.7439540057364686,0.7855300796872633,0.8082292075975216,0.8177327199902421,0.8296784624685175,0.8513746349161478,0.8679243886262925,0.8979001204344063,0.9139031401380316,0.9216580998676237,0.9267530215244895,0.9295815645927017,0.9437937599227005,0.9438091986526905,0.9357513687666651,0.9277533438858115,0.9432914557252998,0.9379341615215209,0.930845191002919,0.9255341521320352,0.9224260501657879
rotD50,PGA,None,-0.39886341467346353,0.7446163957838419,0.6950365829178656,1.0,0.9988926336664,0.9918349808519397,0.9864720724184104,0.9803347482828635,0.9801966453070432,0.9777771670729095,0.9739900160979688,0.9621072516364888,0.9517490751458618,0.939106821910605,0.9247995398315197,0.911189486421994,0.894347351461898,0.857719133386735,0.822640377001516,0.8040413988946665,0.7843512810707005,0.7544707338372931,0.7188162769931584,0.6659081835694259,0.6264622350065768,0.5955648905510423,0.5606622784174725,0.5367129119324788,0.4896090843603964,0.46430738975980856,0.4484289540503715,0.4463301919122937,0.4787312748438368,0.49312480853039664,0.5223761042220288,0.5463170929153146,0.5852420898001941
rotD50,SA,0.025,-0.39817138265687796,0.73198008624205,0.689467699993145,0.9988926336664,1.0,0.9956804521388786,0.9910389965372903,0.984600587519313,0.9822138103294236,0.9762982057107611,0.9697391691375303,0.955479128808061,0.9435823057717482,0.9299164454813381,0.9146881548301042,0.9007160673143795,0.8832300377194561,0.845489733207727,0.8094887690009531,0.7905397927899628,0.7706391752934628,0.7407390409653669,0.7044834848305678,0.6508860890369011,0.6113085987758665,0.5803114918803784,0.5457137957566847,0.5215680638443105,0.47511764687159447,0.45152984550213526,0.43729143215909605,0.4357106891706627,0.47198558668930085,0.4867012066776602,0.518758184554392,0.5427799404313022,0.5817279208108768
rotD50,SA,0.04,-0.40266185396149984,0.7015403929076623,0.672922946621993,0.9918349808519397,0.9956804521388786,1.0,0.9978018147910954,0.9914157223204114,0.9836083576818017,0.9684121228190303,0.9547392416765922,0.9348989507788286,0.9199235215007625,0.9045367326769582,0.8873551078742885,0.8722950909318152,0.8534334854948524,0.8141671286647901,0.776161380747764,0.7565309621919655,0.7363173152294353,0.7062312964665647,0.6694383232465629,0.6148697442561193,0.5751934168702739,0.5438716667410768,0.5100525615435377,0.4860321973491151,0.44270466182141494,0.4232735416131259,0.4132150835437684,0.413363280800697,0.454659639216119,0.4699106105628018,0.5074681099754852,0.5311707949104914,0.5704205942793469
rotD50,SA,0.05,-0.40688581098117205,0.6834709132208096,0.6608393647606853,0.9864720724184104,0.9910389965372903,0.9978018147910954,1.0,0.9950822684946464,0.9851286622087757,0.96453498762028,0.9459883481873804,0.9224311145864669,0.9055918372144333,0.8883168036851824,0.8697356971453778,0.8538182342489515,0.8341039626171861,0.7933284765989134,0.7542662839137597,0.7343371756999725,0.7139940057276729,0.6841621194924237,0.6470280222261617,0.5926767865948825,0.553460138845446,0.5221728599848395,0.48908070817906096,0.46489891357806146,0.4240249854595358,0.40699281321688935,0.3989379930934295,0.3995324516418912,0.44345617180164687,0.45869784390964863,0.4982110529468251,0.5216425838462541,0.5612693889489766
rotD50,SA,0.07,-0.4024158769426033,0.6623070376754675,0.6366000313381409,0.9803347482828635,0.984600587519313,0.9914157223204114,0.9950822684946464,1.0,0.9913714659476826,0.9665788277024999,0.9426978374354116,0.9146202036500564,0.8945833719286549,0.8738670217421893,0.8536266242688275,0.8364168742740851,0.8152323571226215,0.7717355149552445,0.7314375203364136,0.710965489471717,0.6901046319361083,0.6600278653436601,0.6223211567208112,0.5682192770274513,0.5292381987980824,0.4977652236903685,0.4651479796807825,0.4409716852346946,0.4022091894848631,0.3864391753720396,0.37993226846426487,0.3809066415310617,0.4221623920542268,0.4377526134011898,0.4775851661487298,0.5006256583073885,0.5412573942058421
