,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,0.058001809332349274,0.12638348308041417,-0.40697592128287174,-0.4135859849625471,-0.4302724948173872,-0.45012640206155485,-0.4791684289047899,-0.47858094327528417,-0.44556647589161386,-0.3873798762930222,-0.33122455868749034,-0.2774518414530498,-0.22855085845833073,-0.17950119010267188,-0.1292459929824449,-0.08532348864917612,-0.032124241276525155,0.015314832281962858,0.035159226041437903,0.04860888137178096,0.0792196158898754,0.11133082485933843,0.15162459822741836,0.17639397557049677,0.1960126229802567,0.20643153908441084,0.21235066879231784,0.22132468784280843,0.2217086533459383,0.23033643291375328,0.2459816088982805,0.22868996287553997,0.2324946624827512,0.24411762718019453,0.23645255821374592,0.20291742845231409
rotD50,"AvgSA[0,3]",3.0,0.058001809332349274,1.0,0.9597026655082319,0.7006360484359644,0.6856098035021227,0.6333570551219788,0.5994509523616364,0.5605791996191501,0.5548954349329911,0.6039874818598513,0.6643675453554291,0.722526479314478,0.7797424019248018,0.8256168213001468,0.8570335836058657,0.8824203832524223,0.9020530054576285,0.9301368106910812,0.9462375319864502,0.9503433588014384,0.9530616125073319,0.9565523032350046,0.9594803093702968,0.9612836753247295,0.9631498985585153,0.9615503269231368,0.9589074839129017,0.9554926750873413,0.9476799772427761,0.9323454717288174,0.9095767010453114,0.8932347903370675,0.8706239150479204,0.8595280377408763,0.8331239503469017,0.8317714688489121,0.8352013798396624
rotD50,"AvgSA[0,6]",6.0,0.12638348308041417,0.9597026655082319,1.0,0.6012137667949354,0.5890800183653936,0.5439073943769334,0.5109887788285223,0.465382110800852,0.44899690004925535,0.4847407105863795,0.541295202085927,0.5976299448217531,0.6550468813633049,0.7081166689725015,0.7485390430986042,0.7832173386360977,0.809237246462825,0.8449731269919032,0.8673418700130959,0.8750489730380735,0.8812775051109341,0.8923132055937535,0.9013687470862284,0.915057593516585,0.9288919097220184,0.9396633881467622,0.9473186627680508,0.953314960982399,0.9617656468647403,0.9616196297522945,0.9600346012333288,0.9537953297726156,0.9533274905871953,0.9452436178367213,0.9358645140755403,0.9304079111558005,0.9280257149902242
rotD50,PGA,None,-0.40697592128287174,0.7006360484359644,0.6012137667949354,1.0,0.9982747224150279,0.9832889391074352,0.9744009118802138,0.9628973645012379,0.9602160225487499,0.9636353886861819,0.9572877175259189,0.9400043402300596,0.9170330262440878,0.8881705432873228,0.8557406318793765,0.8238275793908247,0.7940262911361233,0.7467307364157891,0.7032542897657631,0.6821716414600645,0.6653740261587227,0.6316527148554256,0.6068505470953419,0.572575125411053,0.5492569301433595,0.5306793843568167,0.521735160480371,0.5153329394011423,0.5088308218877342,0.49516380512713537,0.45907396212395674,0.4481796399849583,0.4423798608754428,0.44689716979650057,0.43624393251796834,0.458001750629296,0.4828403950217999
rotD50,SA,0.025,-0.4135859849625471,0.6856098035021227,0.5890800183653936,0.9982747224150279,1.0,0.9902584839911872,0.9821387111713179,0.9692624958278364,0.9616492683244484,0.9595936703372497,0.9494730914292944,0.92919880739907,0.9042145936109115,0.8739913307998357,0.8404869261632036,0.8079145593626702,0.7777259125475331,0.7298749869299749,0.6863209925254496,0.6652916009494407,0.6485011706727131,0.6147319356957878,0.5899181267775253,0.5557562046305262,0.5327873336855159,0.5145260241205666,0.5060101078433974,0.5000204061072938,0.4937584043462435,0.48101419909643595,0.44507559787950185,0.4340756397950499,0.430353669496141,0.4354288146565794,0.4261355706885275,0.44811183627495893,0.47306226493227066
rotD50,SA,0.04,-0.4302724948173872,0.6333570551219788,0.5439073943769334,0.9832889391074352,0.9902584839911872,1.0,0.9951325729900746,0.9785543063503807,0.958906385672171,0.9403801451642283,0.9187678774993748,0.8900453751427244,0.8581940392153241,0.8239394596559864,0.7878742361561001,0.7531704374695981,0.7220653058820853,0.6738305755053354,0.6298277770389753,0.6088429332005149,0.5923382033238008,0.5580872023136582,0.5334122135770456,0.5003658439709968,0.4789701086510061,0.46204949219002056,0.45469540251168944,0.44954228850168926,0.4432256396518058,0.4321376562208113,0.3969791419544153,0.3864384564676817,0.38593725883991964,0.39198942162591943,0.38716234827081186,0.40934350847446455,0.43420069689023494
rotD50,SA,0.05,-0.45012640206155485,0.5994509523616364,0.5109887788285223,0.9744009118802138,0.9821387111713179,0.9951325729900746,1.0,0.9876060015069887,0.9630785997115852,0.9341824787854239,0.9058388961097007,0.8713684878895093,0.8362505765591994,0.7994165627080364,0.7607940942207022,0.7241936851333947,0.6916589509984833,0.6416919700928775,0.5965245651559046,0.5750478474792332,0.5580485535811841,0.5235640514178872,0.49855156225540703,0.465687774235359,0.44380075261454816,0.4271274943113331,0.4201167724808381,0.4152024590961317,0.40931210933395257,0.398133702179747,0.36257742389132147,0.35167858168343236,0.35199838616549994,0.35804015287097196,0.3541712952523583,0.3764802267398217,0.4015922056602764
rotD50,SA,0.07,-0.4791684289047899,0.5605791996191501,0.465382110800852,0.9628973645012379,0.9692624958278364,0.9785543063503807,0.9876060015069887,1.0,0.9791403459085123,0.9377561044558232,0.8997135077769406,0.8585358833375777,0.8189809689689236,0.7793547106246673,0.7377650288274775,0.6984431865902061,0.6642086815949112,0.6119141234286691,0.5651292090009868,0.5430817269169357,0.5252841275283464,0.4899885719084054,0.46396775355208547,0.4291518147960859,0.405756116534727,0.38774146139146176,0.3801968939419688,0.37482697551123345,0.3670172056774528,0.35322745550111984,0.3169590241073061,0.30518703842958916,0.3048814639050097,0.30975268255884836,0.30375189317436124,0.3261214690590565,0.3507143075186919
