,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,0.9999999999999994,-0.11205979926757832,-0.053748290639836306,-0.4555390216105227,-0.45378756639368234,-0.45203969644130726,-0.45904617616332477,-0.4720640405513691,-0.476646885490638,-0.46069099150074183,-0.4271898122432098,-0.3951339376103549,-0.3588170975608731,-0.3277131735775616,-0.2933746722367357,-0.2583509133567067,-0.22666402944448583,-0.1896519898941278,-0.1487823699262229,-0.13155167626855763,-0.11765080870822793,-0.08819875445810693,-0.061168585024565,-0.024424196984540663,0.0013765844360901975,0.018826312274692086,0.03234423788453809,0.03602325377742738,0.04019588130274676,0.03675517154975096,0.03854594905406031,0.045327713868468976,0.040147447711939954,0.0436096326018825,0.0526822054853734,0.03742911270237834,0.008949916853054603
rotD50,"AvgSA[0,3]",3.0,-0.11205979926757832,0.9999999999999969,0.9367628965409578,0.7170599539500863,0.7028234438353445,0.6593143993377534,0.6319445973908411,0.6010781133448851,0.5941263025327637,0.626711451601059,0.6757803115311963,0.7204097226383317,0.762501132129742,0.7973110919572318,0.8199232505611699,0.8407078653923162,0.8591188041652987,0.8892472891236721,0.9093776565142937,0.9148055818418481,0.9198462390915992,0.9293074448016792,0.9352600572157215,0.939216263424726,0.9405559120400852,0.9394312142223515,0.9383121562767475,0.9347633121593498,0.9264430404116403,0.9067376320986046,0.8650670744097292,0.8454611252828175,0.8211501233131552,0.8084929064794226,0.7786417890458132,0.7779604659729382,0.7836402147887176
rotD50,"AvgSA[0,6]",6.0,-0.053748290639836306,0.9367628965409578,0.9999999999999977,0.6236636912633796,0.6135035113295892,0.5784655678048816,0.5542850953721125,0.5199696572117578,0.5039854565458427,0.5200203325789452,0.5585921678468578,0.5947009706186823,0.6331333511515359,0.6694282899326714,0.6959284695349613,0.7202970092569936,0.7428702872935945,0.7863325835086977,0.812615651273756,0.8203792976644145,0.8274583938761523,0.8428361902152014,0.8518439335554896,0.8681322159048206,0.8791285760251579,0.8844892365868093,0.8918446396036763,0.895957541361582,0.9153484778872815,0.9273998343677353,0.9370061022222549,0.9295472963265443,0.9451894161889738,0.9359775082767037,0.9158870106339055,0.9061580992813045,0.9006765952219407
rotD50,PGA,None,-0.4555390216105227,0.7170599539500863,0.6236636912633796,1.0000000000000024,0.9968752883028734,0.9803510756433466,0.9710834230527483,0.9598637851523495,0.954968348156253,0.9515478056061486,0.9425501769151491,0.9245150130095199,0.9030442922579889,0.8796828637335533,0.8535949963184575,0.829007799143696,0.8055516611055088,0.7648971692074698,0.7278070570772519,0.7087922641841168,0.6927215783001941,0.6634330738111043,0.6376311743596176,0.5984153769182771,0.5707053019462017,0.5508071907469422,0.5335424449881879,0.5235809033662712,0.5058514613257667,0.4861739382119296,0.4611159291560168,0.4570579615435469,0.4559603310417509,0.46214679052647434,0.4570986409994448,0.4800208135472305,0.5086189561738907
rotD50,SA,0.025,-0.45378756639368234,0.7028234438353445,0.6135035113295892,0.9968752883028734,1.000000000000002,0.9881180853968617,0.9786964711832996,0.964670707270728,0.9545997051853167,0.9454830704635259,0.9330615747181247,0.9124692739857764,0.8895345130150906,0.865204268513074,0.8382911392877541,0.8135059018294085,0.7897730715975552,0.7488379903041416,0.7118408517947244,0.6928381896932373,0.6769301358294105,0.6477119989085998,0.621966595526344,0.5830276650646005,0.5556625116566899,0.5359901420634986,0.5191076252345771,0.5094019653338149,0.4920821353477218,0.47332320251859694,0.449012359409501,0.44519258487846375,0.4461836941529035,0.4527153847036866,0.44955288439225166,0.47259117102198756,0.5010134427110838
rotD50,SA,0.04,-0.45203969644130726,0.6593143993377534,0.5784655678048816,0.9803510756433466,0.9881180853968617,1.0000000000000004,0.992117857660171,0.9727558826782428,0.9497865245176043,0.924820606472149,0.9021731179801072,0.8746938248760165,0.8469110774495175,0.8199573729539668,0.7915496799790616,0.7658731301223495,0.7415554585377765,0.7007691750680491,0.6636014049703014,0.6447338902576801,0.6292451869259786,0.60027124601654,0.575137764441634,0.537219896767919,0.5108996039568812,0.49206040431319437,0.47636116863531797,0.4672020680081547,0.45165792107821384,0.4358190050370185,0.41371234268544627,0.4107485474742329,0.4145976174446887,0.42159805932802924,0.4218203265214629,0.44435072805216125,0.47222710078491137
rotD50,SA,0.05,-0.45904617616332477,0.6319445973908411,0.5542850953721125,0.9710834230527483,0.9786964711832996,0.992117857660171,1.0000000000000009,0.9821825106338109,0.9537183619912809,0.9188947210546936,0.8893251311210872,0.85667707052516,0.8262225020400881,0.796833566138072,0.7665834849054475,0.7396893995739976,0.7143731861029443,0.6725093919664281,0.6346651128835189,0.6157305693758061,0.5998317683398583,0.5708771138577176,0.5456067399616172,0.5080724585533762,0.4819505793742529,0.463363549832736,0.448131208634002,0.43909221455717556,0.4251276151407186,0.41052652133790457,0.3895352509552224,0.3865501761797428,0.39176091984449546,0.39883593305016884,0.39988013698013725,0.42209380407323416,0.4500088690448054
rotD50,SA,0.07,-0.4720640405513691,0.6010781133448851,0.5199696572117578,0.9598637851523495,0.964670707270728,0.9727558826782428,0.9821825106338109,0.9999999999999991,0.9714250817943396,0.9260365711073404,0.8867530251519358,0.8472287151619031,0.8119287420752473,0.7784911990992849,0.7453698670526242,0.7160613643945799,0.6894031526170593,0.6452805605068552,0.6055396213653232,0.5860709657149663,0.5698423358401271,0.540649897248605,0.5150093425660435,0.4768156044201783,0.45001702011510275,0.4308416849794517,0.4157254922009362,0.4066082618034086,0.39286077874993686,0.3784840330633536,0.3583761832280526,0.3554100249983538,0.3597394933845521,0.3664449681633194,0.36589261698716163,0.3878051835406552,0.4156762517819539
