,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.10191403430722996,-0.05390668854057333,-0.44118457250498894,-0.4393293353562806,-0.4370036489500534,-0.4440954055650888,-0.4569241940324459,-0.4614336476987891,-0.4442123483621739,-0.41257066212298843,-0.3824202356860025,-0.3473878917801077,-0.3163208928010151,-0.28291839018614556,-0.2496779801781728,-0.21913708782431357,-0.18326523763327895,-0.1455962771747172,-0.13034651563033361,-0.11784863260779765,-0.09184627852406284,-0.06664412437202752,-0.033665843391998816,-0.0101016204531134,0.006370803764365234,0.018621856994738766,0.02240207766091938,0.028941371497061944,0.023117816196836016,0.03439351656298196,0.042429358077941993,0.038054813452142754,0.04193719651317922,0.06364184214465164,0.04780935861868439,0.0204616449729467
rotD50,"AvgSA([0, 3])",3.0,-0.10191403430722996,1.0,0.9705777905547437,0.723637900077808,0.7086680325442043,0.6638571618685299,0.6362777724291365,0.6055414175179958,0.6005927419838702,0.6380934013034196,0.6869107855411096,0.7333496760583672,0.7772238700851907,0.8128966780220588,0.8366367063477198,0.8565971265369696,0.8749851011869703,0.904490275074695,0.9243850521305389,0.9302218294763179,0.9354015796007948,0.9441712494547758,0.950832325126158,0.9550716468790318,0.9572846362588446,0.9573398684206437,0.9541209452577384,0.9510323979278852,0.9357615301472931,0.9123019517185621,0.8860722583514571,0.8692439804468257,0.8512240649729376,0.8385767307738868,0.8126190309044972,0.8141243793339911,0.8210563632523664
rotD50,"AvgSA([0, 6])",6.0,-0.05390668854057333,0.9705777905547437,1.0,0.6534016882601107,0.6396906816692627,0.5985053890249471,0.5720523220209952,0.539982288667181,0.5317258795519018,0.5623072757287387,0.6064273830696486,0.6499710324459131,0.690197858810822,0.7250935074783561,0.7523858373833727,0.7756375508956804,0.7963652358506617,0.8312613018576626,0.8553528839085467,0.863193542922928,0.8703636415304181,0.8826080946953448,0.8935649912193501,0.9101560605041673,0.9243724702098212,0.9334320592472943,0.9399954547547842,0.9469576791013818,0.9570485276476887,0.9583319450563019,0.9576032115392905,0.9564943215027244,0.9510541567245232,0.9442490918536693,0.9253540050060215,0.9168705827668442,0.9121226487151374
rotD50,PGA,None,-0.44118457250498894,0.723637900077808,0.6534016882601107,1.0,0.9969612199541388,0.9808827940259144,0.9717746848440014,0.9608954269900445,0.9562694654274093,0.9533870408248265,0.9441122722841423,0.9265963516907547,0.9051406501561067,0.8814289365743414,0.8559790402698271,0.8315533986883257,0.8085471434615509,0.7692123164663424,0.7331724363735942,0.7146109546483873,0.6993487343050782,0.6712039833491221,0.6459694889181973,0.6079796268654262,0.5806185994278105,0.5608728309154658,0.545345106309668,0.5347519540406543,0.5167429412145648,0.5032548582661988,0.4837764948110379,0.48117634223317257,0.4863020051247618,0.4929449240873697,0.49924616493561536,0.5252511986242097,0.5558221862536749
rotD50,SA,0.025,-0.4393293353562806,0.7086680325442043,0.6396906816692627,0.9969612199541388,1.0,0.9886140808733485,0.9794211927891014,0.9658456307529568,0.9559863532153867,0.9472832509767488,0.9345924721779224,0.9145056225530139,0.8914701439463226,0.8667244754919694,0.8404616489505429,0.8157847126906111,0.7925021976516812,0.7529910674730887,0.7169919687400208,0.6984237706945677,0.6833262082749728,0.6553001909331189,0.6301174181077452,0.5924250858453369,0.5654639797533559,0.5459379009162838,0.5307325928709917,0.5204925612564832,0.5028957566558214,0.4905486677888878,0.4715256013037531,0.4691311163052475,0.47760496141396364,0.48452153330104003,0.49254076493513277,0.5185152497006855,0.5487851308493903
rotD50,SA,0.04,-0.4370036489500534,0.6638571618685299,0.5985053890249471,0.9808827940259144,0.9886140808733485,1.0,0.9925637666073892,0.9741372776897961,0.9515135603723609,0.9268142356213745,0.9040654186847278,0.8771272394785548,0.8491174735954845,0.8215522547189457,0.7937476032379915,0.7681413937496292,0.7443450840257284,0.7050549392188489,0.6689905074795945,0.650596599107842,0.6359341115328273,0.6082783416666053,0.5836429976967752,0.5469452363151919,0.5211109095788761,0.5024279621827956,0.48810255739127806,0.47845275046168945,0.4625134310770218,0.45325393862371693,0.43574004519170884,0.4339976155627642,0.4463184079560536,0.45379597217167567,0.4652767423677324,0.4905490742157596,0.5200108632899795
rotD50,SA,0.05,-0.4440954055650888,0.6362777724291365,0.5720523220209952,0.9717746848440014,0.9794211927891014,0.9925637666073892,1.0,0.9831578259364893,0.9552662264915871,0.9209061548259678,0.8913228264928497,0.8592815748184598,0.8284794957249167,0.798574380657068,0.7690073776487859,0.7421727450836322,0.7173926238878782,0.6770528524637481,0.6403577538145611,0.6219050629391623,0.6069135816481308,0.5793246258915101,0.5546529112742684,0.518495350772654,0.4929305954225334,0.47451429691868285,0.46057801134085125,0.451098677968809,0.43699999680462326,0.4291330907041867,0.4122196106199949,0.41046504662298205,0.42327898561472344,0.43079745982743683,0.44324415591986555,0.4680977821245208,0.49744864613214707
rotD50,SA,0.07,-0.4569241940324459,0.6055414175179958,0.539982288667181,0.9608954269900445,0.9658456307529568,0.9741372776897961,0.9831578259364893,1.0,0.9723507626265311,0.9277489782308898,0.8885553363569081,0.8498713166157861,0.8142654721051807,0.7804054233524714,0.748098228905905,0.7188181816019328,0.692606979582841,0.6500957525742428,0.6114805076377948,0.5925147676521691,0.5771515147229823,0.5489993286919894,0.524143482066027,0.48745864217754803,0.46107332889562197,0.4419597502869183,0.428199248008816,0.41868028482313685,0.4048914853607047,0.39741966480540036,0.38118530068603046,0.37959841647264286,0.38966289622220607,0.3969388266478834,0.40571758562011406,0.4305168248889132,0.45968084947817583
