,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,0.02355686703075857,0.06724467163055382,-0.43231359347358256,-0.42212075943019306,-0.39911809114935914,-0.4259097052347673,-0.4506830418372139,-0.48678800896131724,-0.4922546292974834,-0.4664219168603847,-0.4437886490771915,-0.4165104003061459,-0.36411989517541365,-0.3220309019983558,-0.28859273740102637,-0.25474280603618793,-0.1976256839256959,-0.14922392801723833,-0.109781291980493,-0.07314054847591603,-0.05794044910584792,-0.021842113903360515,0.0019139093034790256,0.0381799475318723,0.07717137834974908,0.09565732540076051,0.11746008228416246,0.13987198972448148,0.22178925897183016,0.21369446630689548,0.21704650061160774,0.2386811305917502,0.22908213690365548,0.2007915105599861,0.15542392046059605,0.14352655506559717
rotD50,"AvgSA([0, 3])",3.0,0.02355686703075857,1.0,0.9290094686368797,0.6876470258903161,0.6802249793430082,0.6381466379286596,0.596482307505247,0.5410562808060134,0.503696379867112,0.48222986492330466,0.5411422800925888,0.5767414603028379,0.6260753752514402,0.7074977670167862,0.7744581132327701,0.8192920533496386,0.8491128220298225,0.8961006434091378,0.9260662114566665,0.9407726929215505,0.9485259667658581,0.9601988042389151,0.9677490086715385,0.9697420519507931,0.9670019573187395,0.9666557277768307,0.9680145505521014,0.9635099095353031,0.9572652863321156,0.9483522475059029,0.9303153851315542,0.9181408716306585,0.9008516301660584,0.9045993811382661,0.823497586525719,0.8249554650938431,0.8064848727733208
rotD50,"AvgSA([0, 6])",6.0,0.06724467163055382,0.9290094686368797,1.0,0.655569758080892,0.6524945902061249,0.647340981101411,0.6233843913566535,0.5674063958567629,0.5092008686932981,0.4723446504628893,0.4981652738510683,0.49280600064724583,0.501448812413677,0.5511675067221209,0.6246744117369658,0.6500087677403709,0.6826257587766184,0.7434109936940836,0.8001586576659604,0.8169687356639529,0.8379487690104179,0.8596448737940829,0.872328532779768,0.8840050908777428,0.8967736989815909,0.9120065071784478,0.9243001417572966,0.9252641909813185,0.9262146051951218,0.930043198854796,0.9263925167875711,0.9257111116652532,0.9305289883235603,0.9411572093688988,0.9573568807620567,0.9484173824803562,0.9265550969886319
rotD50,PGA,None,-0.43231359347358256,0.6876470258903161,0.655569758080892,1.0,0.998088235199501,0.9854661840212979,0.9786144421024556,0.9693861808956213,0.9645274924852432,0.9543052018083672,0.9528146865998168,0.9494664716729587,0.9373985046874402,0.9237993283005408,0.9108185794695572,0.8925026546033694,0.8769191702093925,0.8106038823883244,0.7629161684643754,0.7384952199636207,0.7149494714683623,0.6965561086755389,0.6724046997035837,0.6353078924824217,0.596642550183823,0.5759356442314613,0.5713524643112258,0.565665543659619,0.5390204914766216,0.5057225711309934,0.5230412886535555,0.5308899591716941,0.4742368871750507,0.48939593733001313,0.523328127121953,0.5668352615731703,0.5805676792605825
rotD50,SA,0.025,-0.42212075943019306,0.6802249793430082,0.6524945902061249,0.998088235199501,1.0,0.9916823024252264,0.9836046598954737,0.9721132490342922,0.9656691205526606,0.9526420536261216,0.9499826630234595,0.9443558936811551,0.9299796919672269,0.9143559471324754,0.9005221269572128,0.8820983574275102,0.8665746101527267,0.799390845681572,0.7524831078170108,0.727872945936122,0.7048462944597006,0.6871513426211294,0.6639731083250904,0.6266359951807284,0.5869357544874598,0.5677399768823271,0.5636734389756073,0.5590295733412542,0.5339868488467768,0.50365550178441,0.5238769641898594,0.5320726022682996,0.4746699226734901,0.4897563007302184,0.5241502960890387,0.5669475336039262,0.5797228187382387
rotD50,SA,0.04,-0.39911809114935914,0.6381466379286596,0.647340981101411,0.9854661840212979,0.9916823024252264,1.0,0.9926566624554474,0.9814502524669858,0.9656885037801265,0.9472306212328818,0.9403310642366872,0.9236678399840277,0.9006846476727712,0.8800220266791468,0.8632077418482441,0.8415390687193745,0.8254571445627679,0.7524468876361656,0.7042198751120068,0.6787602622978506,0.6569220747429311,0.6419641275821365,0.6201197224974229,0.5823415930978424,0.5443413670649621,0.5271848506640263,0.5263326025876032,0.5251831057402295,0.49934447170627994,0.47382264771653954,0.5002466591614269,0.511469136657818,0.45714213364339873,0.4722998659154997,0.5291842557059278,0.5701501967987654,0.5812605702893896
rotD50,SA,0.05,-0.4259097052347673,0.596482307505247,0.6233843913566535,0.9786144421024556,0.9836046598954737,0.9926566624554474,1.0,0.9876771110102717,0.9732526311775541,0.9497942113619522,0.9385399968874917,0.9176414999794635,0.8906946466498445,0.8650134591699995,0.8427263789292898,0.8184185169709429,0.8000537760533492,0.721382040599491,0.6712024206159724,0.6429572270618149,0.6193496618055706,0.6038667123916527,0.5804834831987367,0.5417299068541911,0.5047212583201818,0.4872423709255807,0.4869462099934803,0.4844411616443904,0.45537329398420956,0.4288783246121705,0.45728849871830585,0.4707886075657375,0.41897038024627126,0.43591189043308987,0.5078193591602274,0.5467213197575671,0.557511075694754
rotD50,SA,0.07,-0.4506830418372139,0.5410562808060134,0.5674063958567629,0.9693861808956213,0.9721132490342922,0.9814502524669858,0.9876771110102717,1.0,0.9864671596999408,0.9653877999188494,0.9451062231792603,0.9174346691146767,0.8869003995485887,0.8550505930115713,0.8263283971950447,0.794454716550955,0.7724606168374236,0.6880934785552745,0.6311686713857609,0.6004273637622503,0.5739292137972042,0.5547313625203867,0.5312125827870195,0.49175886772356603,0.45287473035502274,0.4302941232937784,0.4263067622644163,0.42211587911328835,0.39314344945689134,0.3614532370296163,0.39639431100747297,0.41222512556985996,0.3526531440854484,0.37077377135780915,0.44820057253974177,0.4900590938993782,0.5073869346547841
