,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.19165251140320427,-0.2065748070824434,-0.5014897221666217,-0.5000994069951749,-0.4967977704206233,-0.5000586865884612,-0.5120389955731389,-0.5223771991073913,-0.49466060040648774,-0.46050048378587793,-0.41606676414225485,-0.38650595731379833,-0.35220966036194423,-0.34271726607668873,-0.33651761081659676,-0.3176185545594216,-0.3012791975429185,-0.2675313631632797,-0.25961905061648816,-0.24618771212614268,-0.22036047694045824,-0.20347592430367378,-0.16924277594776752,-0.17447077042613113,-0.21578732212492033,-0.23732646846167157,-0.2698954301772249,-0.22950346759593043,-0.2166301490477481,-0.23875270027243203,-0.248766648455746,-0.21373447845647894,-0.2257246717831201,-0.23621564547792773,-0.2550290658374175,-0.26333292311469525
rotD50,"AvgSA([0, 3])",3.0,-0.19165251140320427,1.0,0.9687482744891946,0.8207269463206415,0.8001285431588838,0.7577716568944107,0.7388791693650343,0.6917468431881973,0.6804089299040184,0.7228943293252936,0.7843319150449463,0.8338213811766377,0.8719255050533522,0.8969920549154561,0.9137159143594015,0.9316468834466416,0.9466376459150669,0.9537213072180353,0.9554671390046886,0.957967187596895,0.9565762879847837,0.9584152106080951,0.9607642883918103,0.9594098285108322,0.9583053505904224,0.973303549638504,0.978264201181199,0.9722955201341321,0.9583014821884417,0.9498539359306181,0.9426595457489292,0.9371464475769511,0.9187028717660122,0.9104132270242691,0.8796311482198151,0.8566055197130634,0.8315196162559518
rotD50,"AvgSA([0, 6])",6.0,-0.2065748070824434,0.9687482744891946,1.0,0.7674306324196933,0.745056346322188,0.7078517263671291,0.6905016440745065,0.6497766441379496,0.6296857991783681,0.6622640010346578,0.7141851364616956,0.7531268463753189,0.7942735284667328,0.8188378604301472,0.8510352040382125,0.8716296441187813,0.8821331340775681,0.8789354434852461,0.8828410481709479,0.8877956982155808,0.8879028795036061,0.8924813586996759,0.8990672435672119,0.9045066142168969,0.9041261602766216,0.9343593481129864,0.9509426520920593,0.9521949914721206,0.9478395201911576,0.9506892729288293,0.9558438103576694,0.9544262646431285,0.9540651184562164,0.9484249987296411,0.9553118506114164,0.934830221296954,0.9119315252376646
rotD50,PGA,None,-0.5014897221666217,0.8207269463206415,0.7674306324196933,1.0,0.9987210776502493,0.9894783158807966,0.9858801960810757,0.9755527927645581,0.9743830175719328,0.9808570279350061,0.9834947993370798,0.9674524394257781,0.9509438580243145,0.9323566114408736,0.9258318104795089,0.9144218957997,0.8951849402810408,0.8531188041290674,0.8204238584139042,0.8066859520948175,0.793519605167477,0.7729846781150835,0.7545640078082532,0.7331304048772339,0.7129805534757103,0.7450769573129435,0.7651455146235717,0.775524714463952,0.7522853694445973,0.7387235814138622,0.7532045868230631,0.7600902035525243,0.7799427170341915,0.7852022173054777,0.7443519147894109,0.7633515799021244,0.771129717554712
rotD50,SA,0.025,-0.5000994069951749,0.8001285431588838,0.745056346322188,0.9987210776502493,1.0,0.9942812514480304,0.9908216274043582,0.9807824159004388,0.9786135395074106,0.9823278559456892,0.9822170609677467,0.9627576260831325,0.9434076489209441,0.9232333540292846,0.9164618777172925,0.9046079193979334,0.8840557367506896,0.8388944233938675,0.8051011631327067,0.7906804062906585,0.777437882291489,0.7560909726137728,0.7373600329447962,0.7163769575255058,0.6942097799867415,0.726871923726211,0.7477380263080311,0.759488153737658,0.7343711892056258,0.7198318374710898,0.7364318401419022,0.7444136066227379,0.7660587719600905,0.773336600951502,0.7307178897151593,0.7516826542314026,0.7617295611304346
rotD50,SA,0.04,-0.4967977704206233,0.7577716568944107,0.7078517263671291,0.9894783158807966,0.9942812514480304,1.0,0.9975224170410374,0.9902354550151773,0.9838111615088391,0.9797678607990766,0.9689908501868026,0.9397629631329816,0.9154260308815654,0.8916342290428542,0.8862090554026298,0.8751224650576231,0.8523348919942867,0.803254686727407,0.7698195042337046,0.7554384321973189,0.742728200421365,0.7207580228149688,0.7027293050287122,0.6821777489859092,0.6567719679473374,0.6905103583712514,0.7142471302012947,0.7281757192374219,0.6996370122217532,0.681040498269766,0.7031354862360042,0.7147938979213336,0.7394471316118348,0.7531755740581434,0.7121895840901967,0.7333331910021876,0.7468792885791122
rotD50,SA,0.05,-0.5000586865884612,0.7388791693650343,0.6905016440745065,0.9858801960810757,0.9908216274043582,0.9975224170410374,1.0,0.9929819241030166,0.9853625840277176,0.9771288848272346,0.9634879271535605,0.930992708141317,0.9055878695297968,0.880282063401371,0.8748732065306367,0.8633171912422448,0.8402919081639487,0.7906211689616639,0.7578674943594454,0.7434301321697754,0.7303490374303946,0.7070844796061013,0.6888143294194008,0.6686388842472715,0.6420052093163636,0.6753458631607412,0.6995704954407529,0.7138961460785196,0.683553235590254,0.6629245972704847,0.6875533673912649,0.7008430526070188,0.7258651274260717,0.7408882243106524,0.7006680673920528,0.7248699226112864,0.740234126530808
rotD50,SA,0.07,-0.5120389955731389,0.6917468431881973,0.6497766441379496,0.9755527927645581,0.9807824159004388,0.9902354550151773,0.9929819241030166,1.0,0.9925479816182258,0.9777683968823839,0.9531427402133028,0.9109162667851477,0.8803491737019373,0.8495147352950635,0.8416012355801904,0.8278802170518228,0.8022690336266504,0.7520744291341525,0.7172011132308229,0.7017029476944935,0.6873707655736745,0.6643597939502942,0.645244622037374,0.6218026717044526,0.5946403694645175,0.6310302284319976,0.6581297227129376,0.6729214745297043,0.640687656532708,0.6182956348019087,0.6451246717071165,0.6590149672284865,0.6840018358079366,0.7035705408475729,0.672501802891312,0.6974766980411142,0.7152143651095816
