,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.6093354700893863,0.5497760337466445,0.2406151002333248,0.7257367060745871,0.6967065671729515,0.6590208715380237,0.664059262622053,0.6540681721556402,0.6371683159638185,0.6245811134121088,0.6183127212760744,0.6218633006140688,0.6567958653721279,0.6764855154656231,0.6633142089855689,0.6536412941142271,0.6348380663297427,0.6184614056406427,0.6249249768477942,0.6114754320658425,0.5766778187763324,0.5633400309639532,0.5407392998177852,0.506474204684791,0.48057680765554783,0.48796242041742555,0.44764047826161496,0.3848499716867607,0.4033879596742751,0.32155414716206626,0.28871507673264135,0.3109511798537574,0.2483419013362803,0.21464537490195032,0.08090982497040064,0.06494294395310923,0.06773663124578991
GM,RSD595,None,-0.6093354700893863,1.0,-0.3127739580423652,-0.1296602116081375,-0.40152275365138185,-0.3633741364037731,-0.3301458581129585,-0.33567812706337924,-0.34953854262793893,-0.3529908994029838,-0.3465177994606037,-0.33577619450474094,-0.33917864468815656,-0.35831625002304296,-0.3562582994428065,-0.34812713234353976,-0.33736246166656336,-0.35143643786763246,-0.3680857453122761,-0.3459990454731318,-0.3584315871770629,-0.33652630048835824,-0.2858965415664172,-0.27622712651470915,-0.2791949637392012,-0.23953287619340707,-0.24328899365487824,-0.22334395435065948,-0.20357346210862642,-0.21923293943644784,-0.17104886334125555,-0.14529252124132577,-0.17659222393944726,-0.13987404639013631,-0.1073763488533892,0.0012631329720086276,0.003268658671524833,-0.0071374149794049425
rotD50,"AvgSA([0, 3])",3.0,0.5497760337466445,-0.3127739580423652,1.0,0.8252933957060185,0.7313806052135096,0.7137170597697076,0.6724274568972577,0.662895609442908,0.6191671741470184,0.5778882985607551,0.5377455940188252,0.5897851426356828,0.6300482756583077,0.7067447926996088,0.6761113337116993,0.7177271314668453,0.7373547924448782,0.7371979777992562,0.7654273825711673,0.7868396119427049,0.7908381789825613,0.796453938115822,0.8173365984835795,0.8249302485605646,0.8312729627001458,0.8467381107524121,0.8607338368540653,0.856798370293982,0.8579953251648039,0.8677873321357321,0.8812861792948867,0.8345979675643722,0.8138790017747356,0.7827458497189017,0.744685324881626,0.6563381605403626,0.6332459563955048,0.6163481219615888
rotD50,"AvgSA([0, 6])",6.0,0.2406151002333248,-0.1296602116081375,0.8252933957060185,1.0,0.5885027201256748,0.5726543555519841,0.5327479197379413,0.5246864507427125,0.4990262778171026,0.46537912738341136,0.4069065537075757,0.46892022021019225,0.4934139606765236,0.5265864258515263,0.5037038382963883,0.5457714367357747,0.5692507227940298,0.5646356720261281,0.5653379855544747,0.5438837183225594,0.5616465793774433,0.5759089471052203,0.6056282811865014,0.6238997097083634,0.6658228212633753,0.6868521535110039,0.7120273711954037,0.7299610805854507,0.7635167930779123,0.8078853669297347,0.8452624115175337,0.8867928704878223,0.891176399407177,0.9035177431118214,0.8798418946379006,0.913681994603091,0.8805896029599308,0.8523091676089246
rotD50,PGA,None,0.7257367060745871,-0.40152275365138185,0.7313806052135096,0.5885027201256748,1.0,0.9848174151677831,0.9453267051294969,0.9378693450267556,0.9313418487753068,0.9178769164844083,0.8912063872025436,0.8999229101885802,0.8899976592375038,0.8750493290199781,0.8378714341745769,0.8144222676415784,0.7826157182379102,0.7420745413380261,0.6793267846816274,0.6372126028158306,0.6036562096136303,0.6009509742157175,0.5894055246240695,0.5811961843431753,0.5482317482361325,0.5507264247591566,0.5599715723415498,0.5204559366354845,0.5053142071952332,0.5450132376408057,0.5245321616830833,0.5353589502694458,0.5762165046103505,0.5482237246857811,0.5346259626566019,0.496142663790391,0.5031190385875839,0.5048385505468759
rotD50,SA,0.025,0.6967065671729515,-0.3633741364037731,0.7137170597697076,0.5726543555519841,0.9848174151677831,1.0,0.9687926113792678,0.9475259778607713,0.9281454778899012,0.9048273376058203,0.8666621118773553,0.8738394023360421,0.8637752192342832,0.8491131679003712,0.8073218143557255,0.783852088263661,0.7532637996942049,0.7092148694007014,0.6547389164156363,0.6158448764201584,0.5836347195439917,0.5865246126390381,0.5710045878429146,0.5619390466327893,0.5240560450281456,0.5288246507716373,0.5465247142096883,0.5046732591448952,0.4952457201625568,0.531000648110383,0.5079607576220265,0.5272983607023627,0.5745279433998239,0.5523015838887483,0.5350666144628682,0.488978967152545,0.49159812488380605,0.49406680138985226
rotD50,SA,0.04,0.6590208715380237,-0.3301458581129585,0.6724274568972577,0.5327479197379413,0.9453267051294969,0.9687926113792678,1.0,0.9673540499217842,0.9214335314885388,0.8803667542494401,0.8207789808798439,0.8253744011874887,0.8104258325446361,0.792585690892552,0.7494911512791687,0.7188314632745135,0.6877585846042287,0.645648316550859,0.6085341836628353,0.5644316609458268,0.5362311750932436,0.5437393927388445,0.5337130008892543,0.5302734113202557,0.495195989388219,0.5020666199003929,0.5173847121335362,0.48315199190754754,0.47338564324768057,0.5021645802410657,0.49000819539980855,0.5173132719785878,0.5664725370315211,0.5420030926275576,0.5251408828692281,0.479425279045197,0.48002416822158206,0.48240590405373523
rotD50,SA,0.05,0.664059262622053,-0.33567812706337924,0.662895609442908,0.5246864507427125,0.9378693450267556,0.9475259778607713,0.9673540499217842,1.0,0.943642874162547,0.8907592120555168,0.8178372186225117,0.8168576106382757,0.8025302838539204,0.7800981769548689,0.7374156909287437,0.7030760732237413,0.6691949855322168,0.6292232913006818,0.5883996769100417,0.5457581282956881,0.5193466379224263,0.5229245128670531,0.5233309545374081,0.5311875106500374,0.4972131912970055,0.5043332689301138,0.5096783022079137,0.48086703880358095,0.46335738354145134,0.5031501345310901,0.48531711389935894,0.5108600772995779,0.5557018441479165,0.5338917843400481,0.5305832304748477,0.4787743417602945,0.4821815236835514,0.48065326699155814
rotD50,SA,0.07,0.6540681721556402,-0.34953854262793893,0.6191671741470184,0.4990262778171026,0.9313418487753068,0.9281454778899012,0.9214335314885388,0.943642874162547,1.0,0.9457216198727914,0.864869869490261,0.839957002661222,0.8068325350375399,0.7782559960168579,0.7186783135502127,0.675173204290425,0.6360694274158802,0.5886177735924086,0.5402351205090004,0.4931715692058243,0.46693397748396154,0.48114235943546163,0.47681734472320875,0.4886791363989109,0.46097437246520384,0.46271352667228516,0.46477517945685154,0.4345736842513163,0.41317511651268574,0.46088513526153435,0.4441139511200644,0.4727488388641811,0.5154759422123911,0.5039931520979669,0.5060364636408926,0.4566014426395737,0.47389648920524324,0.4817290171128267
