,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,0.9999999999999998,-0.10955220405980699,-0.08664521251429036,-0.4709249503680511,-0.46393975185347847,-0.4528958314997581,-0.46222169877410013,-0.47709111501380275,-0.4940463093875568,-0.47778132486373076,-0.44854341881009285,-0.41531414857247106,-0.39125001785299274,-0.3556736769773112,-0.33769282897135783,-0.32375988419467255,-0.30469319510974685,-0.27819720493174216,-0.23894316241178756,-0.22226426226210297,-0.2017547013203844,-0.17510410076771335,-0.15218449188334784,-0.11929584673026422,-0.10236002391030953,-0.10757254629295568,-0.10057446384612702,-0.10460222304112866,-0.07014082374271811,-0.032158242836682935,-0.043557088047433794,-0.05336631005457297,-0.03193791868460224,-0.03164521384859357,-0.033861907874115166,-0.052207528850311075,-0.058202422858413407
rotD50,"AvgSA([0, 3])",3.0,-0.10955220405980699,0.9999999999999997,0.9195390241738378,0.6999638476391319,0.685143648157115,0.6492175127630022,0.623606604407488,0.5817161120138462,0.5562629917098297,0.5626918637074348,0.6229075849840582,0.6626698674842355,0.7062690603461305,0.7453539502599105,0.775096481896354,0.8019478849377942,0.8283125280425869,0.8704647625554167,0.8966371639393583,0.9105803070305507,0.9164018410822614,0.9305700317373453,0.9390142819790231,0.9449029033032589,0.9416138299709976,0.9409811103599246,0.9338506944994389,0.9228572281035439,0.9204827440743301,0.9368778652137619,0.9112435312631705,0.8984206320677092,0.8839405755561951,0.8758309192012368,0.8039277440470758,0.7856436474292022,0.7593594504090274
rotD50,"AvgSA([0, 6])",6.0,-0.08664521251429036,0.9195390241738378,0.9999999999999997,0.6523226281799658,0.6380872967907739,0.6162632296820574,0.5943319097273277,0.5574320101379862,0.5167005677665605,0.5052695435644549,0.5508819986366182,0.5659855765703965,0.5950232215746908,0.6226583270498247,0.6608135582462707,0.6867564285344138,0.7109990120997854,0.7504064406418953,0.7800207709621994,0.7941119192493453,0.8028195891410913,0.8166504391213166,0.8266424761775064,0.8361304707119483,0.8422932107174526,0.8536377999019135,0.863157262907933,0.8669997092473983,0.8882923188700087,0.9129690077010871,0.9222089098279251,0.928056616050362,0.9392495797522813,0.93562941459985,0.9448496450701446,0.923916338363991,0.8968062290795403
rotD50,PGA,None,-0.4709249503680511,0.6999638476391319,0.6523226281799658,1.0000000000000002,0.9972255852700564,0.9834727366367565,0.978998798664324,0.9700710463148493,0.9669178402607209,0.9659200255948109,0.9681638285419126,0.9559410550447128,0.94070443476232,0.9216998828231364,0.9122595806555543,0.8974796344537318,0.8778128920084699,0.8282957390055943,0.787892810576429,0.7684388547324446,0.7529653582109994,0.7343366746375161,0.7129465375345435,0.6819272682952697,0.6519902824092157,0.6555219653569304,0.6554987374904964,0.6536697369955645,0.6089425097096873,0.5647532467244359,0.5744081693802597,0.5837583351663103,0.575638401590339,0.5782940274367973,0.5723726129072709,0.5936052793992617,0.5974376382430556
rotD50,SA,0.025,-0.46393975185347847,0.685143648157115,0.6380872967907739,0.9972255852700564,0.9999999999999993,0.9907899806709802,0.9846330643964557,0.973527673974937,0.9684849884102752,0.9640513764799411,0.9640827242363561,0.9489898664925236,0.9312830138423901,0.9103480959860203,0.9003993215480981,0.8854544176560282,0.8646308091863129,0.8132924816747785,0.7725757959857162,0.7526598078377593,0.7379346951983297,0.7187360439671028,0.6974411144231092,0.6662769798396697,0.6353145492924644,0.6406748552590389,0.6410985806195952,0.6408773464351627,0.5964249527129821,0.5536560873167411,0.5665128494014625,0.577629039849748,0.5703420653138448,0.5733243263215991,0.5660894597402683,0.5874739358532527,0.5922456059630509
rotD50,SA,0.04,-0.4528958314997581,0.6492175127630022,0.6162632296820574,0.9834727366367565,0.9907899806709802,1.0000000000000007,0.9932862061240116,0.9806056367165816,0.9687173857497152,0.9561135133293804,0.9478783725671865,0.9230291550980927,0.8996279856747709,0.8748844877853544,0.86417422624468,0.8488811178422326,0.8265613807358622,0.7721192506816116,0.7300555200571073,0.7100174755862613,0.6966604853847821,0.678243619331181,0.6581109208767837,0.6273120474467903,0.5956718821737432,0.6024464575982963,0.6061045345162175,0.6083304411576871,0.5640830803143801,0.5255476799925438,0.5449635470125573,0.559761799876816,0.5550742582159177,0.5608530510403023,0.5615245114131823,0.5821429558186638,0.5881287876429352
rotD50,SA,0.05,-0.46222169877410013,0.623606604407488,0.5943319097273277,0.978998798664324,0.9846330643964557,0.9932862061240116,0.9999999999999999,0.9864705784814444,0.9730948797396127,0.9552113268573974,0.9434812039757233,0.9154203669470419,0.889930599480885,0.8629287700253161,0.8505015362496371,0.8339484570784783,0.8111106889412827,0.754373795074662,0.7119380047323192,0.6911014533127068,0.6765840248435958,0.6580045273481776,0.6379432258240562,0.6071142543756188,0.5747534556351562,0.5801272206974109,0.5844353619975577,0.5857409828390824,0.5402046098225365,0.49937865220231104,0.5197817226050717,0.5356012066463697,0.5321955867260261,0.5408276229864102,0.5447474485810323,0.566566909706367,0.5727753769336686
rotD50,SA,0.07,-0.47709111501380275,0.5817161120138462,0.5574320101379862,0.9700710463148493,0.973527673974937,0.9806056367165816,0.9864705784814444,0.9999999999999992,0.9868028748933868,0.964303579233406,0.9409536619370359,0.9030317095854795,0.8725730751448711,0.8389813424467443,0.822640342880635,0.8023341738003467,0.776474943142834,0.7178854457872179,0.672478433689498,0.6504167470095841,0.6346219792048686,0.6149694639909855,0.5944108352975779,0.5623471890614665,0.5287404588427903,0.5336583335884273,0.5379477515268848,0.5385265996485109,0.4935791269804677,0.4535637558795444,0.4790563622838153,0.49518577552568016,0.4889363581141911,0.5010315000808397,0.5115244682364237,0.5368352451293907,0.5476460549985703
