,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.22113894752729568,-0.216027319658216,-0.4673935431988004,-0.4609211865144928,-0.4522343228611039,-0.46336088820273635,-0.48053594752114875,-0.49399506879908606,-0.4770962250983115,-0.4450249180829098,-0.40607235224552113,-0.3713565339497411,-0.3348446206883661,-0.3174251886126027,-0.3066279585221074,-0.2870634154572339,-0.262036531277137,-0.22548367225009516,-0.2105803266408698,-0.18809037602962214,-0.15851363229740695,-0.13767606141617622,-0.11683526807908827,-0.10952119816903691,-0.11739869717885662,-0.10643079659432955,-0.1108712841907345,-0.0704849361225019,-0.004573037550426175,-0.004669288092279278,-0.026748469706638186,-0.0037625032227221727,-0.017220471508208556,-0.043510964461231406,-0.060887627942114275,-0.0759820421362779
rotD50,"AvgSA([0, 3])",3.0,-0.22113894752729568,1.0,0.9828775312098419,0.799155286482479,0.7889972409165737,0.7583630392582748,0.7392635929539705,0.6983782648470525,0.682369831299348,0.6960596989731008,0.7464956507349261,0.7838788267281321,0.813575752262378,0.8398168669292722,0.8676164043651857,0.8895809718639371,0.9069776083791296,0.9289704779260848,0.9437568336871697,0.9496100043465225,0.9520671660679072,0.9570235629856512,0.9603069601501015,0.9626144740900636,0.9639663299022473,0.966936445200829,0.9664927177700342,0.9607416482139236,0.9495011904060896,0.9316051680959934,0.9179641725348645,0.9073075080569102,0.8917445056706401,0.887100170208861,0.8593819464715049,0.8500121342762758,0.8326963022884055
rotD50,"AvgSA([0, 6])",6.0,-0.216027319658216,0.9828775312098419,1.0,0.7690037808210519,0.7616332580533531,0.7368646537239726,0.7197334079139419,0.678844759823605,0.6604445687779703,0.666471047417304,0.7077877267187082,0.736733490853358,0.7586487515934698,0.7785820326751494,0.8079723693005325,0.8309928799875845,0.8476257377067683,0.8708167283111748,0.8905782247961991,0.8988121678847655,0.9033099325648759,0.9095682099047832,0.9180578846993434,0.9297356438217024,0.9391065971550103,0.9529173211647589,0.961723833773298,0.9653408597770229,0.9705336868655038,0.9702751750104345,0.9706698960455711,0.9701627668937157,0.9662834833203853,0.9645155771982109,0.9531092869147193,0.9399455933937909,0.9215582281655136
rotD50,PGA,None,-0.4673935431988004,0.799155286482479,0.7690037808210519,1.0,0.9978124021453321,0.9866151483739455,0.9817027202843005,0.9734748166360753,0.9701322526483219,0.9692748199960035,0.9690133040872755,0.9558408514834263,0.9384097418382223,0.9203697359526681,0.9114775338715957,0.8992277021365332,0.8767148294982622,0.829594507696227,0.7906852621862108,0.7694736315456915,0.7534181051319113,0.7300801886664209,0.7071649305039175,0.6804862892677103,0.6585661323897958,0.652469875434074,0.6466726885954582,0.6383560877792043,0.6044092939463835,0.570474898657116,0.5790309771903803,0.5944240506375592,0.578611173970531,0.5981406508831678,0.5969718134279903,0.6293800285420765,0.6473856866121639
rotD50,SA,0.025,-0.4609211865144928,0.7889972409165737,0.7616332580533531,0.9978124021453321,1.0,0.9923088599349749,0.9860620453597674,0.9763552167030501,0.9711164201852847,0.9666536250440786,0.9639991977494888,0.9484350532526005,0.9291207128784524,0.9093735678651182,0.9002642072558793,0.88791280265067,0.8644691496064041,0.8165301786472808,0.7780702646293878,0.7567384398332971,0.7413245660933282,0.7177344657169574,0.6949578917826674,0.6681022765553052,0.6455557796359409,0.6409639614613454,0.635743084735504,0.6288325922613462,0.5947050460699221,0.561463307663058,0.5732113153764303,0.5901873395185275,0.576305334883861,0.5959985529184982,0.5935160747198854,0.6260403457716944,0.6445024613444162
rotD50,SA,0.04,-0.4522343228611039,0.7583630392582748,0.7368646537239726,0.9866151483739455,0.9923088599349749,1.0,0.9939218938903662,0.9832918220260407,0.971550275272052,0.9577572633495959,0.9468309964008532,0.9232279711455701,0.8990047043813464,0.8761826238095526,0.8662495576811416,0.8538814514144536,0.8292062764041077,0.7804299930013916,0.7414925751508069,0.7203420856564041,0.7062553521310074,0.6834207595528036,0.6615222804745065,0.6346713242990029,0.6116896658846928,0.6072003745345833,0.6042490854067677,0.5992518290127739,0.5624696876230462,0.5285401507961583,0.5464147114605236,0.5670020762623214,0.5562863076928284,0.5782531127412793,0.5816014915648986,0.6140138339354938,0.6332083308048948
rotD50,SA,0.05,-0.46336088820273635,0.7392635929539705,0.7197334079139419,0.9817027202843005,0.9860620453597674,0.9939218938903662,1.0,0.9885122812757979,0.97504303312151,0.9560697824348569,0.941048596350872,0.9138713259566199,0.8873331758956701,0.8627233688410445,0.8517176660658494,0.8385324573409464,0.8133484522352581,0.762658838040569,0.7227779449701779,0.7006069070303759,0.6854620488999827,0.6625967497773364,0.6409302763017901,0.6142209488818148,0.5906862332905265,0.5852466539498421,0.5830295843811237,0.57729087755941,0.5383432220837934,0.502309583282971,0.5214128682060801,0.543184241154086,0.535379729860234,0.56046429224097,0.5681802845077141,0.6010328418518301,0.6201105030446536
rotD50,SA,0.07,-0.48053594752114875,0.6983782648470525,0.678844759823605,0.9734748166360753,0.9763552167030501,0.9832918220260407,0.9885122812757979,1.0,0.9881393956818587,0.9655504907462679,0.9393966991951982,0.9031106123952177,0.8725025956701786,0.8423371051494614,0.8280568508407254,0.8116405607415158,0.7827940236898974,0.7286424204172763,0.6841013011790872,0.6600411631273757,0.6437226555490885,0.6184508028671917,0.5954841760174641,0.5675936623224579,0.5426959729709719,0.5365595230089253,0.5348413001689483,0.5287562646619604,0.48751897821560036,0.4462490596227749,0.4697912278208385,0.49177870132897633,0.4862310533360876,0.5148613342375465,0.5265404185543853,0.5636019414264285,0.587578553270472
