,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.44139606650104046,0.7998800192343121,0.716785436607562,0.9103639921644326,0.9049653916962537,0.8814681978299895,0.871141256535418,0.8467435925568633,0.8341730317603798,0.8710837279461697,0.9092931422598552,0.9115894395286612,0.9122768304321638,0.9017858807741264,0.9014185356465203,0.8934059355719128,0.8755348928401373,0.8545623192441916,0.8308701195526407,0.8215149635950452,0.81384062897386,0.7995426032123014,0.7966042146543191,0.7730808223076788,0.7668944286276553,0.75549778384294,0.746036195480198,0.7466629931884546,0.7259353257297672,0.6929038836299566,0.7134744318972693,0.7114979566212579,0.7134128754905592,0.7180683641848415,0.6503931415359769,0.6604286424902372,0.6633072250061243
GM,RSD595,None,-0.44139606650104046,1.0,-0.02703599116972807,-0.022446525996624233,-0.2791116072417209,-0.27462077981015276,-0.25785651434634543,-0.2738551685346332,-0.2522334837678212,-0.24727762801237613,-0.26611314034578953,-0.3175554327551967,-0.28466503054094217,-0.237656495494919,-0.19087963134655558,-0.1800192596428071,-0.16380152766890374,-0.1327237788338752,-0.07476622311703215,-0.052216953431740404,-0.0454987013037663,-0.03613966141903063,-0.022810809284216176,-0.017195715833700696,0.011670897239699836,0.018139866165591243,0.012077203802746973,0.01092992358085613,0.009212808720369321,0.016012658401037824,0.027706945339480173,-0.00029061823965216744,-0.01340935928151874,-0.1602484097773909,-0.17249481782332254,-0.08686701892056553,-0.13629146747023452,-0.18048789377252944
rotD50,"AvgSA([0, 3])",3.0,0.7998800192343121,-0.02703599116972807,1.0,0.9682851424308202,0.8352624379529673,0.8296143517206108,0.8010154358976397,0.7737061543328791,0.7474065725371716,0.7346745206305029,0.7725753569261585,0.7901004019254134,0.8160958521359062,0.853718445938167,0.8763221477924581,0.8964229447679561,0.9128216953693874,0.932824850640765,0.9550682018118078,0.9686367063459518,0.9708545693387229,0.973708986916765,0.9774395976463496,0.9806619424916161,0.9823625736770905,0.9828543734727181,0.9840125607863327,0.9823578980162594,0.9823797415044102,0.977860462225468,0.9699928570533527,0.9568149353486534,0.9445623583381184,0.934954841836622,0.9231410975185512,0.8731752783719721,0.8423720557172842,0.8125278906770924
rotD50,"AvgSA([0, 6])",6.0,0.716785436607562,-0.022446525996624233,0.9682851424308202,1.0,0.7770090542496365,0.7764725287462524,0.763033380242643,0.7348447903362053,0.7159889220763761,0.6832169659322582,0.7103968243944726,0.714038054152298,0.7212515497684829,0.7407391118112535,0.7499856951174516,0.780072615606169,0.8101243153810727,0.8445445838032817,0.8786424978682634,0.900539796474185,0.9066720429416537,0.9150065036894708,0.9276450028905121,0.938225777096111,0.9375283387697009,0.9464879194692449,0.9568185032199303,0.9633820973192142,0.9664810076005257,0.9741954832787268,0.9720203049145285,0.9779135413367076,0.9705943319063589,0.9786233196557966,0.9679286813027119,0.9490407804627713,0.9253485656819997,0.9004187476003167
rotD50,PGA,None,0.9103639921644326,-0.2791116072417209,0.8352624379529673,0.7770090542496365,1.0,0.9991793137924846,0.9896137474429795,0.9850216957551865,0.9717829830197169,0.967399824414497,0.9788046837791989,0.9727003968115617,0.9627171182048584,0.9607836274690937,0.9453944047957289,0.9318977816110348,0.9154401937949589,0.9003141638510516,0.8741722388257834,0.8490281214601196,0.8427495627567995,0.8414882787684784,0.828738017010122,0.8243033002537145,0.803242940862719,0.791977639532167,0.7765085715242388,0.7629577650117366,0.7652522209766293,0.7533712250664034,0.7393770398782842,0.7572793305278489,0.7596430701415292,0.7515204679882307,0.7571107726744483,0.7131766155916525,0.7109349702638253,0.7118522472641902
rotD50,SA,0.025,0.9049653916962537,-0.27462077981015276,0.8296143517206108,0.7764725287462524,0.9991793137924846,1.0,0.9933806235906367,0.9888759294737395,0.9743327173198799,0.9684743203056103,0.978202806124371,0.968708679403761,0.956631326613148,0.953370268289578,0.9383023880015181,0.924509608389408,0.9077050535126876,0.8920835719417718,0.8656371159623402,0.8411427192506804,0.8351385070134054,0.8342670018853716,0.82201971093777,0.81800834517658,0.7976813350087154,0.7865375987975124,0.7710611985302311,0.7574853801444006,0.7595994659086198,0.7489272570180965,0.7354840648767897,0.7540892403351319,0.7565886540726413,0.7496775987754394,0.7557415560294451,0.7139032360797896,0.7118675135655089,0.7120530202831847
rotD50,SA,0.04,0.8814681978299895,-0.25785651434634543,0.8010154358976397,0.763033380242643,0.9896137474429795,0.9933806235906367,1.0,0.9974086858227116,0.9839793368615902,0.9716700999756607,0.9718184922799822,0.9483334115130725,0.931399487698358,0.9267823556384622,0.9121147697347617,0.896877360059525,0.8791733996321314,0.861384134870116,0.8317849230679768,0.8071615359926877,0.8011165307812853,0.8009394633265211,0.7889751578283105,0.7862805561887215,0.7676856041194443,0.7564579215710214,0.7406284123209051,0.7280589523957238,0.7310201512449983,0.7242354255462761,0.7136780411025171,0.7332209802815718,0.7371365815577317,0.7315752186183246,0.7410223975106176,0.7157771022348259,0.7164253222083535,0.7188880295024511
rotD50,SA,0.05,0.871141256535418,-0.2738551685346332,0.7737061543328791,0.7348447903362053,0.9850216957551865,0.9888759294737395,0.9974086858227116,1.0,0.9889681362866706,0.9764381812256523,0.9725435982365979,0.9436802441121617,0.923015688337966,0.9169232290462286,0.8986669669958671,0.8814931342999829,0.8611575902989405,0.8413741240763513,0.8085526580766617,0.7814539569193045,0.7748566106655432,0.7741270474463557,0.7612031175488435,0.7585380362195008,0.7389394869998415,0.7266830096587613,0.7106922894868101,0.6980765107455357,0.7016378811545424,0.6950350013991441,0.6851105032572995,0.7057410772934505,0.7108002524656224,0.7058096353723929,0.7165172833984472,0.6950026062727437,0.6977789583755878,0.7044264449668759
rotD50,SA,0.07,0.8467435925568633,-0.2522334837678212,0.7474065725371716,0.7159889220763761,0.9717829830197169,0.9743327173198799,0.9839793368615902,0.9889681362866706,1.0,0.9876450591385795,0.9703642146124463,0.9335411964145868,0.9066939583078092,0.8979276296552986,0.8719394624250791,0.8557969057893421,0.8340064436731478,0.8147435916252882,0.7833439396308457,0.7553416481756123,0.7480106362831462,0.7472102456154839,0.7340529869333071,0.7319874612375563,0.7130576890467822,0.7011315743522547,0.6830432797021136,0.6709321560031996,0.6758065760166528,0.6690177751072381,0.6609188808453434,0.6875359042571056,0.6938290665367705,0.683389142395171,0.694938702111606,0.6844911577471978,0.6862638658490421,0.6929149006790999
