,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0000000000000002,-0.1579371374989101,-0.1308258802518796,-0.33363290399148376,-0.32277844656986365,-0.29775218232187495,-0.302636505530843,-0.29507249850118594,-0.29736991471902324,-0.3074637772677372,-0.33625971259365867,-0.32343102340714497,-0.30447009736762454,-0.2757180812479176,-0.2676239625432864,-0.25646448369548513,-0.24323069743758569,-0.20966449904293064,-0.18430340154228866,-0.17618297995451573,-0.16808613088453875,-0.15364292340539418,-0.14245448848827236,-0.10587678257288129,-0.09524027493457538,-0.09292727746636481,-0.09156477595240696,-0.09349840489297365,-0.09118010963660793,-0.0874573469645109,-0.11552677919587707,-0.1266288647531205,-0.15354483573922995,-0.16419191646285303,-0.1424312024996362,-0.18140018119298454,-0.21121795030822021
rotD50,"AvgSA[0,3]",3.0,-0.1579371374989101,0.9999999999999993,0.8614786881757024,0.7830983907129948,0.7682119345418219,0.7230924540339861,0.6998173735349129,0.6744516385816877,0.6709726312482939,0.7182324057835295,0.7506114940528044,0.7893518820229403,0.8305842244687993,0.8541033047749405,0.8765908203402173,0.8931486134953431,0.912153090302445,0.9377324003582199,0.9533905888807462,0.9571973751287738,0.9601744941641441,0.9650675084791306,0.9659255445900821,0.9682857083567277,0.9661927768056136,0.9630524728814418,0.9596311587927443,0.9561574338910133,0.9561981038075195,0.9509573480094352,0.9325411476046143,0.9245846173458658,0.8619294861243004,0.8560286188144748,0.7768304913908238,0.7643102724871911,0.7470520287604884
rotD50,"AvgSA[0,6]",6.0,-0.1308258802518796,0.8614786881757024,1.0000000000000002,0.6485651063663332,0.6406950226272393,0.6134697388163454,0.5936525478145711,0.5719607241446102,0.5515423522174389,0.5916603315226592,0.6034251092610897,0.6248054926106125,0.647579687811835,0.6637958735913932,0.6903442957628396,0.7180217300244861,0.7351203777672827,0.7573267410568437,0.7767325684038057,0.7859857187522153,0.7970810474109685,0.8129181619740689,0.819934884835946,0.8324951674177409,0.8264889532211593,0.8291859960277639,0.8324983438801318,0.8291329899489608,0.8487334688374438,0.864657497438944,0.8806891395038209,0.8841456854461107,0.9154808658761459,0.906627322338784,0.9511987044881592,0.9372810678152043,0.9187514905166916
rotD50,PGA,None,-0.33363290399148376,0.7830983907129948,0.6485651063663332,1.0000000000000002,0.9982346435306564,0.9841701125296268,0.9758541570718723,0.9657511883801934,0.9644351440791514,0.9736567047684086,0.9681919295588874,0.9503637322620077,0.9388046419594777,0.9203623736910743,0.9013441293344183,0.8848992237330149,0.8694436708881023,0.8368384520101039,0.8052490367831175,0.7893922031069259,0.7790144569446126,0.7549049788875151,0.7355208265083097,0.6993159568084881,0.6796657907970595,0.6589803379141421,0.6495452530992071,0.6477621461447738,0.6466358002059052,0.6390399986509727,0.6488729970777349,0.6552644838244642,0.5967956787781541,0.6083918757596054,0.5772760530089496,0.5932748385741757,0.5983583991431976
rotD50,SA,0.025,-0.32277844656986365,0.7682119345418219,0.6406950226272393,0.9982346435306564,1.0000000000000007,0.9907930237802282,0.9827689046240491,0.9712461951749508,0.9677232824167864,0.9722993121749609,0.9627095475522829,0.9404355803684438,0.9261503836486464,0.907673849175638,0.8878604806115948,0.8711307256181086,0.855052139878163,0.8215930704802786,0.789393813568011,0.7733057978883064,0.7627545027585331,0.7379300822978376,0.718752597365927,0.6827297418554519,0.6633201865529605,0.6427074864345492,0.6337713805439977,0.6318603146536796,0.6318670977222554,0.6257398132515909,0.636605580375208,0.6430709011643614,0.5871437902048088,0.599144992966436,0.5716195937921803,0.5875894416466796,0.5917817847599782
rotD50,SA,0.04,-0.29775218232187495,0.7230924540339861,0.6134697388163454,0.9841701125296268,0.9907930237802282,0.9999999999999997,0.9940808592440237,0.9798771926574958,0.9679182305273093,0.960407753756315,0.9400069741557074,0.9081312693846272,0.8886880441065995,0.8699718190091523,0.8487325218776164,0.831700670570831,0.813755838679993,0.7783494132291856,0.744492856303922,0.7281449481961707,0.7176047869446457,0.690673371019809,0.6718856910441849,0.6361101150406924,0.6171444475986293,0.5961762498757017,0.5884016639097708,0.5867723091097448,0.587857328176587,0.5841990683191554,0.5983614932002627,0.6055043278520112,0.5565749853651544,0.5703719719951852,0.5529647188515933,0.571124056929305,0.576119788598584
rotD50,SA,0.05,-0.302636505530843,0.6998173735349129,0.5936525478145711,0.9758541570718723,0.9827689046240491,0.9940808592440237,0.9999999999999992,0.9862586328628506,0.9706815917550901,0.9560876937711329,0.9291690983208701,0.8931661734720828,0.8726180158547935,0.8498558567869832,0.8281323129744816,0.8112420164404488,0.7929817254397168,0.7552249380390769,0.722709924874758,0.7065532347145148,0.6958486806811368,0.6682554793754272,0.64949360713598,0.6132685775999682,0.5939813012972383,0.5727076706628684,0.5645943328503007,0.5631789496758303,0.5631086642777039,0.5601555554968705,0.5755740168551371,0.5828164696337966,0.5389374143414803,0.5531387098102922,0.5352628196400318,0.5540808954187493,0.5610995652254206
rotD50,SA,0.07,-0.29507249850118594,0.6744516385816877,0.5719607241446102,0.9657511883801934,0.9712461951749508,0.9798771926574958,0.9862586328628506,1.0000000000000004,0.9823476711097886,0.9563450901974262,0.9228623417500655,0.882840439376039,0.859295467838992,0.8308234335100126,0.8079315068569766,0.7890135290555162,0.7706377688572513,0.7335122907013291,0.7002221683938984,0.6830610650213829,0.6723808885359103,0.6449315195594292,0.6266810455489841,0.5903764619797617,0.5717950339667169,0.5486459486222337,0.5400008013073025,0.5385342402226847,0.5372266262684137,0.5353738541711964,0.552481981721556,0.5597893170835853,0.5193464164396062,0.5335518971393626,0.5179154705229451,0.5367215234691747,0.543308766884888
