,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.4579961614094143,0.8316697044237538,0.8202684105356712,0.8760430993604966,0.8679942860331621,0.8477154526834045,0.8407765602181119,0.8219632029631462,0.815707147679999,0.837150231709328,0.8506505400382371,0.8637750128446466,0.866620862709168,0.8573840786397512,0.8588175038332644,0.8588130899606112,0.8519882153890292,0.8404154296073381,0.8215505700953137,0.816933618408647,0.8135435061737675,0.8014441136685642,0.7889047209040694,0.769124065647526,0.7611239644140478,0.7535290494933617,0.74873048803425,0.7483002216732542,0.744511539191251,0.7261212646017197,0.7243350689366383,0.7355891338128197,0.7257227338917241,0.7291016532831175,0.7190390559742753,0.7400867241652239,0.7524581780059709
GM,RSD595,None,-0.4579961614094143,1.0,-0.21723082158766763,-0.2128149700977495,-0.3881554198926454,-0.3791573151478287,-0.35296117766631246,-0.36041539456082794,-0.3548518811277342,-0.354733100536424,-0.37061690249598045,-0.39417026604144073,-0.38198536175896003,-0.35321690045516885,-0.3217438597815585,-0.30563089634630175,-0.2916611883134807,-0.2794621697845325,-0.24901667340877345,-0.21858408778836932,-0.21061244782737915,-0.2025418539766854,-0.19338370999641785,-0.18233521274776807,-0.15052401699607604,-0.13628226352473932,-0.13614868700816685,-0.13802679660377457,-0.14145720859778488,-0.14416126974984123,-0.144899626588915,-0.1680899363030047,-0.18676223408923567,-0.21032051555067596,-0.21819706380866077,-0.19812529641897283,-0.23656233028336807,-0.267967926565392
rotD50,"AvgSA([0, 3])",3.0,0.8316697044237538,-0.21723082158766763,1.0,0.9880832899895073,0.8343552873933316,0.824685306457493,0.7924469013092821,0.7701810721993958,0.7476658268806046,0.7389067965100085,0.7745273037911112,0.8010485962071868,0.835759005031608,0.8684825162189136,0.8918218473069979,0.9092572615247387,0.9206504615213743,0.9341581608855882,0.954075201047262,0.9658413550591022,0.9692752197346123,0.9717754783887752,0.9742230847130587,0.9756084731188402,0.9748606807384793,0.9752145117743803,0.9759962503704509,0.9750386188801701,0.9746051339260378,0.9684616252803805,0.9610155776796381,0.9540693691511369,0.9484825649854784,0.9409420999029049,0.933742421398748,0.90946163054129,0.8944400586968525,0.8790280535183991
rotD50,"AvgSA([0, 6])",6.0,0.8202684105356712,-0.2128149700977495,0.9880832899895073,1.0,0.8157817944044089,0.807466317360731,0.7790971900533361,0.757646682353234,0.7339337924578425,0.7207429302798203,0.7543335363903786,0.7778797742981498,0.8084414559398383,0.8371880363714244,0.8585371356736684,0.8768278104233096,0.8895771310592222,0.903271871142839,0.9225464613468775,0.9365726028491105,0.9406849151875527,0.9436777430885035,0.9452687462070667,0.9471989883755881,0.9520309200051862,0.9571730451185578,0.9629565993698417,0.9672854399245783,0.9710089407409452,0.9780220186511052,0.9798151071952464,0.9814303071890271,0.9822296845488266,0.9803359421355338,0.9768153009415321,0.9616689347797995,0.9471819014197401,0.9312777034530605
rotD50,PGA,None,0.8760430993604966,-0.3881554198926454,0.8343552873933316,0.8157817944044089,1.0,0.9986243831919778,0.9870941064253037,0.9797039251045387,0.9717225501486088,0.969890604737199,0.9755795447193462,0.970527406082183,0.9561263700038898,0.9468964070170524,0.9290951381415327,0.9136684424548879,0.9008821636877237,0.8877850247821922,0.8582491241396788,0.8303043139776871,0.8170367936831278,0.8097190598733479,0.7922324807946527,0.7773209378777646,0.74685935932372,0.7295381674857376,0.7182227293925268,0.7139363012763141,0.7145640473959316,0.7105709918341897,0.7121048171195978,0.7208145378165135,0.72966481562038,0.7280890188954209,0.7377595982304126,0.7338374510328535,0.7498373853029855,0.7617874172131217
rotD50,SA,0.025,0.8679942860331621,-0.3791573151478287,0.824685306457493,0.807466317360731,0.9986243831919778,1.0,0.992284515525037,0.9852828499805282,0.9760781182457575,0.9720990582172481,0.9738878914358726,0.9649227424047243,0.9469911197212003,0.936599237257329,0.9186475697771019,0.9030488614642552,0.8904347724959845,0.8771752848755683,0.8467810148713817,0.8187297822302393,0.805418443635326,0.7982368446472341,0.7804191463454497,0.7659963060024025,0.7357538503861283,0.718670239582127,0.7076343813174715,0.7038231791286179,0.7045765796285974,0.7010138987966187,0.7027039106307287,0.711428456872807,0.7199793710563251,0.7205544511173847,0.7305556838390418,0.7262590563656572,0.7419755328146401,0.7531990993382113
rotD50,SA,0.04,0.8477154526834045,-0.35296117766631246,0.7924469013092821,0.7790971900533361,0.9870941064253037,0.992284515525037,1.0,0.99489570088189,0.9830351191210757,0.97159616975535,0.9626715612096074,0.9435846339228776,0.9181122574220756,0.9052311317156724,0.8872997161851128,0.8714777181394783,0.8593291494178741,0.8450156478132024,0.8130285234859913,0.7843482288846443,0.7710685314208214,0.7644687022855715,0.7450569461916476,0.7309798782147587,0.7013015855748642,0.684203646157001,0.6728137101751036,0.6697581393845498,0.6709246643479866,0.6676860608620536,0.6695124097796921,0.6792309399435644,0.6878634313100535,0.69010904103793,0.7020096860737436,0.6993954386654495,0.7168315257888972,0.7292533604926628
rotD50,SA,0.05,0.8407765602181119,-0.36041539456082794,0.7701810721993958,0.757646682353234,0.9797039251045387,0.9852828499805282,0.99489570088189,1.0,0.9884751359799177,0.9737524884424202,0.9581361602782162,0.9341635613996401,0.9048628995826754,0.8905381359561252,0.8689352905693981,0.8523786963658313,0.8399833239204647,0.8251815220033578,0.7910797397531362,0.7629951100181234,0.7495904682774431,0.7426069603082956,0.722580587137173,0.7082795892895554,0.6780496635627538,0.6602879435715393,0.6484054192890368,0.6451003432468359,0.6465168805298552,0.6424214536737001,0.6453282390197578,0.656192929044184,0.6655464552806211,0.6700260843696534,0.6822605821781366,0.6783756796151313,0.6974765919238934,0.7121205492897928
rotD50,SA,0.07,0.8219632029631462,-0.3548518811277342,0.7476658268806046,0.7339337924578425,0.9717225501486088,0.9760781182457575,0.9830351191210757,0.9884751359799177,1.0,0.9843817285218219,0.9600457811477485,0.9317786988989528,0.8986557893577551,0.8803492999207031,0.853320283926363,0.8352689874998933,0.8211521926950793,0.8055463965619529,0.7717759449600358,0.7425057324136698,0.7280291987105311,0.7204486880627491,0.6999746149149191,0.6856767921909106,0.6550632101812695,0.6372280057330121,0.62356350153817,0.6198276289175183,0.6207263902389766,0.6158747141012159,0.6220077079198251,0.6352896415564429,0.6444974601223791,0.6495580571565502,0.6614001752410746,0.6579726929904641,0.6778529657088241,0.6919706393272849
