,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.5595201984583311,-0.523799899287359,-0.47955674640223867,-0.47324053434911867,-0.4579779543063504,-0.4397575644553616,-0.43140104785092087,-0.44982011577276854,-0.4485568335265123,-0.4447335689817831,-0.45694302074833304,-0.4578439535303249,-0.4579982490457709,-0.4756386219830253,-0.4628892348445291,-0.4730545995384572,-0.5095254103465737,-0.524779299784554,-0.5268653119112253,-0.5214626005329603,-0.5193328785390868,-0.5164059875868371,-0.5171003335331157,-0.5256442585597298,-0.524954410729087,-0.5264722617373112,-0.5193973541076755,-0.5072032885219926,-0.5388536045287232,-0.5026151879843115,-0.4695108332800303,-0.4495365125055325,-0.4019174915690684,-0.3062304898770159,-0.25655906674650575,-0.21716715341651638
rotD50,"AvgSA([0, 3])",3.0,-0.5595201984583311,1.0,0.9616153662326721,0.945654617234597,0.9435507533253792,0.9372501535189748,0.9282619497110624,0.8984455933697074,0.8805050749916796,0.8979028742545319,0.9259333511705266,0.9418482084978844,0.9539149990323312,0.9562836517112265,0.9623022319100686,0.9700224253972072,0.9774405639765371,0.9796226424321375,0.9863444717313293,0.9887024134595979,0.989271404504613,0.9904308075364593,0.9908066662147973,0.9902063858504229,0.9881914390076039,0.9880810393270544,0.9873056466420774,0.9862386799639997,0.9877635918764069,0.9893683940003516,0.9674968787896119,0.9380235580176037,0.8816855326071315,0.8375528190120433,0.7389289413035576,0.6738676059549448,0.6222433873865078
rotD50,"AvgSA([0, 6])",6.0,-0.523799899287359,0.9616153662326721,1.0,0.9608024654637004,0.9599478741727905,0.9559564891276843,0.9405507393596829,0.9234788805029623,0.9152952955705005,0.9477417719352683,0.9612442270090856,0.9638353897487844,0.9515469000275788,0.9313150328126363,0.9300577698805188,0.9313944748526527,0.9256576909182845,0.9176585974392178,0.9258924208292717,0.9298823350654034,0.9299748287325994,0.9368546516633585,0.9387133420087803,0.9385067185677113,0.9318875067931665,0.9307683896768855,0.9334433133022337,0.9376659498995141,0.9550877745058952,0.9772160580139326,0.9904373308360908,0.9839783802509917,0.9678227819308348,0.9417466238987199,0.8857014409080588,0.838106280149796,0.7980321012667193
rotD50,PGA,None,-0.47955674640223867,0.945654617234597,0.9608024654637004,1.0,0.9997220997280732,0.9951555052707699,0.9929834459248249,0.9838386728320709,0.9716695213285202,0.9784882807739106,0.9880560755855112,0.9844440153897195,0.9754679907267482,0.9688075717697361,0.9657451199020228,0.9625904681059455,0.9554017485735228,0.942252198071682,0.942826765475722,0.9375814415118331,0.933192077956891,0.9276941111735953,0.9275026313906859,0.919471535396915,0.9103335170522289,0.9097452401803381,0.909537864238655,0.908964036861675,0.9097640148035162,0.930870811291605,0.9309093588835665,0.9214478374509202,0.9079258255722724,0.8779263007808701,0.8068116298614272,0.7554633418123852,0.7121998384987308
rotD50,SA,0.025,-0.47324053434911867,0.9435507533253792,0.9599478741727905,0.9997220997280732,1.0,0.9966108499193822,0.9943135155141037,0.9854237054791876,0.9730105746136753,0.978141583169218,0.9870953554090333,0.9825265867000927,0.9736933969400382,0.9675544220860679,0.9644258811641157,0.9616457287309791,0.9541390951841414,0.9408512341290018,0.9410639482612905,0.9355450204795283,0.9311722295764178,0.9253660039099851,0.9250068544509968,0.9167745591107873,0.9074070428662075,0.9068995769463423,0.9068867850573971,0.9064142192913556,0.9078247490830188,0.9296481181001103,0.9299539486759253,0.921096811937892,0.9085816697914102,0.8790010203181072,0.8074141996977233,0.7560119877961144,0.7128407096742406
rotD50,SA,0.04,-0.4579779543063504,0.9372501535189748,0.9559564891276843,0.9951555052707699,0.9966108499193822,1.0,0.9963857643672134,0.9882570645765132,0.9758328196415299,0.9709373600815352,0.9782925956714604,0.9726119454740757,0.9653748102485367,0.9629796318059597,0.961241126623343,0.9600052731377497,0.952453671956658,0.9390668253419471,0.9382441565411552,0.9322215144414253,0.9277990664487578,0.9209180595636176,0.9201171993573534,0.9110236902581115,0.9015578579945577,0.9012219973037566,0.9014474423800093,0.9010219411013299,0.9033848786841261,0.9260196770315727,0.9259248953865205,0.9185024444018618,0.9072614509982581,0.8774732570323464,0.8028877576285945,0.7499584028087135,0.7062438349016329
rotD50,SA,0.05,-0.4397575644553616,0.9282619497110624,0.9405507393596829,0.9929834459248249,0.9943135155141037,0.9963857643672134,1.0,0.991156260824175,0.9769001888943903,0.9704212758023352,0.9743623861744103,0.9668084584859447,0.9602411891851672,0.9605612442693658,0.958976412587882,0.9568024987372358,0.9493756014424725,0.9356733371295537,0.9331315150462329,0.9253309696885635,0.9202712725215592,0.9110465269929906,0.9098703175706767,0.8993305460549039,0.8891190215363993,0.8884878099616182,0.887217553747209,0.8861838485457123,0.8861594393093196,0.9107904834588983,0.9050532926685347,0.8955395036539711,0.8863294859409961,0.8550701320402244,0.7750179692159018,0.720483013477454,0.6757836814784252
rotD50,SA,0.07,-0.43140104785092087,0.8984455933697074,0.9234788805029623,0.9838386728320709,0.9854237054791876,0.9882570645765132,0.991156260824175,1.0,0.9874025675092203,0.9684555042006564,0.968185845321611,0.9545604410367636,0.9417966159286416,0.9408357314151348,0.9378511716637655,0.9342108106516785,0.9235795613053946,0.9082656973874887,0.9065457148393498,0.8984506812160106,0.8925643329523201,0.8824423995138301,0.8809154039581849,0.8702848408302694,0.8595387663692193,0.8593108288315024,0.8588561405630022,0.8588995018929584,0.86013853430185,0.8884937065678487,0.8893277529990201,0.8878139804407073,0.8863148952683184,0.861249037573606,0.7901990180644757,0.740595692129546,0.7002141243105319
