,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.2946376682849237,-0.3552649730409928,-0.2432362470456518,-0.2276796410484369,-0.1657059739545984,-0.17644764899034343,-0.22146243890559153,-0.24480448486235057,-0.23248018304051915,-0.2502750069129042,-0.24432377150627754,-0.2329868100910128,-0.225000070728035,-0.2150490281974452,-0.22658707592112454,-0.24715066801515936,-0.25302926446574875,-0.24204559048999263,-0.22870105500345758,-0.20984162382575583,-0.20279126105273496,-0.21446897730835796,-0.24185473830505755,-0.2581302690180934,-0.2618032606117182,-0.2639601053768914,-0.2648404131721329,-0.28244307203770397,-0.32201368000374647,-0.3427551776438566,-0.3541464227570036,-0.3622042249359643,-0.36887247376387117,-0.3480052426308544,-0.35081073171853705,-0.3666899073222994
rotD50,"AvgSA([0, 3])",3.0,-0.2946376682849237,1.0,0.9726996029135949,0.7956297900731072,0.7792787731287698,0.725474409778467,0.7165680655789703,0.7029513878375335,0.7117461126134728,0.7840915154762561,0.8008538303761124,0.8266028860980676,0.8576034932167934,0.8998851743282879,0.9209819933919604,0.9326766473548262,0.9389664938682841,0.9428211498173331,0.9477829263635054,0.9496561427828378,0.9519447228006319,0.9597088737068636,0.9627111308280577,0.9647900109330777,0.9604993864810226,0.9648962662372562,0.9726727293260538,0.9763849476429193,0.9769692262384353,0.9825532768542743,0.9749656846747289,0.967589887713334,0.9459405956620461,0.9444762446074163,0.9379332800921281,0.9406835519984729,0.9405630879762722
rotD50,"AvgSA([0, 6])",6.0,-0.3552649730409928,0.9726996029135949,1.0,0.8028325004817597,0.7905865264618742,0.7493125606661992,0.7427985101817817,0.726315058375231,0.7308020042872054,0.7953844022132396,0.7757673066288321,0.7681295453870235,0.7637644470259833,0.8027207820107238,0.8276026133832554,0.8438004579663428,0.847498744571822,0.8506352386655504,0.859969150044575,0.8655543536037963,0.8710087900481209,0.8947980485270768,0.9001080382765405,0.906191630720312,0.9036699956954924,0.9122566318112885,0.9260247567497105,0.9375947963863285,0.9516656082655944,0.9709269152119371,0.977134005894956,0.9749189013614675,0.9836770139289699,0.9841203240178441,0.9843388190858555,0.9826539273682252,0.9790039102225129
rotD50,PGA,None,-0.2432362470456518,0.7956297900731072,0.8028325004817597,1.0,0.9989470599552743,0.9810545996948424,0.9848202698981551,0.9773054354315301,0.9829971411644403,0.9812953944101431,0.9545543082757146,0.9222861791158627,0.849122608057439,0.803724770426115,0.7610599840674434,0.7161985012216601,0.6825801747403883,0.6527337043132022,0.6428105265760115,0.6410708558343754,0.6501812721541174,0.6753425845585415,0.6760133978171498,0.6785674319868621,0.6606326030495993,0.6678269720891317,0.6883318234303168,0.7097766240768856,0.7458194260854356,0.7686430661041265,0.7805117180120001,0.797107661550085,0.7832173608090685,0.8058581464324951,0.835220819746737,0.8531142880066878,0.8656108825311519
rotD50,SA,0.025,-0.2276796410484369,0.7792787731287698,0.7905865264618742,0.9989470599552743,1.0,0.9884418110210008,0.9906099067550974,0.981720375314233,0.985056180936788,0.9765891204473724,0.9451794755429982,0.9102254330001865,0.833280722959296,0.7850358770868247,0.7409795023427261,0.6950267573593144,0.6607618989916656,0.6313065649680755,0.6220347486701947,0.6205133490502481,0.6301784121097097,0.6564820911909345,0.6580614765177853,0.6615558845138398,0.6437147328126803,0.6509079152567987,0.6716048182759784,0.6930693399189051,0.7300480636036156,0.753075556295094,0.7652750236947126,0.7827386667147592,0.7705713703175175,0.7935994331361501,0.8249632271967158,0.8427681970390425,0.855289479656852
rotD50,SA,0.04,-0.1657059739545984,0.725474409778467,0.7493125606661992,0.9810545996948424,0.9884418110210008,1.0,0.9954862777148656,0.9818974934339306,0.9770485341566744,0.947722423461746,0.9033945762248297,0.8616535877596164,0.776870493040284,0.7223595345777333,0.6766240235724378,0.6296109191025608,0.5945814735635496,0.5676462095889787,0.5614082737875772,0.5609315848769914,0.5722749389121574,0.6004843375458705,0.6044215238488373,0.6093181271190985,0.5921207224527931,0.5992939550891891,0.6210027823146363,0.6412059997894802,0.6795533470602149,0.7011029654767673,0.7137978440624614,0.7335790041896068,0.7282034232881256,0.7517331318070278,0.7894102175318659,0.8067828501201829,0.8179810808595795
rotD50,SA,0.05,-0.17644764899034343,0.7165680655789703,0.7427985101817817,0.9848202698981551,0.9906099067550974,0.9954862777148656,1.0,0.9878448000640729,0.9842322903524824,0.9583940033546696,0.9139343726915928,0.8672966386047374,0.775052797679249,0.7162901354100781,0.6667699959978729,0.6185262400037573,0.5828658589199032,0.5554312711205417,0.5470676096545312,0.5456574540137623,0.5566585114157574,0.5864306383589772,0.5895514987624828,0.5951914213062804,0.5782457596243803,0.5863266084078141,0.6079699022712702,0.628451747413882,0.6686280029017284,0.6923265162227107,0.7091037523263923,0.728567290852597,0.7227634169568414,0.7462400524374392,0.7827023247368001,0.799835470692607,0.8102742365390333
rotD50,SA,0.07,-0.22146243890559153,0.7029513878375335,0.726315058375231,0.9773054354315301,0.981720375314233,0.9818974934339306,0.9878448000640729,1.0,0.9903170218696296,0.9486265532511807,0.9007543956877765,0.8532421659104557,0.7542167054749577,0.6959586479348725,0.6480591864923005,0.602340309540789,0.57095661569587,0.5402003309638028,0.5299336463628267,0.5264626705512121,0.5359980392931979,0.5640257132633004,0.5676216383403035,0.5789015932712442,0.5637223458263884,0.5704899307240394,0.5915057667535324,0.6133784279200716,0.6530129702582742,0.6812959819797022,0.6976298751226965,0.7178832210692816,0.7095277989977788,0.7326713035765361,0.7667645461793366,0.7818042591324448,0.7925814472172587
