,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,0.9999999999999996,-0.35701825041456564,-0.38313910580375266,-0.36567416640726236,-0.35157629948833113,-0.28884993433900014,-0.2871571634276885,-0.2996333631464277,-0.3303039663089478,-0.35305466429527443,-0.3749037010506627,-0.3763860698702142,-0.36554785992149114,-0.34633930104733057,-0.33911248938658894,-0.33493040458225115,-0.3391969546586849,-0.3356259266398525,-0.330120930939046,-0.3212043406715109,-0.3092741303646447,-0.30164368340291525,-0.30354754155832425,-0.31295157167494614,-0.32282101637052774,-0.3249600301589614,-0.332701656969169,-0.3328660001406863,-0.34081600158087494,-0.3595145114432456,-0.3820449017494323,-0.3944836095911877,-0.38183546432680765,-0.3830596127630085,-0.36683475126146825,-0.3648548556840373,-0.36856732846356755
rotD50,"AvgSA([0, 3])",3.0,-0.35701825041456564,1.0000000000000007,0.8764657297270058,0.786347417283941,0.7707998093845813,0.7091196889266486,0.6971427516558226,0.6572401749328014,0.6758811033550136,0.7540175160007172,0.8012490286848918,0.8426202765326731,0.8673864701918106,0.8908071321779049,0.9055292603938597,0.9173876345709419,0.9273393608503855,0.9421644816681548,0.9494806275746578,0.9499206036725826,0.9493208450628091,0.9541984639371274,0.9551212628527048,0.958105711860912,0.957603234544356,0.9588878193877233,0.9618929625738514,0.9624026923065843,0.9801540496826561,0.9804022661323871,0.9361631221900463,0.9187531764066986,0.8438270683385088,0.8248368317991712,0.7679785466550243,0.7469525035461327,0.7280217569182146
rotD50,"AvgSA([0, 6])",6.0,-0.38313910580375266,0.8764657297270058,1.0,0.7689813222200813,0.7583901347292754,0.7124198868367659,0.7017701222207327,0.6681302536857759,0.6828102046695732,0.7499578560062214,0.7654591885328194,0.7714565785240117,0.7641762305038327,0.7667802100333496,0.7760720654254799,0.7875992413825594,0.7933764809737931,0.8084728137017142,0.8112304913725378,0.8134524797855598,0.8137925521274639,0.8247095149421402,0.8240283234787698,0.8263575224977332,0.8167991188585428,0.8152490773017504,0.8161146854828574,0.8188897641081778,0.8492595711543081,0.8671890613062553,0.910623983492677,0.9125045973072491,0.9645491242333419,0.9581552942227214,0.9459166329936025,0.928022528113941,0.9112125514893132
rotD50,PGA,None,-0.36567416640726236,0.786347417283941,0.7689813222200813,1.0000000000000009,0.998788981918136,0.9761304932904227,0.9750446256229748,0.9591501590298469,0.9659460817599497,0.9666908802146901,0.9406397923906694,0.9045988151914789,0.8539282210341798,0.8141792801604233,0.7787571414220757,0.746379831464352,0.7271268382383238,0.7042530516467431,0.692298981847211,0.6863070863074534,0.687777239659526,0.697687055231179,0.6954577883598504,0.6913630968043264,0.6804169667253728,0.6847306779685081,0.6964807089307762,0.7093671831560738,0.7309363966585011,0.7639844739035553,0.7661725008367368,0.781519300398205,0.7539387991968214,0.7621666256473917,0.7510095471932535,0.7528206080565081,0.7507002210119439
rotD50,SA,0.025,-0.35157629948833113,0.7707998093845813,0.7583901347292754,0.998788981918136,1.0,0.9844266022279757,0.9824471837553702,0.965971685675661,0.9695619156943455,0.9623290558651971,0.9306956489728607,0.8919916022518309,0.8384253803797439,0.796505779462176,0.7600976211704726,0.7269662348422081,0.7072448173396881,0.6846168822826088,0.6728067843101802,0.666859358732555,0.6686083652567596,0.6792353335231196,0.6773449983672294,0.6736865661905469,0.6626767002792302,0.6669627604600867,0.6790907668583118,0.6921828651381542,0.7155481367291108,0.7493852378787671,0.7524345254453395,0.7685773879585833,0.7431458541350152,0.7521627501668154,0.7428784436806052,0.7450743486547333,0.7433088322522968
rotD50,SA,0.04,-0.28884993433900014,0.7091196889266486,0.7124198868367659,0.9761304932904227,0.9844266022279757,1.0000000000000004,0.9907481915167506,0.9732728254950398,0.9641239620061087,0.9305374417096093,0.8805829131729083,0.8341516982023555,0.7739485836287145,0.7270850451184414,0.6890090589044454,0.6544764756756869,0.6345555006187741,0.6142231072714192,0.6032619695453781,0.5976668117657753,0.6003214271616621,0.6128862775275954,0.6117417104584143,0.6088547247074568,0.5978416813429233,0.6018849123099321,0.6155200023388439,0.6283537385426783,0.6561825052533357,0.6910103365355069,0.6969127137643037,0.7155990726089889,0.6974054029402253,0.7084372260917073,0.7053017232865262,0.7086308158924218,0.7074214478553682
rotD50,SA,0.05,-0.2871571634276885,0.6971427516558226,0.7017701222207327,0.9750446256229748,0.9824471837553702,0.9907481915167506,1.0000000000000002,0.981608792731861,0.9721066711900522,0.9359711225240508,0.8814747680203407,0.829405413507321,0.7639229876572831,0.7144543508919349,0.6746672854553571,0.6402230834104259,0.6196886437305561,0.5996521112283636,0.5882824429186031,0.5821200873651328,0.5847844406817984,0.5978907405569314,0.5966192899078593,0.5937820630207243,0.5821499527061549,0.5864076034746725,0.5993273662079408,0.6122496067112515,0.6417918473647647,0.6784302387141097,0.6860490809974104,0.7035922872405512,0.6844176178764836,0.6954438234843042,0.6922806554356393,0.6954985700436213,0.6937073556363195
rotD50,SA,0.07,-0.2996333631464277,0.6572401749328014,0.6681302536857759,0.9591501590298469,0.965971685675661,0.9732728254950398,0.981608792731861,1.0000000000000004,0.9777864240077454,0.9219630095204523,0.8575090350285269,0.8005476947127024,0.7272061620779099,0.6757022471772345,0.6348068425942397,0.6001223755065215,0.5797038886558793,0.5571388688292629,0.5464585121763609,0.5391581695798354,0.5409420005447895,0.5527403765456063,0.5509506333740398,0.5511848551220834,0.5401878034695384,0.5445823435633567,0.557337385656167,0.5714150250810782,0.6024075138144871,0.6435312010405818,0.6536074377127393,0.6750884809581189,0.6561490324694633,0.6689175617358181,0.6687412604196973,0.6724491518521503,0.673135969711092
