,GM_IA_None_Delta,GM_RSD595_None_Delta,"rotD50_AvgSA([0, 3])_3.0_Delta","rotD50_AvgSA([0, 6])_6.0_Delta",rotD50_PGA_None_Delta,rotD50_SA_0.025_Delta,rotD50_SA_0.04_Delta,rotD50_SA_0.05_Delta,rotD50_SA_0.07_Delta,rotD50_SA_0.1_Delta,rotD50_SA_0.15_Delta,rotD50_SA_0.2_Delta,rotD50_SA_0.25_Delta,rotD50_SA_0.3_Delta,rotD50_SA_0.35_Delta,rotD50_SA_0.4_Delta,rotD50_SA_0.45_Delta,rotD50_SA_0.5_Delta,rotD50_SA_0.6_Delta,rotD50_SA_0.7_Delta,rotD50_SA_0.75_Delta,rotD50_SA_0.8_Delta,rotD50_SA_0.9_Delta,rotD50_SA_1.0_Delta,rotD50_SA_1.2_Delta,rotD50_SA_1.4_Delta,rotD50_SA_1.6_Delta,rotD50_SA_1.8_Delta,rotD50_SA_2.0_Delta,rotD50_SA_2.5_Delta,rotD50_SA_3.0_Delta,rotD50_SA_3.5_Delta,rotD50_SA_4.0_Delta,rotD50_SA_4.5_Delta,rotD50_SA_5.0_Delta,rotD50_SA_6.0_Delta,rotD50_SA_7.0_Delta,rotD50_SA_8.0_Delta,event_id,station_code,max_usable_T
0,-2.3284502433107903,0.9981483253705279,0.9413873336061869,0.9288865742580494,1.0755844683389029,1.0736457383595237,1.0833415821556525,1.1070221957489998,0.9791405996868043,0.7245293371521964,0.7464415957086032,1.1577346922924043,1.0709772492275729,1.0942940865618667,0.9338686509976064,0.8929454223712128,0.8800642184569227,0.9719598087985322,0.9325771472833821,0.8882652177128172,0.6301068815115709,0.6431626968236319,0.5716599324660017,0.5798529857348775,0.7444246972746367,0.9735108889739905,0.8689535452649189,1.1243133930350417,0.9321172873038677,1.0039053887219485,1.0722025151678114,0.8766135097955043,0.978015722271703,1.0579591666722035,0.8337821969007493,0.7493082255671073,0.6805853185489319,0.6335639616419009,AL-2016-0013,FIER,4.0
1,-4.3440619252291715,1.057733965507702,0.00924201653056933,-0.14135921515522476,0.2991491620309308,0.3076321010885259,0.40058761794261066,0.42175074641643384,0.28703502823961813,0.1039886449149936,0.22347131989211633,0.11519496477170854,0.16943400022482713,0.47361343511864895,0.4018497067151596,0.2716619167615395,0.19544754911147422,0.2823208836309732,0.19448252403637412,0.015971524472378817,-0.12463041530602226,-0.03443650902806006,-0.2808726606774137,-0.29874830514791206,-0.1591131916143329,-0.032357929390542495,-0.13610484681613677,-0.12916766721345674,-0.014744888421603264,-0.06983642498531495,-0.06174225540043743,-0.256308268051729,-0.14191138775864687,-0.39391425660029,-0.4903316246585838,-0.4060142006896026,-0.5141708841786521,-0.5443839801917782,AL-2016-0013,KBN,3.2
2,0.06098353490327835,-0.6937180200512754,1.9328703403677245,2.1582809770772,1.8684128191129066,1.8482108569043616,1.8451416299814056,1.8520119499193646,1.6227553216623427,1.6964357027919226,1.6130583370557807,1.5917373291191454,1.771692433129206,1.7861589236558921,1.7347134506151938,1.80876873678285,1.8875682474739324,1.9744246870800368,1.9225185850187136,1.953710754134867,1.953133647313836,1.9899609923195718,1.964147710700333,1.8848050370628062,1.7860565514346813,1.739461600296612,1.7474248788111986,1.7556235197805625,1.7897464757664476,2.1679031505531823,2.316297716769622,2.276878821001114,2.3587820071825636,2.442140938019592,2.4357839950119127,2.4702512332841735,2.520767983928864,2.5435886640052265,EMSC-19980224_0000009,ROD1,2.6667
3,1.0552763411072998,-0.7511304681903899,1.543602666294288,1.7528902794771746,2.0089584031327528,2.0094707384641555,2.0525834049858585,2.1734694325476367,2.136962421770447,2.2295588303749603,2.1552074336043647,1.9397447104036196,1.8183629424415177,1.6738819968470153,1.4662645011494972,1.474255029754504,1.3607308015331574,1.2521035774961713,1.2778806698940786,1.2576118108133105,1.2740156615555227,1.2889722385317706,1.250123444498537,1.2258340838565163,1.2748790824896545,1.4144694133378914,1.527767122410837,1.4702053883124693,1.5072190937042338,1.615583447665589,1.7687281142217852,1.8548717183595986,1.9198752519674622,1.992858715675255,1.9726560135647668,1.9952784439440103,2.042673891386495,2.064380702555342,EMSC-19980224_0000009,ROD2,2.6667
4,2.2168843529644873,-1.0834219463689998,2.448659089821887,2.6212403125875365,2.6898770660415643,2.6729170805909965,2.709789373765918,2.7399968951901617,2.6783805824945017,2.8307911351052173,3.2154760698789016,3.012166928389761,3.011426635782621,2.8854139915587202,2.690843537154235,2.5902311051783022,2.5824659844840134,2.567728120343206,2.4705146279623906,2.34627824754858,2.3259727004847615,2.3295168459901374,2.3027343902980593,2.2129294948712963,2.128971522358671,2.2173236111423655,2.2903172478264278,2.3173251168133717,2.330387972180466,2.4964346855965784,2.636222936279893,2.7288618333916395,2.786029573775128,2.8691310715087415,2.8496703839877906,2.8680765521984144,2.939646817386259,2.980067375954637,EMSC-19980224_0000009,ROD3,2.6667
5,-0.030543340287208842,-0.6572189536672282,1.7638692363971469,1.8321753596113197,1.5393435533603257,1.5266661684764138,1.5394731162219522,1.576543077776023,1.4064697523032068,1.6742658504296495,1.4322298368553787,1.5235248651366877,1.5064425999985733,1.790048759369351,1.907651311283065,1.8527606353810424,1.86810304195373,1.7761967666921845,1.7411034021775582,1.7122933381432413,1.679206288755564,1.6592875253420725,1.5998063037236907,1.5311733566784773,1.9056731991989566,1.973245410395854,1.8086735539902037,1.7755947290628686,1.7849395847435483,1.7564840676397804,1.8796321383211891,1.8383642693825237,1.8610441519020506,1.9203615953850175,1.9111175674826253,1.9648633818945092,2.0423147888451414,2.0916411051106856,EMSC-19980224_0000009,ROD4,2.6667
6,0.7721253996184227,-1.3460469544778704,0.6709310748917643,1.0711300656968241,2.0100605887755165,2.1008665714999872,2.458052637694805,3.187358669646282,2.6500838471022323,2.2079014075019856,1.6907469349584838,1.331858343777652,1.523589640607256,1.3484034985736861,0.9236284963772579,0.6925944746140034,0.539373443902182,0.4807088430686268,0.18608397411656696,0.028846557885569446,-0.06041218978198426,-0.04786521397991539,0.2893030366663236,0.22936322128622422,0.22554828905421065,0.28582394321716453,0.39963433957760763,0.46274438975735865,0.47929977457325457,0.5942967513908934,0.9026569666537849,1.147767906477685,1.348878469652652,1.4829690839796381,1.5490403044415384,1.6607623238476528,1.786302438382755,1.8729496625054978,EMSC-19980423_0000011,LXRA,2.0
7,1.1960880413725992,-0.6784721698011285,0.9084727165386406,0.7033627868323089,2.1825230277520866,2.174677463462289,2.1866058195342126,2.202624538567229,2.2960046497021707,2.2056518306962074,2.6745476244878152,1.8783607807688867,1.6437472307164538,1.7677313813337765,1.6371889433017617,1.7369201983815215,1.6694157374264442,1.5340204312561987,1.3924917105313943,1.184989915472379,1.1253761143954195,1.146310290714215,0.9888133049459018,0.9498164713567014,0.6879565418658116,0.6627254263424467,0.5737545496802356,0.5837131162973712,0.6036361137663713,0.34959662395295776,0.3832562790334997,0.3099672870204575,0.32735984790399986,0.3981947895142053,0.40236430784272237,0.47671615219546304,0.5463325013717952,0.5759293671557675,EMSC-19981006_0000006,KYP1,1.6
8,0.8650417782386075,-0.8193348434509318,1.0631270874171976,1.0219495460633645,2.478653015173556,2.4988588822324953,2.557523740301789,2.613378851212476,2.8269541835753604,2.669046291473218,3.029154863530825,2.127296115327884,1.8297501117394415,1.8665275702752835,1.7383938674078663,1.7575911608247994,1.6740759190677235,1.5060468075609479,1.3273650900195606,1.0891933352870549,1.0517112293260062,1.0637888688356818,0.9069100239358336,0.8845826707235842,0.6697956606316984,0.6404098354909973,0.7538953819836047,0.7583833946318626,0.8352218849694051,0.6078781804806503,0.7494894882635332,0.8073228782777875,0.9123324733206211,0.9186659162545139,0.8990718913114781,0.9159836357438227,0.954117259552385,0.9958929091436293,EMSC-19981008_0000001,ZAK1,2.0
10,-0.09683690456707605,-0.6698762663236186,0.7165668122899227,0.7933525594865136,1.5341191086812325,1.6198719900204708,1.8455539823037581,2.285702955700412,2.153835160722837,1.9895599866503795,1.172654266656742,1.2629525745492791,1.458730834826921,1.3072416710190522,1.0614101925176938,0.4352771933046,0.33192914590988565,0.5542074225277487,0.4311522232604812,0.2573818971902009,0.1754272799098997,0.05834162652570729,0.04594309247395323,0.09404178193807855,0.2796033751336431,0.4619778600646862,0.4429996129412501,0.5880614924171201,0.6806001714767911,0.916942280712318,0.7920719056693359,0.9051630155261101,0.8200026257296571,0.8422125935005766,0.7869949840612289,0.8198137826703977,0.875916701362593,0.8964169310057404,EMSC-19981122_0000005,ARGA,2.0
11,0.4940668590299939,-0.697000473348445,1.0407552813718555,1.2002483944165556,2.040706991934985,2.2164727642762436,2.9866500232213973,2.9009879752157945,3.0147588866050525,1.6658351367975195,1.7137996347277498,1.6211301672030722,1.4401260483117464,1.077574771575414,0.9433921084112167,0.9666504495898667,0.9465033959366917,0.9411305612437322,0.7980343845570967,0.8053942048298373,0.7416148431791347,0.7025147392827584,0.6652370552955436,0.5765162579714733,0.5757316541968702,0.6157483081140285,0.8108377576395149,0.8128588649056958,1.150761456755875,1.216388530087893,1.0746743339842562,1.1655800076928466,1.2417405811095366,1.298066872664024,1.2846357667027934,1.2831901467895666,1.2963234573526137,1.3002471227020695,EMSC-19981122_0000005,LXRA,2.0
14,-0.7786100828970879,-0.5471741940822441,0.3137070447217285,0.22420692055099334,0.9910506452063466,1.0144604453363808,0.9995106408373964,1.248954512675402,1.2886744844180136,1.5195161055485067,1.1579584576393853,0.7555518605323885,0.7118300777406095,0.5554489759614736,0.38422132172238666,0.33847000857497545,0.3084752164697777,0.45233358521581835,0.8551759022781908,0.676379211267677,0.5403872270637375,0.5032152962135763,0.40687697604896744,0.23861485875044774,0.2241285010835412,-0.008992278327975,-0.0024270166457158737,0.2647679187052283,0.2856377904569589,0.15416012236141707,0.0010323459270464852,-0.04980700324351872,0.043022621750553824,0.11027457098831839,0.026290513203624855,-0.028973393814855086,0.03774581413020428,0.07831630668846934,EMSC-19991104_0000001,PYR1,1.6
15,-5.707061236622971,1.1418859876790206,-2.111498569883139,-2.1493205697765454,-1.5638797838963203,-1.4143701549311167,-0.6967187668086385,-0.3909076279003383,-0.819870996192531,-1.3323576845198026,-1.5225223975394329,-1.307483533492439,-1.2967998578558344,-1.4414355338802682,-1.5717049882485092,-1.5582554742367787,-1.5603158484593092,-1.58543930156641,-1.769283820523066,-2.0117578628451387,-2.035152966440636,-2.126760825590644,-2.039633642459334,-2.153430607610071,-2.1280138332114316,-2.2329252285118297,-2.284916136363318,-2.4085510994742645,-2.293449133675608,-2.504338332341069,-2.2546456532219725,-2.2984503675646497,-2.0053438497164606,-2.1256698064580526,-2.150095608106854,-2.4162894198859544,-2.261743711823943,-2.469200493749881,EMSC-20081102_0000089,CSS,3.2
16,-2.839478068535046,0.07846721423684588,-0.11235323018914123,-0.2948215811149364,0.1854448257405048,0.1623312312980163,0.29182086520931083,0.47633349024799276,0.1074840213705377,-0.10544112947539386,0.011218345965238186,0.272744320089922,0.43352180294852793,0.26345758062394076,0.4732713977317937,0.31895800737914204,0.40970960480306484,0.35186916065934426,0.27479859037870913,0.03437985288650758,-0.29767704464609857,-0.3807144222200032,-0.3453507948619565,-0.3464873380503164,-0.24069468229569857,-0.28918724140586693,-0.4736760565585758,-0.29077617971977254,-0.25862881824178174,-0.1456449492685845,-0.19107790582898687,-0.24893541642959605,-0.3674428519102211,-0.5356630806982619,-0.7795297951338647,-0.6110454129663871,-0.7513263468052678,-0.8202814413492021,EMSC-20091222_0000010,CSS,8.0
