,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.03758571400011573,-0.033252284390037516,-0.27895436735927925,-0.27450838174367,-0.2578763183053031,-0.27309791465684924,-0.2505975150040305,-0.24718348612533164,-0.2615727781775087,-0.3103868143467875,-0.2794546406343561,-0.23370251890046267,-0.1889736083417275,-0.17911527120997203,-0.1644348684002395,-0.13536023405427497,-0.08166762740408846,-0.059750847173295756,-0.054083259220690155,-0.04684673157292207,-0.03342067649625149,-0.029025299188810347,-0.0012322789211251127,0.004206567763700075,-0.0010608808139463168,-0.002439809533397987,-0.0044687669246921,0.0022751609002362437,0.014176310890256972,-0.013852790230648376,-0.026876037395302716,-0.17028301447123761,-0.1840845648648601,-0.10528551475015832,-0.15412134343993056,-0.1980169540489668
rotD50,"AvgSA[0,3]",3.0,-0.03758571400011574,1.0,0.9626251864535749,0.8332753782477152,0.8271966001662152,0.7972889255098525,0.7690017725518108,0.7433713391394955,0.7298035473712573,0.7684567681864799,0.7889685151924953,0.8152264252489384,0.8517870935616557,0.872823545923441,0.8940817611694128,0.9118583948518003,0.9328248434495151,0.9556381034982365,0.9688952037376782,0.9711130808274889,0.9741691365281068,0.9782273718264368,0.982180969658545,0.9824870938714623,0.9832889807907372,0.9844896313442445,0.9824947971868562,0.9824102538243628,0.9768740339042601,0.9680766462501664,0.9554748194622784,0.943536106465546,0.927896349001884,0.9168266404759334,0.8677990003391536,0.8366257243071967,0.8066221744617957
rotD50,"AvgSA[0,6]",6.0,-0.03325228439003752,0.9626251864535749,1.0,0.769761396894557,0.7680901832534478,0.7528641127123226,0.7254372650921356,0.7061872825576124,0.6773396136175166,0.7042400259993186,0.7082907474012111,0.7173474441884018,0.7386129123440016,0.7505991083057733,0.7785261842252788,0.8076582775816961,0.8413123568403721,0.8767501342445339,0.8994955633836662,0.9059191426510723,0.9150282525008303,0.9267033859174594,0.9355899794960554,0.9393623652145662,0.9477062032774913,0.9565545480229899,0.9628048577271926,0.9654185875838652,0.9734842333597613,0.9712312056591236,0.9773554347320043,0.969357760842025,0.9730424156887205,0.964505570314193,0.9488711781243478,0.9215717440626118,0.89398245000154
rotD50,PGA,None,-0.27895436735927925,0.8332753782477152,0.769761396894557,1.0,0.9993064813761664,0.9896587944454492,0.984650993256318,0.9714475272128974,0.967084657291045,0.9788152122209933,0.972960637494584,0.9625458584761195,0.9605233816663562,0.9451945017046198,0.9320415847498427,0.9157118874512674,0.900123713146616,0.8742507224621834,0.8494538831046573,0.8429803888496963,0.8414727268472453,0.8289959853715057,0.8250463886410708,0.8031255467722943,0.7910656720712523,0.7743397921152391,0.7597823061317964,0.7608668546933338,0.7470880806885852,0.7313947603038872,0.7504352979260039,0.752798156363295,0.7412189566432179,0.7470630121650697,0.7012813060366854,0.6972998856167953,0.6967522315306013
rotD50,SA,0.025,-0.27450838174367,0.8271966001662151,0.7680901832534477,0.9993064813761663,1.0,0.9935006743994615,0.9885727591791666,0.9740344295511026,0.9681722665965443,0.9783389292767115,0.9690183696993486,0.9564427272331922,0.9529379628917102,0.9379128268961174,0.924406959317323,0.9077044043232686,0.8914356158141072,0.865183592312718,0.8411688324583375,0.8349087969737519,0.833703922322224,0.8218053975561915,0.8181981544488428,0.7971693389473958,0.7852026532963812,0.7682005908855221,0.7535689997711182,0.7544959115837555,0.7417407252763165,0.7268016596198823,0.7465704722241012,0.7491308874036372,0.7381775934762791,0.7444184744719747,0.7010558834222358,0.6972803917630166,0.6964181875535657
rotD50,SA,0.04,-0.2578763183053031,0.7972889255098525,0.7528641127123226,0.9896587944454492,0.9935006743994617,1.0,0.9977159830606005,0.9844387297495777,0.9709237902418798,0.9716026176998139,0.9486973200323151,0.9314139853880243,0.9259713410535666,0.9112099148519255,0.8964847660585183,0.8786719905105213,0.860868597955283,0.8313035049574392,0.8064237663253176,0.7997870795715638,0.7996530623707445,0.7879343726210145,0.785887247650226,0.7653580819617216,0.7533928299699457,0.7366514835660172,0.7231656467801962,0.725091870752561,0.7162931787863283,0.7028098418087371,0.7246273657589416,0.7290868836148745,0.7204885303491166,0.7295969089736227,0.7004606067596424,0.7001803182862569,0.702135566073927
rotD50,SA,0.05,-0.27309791465684924,0.7690017725518107,0.7254372650921355,0.9846509932563179,0.9885727591791666,0.9977159830606004,1.0,0.9894775884390955,0.9759487309188839,0.9723596335191677,0.9436455462983636,0.9227884374287609,0.9160679149178952,0.8981018017481105,0.881119479017436,0.8605577011999845,0.8407645587715167,0.8079243233276102,0.7804589266865312,0.7733544772593022,0.7727339835401883,0.760051089474627,0.7577181623112811,0.7364473588285545,0.7232551115563697,0.706478518340198,0.692918961487652,0.6954682267137062,0.686737636301338,0.6733462147685536,0.6965384041846138,0.7018851344270547,0.695121302413261,0.7057581442038392,0.6795072260369476,0.6814644465705363,0.6869587277103858
rotD50,SA,0.07,-0.25059751500403055,0.7433713391394955,0.7061872825576124,0.9714475272128974,0.9740344295511026,0.9844387297495777,0.9894775884390956,1.0,0.9870622687433417,0.9699332445556262,0.933371933916867,0.9061626278024734,0.8969737911524274,0.8712030422104925,0.8557290891866799,0.8338410569075564,0.8149323349342145,0.7835817136066954,0.7552557324108952,0.7472891763884925,0.7466496848268855,0.7338788525864649,0.7324237349053214,0.7113262574275085,0.6986047418223629,0.6798463491000877,0.6667477112835279,0.6706024481820148,0.6616856926265137,0.6498439113610852,0.679546140737105,0.6858912015002677,0.6736819392836881,0.6852049459734808,0.6688150315312517,0.6700963372589924,0.6761449659037878
