,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.18264887103824373,-0.18964778302400864,-0.33990267437091193,-0.33163442472503624,-0.31998679428064264,-0.3274441027661615,-0.31406554002497344,-0.30402894602259256,-0.3103715085910548,-0.3051229552022662,-0.28326363900827173,-0.26784720677684654,-0.2518164936200138,-0.24551439845723957,-0.25447249407607525,-0.24721899588715013,-0.24678431498784079,-0.22010678908299214,-0.22173127994004999,-0.21395616247920932,-0.19153923921850036,-0.16642616227836238,-0.13421459653431314,-0.12158470333969938,-0.12546162398556177,-0.13332678367905781,-0.14359628363197163,-0.157818787408848,-0.12488309853924673,-0.14698090842456132,-0.15483360310147573,-0.07947078861482278,-0.08681590133827173,-0.17920662580075686,-0.2066362687776085,-0.2194272685611582
rotD50,"AvgSA[0,3]",3.0,-0.1826488710382437,1.0,0.9457111466604136,0.796513410342465,0.7793291978084277,0.7352513825722446,0.7138985561060193,0.6878611002242561,0.6872034009182422,0.7449717930832722,0.7936803963463283,0.8427498952316577,0.8816504789935297,0.8993442548313748,0.9155734213250374,0.9257083021175531,0.9338597187826142,0.9518821111827747,0.9613098475148295,0.9649247641496873,0.967226498694193,0.9683071252286821,0.9645920701659388,0.9588334912541548,0.9582828205489053,0.9578901008209832,0.9567623798860297,0.9567374684102042,0.9589513731794145,0.9516946266287531,0.942833249436256,0.9399629664859108,0.9115606181412782,0.9172663579180111,0.8982377940207434,0.8966314737289336,0.8938646069288426
rotD50,"AvgSA[0,6]",6.0,-0.18964778302400864,0.9457111466604137,1.0,0.676613623928267,0.6554334564420234,0.6133007962676351,0.5966995011455379,0.5647941255527935,0.5534399312351058,0.6118905568221213,0.6643700710259782,0.7135001677959707,0.7618860302556006,0.7872581444273896,0.8150954639055391,0.8412425244690548,0.8526023065563042,0.8813880858008717,0.900817858223082,0.9105249397002964,0.9183318177730052,0.9236410582240822,0.9148546997720512,0.9198754339573982,0.9243447442415711,0.9243709169854599,0.9223500996201397,0.9193880439554812,0.9294484779422979,0.9264505319661762,0.9346844988552169,0.9371629720618079,0.9672664409516389,0.9706796097361288,0.9801809967910625,0.9773378472587386,0.9755104775960958
rotD50,PGA,None,-0.33990267437091193,0.796513410342465,0.6766136239282668,1.0,0.998816416451279,0.9884773972113372,0.981401389160531,0.9740251724761463,0.9738118729129767,0.9833531709389213,0.9805986398168561,0.9622242542041095,0.9459454228463957,0.9245620740726629,0.908505531029874,0.8934847366955139,0.8766043691377999,0.8411610755165333,0.813816591774787,0.794172161017681,0.7833993260098633,0.762658782304776,0.7388896425097676,0.6941816718149774,0.6749789768997737,0.6602073378877291,0.6550751868025466,0.6574080186210752,0.6634287005280114,0.6543523706598611,0.6617370891107376,0.6653827811096277,0.6125859349845032,0.6325659882667181,0.6197018225095957,0.6363890395934909,0.6385022957565524
rotD50,SA,0.025,-0.3316344247250362,0.7793291978084278,0.6554334564420234,0.998816416451279,1.0,0.9932991696523844,0.9867342091667592,0.9794902864027231,0.9771809596421884,0.981789507218372,0.9756758679001871,0.9535591601855749,0.9348090165797254,0.9126371020085877,0.8957442394618167,0.8803661057065099,0.8630403562069067,0.8265212121462112,0.7985439387252483,0.7778221061256283,0.7664848831127414,0.7444792263320145,0.7206457593229192,0.6759273725301131,0.6568000913270385,0.6417025465570927,0.6369014222461927,0.63916964884206,0.6449339292076547,0.6368895038037699,0.6442670670448355,0.6477290757109279,0.5931279578318815,0.6133189081774413,0.6007018205492689,0.6175237415453363,0.6183565730619541
rotD50,SA,0.04,-0.31998679428064264,0.7352513825722448,0.6133007962676351,0.9884773972113372,0.9932991696523844,1.0,0.996054773555919,0.988913190567995,0.9808059597766916,0.9729161389410587,0.9558357526440242,0.9247123665447461,0.9019348128021853,0.8785041417048701,0.8608826102639162,0.8460554374013153,0.8274319717889661,0.7886549556180495,0.7617830051165714,0.7404359586493903,0.7291246789066972,0.703884067537557,0.6789908135701627,0.6335104599317549,0.6148896382040162,0.5995572939389949,0.5950684604341627,0.5971566442634746,0.5997261733743446,0.5910269238556599,0.5997352863595216,0.6031623740592119,0.5541308240719655,0.5745661110990499,0.5635545627753715,0.582613121328835,0.5834900787992771
rotD50,SA,0.05,-0.3274441027661615,0.7138985561060194,0.596699501145538,0.981401389160531,0.9867342091667592,0.9960547735559189,1.0,0.9934267200318031,0.9829414775593491,0.9664384018972176,0.9433573506717198,0.907625424885581,0.8849326344857392,0.8589209639227001,0.8423299540067481,0.8273428409437669,0.8084954136047561,0.7694413021780068,0.7448562153277256,0.7239911153940712,0.7133758923486115,0.6869373415416576,0.6629615285492069,0.6155303868552281,0.5960539730560214,0.5804460127472237,0.5755496258197127,0.5777589969703489,0.579019084359209,0.5688699656673126,0.5774566217371871,0.5812215883745624,0.5377929215459033,0.557847573631854,0.5465647858189149,0.5651965836015179,0.5683506313987639
rotD50,SA,0.07,-0.31406554002497344,0.6878611002242562,0.5647941255527935,0.9740251724761462,0.9794902864027231,0.988913190567995,0.9934267200318031,1.0,0.9908424980455247,0.9679646760916856,0.9377829696586149,0.8968453764601643,0.8694535873662734,0.8388907473218005,0.8190175446675995,0.8020027429661509,0.7826884999911847,0.7429578166530644,0.7174489646530882,0.6950755702835096,0.6846389662306198,0.6585786452829128,0.6348984537039237,0.5883253049611404,0.5677534260507138,0.5509118386035019,0.5459159610812574,0.5471597262298978,0.5495304886285727,0.5421079402840723,0.547054200200639,0.5508848707318408,0.5078461361303175,0.5282550230894719,0.5159485272500672,0.5354056679194442,0.5378014308992386
