,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0000000000000029,-0.4703150946654585,-0.35314116764498804,-0.5042101499126244,-0.4845761015026619,-0.4348313506189808,-0.4286291639541922,-0.434799141305671,-0.4513779307593071,-0.4561847731227018,-0.5013883041151799,-0.49681724137791117,-0.48677847323679574,-0.46787800298273724,-0.47296229587088834,-0.4581293790216167,-0.4613497349576816,-0.4366766239338936,-0.40805882395315185,-0.39588285818109603,-0.3929922141276472,-0.3863891976956655,-0.3733600101993577,-0.3311413052758706,-0.3227827270757481,-0.3083022031726292,-0.2925236733432673,-0.28750591672313086,-0.27157698128387164,-0.30798903270437283,-0.3394875675006757,-0.34907861534620266,-0.27328821760732025,-0.28144460814201194,-0.2551985617931642,-0.30141763727647186,-0.3302452647649218
rotD50,"AvgSA[0,3]",3.0,-0.47031509466545857,1.0000000000000047,0.8412204787959133,0.7488968080451335,0.7353105042196046,0.6915286062918571,0.6745191148508989,0.6348285993890539,0.6339460717266379,0.6568623605903215,0.6884283323591667,0.7146937193563989,0.7416931180020565,0.7770256678764288,0.7795924787006795,0.787319648753488,0.8169241996429528,0.839051185130473,0.8676725019483781,0.8737516537208091,0.8715290570832888,0.8793382210688904,0.8862447443245429,0.8877660140590609,0.8840704711956227,0.8833411440292999,0.8773378619016639,0.8713451679322244,0.8648774781808043,0.877413220381431,0.8597727702090827,0.8541718125159191,0.7831090146662876,0.7855150446712196,0.7377257875308624,0.7474691134846916,0.7437122009779511
rotD50,"AvgSA[0,6]",6.0,-0.35314116764498804,0.8412204787959132,1.0000000000000004,0.6517257381135562,0.6494748724914144,0.6197758080326996,0.6000526307865355,0.5625259348138233,0.5424483132917935,0.5850254508691463,0.5786582581760031,0.5584502358915445,0.5661906730203458,0.582395031897123,0.587209920330093,0.6144966650423264,0.6570065447991363,0.6763189250233488,0.6968125186836787,0.7167527625267287,0.7189242814612921,0.7218116578510446,0.7403861401156274,0.731852447076591,0.7225722502949363,0.7356847321855112,0.7425115341069232,0.7397757427829268,0.7503850443662861,0.770194289829194,0.8408444301598406,0.8425763416104682,0.9132065420806967,0.9198572489041434,0.9467674962913831,0.945718973710336,0.9320479613259309
rotD50,PGA,None,-0.5042101499126244,0.7488968080451335,0.6517257381135563,1.000000000000002,0.9959056092245457,0.9700355164201813,0.9533277078783449,0.9363009451173547,0.9363053367514954,0.9391153349436167,0.926856002208588,0.9005583364277628,0.8941323145097938,0.8758119774826669,0.8442695541898488,0.8259928761147362,0.8242794179754986,0.7909440613173154,0.7527068108417188,0.7308267158008331,0.7110253525684024,0.6716641593550206,0.6406342285798287,0.5829507661361633,0.5519458693214166,0.5172378003671801,0.5034982059393173,0.4951282650592491,0.4702839964474197,0.4892559895198778,0.5255215150670469,0.5383297678653721,0.4926308838766581,0.5092438918235876,0.5395045531357455,0.5792677606271703,0.602615215401037
rotD50,SA,0.025,-0.48457610150266184,0.7353105042196045,0.6494748724914144,0.9959056092245456,1.0000000000000002,0.9824240792717917,0.9649720463950899,0.9429113401174244,0.9396098339220039,0.9352972497410446,0.9151433892998269,0.8817622125392557,0.8749621171264651,0.8585405987561027,0.8273546079689953,0.8096872517297312,0.8081021761792889,0.7739701542915248,0.7339166430968366,0.7135850598649073,0.6943825643501405,0.6538562400084806,0.6243192906309278,0.5662172828874968,0.5361285282336901,0.5022381954392601,0.4905252698634764,0.4824550642962984,0.4611213971753304,0.48313691335892817,0.5203100591288496,0.5331128117023846,0.49312798606865876,0.5097298876086537,0.5418864637565914,0.5792810342333445,0.6007414804513626
rotD50,SA,0.04,-0.4348313506189808,0.691528606291857,0.6197758080326997,0.9700355164201813,0.9824240792717918,1.0000000000000002,0.9823450019787106,0.9453582235770925,0.9227851469826934,0.9075730191025034,0.8816594316052916,0.8356088734534746,0.8243157036181976,0.8107680578624408,0.7805599530087647,0.7626749703714125,0.7608504135905063,0.7293062864315804,0.6801472605235589,0.6618267217640912,0.6438120003737627,0.6016090123109664,0.5764283872040643,0.5187582819305488,0.4901233407073673,0.45398262303276726,0.44491309963435693,0.43802747888134713,0.4202809714173163,0.44888959181331617,0.4905882662024939,0.503332787092271,0.46745514104980956,0.4856448400954461,0.5200929834805348,0.5575678097336975,0.5777640654819747
rotD50,SA,0.05,-0.4286291639541922,0.6745191148508989,0.6000526307865355,0.9533277078783449,0.9649720463950899,0.9823450019787106,1.0000000000000002,0.9596475843493988,0.925114894038102,0.9022572224476737,0.8665574146186524,0.8173720887252306,0.8029098177705042,0.7797889125705756,0.7464938901960914,0.7338964112373483,0.7349199387608987,0.6968222025386429,0.6546007451582273,0.6376168411114247,0.6179242843832677,0.5768021564827431,0.5501972206010172,0.4961697548548561,0.47005516365987376,0.4333071282971407,0.4229299876553223,0.4152746743188863,0.39510038340497566,0.4323800438452507,0.47931567100519856,0.4895782435428607,0.4527245793743954,0.47080705698723135,0.49794813699075924,0.5376584907280824,0.5581909649851228
rotD50,SA,0.07,-0.43479914130567104,0.6348285993890539,0.5625259348138234,0.9363009451173547,0.9429113401174244,0.9453582235770925,0.9596475843493989,0.9999999999999997,0.9481995750574629,0.9008202212584355,0.8635808461704302,0.8147276853427327,0.7959877129010987,0.767098033207895,0.73296511268565,0.7172866824289063,0.7159794771673743,0.6793734480860196,0.6343652813947289,0.6157059966484959,0.5940131089333941,0.550049516300555,0.5211585262639858,0.4614806791430204,0.44084423517325594,0.3983284244306759,0.3841181526212583,0.3733957217194932,0.3504756812336589,0.3880414981181375,0.43824972537229256,0.44809031040110225,0.4125143526061122,0.42852885064060736,0.46117184999818167,0.5046556905984753,0.5238899110093413
