,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0000000000000007,-0.15793713749890978,-0.13082588025187902,-0.3336329039914837,-0.3227784465698635,-0.2977521823218748,-0.30263650553084287,-0.2950724985011857,-0.2973699147190231,-0.30746377726773705,-0.33625971259365867,-0.3234310234071449,-0.3044700973676244,-0.27571808124791747,-0.2676239625432863,-0.25646448369548497,-0.24323069743758552,-0.2096644990429304,-0.18430340154228844,-0.1761829799545155,-0.16808613088453847,-0.15364292340539387,-0.14245448848827202,-0.10587678257288086,-0.09524027493457493,-0.09292727746636441,-0.09156477595240657,-0.09349840489297322,-0.0911801096366074,-0.08745734696451034,-0.11552677919587653,-0.12662886475311994,-0.15354483573922942,-0.1641919164628525,-0.1424312024996356,-0.18140018119298404,-0.21121795030821977
rotD50,"AvgSA[0,3]",3.0,-0.15793713749890978,1.0000000000000058,0.8614786881757031,0.7830983907129966,0.7682119345418239,0.7230924540339877,0.6998173735349139,0.6744516385816889,0.6709726312482946,0.7182324057835309,0.7506114940528062,0.7893518820229412,0.8305842244688005,0.8541033047749416,0.8765908203402188,0.8931486134953446,0.9121530903024461,0.9377324003582196,0.9533905888807471,0.9571973751287753,0.9601744941641449,0.965067508479133,0.965925544590084,0.9682857083567291,0.966192776805614,0.9630524728814414,0.9596311587927459,0.9561574338910139,0.956198103807522,0.9509573480094362,0.9325411476046159,0.924584617345868,0.8619294861243015,0.8560286188144773,0.7768304913908267,0.7643102724871943,0.7470520287604908
rotD50,"AvgSA[0,6]",6.0,-0.13082588025187902,0.861478688175703,1.000000000000003,0.6485651063663334,0.6406950226272397,0.6134697388163456,0.5936525478145711,0.5719607241446103,0.5515423522174383,0.5916603315226582,0.6034251092610887,0.6248054926106126,0.6475796878118353,0.6637958735913931,0.6903442957628411,0.718021730024487,0.7351203777672831,0.7573267410568444,0.7767325684038068,0.7859857187522168,0.79708104741097,0.8129181619740703,0.8199348848359479,0.8324951674177422,0.8264889532211619,0.8291859960277652,0.8324983438801346,0.8291329899489631,0.848733468837446,0.8646574974389455,0.8806891395038225,0.884145685446112,0.9154808658761465,0.9066273223387846,0.95119870448816,0.9372810678152054,0.9187514905166924
rotD50,PGA,None,-0.3336329039914837,0.7830983907129966,0.6485651063663335,1.0000000000000009,0.9982346435306567,0.9841701125296273,0.9758541570718726,0.965751188380194,0.9644351440791528,0.9736567047684087,0.9681919295588881,0.9503637322620083,0.9388046419594783,0.920362373691075,0.9013441293344182,0.8848992237330153,0.869443670888102,0.8368384520101042,0.8052490367831172,0.7893922031069265,0.7790144569446129,0.7549049788875154,0.7355208265083096,0.699315956808488,0.6796657907970591,0.6589803379141421,0.6495452530992072,0.6477621461447737,0.646635800205905,0.6390399986509729,0.6488729970777346,0.6552644838244642,0.5967956787781544,0.6083918757596057,0.5772760530089498,0.5932748385741761,0.5983583991431976
rotD50,SA,0.025,-0.32277844656986354,0.768211934541824,0.6406950226272398,0.9982346435306567,1.0000000000000016,0.9907930237802287,0.9827689046240494,0.9712461951749518,0.9677232824167867,0.972299312174962,0.9627095475522839,0.940435580368445,0.926150383648647,0.9076738491756389,0.8878604806115955,0.8711307256181097,0.8550521398781634,0.8215930704802786,0.7893938135680113,0.7733057978883064,0.7627545027585332,0.7379300822978383,0.7187525973659276,0.6827297418554515,0.6633201865529605,0.6427074864345493,0.6337713805439984,0.6318603146536794,0.6318670977222561,0.6257398132515916,0.6366055803752074,0.6430709011643616,0.5871437902048081,0.5991449929664361,0.571619593792181,0.5875894416466796,0.5917817847599782
rotD50,SA,0.04,-0.2977521823218748,0.7230924540339877,0.6134697388163457,0.9841701125296274,0.9907930237802288,1.0000000000000007,0.9940808592440246,0.9798771926574965,0.9679182305273103,0.9604077537563153,0.9400069741557084,0.9081312693846281,0.8886880441066002,0.8699718190091535,0.8487325218776163,0.8317006705708312,0.8137558386799938,0.7783494132291863,0.7444928563039225,0.7281449481961715,0.717604786944646,0.6906733710198085,0.6718856910441854,0.6361101150406931,0.6171444475986294,0.5961762498757012,0.5884016639097714,0.5867723091097451,0.5878573281765873,0.5841990683191556,0.5983614932002629,0.6055043278520112,0.5565749853651549,0.5703719719951855,0.5529647188515934,0.5711240569293053,0.5761197885985841
rotD50,SA,0.05,-0.30263650553084287,0.699817373534914,0.5936525478145713,0.9758541570718727,0.9827689046240494,0.9940808592440246,0.9999999999999991,0.9862586328628512,0.9706815917550912,0.9560876937711336,0.9291690983208708,0.893166173472084,0.8726180158547945,0.8498558567869838,0.8281323129744818,0.8112420164404491,0.7929817254397177,0.7552249380390769,0.7227099248747583,0.7065532347145154,0.6958486806811369,0.6682554793754276,0.6494936071359809,0.6132685775999684,0.5939813012972384,0.5727076706628688,0.5645943328503008,0.5631789496758303,0.5631086642777041,0.5601555554968706,0.5755740168551368,0.582816469633797,0.5389374143414801,0.5531387098102923,0.5352628196400318,0.5540808954187496,0.5610995652254209
rotD50,SA,0.07,-0.2950724985011857,0.6744516385816889,0.5719607241446103,0.965751188380194,0.9712461951749517,0.9798771926574964,0.9862586328628511,1.0000000000000009,0.982347671109789,0.956345090197427,0.9228623417500663,0.8828404393760384,0.8592954678389925,0.8308234335100132,0.8079315068569772,0.7890135290555167,0.770637768857252,0.7335122907013282,0.700222168393899,0.6830610650213831,0.6723808885359107,0.6449315195594302,0.6266810455489845,0.5903764619797613,0.5717950339667165,0.5486459486222335,0.5400008013073025,0.538534240222684,0.5372266262684141,0.5353738541711961,0.5524819817215562,0.5597893170835858,0.519346416439606,0.5335518971393624,0.5179154705229456,0.5367215234691752,0.543308766884888
