,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,0.999999999999997,-0.6044192173619344,-0.5782159220977704,-0.6866064209650711,-0.6811629737668298,-0.6301023885450627,-0.6275896180319667,-0.5782540204298612,-0.6036868561362939,-0.6440027325286685,-0.6283747640962206,-0.6334805066576198,-0.6288362158652171,-0.5926258626599593,-0.575431515018217,-0.5606012936337914,-0.5587593392536856,-0.5528661156127828,-0.5599745623424804,-0.5469033169531871,-0.5423816224018507,-0.537452439043398,-0.5420224350428807,-0.5402503024126654,-0.5522314738454199,-0.5559149974477987,-0.5738053680265457,-0.5643913640465786,-0.5532817167217958,-0.5430920811115063,-0.5452881680181711,-0.5652765162104567,-0.5395082603838213,-0.5456925868751773,-0.5648755653961149,-0.5801170895246026,-0.5811558286201255
rotD50,"AvgSA[0,3]",3.0,-0.6044192173619344,1.000000000000002,0.9196339729078798,0.742166411927697,0.7274547386601382,0.646989503319347,0.6466466562523325,0.5852423928564541,0.6091728615964166,0.6564890619772165,0.725534888022096,0.7519016938049741,0.7731464910776611,0.7823000333402893,0.7889557731222125,0.8049769501700782,0.8255087350854601,0.8672966329396131,0.8720226291040438,0.8745757825951206,0.8725097533032294,0.8827782110327957,0.8886206555012561,0.894278323471564,0.9063465056754565,0.920434680614573,0.9259717088002377,0.9236905104293024,0.9278597759498158,0.9460154241694196,0.9191707727682563,0.9229899166840998,0.8745869392205063,0.870808180898479,0.8637049803479129,0.8679845768043827,0.8674662459099416
rotD50,"AvgSA[0,6]",6.0,-0.5782159220977704,0.9196339729078797,1.0000000000000004,0.7158935098648761,0.7045938839660078,0.6384792150420858,0.6173949267089015,0.5485113009197078,0.5498578933498574,0.6233959565898698,0.6740245812966317,0.6650201274769272,0.6846246011319101,0.7030589533029789,0.7325780166400244,0.7571484889902624,0.7902563530265481,0.8214836036034882,0.8042224047538113,0.8091849344309218,0.8092141810004155,0.803989595340599,0.8122794543915517,0.8236125378574641,0.820627201427265,0.8289118154537347,0.8272889359943455,0.8292515635237998,0.8467447542038429,0.8755227556965864,0.9129296886353762,0.9283850485116182,0.9687171460157052,0.9667135333263009,0.9715825005677504,0.967303657897924,0.9625956670779244
rotD50,PGA,None,-0.6866064209650711,0.7421664119276968,0.7158935098648761,1.0000000000000004,0.9981148983324393,0.9566304150798531,0.9417996883828259,0.9057831807600698,0.9084426712583528,0.8961560063398489,0.8781316758763036,0.8373218536496412,0.8167653368642818,0.7763077927349962,0.7339398498454093,0.7133602546880531,0.7068965875035684,0.6926683601635341,0.6578122728679103,0.6397060000549429,0.6349603460124896,0.6276497177978543,0.6277870783140933,0.6312641741919192,0.6453682347876242,0.6587128828819189,0.6762477323810817,0.6725143550780847,0.6761819877097012,0.6639893537899847,0.6567584964283926,0.6878913870647124,0.6865234886582563,0.6982134256837222,0.7039809583295478,0.7242822561368734,0.7336788144898531
rotD50,SA,0.025,-0.6811629737668298,0.7274547386601382,0.7045938839660079,0.9981148983324394,0.9999999999999998,0.9670423091247647,0.9515184298989904,0.9126075128575908,0.9090153661126013,0.8888840404447068,0.8674754111669875,0.8273701228569995,0.8062963993063058,0.7640063658321512,0.7217403170303459,0.7010189435670576,0.6949076947556244,0.6811617992548151,0.6454094763624757,0.62682266479774,0.6212962732620423,0.6139118547078627,0.6135500800397502,0.6169671249478578,0.6312515793507195,0.6442160323163556,0.6620983822930147,0.6584301885220724,0.6629380044657072,0.6497654188002898,0.64334305955236,0.6739840010604009,0.6752685438871154,0.687235394571952,0.6917843879206982,0.7122789311111372,0.7218330352394038
rotD50,SA,0.04,-0.6301023885450627,0.646989503319347,0.6384792150420859,0.9566304150798532,0.9670423091247647,0.999999999999998,0.9574823670473307,0.9164215347738789,0.879214564525889,0.8372737807342756,0.8000144767813478,0.7613404777563257,0.7406171408906244,0.694421284591504,0.6517188291312304,0.6303091728944618,0.6267975124442973,0.618238229386606,0.5774571883862603,0.5563533505196752,0.5479542952010287,0.5419309428372876,0.5383760055563825,0.542854309238906,0.5565815669401876,0.5674438785642092,0.5886314736975434,0.5834245258776495,0.5940707132330507,0.5749590867495173,0.574274762948385,0.6035063247831441,0.6132444742765429,0.6248027663983957,0.6252480983389017,0.6451815263592385,0.6555985257405624
rotD50,SA,0.05,-0.6275896180319667,0.6466466562523324,0.6173949267089014,0.9417996883828259,0.9515184298989903,0.9574823670473306,0.9999999999999988,0.9372410568196928,0.8948964978917258,0.8314541861148781,0.7858845239110059,0.7417906296460679,0.7191865089038001,0.6701485965160764,0.6309148431032857,0.6167943939463458,0.6108321877834432,0.6047541185490433,0.569733130948595,0.5501400685581707,0.5430611234388509,0.5372675233695309,0.5361470515727357,0.540587535496326,0.5507714166842598,0.5605752867716661,0.5826934040701468,0.5772148148979929,0.5952265294068444,0.5767412249360397,0.5726461734304273,0.5959913130545303,0.5875902288060381,0.5991198806313428,0.5982786327628837,0.6182229104503002,0.6278087768759673
rotD50,SA,0.07,-0.5782540204298613,0.5852423928564541,0.5485113009197078,0.9057831807600699,0.9126075128575908,0.9164215347738788,0.9372410568196929,1.0000000000000033,0.8968324453147556,0.8123801682897864,0.7460728306341629,0.6977088327400546,0.6698194743421508,0.618384955685447,0.5748652113871408,0.5602146368297499,0.544647463901681,0.5367391313259807,0.5144609366877837,0.4943132920366057,0.4866657038237139,0.47454218166478024,0.4687541108293059,0.4749887291459107,0.4850018904129941,0.5008746944259916,0.5214004229141851,0.5137476278046739,0.5278342037629657,0.5232207594944746,0.507675176545292,0.5397575652082771,0.5288307437054093,0.539187065027185,0.5357608748661727,0.5538486914847803,0.5683503694182352
