,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.32698579937207867,-0.35977530815468006,-0.33382270688605364,-0.3207759379415377,-0.26381081315088384,-0.26093037807489633,-0.2760540769046187,-0.30178599838767173,-0.3214954430120057,-0.33895551256173917,-0.3362653260855857,-0.3237031473410909,-0.3049278739627875,-0.3025230225123555,-0.30400191588597253,-0.3061140390630615,-0.30081228290466666,-0.2943708990881763,-0.28662100400575924,-0.27498295992202054,-0.27108735719536203,-0.2728977651901149,-0.282994803873147,-0.2971390533427055,-0.29958909300245357,-0.3087942559263723,-0.312229435142278,-0.3104732672787473,-0.3541097517646914,-0.3743590157902243,-0.39626825926581694,-0.38954270259546825,-0.40029293622200823,-0.38904114174195153,-0.3990164831204418,-0.4099947142193382
rotD50,"AvgSA[0,3]",3.0,-0.32698579937207867,1.0,0.9876882839753478,0.8274640449223667,0.8126789048341911,0.7548860929963201,0.7463080828235606,0.7209777051835086,0.7393604542269665,0.8019642496314886,0.8445287784394393,0.8756858539398569,0.8973101199846941,0.9185765842998113,0.9276772420696294,0.9372197793658144,0.947465680141632,0.9585055871847579,0.9631026224269121,0.9651612319415831,0.9659332336862482,0.9699570203928336,0.9717856860622419,0.9727477482972253,0.971435443840358,0.9740989606005405,0.9791674776878796,0.9819052520270468,0.9832169748931,0.9803964591511451,0.9648294521157099,0.9519987178663935,0.9246526648800861,0.9080459054007813,0.8852001185539716,0.8643173110331261,0.8425054499921987
rotD50,"AvgSA[0,6]",6.0,-0.35977530815468006,0.9876882839753478,1.0,0.8607709548519665,0.8478098979472747,0.7952264044504209,0.7837049323064259,0.7608457320661639,0.7763201133853221,0.8379512705549543,0.8680455993788848,0.8859014028121677,0.8952099796668308,0.9079172759607043,0.9153654566878848,0.922704320446925,0.926022821616516,0.9275960898505127,0.9301918167541048,0.9320765183122548,0.931130428253302,0.9359088634658094,0.9369705065439584,0.9368364762052026,0.9339709628415718,0.9382784015698674,0.9467028683365585,0.9545271227473019,0.9692074128244118,0.9817707964373364,0.9828100101718106,0.9825544680229606,0.9671854484525904,0.9590072709224748,0.9448393901099164,0.9298353010041036,0.9127901152164869
rotD50,PGA,None,-0.33382270688605364,0.8274640449223668,0.8607709548519665,1.0,0.9989242376046146,0.9781860548565682,0.9780158302443218,0.9668886957065179,0.9730803360403875,0.9711441605157748,0.9469719626601325,0.9150854307633868,0.8710163524022501,0.8380086171268769,0.8076817579176242,0.7799760099648672,0.7621606694075308,0.7395106392661637,0.7271870530385034,0.7210358436370962,0.7216672793830585,0.7304420987089892,0.7283770945237104,0.724987782492359,0.7141597190411281,0.7181888414208524,0.7319968152112859,0.7442373384325721,0.7731234689072183,0.7954481438700914,0.801212981008223,0.8156948388229353,0.8034167585558681,0.8108817594699975,0.8152444640634405,0.8141057737048806,0.8073001838845062
rotD50,SA,0.025,-0.32077593794153775,0.8126789048341913,0.8478098979472747,0.9989242376046146,1.0,0.9858036113797407,0.9846439925492086,0.9726989175139839,0.9760211836776513,0.9670362567450096,0.9378200588240566,0.9035512284947734,0.8569874519961853,0.822109934925976,0.7908853956771764,0.7623862654371205,0.7440177714363508,0.7214576076839759,0.7093322061559332,0.7032360223228981,0.7040984158093344,0.7135729942277588,0.7117902054448207,0.7088545535944093,0.6979176996727507,0.7018836904457918,0.715785318257006,0.7281990492924739,0.7590413603825442,0.7813191710018355,0.7874156111450804,0.8026779516109839,0.7919523218438341,0.8001751600323604,0.8052075371287065,0.8041245740113443,0.797530668522785
rotD50,SA,0.04,-0.26381081315088384,0.7548860929963201,0.7952264044504209,0.9781860548565682,0.9858036113797405,1.0,0.9917707983345636,0.9778994912275055,0.9699858255124191,0.938000101761793,0.8919545591906062,0.8509753463044907,0.7985718323722719,0.7590879590800208,0.7263536445778943,0.6962905132235548,0.6771575025803646,0.6559572352633006,0.6450385954159855,0.6393992033397818,0.6408003432082853,0.6521099958698052,0.6510099042171785,0.6490056107616916,0.6377606556151213,0.6413876680181166,0.6559902758451817,0.6681664956114373,0.7039552558626155,0.7243012696888731,0.7305893691097167,0.7490618396364525,0.74440175468061,0.754793799768678,0.762838168181333,0.7621625741173778,0.7554266449719582
rotD50,SA,0.05,-0.2609303780748963,0.7463080828235606,0.7837049323064258,0.9780158302443217,0.9846439925492085,0.9917707983345635,1.0,0.9847087854622611,0.9765031552507192,0.9424223864923308,0.8933517753651997,0.8485701520352719,0.7921826636644939,0.7509257182248196,0.7165232959614881,0.6867320739477123,0.6675614199590019,0.6471789980475287,0.6357487988530861,0.6294739692604221,0.6313760522181842,0.6432949399447606,0.6420767150771427,0.6404957093458612,0.6292392307843442,0.6333124898640389,0.6477765985378396,0.6597349288032068,0.6965815123701776,0.7166707000900047,0.7223478902129333,0.7372517291592532,0.7286240988292948,0.7376344961316021,0.7421112634687393,0.7406857683520657,0.7332773511066981
rotD50,SA,0.07,-0.27605407690461875,0.7209777051835086,0.7608457320661639,0.9668886957065179,0.9726989175139839,0.9778994912275056,0.9847087854622613,1.0,0.9804142890430964,0.931608553393261,0.8758466798184747,0.8282776408610334,0.7666538714883592,0.7248401093023978,0.690819485377791,0.6617919905555028,0.6434557597437743,0.6210084839164339,0.6100465887644602,0.6026596307597847,0.603625812454486,0.613829585176978,0.6124841286748776,0.6133736533579476,0.6026078599874866,0.607027230475766,0.6206136978635365,0.6332264156523547,0.6685760450140404,0.6964606644852354,0.7011823945524297,0.718448216420929,0.708616769973015,0.717821726440187,0.7219340262843091,0.7195991322041839,0.7141977851915947
