,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.000000000000001,-0.34844494077484117,-0.28073842917778197,-0.5628274202082708,-0.5502433749328212,-0.5242932190875804,-0.5180865020021811,-0.5227810524725173,-0.5340020722659704,-0.5323587794287472,-0.51981303428391,-0.5051123740752169,-0.4804915289889604,-0.46095067135585843,-0.4356502713582463,-0.41247729781685444,-0.39174374899829284,-0.3684745569018714,-0.3307532459757788,-0.3164631857024325,-0.30589408336771956,-0.28294811785567403,-0.264782254604187,-0.2343117566507453,-0.21392272537027546,-0.20144294023026327,-0.19144393543911736,-0.1928417345257398,-0.18935243089650614,-0.18852739745704755,-0.1920776176847658,-0.19303640756458917,-0.1799076105673135,-0.17417075978228647,-0.14187137144920597,-0.1596990807770142,-0.18386497993382872
rotD50,"AvgSA[0,3]",3.0,-0.3484449407748412,0.9999999999999992,0.9181864508699717,0.7405678552446167,0.7261621561759497,0.6847753221937037,0.6574229359891431,0.6279004063955795,0.6162794768177497,0.6426031111706267,0.6792191482433034,0.7140159743690647,0.7510052663552285,0.7772657543706578,0.7917702655654899,0.8072938298752764,0.8236238868402477,0.8492102933702087,0.8696507499616499,0.8725559457422201,0.8767449022648984,0.8876311706511678,0.8972982821558962,0.8991158578537706,0.9020051965710397,0.9075094930399439,0.9077180362218454,0.9093395336467227,0.8982442984335978,0.8716498205732472,0.8351074773336885,0.8097908778451592,0.7677545594351801,0.7468266203097755,0.690395359079072,0.6920523267954429,0.6998504942609326
rotD50,"AvgSA[0,6]",6.0,-0.28073842917778197,0.9181864508699717,0.9999999999999988,0.6570434538653771,0.6464489911903597,0.6146903573907013,0.5900304815621202,0.5585756335392604,0.5365696855196809,0.5508099308902492,0.5734844263426974,0.5950929662619854,0.6258355746996229,0.6483080355246384,0.6668334291698776,0.6842304084414421,0.7031357444759465,0.7414568262761116,0.768314413301407,0.7703218914385733,0.773278698424725,0.7804273636286946,0.7857647383727686,0.8043804530852842,0.8139458971661638,0.821804042349778,0.831355938513469,0.8429818568068114,0.8658835168393076,0.8756816072541824,0.881480829240475,0.8798381924905362,0.8938898380335063,0.8779855920614837,0.8703314799059557,0.8515068760927141,0.8428759793388357
rotD50,PGA,None,-0.5628274202082708,0.7405678552446165,0.6570434538653771,0.9999999999999987,0.9931844616741649,0.9670521628969125,0.954226287035641,0.9390006265414155,0.9264641109629161,0.9120150860571808,0.8950214601436012,0.871698429044442,0.8441062425470133,0.8215350172324307,0.7957342204610967,0.7733022497400082,0.7543041003405566,0.7215014031398004,0.6910295330338501,0.6743387437177952,0.6620590474251201,0.6398687736031592,0.6207828821470164,0.5852967253773946,0.5594510304102607,0.5461858983065612,0.5336490456913925,0.5300730904390317,0.5253736640012362,0.5110933966944141,0.5084576466402134,0.5129140572270443,0.49481687033563937,0.4938139746095009,0.46480368405889905,0.48868110818399974,0.5144770473021177
rotD50,SA,0.025,-0.5502433749328212,0.7261621561759497,0.6464489911903597,0.9931844616741649,0.9999999999999987,0.9790981193787008,0.9639949364654006,0.9417359170877586,0.9212616712149626,0.8989641900112724,0.8787113539046861,0.8534857208364133,0.8253675854458349,0.8025645044015857,0.7764227894401717,0.7546368211362104,0.7358068336568934,0.7037743703938202,0.6744980205921374,0.6580555278327788,0.6464676049038488,0.624606811347078,0.6062067603916039,0.5720941452336349,0.5470384578894186,0.5341514085648735,0.5218766164367364,0.5186985043258027,0.5142849747692639,0.5000448220257435,0.49729577773451544,0.5022568047656858,0.4859899117013877,0.48507639310893896,0.4578944382253254,0.4817202498330379,0.5067835901571572
rotD50,SA,0.04,-0.5242932190875804,0.6847753221937036,0.6146903573907012,0.9670521628969124,0.9790981193787007,0.9999999999999998,0.9827474383921393,0.9481070251937322,0.9072688942479902,0.8645032309920804,0.8339573935298296,0.8036605334108822,0.7725495892030911,0.7490416516790401,0.7236020213164848,0.7032163432380341,0.6850475778923977,0.6554679595344669,0.6281428083004086,0.6126790886630701,0.6022965462093107,0.582256191976112,0.5661402982664592,0.5344438213835514,0.5103489133699288,0.49839859808413994,0.4869700259922001,0.4840289042088205,0.4822125676565082,0.4708870365037074,0.46866436016356544,0.47437317779371163,0.4602096060257379,0.45897011600960097,0.43496904182653545,0.4569730834052515,0.4804064058168982
rotD50,SA,0.05,-0.5180865020021811,0.6574229359891431,0.5900304815621202,0.954226287035641,0.9639949364654007,0.9827474383921393,0.999999999999998,0.9626454356863298,0.9124415263912115,0.8567885799300902,0.8174683916548958,0.7818897047707478,0.7484471177598881,0.7225082689670511,0.6960501154052182,0.675302738606136,0.6567534126862972,0.6275927815931567,0.60073284454496,0.5860820903241388,0.5752188660056378,0.5553843337780586,0.5396642866087218,0.508695306376797,0.4856411469542855,0.47404010456577095,0.4626742755252569,0.4597288522209742,0.4597876936583051,0.4487913538067697,0.44731467047406265,0.4529467230958935,0.4405628214911434,0.4394578714211397,0.4152215731353426,0.43568558516054257,0.45842431175424225
rotD50,SA,0.07,-0.5227810524725173,0.6279004063955795,0.5585756335392603,0.9390006265414155,0.9417359170877586,0.9481070251937322,0.9626454356863297,0.9999999999999984,0.941830375386472,0.8729656469659661,0.8199626792381859,0.7751870943022572,0.73484270229229,0.7025291822831332,0.672371574225925,0.6487657596871043,0.6295787124969237,0.5988100909671444,0.5690057328792328,0.5538433275506149,0.5435733605968633,0.5243449055991928,0.5096249820881888,0.4791230591082567,0.4559571461861635,0.4446707775355409,0.4341742485699528,0.4316146507337377,0.4331388794126297,0.423716951158593,0.4222242449515039,0.42857340462303056,0.4172462793468984,0.4159094790258053,0.3885926426773589,0.4074249549164166,0.4293738166196489
