,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.1394632932401835,-0.15581337001532913,-0.3988633700751049,-0.3981713310398495,-0.40266180649609623,-0.40688579494270904,-0.40241583846677625,-0.40660025537583416,-0.39956281870548,-0.37786403754291353,-0.3613074814859899,-0.33806725822629646,-0.3190609347974424,-0.3009788406388446,-0.2789954373996641,-0.26032719816906613,-0.24341665371148716,-0.21246392790149368,-0.1975678817693694,-0.1788068513000703,-0.14784204647951,-0.11998246209772592,-0.08430239161387164,-0.049920362331050926,-0.022017717291068314,0.00883494491456263,0.0233413575593419,0.02569430308134576,0.010567499380196176,0.014858207074210521,0.024477808705061697,-0.019187980411977442,-0.006063521451538483,-0.029220883036062295,-0.048203122532831946,-0.07384361623286449
rotD50,"AvgSA[0,3]",3.0,-0.1394632932401835,1.0,0.9443961816259651,0.742749220041784,0.7299910960365701,0.6994085977185228,0.6813173763240385,0.6601415114798228,0.6566342660953756,0.6694815632221766,0.7110568541125539,0.7462590984932908,0.7673847323490103,0.797841154695087,0.8179894918247244,0.8352046995647673,0.8534237118644427,0.8938194648262676,0.9192177835529634,0.9282238847154586,0.9372218326099806,0.9512299071988749,0.9596320910574716,0.9689788251483811,0.9684900208843579,0.9650995937233459,0.9579668397723978,0.9503422692764175,0.9295848286694676,0.9025045230172495,0.8699390979683655,0.8521805873262774,0.8411975525118118,0.835120855493995,0.802356442228343,0.8065753066197825,0.8180622806912241
rotD50,"AvgSA[0,6]",6.0,-0.15581337001532913,0.9443961816259651,1.0,0.6897835465748577,0.6840228362847266,0.6669190188010494,0.6546538829812092,0.6300295316391804,0.6099424318124258,0.597211903664699,0.623858447293484,0.6510269834736601,0.6691767744789079,0.6950104518943616,0.7100608803721925,0.722561295476178,0.7407129684282884,0.7837634967692654,0.8073615339752991,0.8174515507159124,0.8299102451998963,0.8523980138604591,0.8691580103323812,0.8994351180124392,0.9149168358630451,0.9224919045373818,0.9266275872486012,0.9288123636364897,0.9433325708971984,0.9451565360572268,0.9365441122343376,0.9276029641135587,0.9418336728484065,0.9365926102678812,0.9276088340499572,0.9227435785977036,0.9189255825498289
rotD50,PGA,None,-0.3988633700751049,0.742749220041784,0.6897835465748577,1.0,0.9988926346174762,0.9918349832468171,0.9864720748415107,0.9803347467221529,0.9801966442514214,0.9777771738697993,0.9739900138751099,0.9621072459839339,0.9517490699026804,0.9391068124093755,0.924799527735534,0.9111894722486138,0.8943473445684756,0.8577191238093277,0.8226403633882131,0.8040413896280441,0.78435126204649,0.7544707221940526,0.7188162699145512,0.6659082015071754,0.6264622315730393,0.5955648740178351,0.5606624422298789,0.536711801026712,0.48960911659674206,0.46430739316251884,0.44842894677652545,0.4463302200225436,0.47873128020459443,0.4931248178180231,0.5223760968145557,0.546317075945684,0.5852420907307501
rotD50,SA,0.025,-0.3981713310398495,0.7299910960365701,0.6840228362847266,0.9988926346174762,1.0,0.995680452547967,0.9910389950118018,0.9846005849321654,0.9822138080282163,0.9762982119730972,0.9697391691816005,0.9554791282060507,0.9435823086293121,0.9299164425206935,0.914688147527552,0.9007160573988116,0.883230037086939,0.8454897313961647,0.8094887614684873,0.7905397879329127,0.7706391594172709,0.740739033037351,0.7044834802460724,0.6508861081811269,0.6113085946812273,0.5803114758988909,0.5457139554102783,0.5215670090877846,0.4751176908771829,0.45152985586484695,0.4372914335852134,0.4357107189220217,0.4719855926884492,0.4867012262209134,0.5187581958336828,0.5427799426110923,0.5817279461498346
rotD50,SA,0.04,-0.40266180649609623,0.6994085977185228,0.6669190188010494,0.9918349832468171,0.995680452547967,1.0,0.9978018133735759,0.9914157210737095,0.9836083571347444,0.9684121304959075,0.9547392444366744,0.934898949239116,0.9199235209966314,0.9045367263673131,0.8873550983327578,0.8722950807222133,0.853433486676851,0.8141671299483304,0.7761613719295261,0.7565309543206887,0.7363172930860395,0.7062312792405888,0.6694383105998649,0.6148697510778192,0.5751933959144052,0.5438716305451534,0.5100526871937509,0.4860312146170037,0.4427046779841569,0.42327352093097614,0.41321505826946164,0.41336328481853846,0.454659615318731,0.4699105928321813,0.5074680829723078,0.5311707492640076,0.5704205737823198
rotD50,SA,0.05,-0.40688579494270904,0.6813173763240385,0.6546538829812092,0.9864720748415107,0.9910389950118018,0.9978018133735759,1.0,0.995082268190737,0.9851286625135454,0.9645349929650084,0.9459883428305123,0.9224311050091993,0.9055918294130085,0.8883167903575899,0.8697356800721507,0.8538182164923377,0.8341039571669044,0.7933284723404767,0.754266271178134,0.7343371649352104,0.7139939824314415,0.684162104205449,0.6470280155458996,0.592676804776188,0.5534601304737409,0.5221728438279104,0.489080856656196,0.4648979711707249,0.4240250299509055,0.4069928264275729,0.3989379994777829,0.3995324929814755,0.4434561822384645,0.45869786543463636,0.4982110630517893,0.5216425869024877,0.5612694208326696
rotD50,SA,0.07,-0.40241583846677625,0.6601415114798228,0.6300295316391804,0.9803347467221529,0.9846005849321654,0.9914157210737095,0.995082268190737,1.0,0.9913714674894054,0.9665788323375069,0.94269783298635,0.9146201949136691,0.8945833646991936,0.8738670089696347,0.8536266048844598,0.8364168580820902,0.8152323496727795,0.7717355040792244,0.7314375033616349,0.7109654733142811,0.6901046037446914,0.6600278443306451,0.6223211422257331,0.568219279502526,0.5292381735581516,0.49776518643068385,0.465148109289107,0.4409707165221229,0.4022092131884903,0.38643915751800484,0.37993223143612315,0.3809066504573458,0.42216237904166953,0.4377526113306034,0.477585164731561,0.5006256433922083,0.5412574080297043
