,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.34166489919016996,-0.26548374573344974,-0.5628274296122184,-0.5502433726151101,-0.524293231145024,-0.5180864841959839,-0.5227810598765316,-0.5340020946292655,-0.5323587647281799,-0.5198130450476045,-0.5051123631328847,-0.48049155368935226,-0.46095068504242226,-0.43565025043119854,-0.41247728173657644,-0.3917437742606713,-0.36847455964272463,-0.33075325876772893,-0.31646317265337504,-0.3058940750253601,-0.28294809922668474,-0.2647822597895866,-0.23431174553436643,-0.2139227228224519,-0.20144291545405899,-0.19144397385566014,-0.19284170109043186,-0.18935242458483773,-0.1885273957555283,-0.19207753561566704,-0.19303643068067422,-0.1799076387046106,-0.17417079707305835,-0.14187137081366882,-0.15969906127651531,-0.1838650036107126
rotD50,"AvgSA([0, 3])",3.0,-0.34166489919016996,1.0,0.9180585304889953,0.739945157266796,0.7255312865228489,0.6840923175613941,0.6566926504022759,0.6270959530277537,0.615474824601121,0.6418981630415292,0.6785803096766589,0.7132266526587165,0.750169321938637,0.777601406976969,0.7921446959659031,0.8075991078514339,0.8238989219414689,0.8494181277145733,0.8696982306881895,0.8725489564644778,0.8767369073252596,0.8876215442531024,0.8972119872948144,0.8989282787814885,0.9023321235980835,0.9077710692479859,0.9078252444301775,0.9093268414307589,0.8987052740015294,0.8721259144371393,0.8354231581451685,0.8100356682011842,0.7681564031615027,0.7473271877860553,0.6909269195735597,0.6925260575371659,0.7002290231900481
rotD50,"AvgSA([0, 6])",6.0,-0.26548374573344974,0.9180585304889953,1.0,0.6559663300993351,0.6453059072928722,0.6134881435010762,0.5887591921599965,0.5572335099693754,0.5352766555170149,0.5494836656516823,0.572296889531066,0.5938704502137948,0.6247114571201972,0.6472401671114634,0.665969430729337,0.6834258799460352,0.7024039442901042,0.740798319725508,0.7676777740780752,0.7696617112997678,0.7726707274999807,0.7800716508959528,0.7854277030161201,0.8039740692236759,0.8143065292081865,0.8221224863396386,0.8316151835143111,0.8431521005187959,0.866257980783119,0.876402470666382,0.882274505348314,0.880838610067718,0.8944615020797231,0.879058607172678,0.871389365777595,0.8525975126273131,0.8436847297860034
rotD50,PGA,None,-0.5628274296122184,0.739945157266796,0.6559663300993351,1.0,0.9931844618033606,0.967052162725351,0.9542262882457289,0.939000626264298,0.9264641108243167,0.9120150844895194,0.8950214600304571,0.8716984282994809,0.8441062426325956,0.8215350170223003,0.7957342193558958,0.7733022491606681,0.7543041004524144,0.7215014048878035,0.6910295343167638,0.6743387435164447,0.6620590468382624,0.6398687718482955,0.6207828825573516,0.5852967260398839,0.559451030036916,0.5461858972860005,0.5336490552593673,0.5300730178020715,0.5253736658903975,0.5110933967617751,0.5084577083639547,0.512914059631931,0.494816870526548,0.4938139766866719,0.4648036815886679,0.4886811024402723,0.5144770465119092
rotD50,SA,0.025,-0.5502433726151101,0.7255312865228489,0.6453059072928722,0.9931844618033606,1.0,0.9790981190099315,0.9639949372910396,0.9417359169193245,0.921261671285709,0.8989641893990105,0.8787113547550195,0.8534857206361519,0.8253675858241742,0.8025645042843583,0.776422788080705,0.7546368205248266,0.7358068341262646,0.7037743718233376,0.6744980217594696,0.6580555271095277,0.6464676038592964,0.6246068090855779,0.6062067601656198,0.5720941457193833,0.5470384572460619,0.5341514073017772,0.5218766263414859,0.5186984302634117,0.5142849749189417,0.5000448203188286,0.4972958372455688,0.5022568056406117,0.4859899118091237,0.4850763958749937,0.45789443824871934,0.48172024657738166,0.506783592175181
rotD50,SA,0.04,-0.524293231145024,0.6840923175613941,0.6134881435010762,0.967052162725351,0.9790981190099315,1.0,0.9827474387374453,0.948107025038903,0.9072688939667518,0.8645032289596881,0.8339573932554964,0.8036605321325792,0.7725495888421288,0.7490416508255923,0.7236020186143496,0.7032163415948764,0.6850475775152929,0.6554679595225793,0.6281428083274925,0.6126790866613746,0.6022965442582091,0.5822561888644322,0.5661402975337608,0.5344438212375686,0.5103489120284286,0.49839859577555734,0.486970036419683,0.4840288258800924,0.4822125674973747,0.4708870348735782,0.46866441350616883,0.47437317942447643,0.4602096060493581,0.4589701179888969,0.43496904103227985,0.4569730791074275,0.480406407021506
rotD50,SA,0.05,-0.5180864841959839,0.6566926504022759,0.5887591921599965,0.9542262882457289,0.9639949372910396,0.9827474387374453,1.0,0.9626454358014184,0.9124415266748552,0.8567885792854208,0.8174683929259251,0.7818897043249572,0.7484471189827868,0.7225082699217744,0.6960501144807962,0.6753027387861298,0.6567534142816218,0.6275927827543107,0.6007328461268855,0.5860820895690613,0.575218865167722,0.5553843309797696,0.5396642862043695,0.5086953063149232,0.4856411462412479,0.47404010293795784,0.46267428817571377,0.4597287705722788,0.45978769418015963,0.4487913531727426,0.44731472109878667,0.45294672579317397,0.4405628239713134,0.4394578759546767,0.41522157671283766,0.43568558609997643,0.4584243184056887
rotD50,SA,0.07,-0.5227810598765316,0.6270959530277537,0.5572335099693754,0.939000626264298,0.9417359169193245,0.948107025038903,0.9626454358014184,1.0,0.9418303756579467,0.8729656453866464,0.8199626797353038,0.7751870932939179,0.7348427029244982,0.7025291818563257,0.6723715723531727,0.6487657586911708,0.6295787120641673,0.5988100903339239,0.5690057328891504,0.5538433257329597,0.543573358284351,0.5243449019101376,0.5096249811724729,0.4791230579852884,0.45595714392791753,0.4446707742864353,0.4341742596815699,0.43161456663783315,0.43313887799984535,0.423716948589479,0.4222242812878593,0.42857340519041304,0.41724627815859977,0.41590947868644573,0.3885926384509024,0.4074249470436155,0.4293738148750931
