,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.10785996051645469,-0.06859724641814978,-0.4405043866398374,-0.4387533386082049,-0.43659411602422343,-0.443693279247063,-0.4563896120760978,-0.46083988445946117,-0.44325875775999285,-0.41146519585072094,-0.3811336300129961,-0.34607056252554746,-0.31502385107855907,-0.2816307102249862,-0.24844682200834675,-0.21784162919583444,-0.1821490620944679,-0.14467483443016424,-0.12942176668028452,-0.11685560044451593,-0.09088042837889168,-0.0657978467959965,-0.03294751912235686,-0.009486292593497392,0.0070012664196298395,0.019277937954197775,0.02296523831464368,0.029325167389832783,0.023652428494361482,0.03471814106292744,0.04287049555546225,0.0385498562901487,0.04248198271132694,0.06420165551834126,0.04824701616042393,0.020636337497748417
rotD50,"AvgSA[0,3]",3.0,-0.10785996051645469,1.0,0.9702178416244703,0.7239079314097966,0.708887737644998,0.6640982765242222,0.6365729855392752,0.6059926800762828,0.6011035113073142,0.6385822477083869,0.6872195926199366,0.7336804994049029,0.7775246248313312,0.812792363446063,0.8364746336221665,0.856359567955552,0.8747055281075728,0.904299390806198,0.9242598793748201,0.9301588322079565,0.9353700060290921,0.9442187555515889,0.9508855625169667,0.9551250405563348,0.9571249253282504,0.9571425730448171,0.9538853884823937,0.9508191851283999,0.9354031546176959,0.9120171228391105,0.8856793492005459,0.8686959312212034,0.8503483386229778,0.8375473613738813,0.8115351843677253,0.8130158162691236,0.820019635831052
rotD50,"AvgSA[0,6]",6.0,-0.06859724641814978,0.9702178416244703,1.0,0.6529774056211703,0.6391885118209618,0.5981429885957125,0.5719268625791945,0.5401294174300767,0.5315900087163989,0.5617828248105365,0.6054747797934248,0.6490130575421796,0.6892567136058194,0.724251654880998,0.7515244385467675,0.7745427734188134,0.7952000176327186,0.8304455233462902,0.8545687813899794,0.8625589340292181,0.8698871268242834,0.8824000794173905,0.8933929710734982,0.9100520704605596,0.9239480356039822,0.9329340077144802,0.9393224461759904,0.9462277630016394,0.9565714700801407,0.9585582890952036,0.9576497661555844,0.9560623624171168,0.9499318703311538,0.942729907338984,0.923187625882985,0.9146418559361031,0.909902990466655
rotD50,PGA,None,-0.4405043866398374,0.7239079314097966,0.6529774056211703,1.0,0.9969699580246084,0.9808919495271446,0.9717369462587869,0.9608568005024727,0.9562841422018042,0.9533831417722167,0.9440452728642719,0.9264547124738438,0.9049371646966897,0.8811598715224025,0.8556679876639917,0.8312013701386916,0.8081528024958468,0.7688569824014867,0.7328488803248266,0.7142781906664348,0.6989878905668797,0.6708276445428583,0.645608365851252,0.6076165941248298,0.5802614270393343,0.5604584832718216,0.5449178194244022,0.5343867591288443,0.5164401719307588,0.5028804740878107,0.48343127519839585,0.4808272029522418,0.4859654984937459,0.49268704089820853,0.49906920514614156,0.5251911763252556,0.5558590560225859
rotD50,SA,0.025,-0.4387533386082049,0.708887737644998,0.6391885118209618,0.9969699580246084,1.0,0.9886009802459492,0.979387782619112,0.9658480300038331,0.9560265785583364,0.9473170618927231,0.934556955394296,0.9143861782671694,0.8912823974964756,0.8664667670604376,0.840154601153145,0.8154353030348899,0.7921064102592785,0.7526280501637623,0.7166554360846618,0.6980722769210974,0.682944253796247,0.6549085122499094,0.6297342056898275,0.5920364382595162,0.5650822448499062,0.5454834300537379,0.5302604243906539,0.5200690575763144,0.5025253808915937,0.49012744061643465,0.47112290074644675,0.4687262767492492,0.4772088058387148,0.48421014427221454,0.4923600738033471,0.5184512454038579,0.5488162593443098
rotD50,SA,0.04,-0.43659411602422343,0.6640982765242222,0.5981429885957125,0.9808919495271446,0.9886009802459492,1.0,0.9925591211317014,0.9741723748589936,0.9515420395125966,0.9268339092766431,0.9040153734552878,0.8769933610237298,0.8489086470582641,0.8212665481025304,0.7934075666714252,0.767758790181733,0.7439202258745553,0.704657342779112,0.6686195220864477,0.650208905507879,0.6355220538673372,0.6078606049343004,0.5832297232829018,0.5465316251863489,0.5207064116607623,0.5019440508038889,0.48760272338421723,0.477987490551342,0.4621119655212979,0.4528196818004921,0.43530408755301975,0.4335651583319079,0.44589629063696545,0.4534723761659137,0.46513071235987274,0.4905357899270067,0.5200864194115556
rotD50,SA,0.05,-0.443693279247063,0.6365729855392752,0.5719268625791945,0.9717369462587869,0.979387782619112,0.9925591211317014,1.0,0.9831593917810704,0.9552427493487337,0.9208400440739553,0.8911819656792197,0.8590594448855162,0.8281801176695419,0.7981948549383937,0.7685765752048566,0.7417007081966176,0.716887544609062,0.6765837130058918,0.6399273410937275,0.6214614131166661,0.6064474298621529,0.5788494168334444,0.5541857882951147,0.5180315509892243,0.49247318179709537,0.47398974007694505,0.46004499536406335,0.4506081460668858,0.4365947446289212,0.4286817049823267,0.41176358485575293,0.4100087991683784,0.4228276294292008,0.43043921008296815,0.44306420583089867,0.4680500290411468,0.497492372829217
rotD50,SA,0.07,-0.4563896120760978,0.6059926800762828,0.5401294174300767,0.9608568005024727,0.9658480300038331,0.9741723748589936,0.9831593917810704,1.0,0.9723041970151634,0.927615637605094,0.8883625934112895,0.8496129183450316,0.8139367116558837,0.7799992351488674,0.7476370285646111,0.7183192335425304,0.6920921473372956,0.6496261004796835,0.611070521575886,0.5920964278795569,0.5767193378866354,0.5485453448023205,0.5237066175303839,0.48703466647008203,0.4606560410354446,0.4414883719097377,0.42772010083360346,0.4182549526314085,0.40457930434608513,0.39701956915051206,0.3807876094840491,0.37918998326241515,0.38923705894478794,0.3966010410502468,0.4055170246446321,0.4304718766612335,0.45974270018837776
