,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,0.01893170539314612,0.06265002370008846,-0.4323135496096422,-0.4221207557721686,-0.3991180688266886,-0.4259097650122463,-0.4506830677370196,-0.4867879898824406,-0.49225462677025644,-0.4664218932063478,-0.4437886447022854,-0.41651052454754217,-0.36411989601902056,-0.32203103516085885,-0.28859280092259365,-0.2547429036853157,-0.1976257490434237,-0.14922402631286522,-0.1097811255427946,-0.07314057950416017,-0.05794055942151773,-0.021842187336482976,0.0019138182111652676,0.038179943534418136,0.07717128307393088,0.09565727849530944,0.11746000463126718,0.1398718923590637,0.22178919087351665,0.2136943568820509,0.21704632056906698,0.2386810749384102,0.22908209244438446,0.20079144193709084,0.15542395146851543,0.14352649395825662
rotD50,"AvgSA[0,3]",3.0,0.01893170539314612,1.0,0.9255268707136991,0.6883341557607504,0.680888569463991,0.6386325492467285,0.5971560007611149,0.5418744802613565,0.50475238760959,0.48331738035141314,0.542361862557539,0.5779465866143622,0.627405586841207,0.7083951404340356,0.775110922113114,0.8198372750667569,0.849567638855703,0.8965764225498025,0.926484152238756,0.9410890718039205,0.9486192147239537,0.9601406300136327,0.9675389747732448,0.9695593782041355,0.966872065163065,0.9663017431231774,0.9676275809606778,0.962970717120256,0.9568610582332636,0.947951228802969,0.9301687758519657,0.9180364768888303,0.9005747710536346,0.9042391251648939,0.8231058901092592,0.8243461751597684,0.8056852223626195
rotD50,"AvgSA[0,6]",6.0,0.06265002370008846,0.9255268707136991,1.0,0.6523655698830118,0.649528252221648,0.6449728204626003,0.621406204559299,0.5653876686024067,0.5075352695504322,0.4709553758492579,0.4963014784335458,0.4912120441475253,0.4995851605208305,0.5485784457082963,0.6216224598154417,0.6462439876855914,0.6788875550190868,0.7400104924349031,0.7968648958115697,0.813628442607743,0.8342872628213842,0.856086796448677,0.8686433873923023,0.880391007989857,0.8932775441678608,0.9085100533919072,0.9210845084974552,0.922189431330203,0.9234887827685925,0.9285404450317434,0.9259861152356674,0.9254314064064942,0.9298274809652424,0.940015657706731,0.9580531824541062,0.94771450057759,0.9250779815189072
rotD50,PGA,None,-0.4323135496096422,0.6883341557607504,0.6523655698830118,1.0,0.9980882340278326,0.9854661911242913,0.978614439527362,0.9693861725851799,0.9645274892358215,0.9543051807370516,0.9528146657691308,0.9494664513741629,0.9373984654728007,0.9237993136378015,0.9108185866665351,0.8925026850442064,0.8769191822951916,0.810603951502161,0.7629162182848473,0.7384952673486441,0.7149495186601317,0.6965561601862218,0.672404793060924,0.6353079740367793,0.5966425497277976,0.5759357445763965,0.5713525194474517,0.5656656750616453,0.5390206277889883,0.5057226980110197,0.5230414504877834,0.5308901249697806,0.47423703903455966,0.48939611625296914,0.5233282537076068,0.5668353297247204,0.5805678140005588
rotD50,SA,0.025,-0.4221207557721686,0.680888569463991,0.649528252221648,0.9980882340278326,1.0,0.9916823110880935,0.9836046631573834,0.9721132450554621,0.9656691324726117,0.952642055496506,0.9499826621358186,0.9443558852725233,0.9299796541706934,0.9143559270691016,0.9005221156839962,0.88209834540991,0.8665745829959267,0.7993908466045341,0.752483088127907,0.7278729210383166,0.7048462637303123,0.6871513206740948,0.6639731192866613,0.6266360015557274,0.5869356823363107,0.567740011188059,0.563673413941447,0.5590296210667896,0.5339868923457044,0.5036555456387162,0.5238770509610096,0.5320726868255937,0.4746699931182587,0.48975639229392237,0.5241503683531645,0.5669475610364565,0.5797229238209862
rotD50,SA,0.04,-0.3991180688266886,0.6386325492467285,0.6449728204626003,0.9854661911242913,0.9916823110880935,1.0,0.992656650433568,0.9814502311315254,0.965688492124804,0.9472306173598926,0.940331068638858,0.9236678411503004,0.9006846136035922,0.8800220241856843,0.8632077536972532,0.8415390824560972,0.8254571414491514,0.7524469342804658,0.7042199060136494,0.6787602987980598,0.6569220879167658,0.6419641360931125,0.6201197687459474,0.5823416309007284,0.5443413237189052,0.5271849285306986,0.526332617703697,0.5251831907895688,0.4993445546411289,0.4738227219670533,0.5002467613786223,0.5114692315942331,0.45714221798750265,0.4722999760881273,0.5291843556783034,0.5701502557619578,0.5812607135322593
rotD50,SA,0.05,-0.4259097650122463,0.5971560007611149,0.621406204559299,0.978614439527362,0.9836046631573834,0.992656650433568,1.0,0.987677111081456,0.9732526358003761,0.9497942331774157,0.9385400160101324,0.9176415368754915,0.8906946471336563,0.8650134620729357,0.8427263931070726,0.8184185255726648,0.8000537648310986,0.7213820912672565,0.6712024545422143,0.6429572243095676,0.6193496497788169,0.6038667025677457,0.5804835080534546,0.5417299169896876,0.5047211722101806,0.4872423960516493,0.48694616748796915,0.4844411769094306,0.45537330152744193,0.42887827550582397,0.4572884794870436,0.4707885903539009,0.4189702902365602,0.43591182077141943,0.507819333123765,0.5467212214920346,0.5575110303602192
rotD50,SA,0.07,-0.4506830677370196,0.5418744802613565,0.5653876686024067,0.9693861725851799,0.9721132450554621,0.9814502311315254,0.987677111081456,1.0,0.9864671602472017,0.9653877922630264,0.9451062122382015,0.917434648690574,0.8869003522137952,0.855050555588888,0.8263283678295446,0.7944547042183862,0.7724605669774647,0.6880934869996421,0.6311686756494159,0.6004273087740049,0.5739291868937781,0.5547313408594811,0.5312126036572519,0.49175887881295455,0.45287466223828543,0.43029415807015586,0.4263067368823481,0.4221159123756907,0.3931434682895124,0.36145326341237044,0.39639438839220753,0.41222520644381977,0.3526531455107483,0.3707738113105211,0.4482006030321893,0.4900590943121061,0.5073869733341911
