,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.1929824859461251,-0.2057098575807314,-0.5066058050670018,-0.5058625127750656,-0.5030580506116697,-0.5060961048064337,-0.5182341827939592,-0.529445626586826,-0.5016290744224143,-0.4673895862981112,-0.4226342691638045,-0.39231343574912786,-0.3569852419131716,-0.3470191673125167,-0.34020397378722,-0.3206669235341853,-0.30358236564104923,-0.2693051238515909,-0.2612403200837589,-0.24766989872768724,-0.22146918533094329,-0.20427251164796992,-0.1695121779464817,-0.1747125535920272,-0.21553865218570167,-0.23657434105512662,-0.2687644791469845,-0.22898916678348347,-0.21507310481481642,-0.2365149384595838,-0.24642458651467578,-0.2093461344134058,-0.22112873100383357,-0.23060676505508154,-0.24908570559939985,-0.25724146337150233
rotD50,"AvgSA([0, 3])",3.0,-0.1929824859461251,1.0,0.9678555742431421,0.8186803945891997,0.7986716903557126,0.7559353048764705,0.7362927492707205,0.6880247649566291,0.6781762627633992,0.7217574998987732,0.7841253882517625,0.8336505570953905,0.8706906656970856,0.8945533013023339,0.9122476508814055,0.9292318770782615,0.9436181626744737,0.9513066279504183,0.954292434122867,0.957277324640396,0.9560867051152183,0.958439695134595,0.9613542453304357,0.9604998110044357,0.9596525116753853,0.9735607266586525,0.9779585121387881,0.9714741692431234,0.956949661692552,0.9481058247309372,0.9399199398603064,0.9341455430780135,0.9149137084840346,0.9068667903575991,0.8758387998504905,0.8537374269792306,0.8292500833830773
rotD50,"AvgSA([0, 6])",6.0,-0.2057098575807314,0.9678555742431421,1.0,0.7575764591145296,0.7357107692679861,0.6971948606150289,0.6783785228809195,0.6350875557958074,0.6162278137892818,0.651068604879918,0.7046844255755648,0.7438686520229657,0.7847101881575149,0.809728460502998,0.8441071664997251,0.8635084397476459,0.8729666274803114,0.8710818143469296,0.8776204668392675,0.8837996720945279,0.8844881907850423,0.8902221170610413,0.8985107753319207,0.9057252846708755,0.906851213856685,0.936980052738582,0.9530439854243268,0.9540257602604161,0.9494716434912779,0.9519918344803101,0.9564661218557793,0.9549774600680336,0.9544121618251711,0.9488922761264069,0.9545089986123911,0.9347700793157496,0.9124284186218713
rotD50,PGA,None,-0.5066058050670018,0.8186803945891997,0.7575764591145296,1.0,0.9987591841878884,0.9895288739411661,0.9858665306087978,0.9753156771158291,0.9744451102659708,0.9810032254731821,0.9836742748626872,0.9674977820702071,0.9507618291575052,0.931948392588063,0.9251611987033468,0.9139716045413764,0.8952984730087271,0.8535434253584223,0.8206273573809513,0.8065797890175388,0.7938740268910714,0.7749320787674786,0.755235008170841,0.7329630385145155,0.7124127138621302,0.7413479079240588,0.7601328291533939,0.7692425320879558,0.7468082064259501,0.732011599860457,0.7453066383300184,0.7513428170150697,0.768520982185538,0.7742433199943346,0.7274460478259359,0.7483222136506493,0.7569295838241029
rotD50,SA,0.025,-0.5058625127750656,0.7986716903557126,0.7357107692679861,0.9987591841878884,1.0,0.9942397559700612,0.990716174977724,0.9803993015473127,0.9784693170652403,0.982289965478685,0.9822026595250677,0.9625565305518995,0.9430255838951929,0.9227329545161328,0.9157449568882766,0.9042306375905903,0.8843538524066192,0.8395845557894821,0.8056073671678806,0.7908930860575296,0.7781753950318961,0.758577097191057,0.7385352407920742,0.7167763332246527,0.6942953445218689,0.7238055707878944,0.7434097063632096,0.7538818009298022,0.7296421953024868,0.7140236451785736,0.7294406648480436,0.7365654443907687,0.7558200411784862,0.7635765238871425,0.714623195444527,0.7375734288022243,0.7485055441914884
rotD50,SA,0.04,-0.5030580506116697,0.7559353048764705,0.6971948606150289,0.9895288739411661,0.9942397559700612,1.0,0.9974901747813596,0.9899829668080026,0.9836579950284986,0.9796986793594912,0.9688347995024357,0.9392759546245976,0.9147701980919991,0.8908909905022355,0.8852058050812498,0.8745770737546046,0.8525658828391083,0.8038458520342071,0.7701197514888889,0.755396991518229,0.7432601981126005,0.7231702021007954,0.7036809927779548,0.6822769943178179,0.6565491193159481,0.6870362817737091,0.7094977108781865,0.7221291131825808,0.6944025678607993,0.6748049292703032,0.695666971792337,0.7064413879812086,0.728796902354709,0.7429892180985253,0.6945988366273814,0.7178623200162613,0.7323415471141965
rotD50,SA,0.05,-0.5060961048064337,0.7362927492707205,0.6783785228809195,0.9858665306087978,0.990716174977724,0.9974901747813596,1.0,0.9928429070417935,0.9852720648825819,0.9770717063969703,0.9633218221026256,0.9304692479934383,0.9048913994656407,0.8794403615399244,0.8736872403172337,0.8625789220846504,0.8403405732888551,0.7909934209893167,0.7578634336843817,0.7430422265298785,0.7305278887604802,0.7091384301981067,0.6893071527968883,0.6681793405101547,0.6411535145737567,0.6711247140818812,0.694024378052746,0.7070210231129834,0.677373506055699,0.6556391922284184,0.679073736225342,0.6914590465206176,0.7137303896557681,0.7292170485872234,0.6813170520416725,0.7076454874651986,0.7239449182060308
rotD50,SA,0.07,-0.5182341827939592,0.6880247649566291,0.6350875557958074,0.9753156771158291,0.9803993015473127,0.9899829668080026,0.9928429070417935,1.0,0.9924319853598498,0.977491986482407,0.9526467756910001,0.9099760898027017,0.8792312802005275,0.8482298217129344,0.8397427859526687,0.826602780608855,0.8020040848673974,0.7521933600297094,0.7168498967809065,0.700874440506976,0.6871406625394614,0.6661606578553938,0.6452817230042971,0.6207543248131792,0.5931072956710238,0.6258359462255008,0.6514701667552016,0.6648099886286232,0.63311491065098,0.6095611472226811,0.6353990576992595,0.6483449509653841,0.6698024085109681,0.6898816696115306,0.6501115999133343,0.6773751682319082,0.6961028671463206
