,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.3213673550144157,-0.14682636638209126,-0.39971166865651986,-0.3615233955580625,-0.32848673095002,-0.333866318225533,-0.34730949167181974,-0.35115514275893533,-0.3454295740798474,-0.33360974026439977,-0.3373135048364875,-0.3570853590787592,-0.35390389481235557,-0.34578149723638124,-0.33415673811147445,-0.3485767537311806,-0.3655471474346,-0.3440650594428982,-0.3562652941235117,-0.3348528620604294,-0.2847476586060017,-0.2755465468006624,-0.27853088794557174,-0.23901058490445914,-0.24282715351756196,-0.2228950183730471,-0.20310696268436357,-0.21912962160733396,-0.17074411211270005,-0.14510183148487635,-0.17634972060032023,-0.13978122796972142,-0.10721009163472763,0.0006554780711636687,0.0026297583020496594,-0.0077679769575575265
rotD50,"AvgSA[0,3]",3.0,-0.3213673550144157,1.0,0.8236218147171662,0.7273107419619008,0.7093339275214129,0.6677379199084974,0.6579196948731272,0.6135704895327405,0.5719103995488188,0.5321117310527678,0.5829728770097764,0.6240174514468635,0.703745670329515,0.6713535434825493,0.7140218972704233,0.7335284976305104,0.7344628086817124,0.7647405674910488,0.7889000279113888,0.7937799160567527,0.7990104929588465,0.8198437909599521,0.8264732114850893,0.8332792123783898,0.8465163041429723,0.8622333386069008,0.8579204322157368,0.8562671753055131,0.8650702522365875,0.8781661097476995,0.8312010153544682,0.8103316923697997,0.7763641080670436,0.7370695838149133,0.6459059400509118,0.6216558897410325,0.6043435812792258
rotD50,"AvgSA[0,6]",6.0,-0.14682636638209126,0.8236218147171662,1.0,0.5813437235748747,0.5649851678535719,0.5234734043353685,0.5145153685764927,0.4874121395210421,0.45334746519705454,0.39475296111432795,0.4572184828932109,0.48337841618035415,0.5197157390823567,0.496796398664263,0.5422178022253688,0.5654538783928448,0.5623248336995411,0.5665333779252911,0.5489377454167155,0.5678342110403779,0.5816786622317517,0.6101822975019453,0.6275249664069869,0.6703429998581559,0.6897003813508651,0.7177227642862739,0.7344797723539365,0.7646681269861667,0.809442167107986,0.8455998331396994,0.8857320535213513,0.8897822659483985,0.9012959955926916,0.8759305424855254,0.907632227950424,0.8726959937236947,0.844097238111348
rotD50,PGA,None,-0.39971166865651986,0.7273107419619008,0.5813437235748747,1.0,0.9847111003661165,0.9449381317510365,0.9374224148276035,0.930803310294368,0.9173199696811131,0.8904826867042417,0.8993145632402937,0.8892744941474829,0.8741430784411516,0.837078527426865,0.8139133592636136,0.7838338593064181,0.7437659319727231,0.6811886325990709,0.6394294576869182,0.6074850317371852,0.6040743097493219,0.5917747498157285,0.5809511542880713,0.5481971152597521,0.5474869039894518,0.5594950565863734,0.5195866004802809,0.49950521803872455,0.5371942060267954,0.5183434014562889,0.5315318475538291,0.5726218805888306,0.5390184583154723,0.5234931702749102,0.4825808956798012,0.4886130819149691,0.48860694701515767
rotD50,SA,0.025,-0.3615233955580625,0.7093339275214129,0.5649851678535719,0.9847111003661165,1.0,0.9685913277062186,0.9471832546468232,0.9276569909570284,0.9042295022706548,0.8657088837422116,0.8730734586053898,0.8628845468977586,0.8479789608318946,0.8064064616060667,0.7832240488591771,0.7544768315719875,0.7108905690615447,0.6565604409842535,0.6179663383020367,0.5873551058991486,0.5895265592242958,0.5732283281600196,0.5615290812332658,0.5238268105482563,0.5254093258076179,0.5458511783622539,0.5035931630780898,0.4892922898864568,0.5230655512097474,0.5016122653234227,0.5232213353115187,0.5706876518559166,0.5430077092979806,0.5238571353419675,0.47497861959160753,0.47663490764861616,0.47738907124778074
rotD50,SA,0.04,-0.32848673095002,0.6677379199084974,0.5234734043353685,0.9449381317510365,0.9685913277062186,1.0,0.9671260135094655,0.9208090493162364,0.8794617534388831,0.8191541786619448,0.8240906431017241,0.8089539496757997,0.7907463717515765,0.7482319232412673,0.7179046097071714,0.6889703151269135,0.647309916553519,0.6103216609388143,0.5664653170452664,0.5398885928286689,0.5466608968625958,0.5358696972526185,0.5297985921072633,0.494921324492189,0.4986263134791277,0.5166464404479312,0.4819923426510115,0.4673338780046993,0.4942463511252749,0.48374744214425885,0.5133505087646788,0.5627692262611679,0.5328290752587119,0.5140556068171721,0.4656376839315136,0.46523607424537844,0.46588419668284325
rotD50,SA,0.05,-0.333866318225533,0.6579196948731272,0.5145153685764927,0.9374224148276035,0.9471832546468232,0.9671260135094655,1.0,0.9432474290823848,0.8899796571473438,0.816175934275766,0.8155676279996336,0.8010367125826937,0.7781329839213862,0.7361704763975969,0.7021608221376451,0.6705612120600494,0.6310255836565286,0.5902692358393238,0.5478315219199522,0.5231029337650177,0.5258695238581691,0.5254712630647015,0.5306289657008328,0.49685340515826365,0.5006961537123227,0.508778880889095,0.47956291092857056,0.4569805747732328,0.4948712613585066,0.4786245221237393,0.5064154766956219,0.5514605865638242,0.5240365737056955,0.5188370114041805,0.4641316787201265,0.46653633726186206,0.4632194013134488
rotD50,SA,0.07,-0.34730949167181974,0.6135704895327405,0.4874121395210421,0.930803310294368,0.9276569909570284,0.9208090493162364,0.9432474290823848,1.0,0.9452041411751768,0.8631117420945326,0.8386542763249015,0.8050005907740688,0.7756647279948712,0.7173642869559197,0.6742682869827545,0.6382782972919917,0.5912294584931134,0.5427580272029481,0.49583296588897385,0.4716830156341498,0.4848554842110125,0.47943948439049555,0.48804094379900204,0.4606236041801892,0.45846786326182615,0.4638058892234459,0.4331571568565634,0.405738372137272,0.451240102488442,0.43641101866252924,0.46790284234863566,0.5109066154212052,0.49230479305180813,0.49212483281521086,0.4395156854354632,0.45570818956960374,0.4614776086062907
