,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.21752369575488137,-0.21334076123580023,-0.46209305670344797,-0.45537204657315705,-0.4465937236609001,-0.45793587896618876,-0.4748767911587307,-0.48774355813516823,-0.4705348297038406,-0.43841324753549793,-0.3992547397542043,-0.3649603516590724,-0.3292933154069237,-0.3122864010359676,-0.30210906865949155,-0.2830271791766656,-0.25833098611558336,-0.22204657118932847,-0.20730277969617922,-0.18500330525602676,-0.1558465125073868,-0.13539895713035502,-0.11517256171907947,-0.10792627466624975,-0.11593768501253167,-0.10493781197113565,-0.1094102841706183,-0.06862858196938237,-0.0034714374718839273,-0.003918645606022686,-0.02608873850666973,-0.0038209609826665406,-0.01736075316578784,-0.04371880815805395,-0.06117244819791553,-0.07633025614826823
rotD50,"AvgSA([0, 3])",3.0,-0.21752369575488137,1.0,0.9831071496517977,0.8010647640424954,0.7907497889363928,0.7603379639472259,0.7414970205943393,0.7010518197698563,0.6843816628641303,0.6976688763022757,0.7480361789779169,0.7851795989324925,0.8149079058173474,0.8415667378193794,0.8689127029050288,0.8913055237650874,0.90890921489943,0.930366519006265,0.9444300556072501,0.9500173985950056,0.952379677523229,0.9570969083468673,0.9602045723753392,0.9624316513233457,0.9639766612234237,0.9674080840201811,0.9670759024947333,0.9615168303802242,0.9501868263970292,0.9321088678909771,0.918683132130642,0.9081118542815575,0.8929959289578829,0.8883367954542218,0.8602179277975398,0.8503144408454423,0.8328213963731074
rotD50,"AvgSA([0, 6])",6.0,-0.21334076123580023,0.9831071496517977,1.0,0.7726398471062179,0.765120155904502,0.7406834254773605,0.7238942257313802,0.6835982545443143,0.6644114880960724,0.6699284892174154,0.7111838080204226,0.7398380596493553,0.7617479556958894,0.781987507719456,0.810753897685213,0.8342490918949056,0.8511136225455814,0.8735878027399566,0.8922817350681278,0.9000910754821044,0.9044317544546595,0.9103843083149998,0.9183174427647475,0.9295733348327011,0.9388332150410943,0.9528080747268741,0.961673129472414,0.9654006247146388,0.9704983573404493,0.9701345387704929,0.9706529815552128,0.970223044222253,0.9665357398502329,0.9647952892860472,0.9531165572215148,0.9395793898480803,0.9210125061434594
rotD50,PGA,None,-0.46209305670344797,0.8010647640424954,0.7726398471062179,1.0,0.9977910145247028,0.9865601666878708,0.9816749123379807,0.9735183047078266,0.9700324534681702,0.9690841302912893,0.968847911473701,0.955643924210114,0.9382640828908987,0.9202813265727819,0.9114824481926795,0.8989513048612173,0.8760555056244077,0.8287204524232198,0.7901885841867092,0.7692322713084863,0.7532064447750085,0.7295524479979824,0.7079559198986457,0.6823440577850391,0.6613576024810806,0.6567032571556727,0.6512279615411856,0.6434663663069391,0.6087588373100501,0.5751516712057508,0.585755307305791,0.6016353496661794,0.5882679113280751,0.6078216984419706,0.6091307001454789,0.639750814958076,0.657349046964816
rotD50,SA,0.025,-0.45537204657315705,0.7907497889363928,0.765120155904502,0.9977910145247028,1.0,0.9923101355000908,0.9860868122924213,0.9764727000998741,0.9711255510720772,0.9665781202802906,0.9639514757447503,0.9483627438873641,0.9290718455932887,0.9092902951319035,0.9002544832174361,0.8875333626169335,0.8636320779480333,0.8154321556468181,0.7773500268549225,0.756272601128711,0.7408667984230505,0.7169023197247262,0.695486712160184,0.6696981299921164,0.6480775011261726,0.6449670777819202,0.6400855159957706,0.6337588825647589,0.5988454316424292,0.5658919411592194,0.5797355626390203,0.5971990470584122,0.5856719867789336,0.6053663545552087,0.6052244305437304,0.6358604272248273,0.6538783213496814
rotD50,SA,0.04,-0.4465937236609001,0.7603379639472259,0.7406834254773605,0.9865601666878708,0.9923101355000908,1.0,0.9939207396958937,0.9833610680366539,0.9715763175681134,0.9577290741448803,0.9468377993842513,0.9232342640919294,0.8990100482861253,0.8760629947243033,0.8662446508779945,0.8533963556941955,0.8281754191443575,0.7791526177112343,0.7406943568537999,0.7198399144246052,0.7057561684523984,0.6825112251325173,0.6620998932858706,0.6364037941458577,0.6144052721708305,0.6114907840519804,0.608921249440166,0.6045440492144544,0.5671615014018003,0.5335699593482726,0.5536062244259953,0.5746917339823855,0.5664251869063256,0.588373928579678,0.5948291081050837,0.6252577169005135,0.6439709964835149
rotD50,SA,0.05,-0.45793587896618876,0.7414970205943393,0.7238942257313802,0.9816749123379807,0.9860868122924213,0.9939207396958937,1.0,0.9885389974429825,0.9750356886190475,0.9560126597357239,0.9410217768576684,0.9138433369650151,0.8873077171537657,0.8625786305804469,0.851736031659286,0.8380588223621409,0.8123200223157067,0.761416803000389,0.7220823419151743,0.7002344126926124,0.6851033458734395,0.6618449899093728,0.6417281713861833,0.6162313264561614,0.593714545542045,0.5898837534679213,0.5880540670767229,0.5829403653159438,0.543524570973732,0.5079799583255019,0.5292589541175874,0.5515447601390204,0.5464061888537287,0.5714758622589184,0.5824614967568023,0.6132991510289867,0.6318908460112476
rotD50,SA,0.07,-0.4748767911587307,0.7010518197698563,0.6835982545443143,0.9735183047078266,0.9764727000998741,0.9833610680366539,0.9885389974429825,1.0,0.9881343933181067,0.9655486236338037,0.9393739235801182,0.903099236114877,0.8724960239307588,0.8421661952752241,0.8281484358026204,0.8111101352396175,0.7816226426949839,0.7273145254456881,0.683457975811205,0.659780574126463,0.6435192547865777,0.6178710191076722,0.5966179792329452,0.5700199754784303,0.5462108873712256,0.5417627323709276,0.5404543829916503,0.5350407763140904,0.49347328556625303,0.4528819772952478,0.4788308581082305,0.5013836031019452,0.4989586443777846,0.527587535084296,0.5430024861161672,0.5779205760023596,0.6013952701019322
