,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.018499686948951658,-0.0030488521001292464,-0.26912920367466375,-0.26480410427546247,-0.24795300386700878,-0.26343863511654575,-0.24052302602262077,-0.2374997579927411,-0.252243527267685,-0.3030543827496153,-0.27161788497496,-0.22602052492695146,-0.18116064904441703,-0.1712592270192691,-0.15603291480299972,-0.1259855099188406,-0.07155058906200015,-0.04949046496312624,-0.04384838857849938,-0.035599201086181274,-0.022229777579161555,-0.0175608374719748,0.010511294347646336,0.016968985052543243,0.011820587671442834,0.011789716124381134,0.010653139608724134,0.02173606280518144,0.03839016338279374,0.013723923767885567,0.0015557892390575827,-0.14571074962316813,-0.15688710053991267,-0.06787335177158534,-0.11758087659339161,-0.16146379231946975
rotD50,"AvgSA[0,3]",3.0,-0.018499686948951658,1.0,0.9671933589576268,0.8326110362730618,0.8262931769035539,0.7964174059544112,0.768624397284756,0.7428978029951978,0.7309180338803223,0.7688010594119403,0.788765953333139,0.8151381180428416,0.8528703314647983,0.8749010062993918,0.8952409285139065,0.9121302419307612,0.9324457818713255,0.955047778447141,0.9687510145205941,0.9711161260760207,0.9739634655410695,0.9777751145617276,0.9811021776883498,0.9830147926551126,0.9834048743901581,0.9842712873432972,0.9821800221892354,0.9818384305136202,0.9762912143388106,0.9675350992516921,0.9541553644764966,0.9417113071455252,0.9310837926646571,0.9189684551381901,0.8674963853748311,0.8359085443263813,0.8055112229852557
rotD50,"AvgSA[0,6]",6.0,-0.0030488521001292464,0.9671933589576268,1.0,0.7709381558737463,0.7695552567559434,0.7546410130306533,0.7260345644455389,0.7075796395281542,0.6751524093653775,0.7034326401413098,0.710758952706836,0.7172703157193288,0.7364225460827478,0.745214216362665,0.7762560694109875,0.8076245101124547,0.8427891001451853,0.8777496057855791,0.9001794225839415,0.9065029282946562,0.9148804387476951,0.9274882331569062,0.9382019061554532,0.9380575044633249,0.9470017167411897,0.9574685825970767,0.9636962566425044,0.966485342787625,0.9738001735690557,0.9711648386724917,0.9767850156372615,0.9692001555488524,0.9766819706858405,0.9657478385215144,0.9461965224491751,0.9220153678162631,0.896600817227485
rotD50,PGA,None,-0.26912920367466375,0.8326110362730618,0.7709381558737463,1.0,0.9991475352100425,0.9894588024089782,0.9847437672893056,0.9715516175745036,0.9673530493126434,0.9787478301938716,0.9729394268437531,0.9626169977078001,0.9607614242153055,0.9456875530356221,0.9323054515046726,0.9157514932075204,0.9002640378274316,0.8742423533581217,0.8493978364367705,0.8428870072957352,0.8414310756333854,0.8289328278053284,0.8246815802193942,0.8030605462356973,0.7908864690518248,0.7742694080420544,0.7597161280129571,0.7608844836602939,0.7469952836779127,0.730862626691403,0.7501545819501851,0.7522921092096538,0.7428138399037096,0.7480985198170131,0.7006266159404987,0.6968423854399782,0.6964969150251473
rotD50,SA,0.025,-0.26480410427546247,0.8262931769035539,0.7695552567559434,0.9991475352100425,1.0,0.9933357466114155,0.9887361319574718,0.9742100906900836,0.9684364249525568,0.9782417523305417,0.9689920571296405,0.9565259650589755,0.9532218829971175,0.9384854239183474,0.924758247310431,0.9077506125110708,0.8916596315646533,0.8652769170604265,0.841052716054521,0.8347820984739373,0.833678844443244,0.8216782466036887,0.8178598643293784,0.7969172902166245,0.7848072050889133,0.7681403724497653,0.7535396890725722,0.7544851864364878,0.7417443894215043,0.7260765032055422,0.7461499569035929,0.7484640027646613,0.7402358229654507,0.7460146043262482,0.7003496505879879,0.6967980286772679,0.6957154609299743
rotD50,SA,0.04,-0.24795300386700878,0.7964174059544112,0.7546410130306533,0.9894588024089782,0.9933357466114155,1.0,0.9973866441422179,0.9839167095759931,0.9714649321727798,0.9720063878537555,0.9486566448289823,0.9312913164881194,0.926498630568703,0.9122260281362126,0.8969605606303928,0.878896099723457,0.8604134128712069,0.8307684108012243,0.8063883921332873,0.8000051688334818,0.7995277627491721,0.7877925131271093,0.785316455684749,0.7659995170252205,0.753678964295497,0.7365958338761684,0.7229630633566463,0.7246637104062692,0.7158039894287913,0.7029011148453473,0.724063759917518,0.7278957844465243,0.7211160319283169,0.7303382448555247,0.7011239724620644,0.7003016241093714,0.7015009223397898
rotD50,SA,0.05,-0.26343863511654575,0.768624397284756,0.7260345644455389,0.9847437672893056,0.9887361319574718,0.9973866441422179,1.0,0.9889270912320112,0.9762761900193739,0.9727524352647348,0.9437308032797628,0.9225872167731174,0.9163918725344646,0.8985974941278267,0.881417196173898,0.8607211201719835,0.8402507616048099,0.8073885983597184,0.7805589301109729,0.7736076937376223,0.7725921404668157,0.7599266005395895,0.7574938070449353,0.7371413310836896,0.7237565832165758,0.7064846620615156,0.6927774219886184,0.6950433621569606,0.6862869317792837,0.6738484733096782,0.6960933899346745,0.7010416135619131,0.6951354384032068,0.7056029312950317,0.6803699672227345,0.6816093910662732,0.6869669141347533
rotD50,SA,0.07,-0.24052302602262077,0.7428978029951978,0.7075796395281542,0.9715516175745036,0.9742100906900836,0.9839167095759931,0.9889270912320112,1.0,0.9875326402636387,0.9705191892591248,0.9332058083439645,0.9059361872923093,0.8974416306241478,0.8721186135323299,0.8561244399691099,0.8340363990624231,0.8141675259581467,0.782888135858832,0.7552768493072753,0.7475976833705081,0.7465552000301796,0.733747147902635,0.7319597318370404,0.7123052602543679,0.6992379518467898,0.6797708429870811,0.6665123120505455,0.6700578505120567,0.6611732177280325,0.6505697841620743,0.6791341109279573,0.6852795737618551,0.6728983468649727,0.684180698057663,0.6704798473149385,0.6705607584149523,0.675804875773754
