,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.18910432487795975,-0.18505128338244956,-0.34634685371797946,-0.3380591033403325,-0.32559257338175596,-0.33309224347670735,-0.31950511015383587,-0.30950433823160345,-0.31624735802353376,-0.31124415845501396,-0.2901417094481001,-0.2750714908759823,-0.2591841813203365,-0.2537475924156426,-0.26271346983096894,-0.25598891776199556,-0.25632114053427235,-0.23002246389085051,-0.23178557656925605,-0.22398318646514148,-0.20159567024188269,-0.17706891681349562,-0.1454723114994912,-0.13259797732133483,-0.1370846346482536,-0.14514735099288192,-0.15541541400304335,-0.16982543195309854,-0.1375100455678486,-0.15958158070967385,-0.16743701792049104,-0.09007885921617038,-0.09737206875277256,-0.18793087097696284,-0.21475720743897392,-0.22763453639520437
rotD50,"AvgSA([0, 3])",3.0,-0.18910432487795975,1.0,0.9488150920383512,0.7988769624026687,0.7815458840936029,0.7366693421639298,0.7159077906859451,0.6897672556635028,0.6901148068788302,0.7472285200355535,0.795583454496268,0.8442935685317675,0.8836469467651925,0.9011181986789785,0.9171911847206511,0.9267177006657964,0.9347552326011985,0.9527425713933869,0.9616288186782251,0.9651800752759275,0.9673530843442335,0.9680525853038014,0.964826712815374,0.9584740109605686,0.957577134263863,0.9576011888282832,0.9562794594820271,0.9560486530809824,0.9587596250937273,0.9510379762200007,0.9425441234031836,0.9397584307938279,0.9094493089305137,0.9144745001701358,0.8968151112353963,0.894849159299963,0.8929458156690968
rotD50,"AvgSA([0, 6])",6.0,-0.18505128338244956,0.9488150920383512,1.0,0.6891413164067837,0.6685281228961415,0.6265297849482719,0.6094548039598806,0.5783556956003341,0.5670907260642982,0.6253614755403303,0.677699367332474,0.7259259143860421,0.7732646507349216,0.7986762867378656,0.8254229910859681,0.8500134237956893,0.8607824186713446,0.8874868345045018,0.9054836590672596,0.9140743282152194,0.9215550308106562,0.9266768687214323,0.9176074952954254,0.9223320624787353,0.926265071598834,0.9250900665865874,0.9224337593714995,0.9194178960417997,0.9292605348986857,0.9269682431363726,0.9343132072305673,0.9366160300359748,0.9648919830580527,0.9690593409255397,0.9783671407210041,0.9752184138611762,0.9724632702005792
rotD50,PGA,None,-0.34634685371797946,0.7988769624026687,0.6891413164067837,1.0,0.9987812078862219,0.9886349329063546,0.9813878604217454,0.9740856094091738,0.9736748539686393,0.9833462366649429,0.9806303425757843,0.9622888601559514,0.9458609905614165,0.9245560521002419,0.9084683333415249,0.8935241061080305,0.8766393835975561,0.8410940029829624,0.8137969317100623,0.7941036348964097,0.7833537197863918,0.7627164803325546,0.7388183218964476,0.6942414690465428,0.6750840201749048,0.6601475705803586,0.655029019873144,0.6574093934198163,0.663288657127661,0.6543535046707635,0.661619805309758,0.6652424735516378,0.6127547119574078,0.6329350440705499,0.6196582372031852,0.6363968093744105,0.6382457211018967
rotD50,SA,0.025,-0.3380591033403325,0.7815458840936029,0.6685281228961415,0.9987812078862219,1.0,0.9933558483050512,0.986729896351168,0.979512101370973,0.9771309783360937,0.9817870642279986,0.9756873007755691,0.953582457181262,0.9347784980983163,0.9126349931981705,0.8957304544894568,0.8803805509249703,0.8630529774297733,0.8264970512636226,0.7985366822808566,0.7777974613909829,0.7664683587064554,0.7445001280491303,0.7206200015766406,0.6759491189174405,0.6568380920170855,0.641680674778197,0.6368849172436479,0.639170026127502,0.6448833320166472,0.6368898508461958,0.6442251441854574,0.6476778764084696,0.593189694461322,0.6134515515641638,0.6006867037840419,0.6175269118916502,0.6182634643099912
rotD50,SA,0.04,-0.32559257338175596,0.7366693421639298,0.6265297849482719,0.9886349329063546,0.9933558483050512,1.0,0.9960748539727661,0.9888205504501534,0.9810166265417705,0.9729267000122567,0.955787194175359,0.9246133994509428,0.9020643066040688,0.8785133541680793,0.8609400207492359,0.8459948251493028,0.8273783014817072,0.7887576705359696,0.7618132647709116,0.7405410030659259,0.729194721020866,0.7037955221849624,0.679100186573248,0.6334186204290848,0.6147285623712779,0.5996492785879828,0.5951392522475101,0.5971546653288663,0.599940913903418,0.5910254029214144,0.5999146840734574,0.6033783924588291,0.5538709659623683,0.5740010178338638,0.563620654727489,0.5826005408752584,0.5838839774336154
rotD50,SA,0.05,-0.33309224347670735,0.7159077906859451,0.6094548039598806,0.9813878604217454,0.986729896351168,0.9960748539727661,1.0,0.9934344216739769,0.9829240719242001,0.9664375144483716,0.9433613928926138,0.9076336682384248,0.8849218799375727,0.8589202015403786,0.8423252213652613,0.8273478312412613,0.8084998563209734,0.769432727684704,0.7448536856459332,0.7239823963627227,0.7133700827664503,0.6869446553611571,0.6629524247091638,0.6155379638621435,0.5960673343422236,0.5804384031621407,0.5755437673170535,0.5777591565840977,0.5790012348680684,0.568870140198723,0.5774416629434148,0.5812038240357152,0.537814266862186,0.5578945945393485,0.5465591430070492,0.5651974283718588,0.5683179462599807
rotD50,SA,0.07,-0.31950511015383587,0.6897672556635028,0.5783556956003341,0.9740856094091738,0.979512101370973,0.9888205504501534,0.9934344216739769,1.0,0.9909233994304221,0.9679687315047153,0.9377643296806717,0.8968073899364732,0.8695033158005945,0.8388943006068246,0.8190395883047438,0.801979470795419,0.7826678915111918,0.7429972389096562,0.7174605755618023,0.6951159355814196,0.6846658770512696,0.6585446398455815,0.6349404508047252,0.5882900431688445,0.5676915830161445,0.5509471677479595,0.5459431685838123,0.5471589621832744,0.5496129458851252,0.5421073983444988,0.5471230951073577,0.5509678910161901,0.5077463015921582,0.5280380752845056,0.5159738853069918,0.5354007756339361,0.5379526787497477
