,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.5804332172803803,0.7047994810378835,0.5577503446386336,0.8634252771577247,0.8565428971737189,0.8293859516829621,0.8188268186359328,0.7926924625244397,0.788394511597211,0.7968184049182193,0.7958603388110477,0.801083592807453,0.7965243133732554,0.7922433200160519,0.7761668622277685,0.7560345409851573,0.7595367161415213,0.7329553840893622,0.7040463639533536,0.6859109650298646,0.6791467706957134,0.6471066830283465,0.613515576565144,0.5712003365041888,0.5614713705672227,0.5289243439931238,0.5149496190466714,0.5140811377773596,0.4800282246148322,0.4829515915657516,0.49594912289302584,0.5146552679569344,0.4276399793204167,0.43718356582745127,0.45868159923647567,0.4998404142326172,0.5298908330936245
GM,RSD595,None,-0.5804332172803803,1.0,-0.4636926809211474,-0.342479001513624,-0.49999234930032377,-0.47940873899424225,-0.4283857192387718,-0.4225346874928162,-0.4290393584570395,-0.4449858450304188,-0.44972336600161933,-0.4962101661669169,-0.4945798482479015,-0.4848212310991207,-0.465340182074867,-0.4697610970879617,-0.45422163823887096,-0.45833808528166065,-0.43361097549768934,-0.4050476656016566,-0.3926864168910738,-0.39000943707103264,-0.38338407428848925,-0.37040112566144134,-0.3298439971232458,-0.32193560991624437,-0.3080780918889305,-0.2925377655406038,-0.28794351719004607,-0.2724021664987335,-0.3084927988787132,-0.33968038781885296,-0.3497642716336682,-0.2746834052290657,-0.2832156592257371,-0.2563734542200994,-0.30289354322759304,-0.3323919379638627
rotD50,"AvgSA([0, 3])",3.0,0.7047994810378835,-0.4636926809211474,1.0,0.8448580635530316,0.7431077412153314,0.7284442698999427,0.6832342776667732,0.6654754454979261,0.6252621666490765,0.624244689664915,0.6478095162569043,0.680892602706187,0.7095451890041955,0.7381369604271416,0.7751655106749379,0.7768608344888874,0.784568428972205,0.8148979818291224,0.8372868708731447,0.8662201261111278,0.8722777190004212,0.8697771554652574,0.8775207499936674,0.8846514429305719,0.8864140183091583,0.8841241858622966,0.8845345970625665,0.8793089988790206,0.8726552990084245,0.8694029780165576,0.8825990250803865,0.8672089125552894,0.8611152362044249,0.7907674612849245,0.7919189993217425,0.7472152661615171,0.7553856463920643,0.7518807101770797
rotD50,"AvgSA([0, 6])",6.0,0.5577503446386336,-0.342479001513624,0.8448580635530316,1.0,0.6665239298357654,0.6633073059786126,0.6330710726663906,0.61490015021062,0.5803409721978479,0.5583919959239806,0.5991709846974924,0.5914975465322077,0.5724128339636194,0.581861835114232,0.5965632796855119,0.6001559386039215,0.6261060742644116,0.6677597509470514,0.6855325414648937,0.7056759438878325,0.7247420163776541,0.72514837011781,0.7260554112654348,0.7434417670648856,0.7330652659877355,0.7222067073165849,0.734867670667659,0.7419413396331747,0.7386197231967633,0.7502547983427893,0.7694007639608209,0.8407902686725683,0.8418228833140476,0.9148529152082362,0.9210227121447153,0.9484290728789003,0.9462724504175709,0.932550579596278
rotD50,PGA,None,0.8634252771577247,-0.49999234930032377,0.7431077412153314,0.6665239298357654,1.0,0.9957418318924789,0.9690068136020403,0.9517496104001861,0.9342525090916356,0.9342254281932086,0.9371748089085365,0.924726262206807,0.896950781322433,0.8896786044011412,0.8708709817862975,0.8394000983243429,0.8209518135901962,0.8186879292649554,0.7843634968692902,0.744433594085696,0.7224440084837721,0.7026785868845546,0.6635232235373898,0.6334656287200917,0.5752473128759422,0.547931686082681,0.5150230279201066,0.5027003407477406,0.4928841744010578,0.4738865403768291,0.49167739510960545,0.5347457144777845,0.5468989109634981,0.5095871901163345,0.5242942468103775,0.5634903434497597,0.6011759614288952,0.6263285122065512
rotD50,SA,0.025,0.8565428971737189,-0.47940873899424225,0.7284442698999427,0.6633073059786126,0.9957418318924789,1.0,0.9819310928054034,0.9639956871447336,0.9414129197931593,0.93791100712576,0.9334629533295402,0.9127093558698003,0.8773149751934934,0.8694937185143448,0.8526360118922858,0.8216562041875983,0.8038355626063867,0.8016043486192047,0.7664039780358568,0.7245186016990587,0.7041189400150383,0.6849770807185515,0.6446650381578987,0.6161818791302562,0.5574957028998104,0.5311783309858694,0.49907771656273775,0.48873811209934453,0.4791015008474045,0.4635892129226692,0.4842584384766757,0.5279761190942943,0.5400559317926227,0.508476330144158,0.523116426183571,0.5642151741224866,0.5993391541093286,0.6226276852697814
rotD50,SA,0.04,0.8293859516829621,-0.4283857192387718,0.6832342776667732,0.6330710726663906,0.9690068136020403,0.9819310928054034,1.0,0.9819191942451936,0.9440809332387083,0.9207814375218506,0.9051480819503708,0.8781794013135075,0.8292976332005756,0.8166731223136706,0.802865931330803,0.773165480820806,0.7552126052212395,0.7526482851155606,0.7200607143724106,0.66879209231269,0.6504815293366119,0.6326092458057537,0.5907058373874267,0.5667972733006191,0.5085682482981468,0.48395519320050795,0.44962650719770275,0.44192370660874775,0.4333318376052822,0.42146459341264353,0.44848818854657024,0.49585664883826186,0.5077727258567677,0.4803317232091079,0.49646666819314744,0.5408280775993504,0.5757969942385692,0.5979039025681925
rotD50,SA,0.05,0.8188268186359328,-0.4225346874928162,0.6654754454979261,0.61490015021062,0.9517496104001861,0.9639956871447336,0.9819191942451936,1.0,0.9587001754537996,0.9231454514857691,0.89962915755513,0.8624861722560994,0.8101493786150137,0.794203886038504,0.7706182042041533,0.7379187257933595,0.7254121691714492,0.7257706999150324,0.6865172817950373,0.642287749046063,0.6253698912587523,0.6058331665985877,0.5651309195975778,0.5398737411557445,0.4853522262318202,0.4634135573079084,0.42851301137867426,0.41953863839330635,0.41012433925940345,0.39587903979809275,0.43183700928342406,0.48533627336965846,0.4947603570545858,0.46819894799468287,0.4841623718823383,0.5213425367369666,0.5585707518321587,0.5810935622362631
rotD50,SA,0.07,0.7926924625244397,-0.4290393584570395,0.6252621666490765,0.5803409721978479,0.9342525090916356,0.9414129197931593,0.9440809332387083,0.9587001754537996,1.0,0.9467687903189903,0.898183881872376,0.8593720590334657,0.8070892567951227,0.786678072106227,0.7572251116193447,0.7237942218376037,0.7082301567163906,0.7062008399667399,0.668498901100185,0.6213617666087253,0.602782508306059,0.5812462581729966,0.537735103212744,0.5102753411822177,0.45010687742772604,0.43406738421424734,0.3934711010410352,0.38079992966117876,0.36826829949952267,0.3515574966970049,0.38792110746035746,0.44546179300236954,0.4544705218107497,0.4304668000528217,0.4443112838642926,0.48783431344562794,0.5289712754881644,0.5502536051178825
