,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.5443609816471284,-0.5119331550632139,-0.4696578524856055,-0.46346329688089566,-0.4477954692866915,-0.4297563556174776,-0.42252418616508775,-0.4406822773604464,-0.4404430434966281,-0.43530425487283814,-0.4457871116105553,-0.44503267714876504,-0.4440101082785775,-0.4618707741424774,-0.44873222776184735,-0.45832136782532185,-0.49488792261853154,-0.5099560329970981,-0.5119119410131291,-0.5063066924589957,-0.5042727638665137,-0.501206170020235,-0.501528499580751,-0.509484481094444,-0.5088476551988791,-0.5102749605310244,-0.5033693424640902,-0.49215710442862937,-0.5251156294631886,-0.49197073814092007,-0.4609872812431064,-0.4486076185357664,-0.4030799492129524,-0.31140205342338834,-0.26363008596443643,-0.22592265392548563
rotD50,"AvgSA[0,3]",3.0,-0.5443609816471284,1.0,0.9584487439043294,0.9457135700236188,0.9436175459692266,0.937255821468014,0.9283557993307967,0.898449792385536,0.8803606172786994,0.8979651903955455,0.9259792314168498,0.9418211540629758,0.9538429935798665,0.9561354829345243,0.9621759784810282,0.9699466677983717,0.9774293014568256,0.9796727121769206,0.9863705525413285,0.9887140576279874,0.9892882892921647,0.9904436220479185,0.9908021899164461,0.9901631951464251,0.9881095491175049,0.9880117468551456,0.9872146920155227,0.9861366373437774,0.9876511435104579,0.9892498469147564,0.967322953417099,0.9377847699298686,0.8816028617837655,0.837462956123446,0.7387833245358459,0.673682120806256,0.6220380041469584
rotD50,"AvgSA[0,6]",6.0,-0.5119331550632139,0.9584487439043294,1.0,0.9598558933604431,0.9591007493326601,0.9551473714076881,0.939585685118083,0.9232008807251213,0.914993483654598,0.9477340438843885,0.9611604299784638,0.9630381398870903,0.9496099326370971,0.9285930169319798,0.9271860381686596,0.9285508075383948,0.9221637101783908,0.9135443325988029,0.9217391211225557,0.9257282680238945,0.9258337982285454,0.9330242379307583,0.9348938447101267,0.9346509185526043,0.9276540727085663,0.9264050485190085,0.9290876590327949,0.9334844838973821,0.95160747621388,0.9748779522524166,0.9898498773680281,0.9848018957443264,0.9705746412036659,0.9456024606794545,0.8909159949094994,0.8441920575660585,0.8048056706009034
rotD50,PGA,None,-0.4696578524856055,0.9457135700236188,0.9598558933604431,1.0,0.9997221011070041,0.9951555218690289,0.9929834522519296,0.9838386842243728,0.9716694403909393,0.9784882215541759,0.9880560549876048,0.9844440389532068,0.9754680404632308,0.9688076734232374,0.9657452437761485,0.9625905584307208,0.9554018634206353,0.9422523398575281,0.9428269380419498,0.9375815981386344,0.9331922530457558,0.9276941834576492,0.9275027095378624,0.9194716859063273,0.9103336065205023,0.9097453389601124,0.9095380266733535,0.9089641248733225,0.909764078149678,0.930870931968238,0.9309092908856499,0.9214477566146302,0.9079258188172742,0.8779260818027277,0.8068115346066853,0.7554627867014544,0.7121994526082656
rotD50,SA,0.025,-0.46346329688089566,0.9436175459692266,0.9591007493326601,0.9997221011070041,1.0,0.9966108643028041,0.9943135226162624,0.9854237212445058,0.9730105098123946,0.9781415140115912,0.9870953332059096,0.9825266121494002,0.9736934455319434,0.9675545236749141,0.9644260079019402,0.9616458154736163,0.9541391933916062,0.9408513413733397,0.9410640851253506,0.935545138185945,0.9311723675230384,0.9253660414216252,0.9250068996804187,0.9167746780288949,0.9074070944783049,0.9068996346169451,0.9068869096186694,0.9064142726880372,0.9078247667577625,0.9296481936330987,0.9299538373703257,0.9210967050938759,0.9085816462582151,0.8790007923596849,0.8074141225461327,0.7560114782644358,0.7128403780359476
rotD50,SA,0.04,-0.4477954692866915,0.937255821468014,0.9551473714076881,0.9951555218690289,0.9966108643028041,1.0,0.9963857703064848,0.9882570862515694,0.9758328072574378,0.9709373920338923,0.9782926053282394,0.9726119937920983,0.9653748345636005,0.9629796349507899,0.961241139401862,0.9600052634514211,0.9524536638876887,0.9390668268101061,0.9382441929730482,0.932221528601108,0.9277991114554888,0.9209180011637215,0.9201171621116151,0.9110237240707214,0.9015578240640476,0.9012219683125917,0.9014474842477408,0.9010219013388132,0.9033848290845189,0.9260197089857432,0.925924824063216,0.9185024114499413,0.9072616303215499,0.8774732778861309,0.8028880179665565,0.7499582776626016,0.7062439040401827
rotD50,SA,0.05,-0.4297563556174776,0.9283557993307967,0.939585685118083,0.9929834522519296,0.9943135226162624,0.9963857703064848,1.0,0.9911562547669575,0.9769001229795644,0.9704212440178365,0.9743623517058057,0.9668084916381177,0.9602412226220748,0.960561289182611,0.9589764858634776,0.956802532848898,0.9493756497510845,0.9356734301501768,0.9331316628055327,0.925331103158002,0.9202714347815958,0.9110465783012758,0.9098703896881498,0.8993306951731621,0.8891191029589425,0.888487896984342,0.8872177172009716,0.8861839290662653,0.8861594891978957,0.910790595674385,0.9050532031055967,0.8955394226336016,0.8863295695584142,0.8550699801668346,0.7750179829305843,0.7204825970948928,0.6757834563428287
rotD50,SA,0.07,-0.42252418616508775,0.898449792385536,0.9232008807251213,0.9838386842243728,0.9854237212445058,0.9882570862515694,0.9911562547669575,1.0,0.9874025240343891,0.9684554799725432,0.9681858290561794,0.9545604987209608,0.941796696217382,0.9408358517744062,0.9378513198161359,0.9342109128182451,0.9235796474596597,0.9082658200360455,0.9065458990893368,0.8984508297511039,0.8925645282262097,0.8824424733714712,0.8809154863128963,0.8702850037747881,0.8595388602655808,0.8593109247555845,0.8588563223453093,0.8588995879203463,0.8601386032531654,0.8884938029377761,0.8893277012666378,0.8878139458498668,0.8863150155957474,0.8612489355236653,0.7901991244969416,0.7405953967567964,0.7002139918138864
