,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.2785733242646164,-0.3331621885204,-0.2220349845764757,-0.2070616617682254,-0.14886615876867926,-0.15836420899967402,-0.200687084514911,-0.2228168284960703,-0.21382320717387646,-0.23075745381687127,-0.22554111370546348,-0.21743755278891033,-0.21210626856864748,-0.2050699185499312,-0.21803172259040435,-0.2386597423839996,-0.24630254426844997,-0.2360412739694235,-0.2231407055535837,-0.20449208641569788,-0.19639802978967572,-0.20715320790174072,-0.23356762055878663,-0.25060887463370574,-0.2543062814616193,-0.2563848119263511,-0.25656481114467855,-0.2729997718211781,-0.31262906949637087,-0.3326695305755268,-0.34392741106918173,-0.3496678022855894,-0.3556219794830969,-0.33181062634729713,-0.3353308873072237,-0.3509631435281135
rotD50,"AvgSA([0, 3])",3.0,-0.2785733242646164,1.0,0.9742104174448862,0.8209824918300219,0.806321341211477,0.7572902455548142,0.7501222951408594,0.7382070850153386,0.7484279134335419,0.816373484474904,0.835439561938719,0.8541079840396213,0.87846019087281,0.9114742849449528,0.9291248975726091,0.9399151812911822,0.9459174118580961,0.9490476974216072,0.9518980731365178,0.9531357816715191,0.9551481706157215,0.9620817193818163,0.9647533946120238,0.9666498995482845,0.9626004020480418,0.9670597202063953,0.9745994666189463,0.9791932227564898,0.9804115834551543,0.9869690710524223,0.9777219384808259,0.9726303375998218,0.9534823968055247,0.951570417316188,0.9437419922666777,0.9444678462401043,0.9424884881896607
rotD50,"AvgSA([0, 6])",6.0,-0.3331621885204,0.9742104174448862,1.0,0.8270814321193753,0.8153717376187979,0.7754216207104003,0.7701669689791439,0.7557241358457325,0.7630317694463711,0.8271087216434861,0.8137261498162179,0.8022317734146047,0.7945345072631107,0.8238835339909949,0.8446557300328048,0.8590000004498866,0.8623150494954359,0.8625515521196668,0.8678262859247166,0.8720055080890192,0.8770320302967303,0.8990792501793065,0.9038307005790489,0.9084492746441906,0.9054574358411915,0.9140642594258875,0.9279030983677925,0.9399036574198946,0.9544592191922672,0.9746985844315259,0.9792966489687367,0.9788986599495892,0.987448471164292,0.9874803856692965,0.9863605863829857,0.9836185824444209,0.9789699345262999
rotD50,PGA,None,-0.2220349845764757,0.8209824918300219,0.8270814321193753,1.0,0.9990785763607584,0.9834330990597242,0.986695551498699,0.9801320675403347,0.9854601608866467,0.98441356281634,0.9626113013374142,0.9336922280137501,0.870565432887605,0.8317610395229126,0.7954542948043998,0.7559658270336007,0.7241588783968216,0.6915924576358272,0.6810435266991138,0.6787478215732479,0.686628033914492,0.7092637132588298,0.709714991098137,0.7134457599712718,0.6961802480977852,0.7025285493058201,0.7219762301139561,0.7446336054604251,0.7784871535347465,0.8033044770818889,0.8085051146070634,0.8280665166477958,0.8193092794820075,0.8399117696594295,0.8673635348486765,0.8796409502883182,0.8878307653657992
rotD50,SA,0.025,-0.2070616617682254,0.806321341211477,0.8153717376187979,0.9990785763607584,1.0,0.9898852893794139,0.9917430793107628,0.9839922946645807,0.9872196951592297,0.9802519975633222,0.9544348780624886,0.9233382266506043,0.8570541259610979,0.8159791297830139,0.7784922703875405,0.7379352355053532,0.7053537847366937,0.6727741539502612,0.6627278617045504,0.6605881530299857,0.6689331868976782,0.692543652762191,0.6937808922399454,0.6983392205714609,0.6810616149821812,0.687331952987992,0.7068967610880671,0.7295736531851201,0.7640661285457387,0.7889534407998324,0.7940970827124866,0.8145169620877691,0.8070752678674697,0.8280209231339773,0.8573170994618744,0.869399182569896,0.87755256437751
rotD50,SA,0.04,-0.14886615876867926,0.7572902455548142,0.7754216207104003,0.9834330990597242,0.9898852893794139,1.0,0.9960703371077756,0.9841905707230435,0.9802009528213917,0.9548697725235331,0.9177972044161775,0.8808907723190591,0.807672184407195,0.761221236026337,0.7221126582976833,0.6802369753240629,0.6465076245311987,0.6155018795697136,0.607968278579586,0.6066879456918336,0.6165340056547277,0.6418657925894802,0.6451917235294558,0.6509070489258576,0.6339860428719569,0.6401670613844033,0.6606833142963928,0.6822044547921768,0.7174727308786596,0.7404768317790281,0.7449587535086885,0.7674886507079994,0.7653098496299601,0.786785579143208,0.8220310548139065,0.8337349656586347,0.840726518653474
rotD50,SA,0.05,-0.15836420899967402,0.7501222951408594,0.7701669689791439,0.986695551498699,0.9917430793107628,0.9960703371077756,1.0,0.9893606962292659,0.9863153052373923,0.9638162330096871,0.9263314310693271,0.8852449777567639,0.8055947589791564,0.7556044011767711,0.7132693776174646,0.670292056102303,0.6359995017866704,0.604543116128351,0.5952608672722972,0.593194168289739,0.6027993729021749,0.6296786631072486,0.6323452810750527,0.6389192327324745,0.6222856679354674,0.6293853423306242,0.6499392378311399,0.6718374721913372,0.7088911846686327,0.7342119824609257,0.7420625526598107,0.7643720505140065,0.7615551016779122,0.7829845047590359,0.8169881831098665,0.8284217401599958,0.8346526110364666
rotD50,SA,0.07,-0.200687084514911,0.7382070850153386,0.7557241358457325,0.9801320675403347,0.9839922946645807,0.9841905707230435,0.9893606962292659,1.0,0.9916200235257981,0.9552048742448067,0.9147600481487242,0.8729587592648529,0.78754318048682,0.738093021695367,0.6971838367067015,0.656379422374262,0.6257510340671985,0.5912008341426307,0.5801339677794052,0.5761614515861817,0.5844119242215151,0.6096559362217023,0.6127076750159964,0.6243463027006256,0.609282116476884,0.615155805908557,0.635128972798653,0.6583062748599547,0.694852653840288,0.7245731716044603,0.732325791075525,0.7553870397944166,0.7502851939287215,0.7714135769681196,0.8033427441894299,0.8127574314907031,0.8193406808228151
