,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.6051876005807081,-0.5801314936537442,-0.6808976299709306,-0.6750268509811452,-0.6233340184515072,-0.6195190018946584,-0.5693817367651377,-0.5957241182662517,-0.6374407133846067,-0.6240713457203462,-0.6289802123458932,-0.6252587807707808,-0.5895760883086655,-0.5734804722036142,-0.5590671819497062,-0.557986568591247,-0.552601012861481,-0.560528563851831,-0.5474802547995778,-0.5431164023619058,-0.5386739891809232,-0.5434931829840196,-0.5416768646190929,-0.5532500344420848,-0.5567052139059492,-0.5744079218818144,-0.5648971516710553,-0.5535961760408118,-0.5437556057011179,-0.5458518249875618,-0.5657175158710768,-0.5394329907888655,-0.5454957928468112,-0.5650354917029453,-0.5802955798906271,-0.5814524193453818
rotD50,"AvgSA([0, 3])",3.0,-0.6051876005807081,1.0,0.9193034987567532,0.7371415865707125,0.7220046007112503,0.6411449169317228,0.6393621921737734,0.5774379022753535,0.601949716307241,0.6500770664221318,0.7202142525014037,0.7471748951307472,0.7694899381544659,0.7811666716076024,0.7885322998136776,0.8045348595720885,0.8254684741197256,0.867118119744995,0.8714763072931049,0.8740376805779658,0.8720959856811232,0.8823383038504963,0.8881528332999883,0.8935359643441251,0.9057925459257979,0.9198642096898136,0.9255374178749245,0.9232179751069418,0.9277245119758917,0.9454417738271289,0.9189227191585545,0.922988118769497,0.8744822037366382,0.8707827238953815,0.8633550203545255,0.8678183389369991,0.8673231114818342
rotD50,"AvgSA([0, 6])",6.0,-0.5801314936537442,0.9193034987567532,1.0,0.7069946953079932,0.6951516805529184,0.6282453164073905,0.6053822723057696,0.5353526883177842,0.5371797787680729,0.6111218901034771,0.6638139864434648,0.656547948132016,0.6784997546045456,0.6981437198403367,0.7287063624339951,0.7534969225722753,0.7877790705498814,0.8191875279862806,0.8023554730272362,0.8075176927848884,0.8078850483032001,0.8032164345487155,0.8116053829635183,0.8228829879726903,0.8201691954196904,0.8286237321305288,0.8273323011416027,0.8293614998845349,0.8472565770905878,0.8753345583679417,0.9129263150542564,0.9285984820220956,0.969102831483055,0.9671889342711634,0.971774453751531,0.9675656970936554,0.962833437496837
rotD50,PGA,None,-0.6808976299709306,0.7371415865707125,0.7069946953079932,1.0,0.9981184532552745,0.9569075435392155,0.9419976029554682,0.9060915952785518,0.9089013366120464,0.8969565555976138,0.8790129717671729,0.8384267542444193,0.8174568306816312,0.7767872523187327,0.733784546822187,0.7128379116302589,0.7054922730625276,0.6907775626965708,0.6552895126365921,0.6370635087867722,0.631542190402228,0.622683113813412,0.6218575548642841,0.6242216166252404,0.6385900096668436,0.6514821465212634,0.6690769708780337,0.6650050413638676,0.6675686379896915,0.6539634938344457,0.6476877656122616,0.6794621448682796,0.6760287592290657,0.6877645109838934,0.6918837313033799,0.7124003600124829,0.7219812642993565
rotD50,SA,0.025,-0.6750268509811452,0.7220046007112503,0.6951516805529184,0.9981184532552745,1.0,0.9672951401078089,0.951758551873035,0.9130492115647381,0.9096342720687894,0.8899026681473212,0.868465062055419,0.82856893538823,0.8069947476861306,0.764468171332162,0.7214896270038019,0.7003705984943838,0.6933026400756378,0.6790492493667585,0.6426445129057348,0.6239418534788701,0.6175977666837468,0.6085807906392744,0.6072142640937637,0.6094853021921848,0.6240585476938608,0.6365580609635747,0.6544945365949688,0.6504773133182342,0.6537884995845706,0.6391466377146082,0.6337761565525728,0.6650817219585275,0.6642429229176442,0.6762540285679169,0.6790943115622008,0.6998016053711464,0.7095404980147643
rotD50,SA,0.04,-0.6233340184515072,0.6411449169317228,0.6282453164073905,0.9569075435392155,0.9672951401078089,1.0,0.9578677448928534,0.9171509414850013,0.8804082807990347,0.8390467481546622,0.8015251142091454,0.7630490196030895,0.7415823310337102,0.695097088349471,0.6514955866059224,0.6296243303560294,0.6249677255266405,0.6158421369823349,0.5744016700979847,0.5532076388009659,0.5439169093321126,0.5360875212686165,0.5314679375064361,0.5347798090091311,0.5488735242406951,0.5592742025946102,0.5804774972697616,0.5749154331557899,0.5843767404107479,0.5639449630049322,0.5642412588241648,0.5941888344925726,0.601838169924603,0.6134401885264577,0.6117942638419176,0.6319186561378185,0.6425012285519393
rotD50,SA,0.05,-0.6195190018946584,0.6393621921737734,0.6053822723057696,0.9419976029554682,0.951758551873035,0.9578677448928534,1.0,0.938039828042794,0.8962072758323062,0.8335050602077883,0.7874830747352577,0.7435673215956888,0.7200746226647504,0.6707369409247974,0.6304643975820061,0.6157689896005785,0.6085467208279605,0.6018188284932109,0.5660745247540535,0.5463748753122691,0.5383298296398659,0.5305706035872231,0.5282766081639679,0.5314193371631634,0.5419159890288384,0.5511579130294817,0.57316703394468,0.567264124060688,0.5835617969602741,0.5634656576734323,0.5602815046569389,0.5843969488747849,0.5739823512493814,0.585526853216038,0.5827907711434104,0.6028793240954179,0.6126162219255252
rotD50,SA,0.07,-0.5693817367651377,0.5774379022753535,0.5353526883177842,0.9060915952785518,0.9130492115647381,0.9171509414850013,0.938039828042794,1.0,0.8982295740780156,0.8147353750336498,0.7479599378394219,0.6997782546230081,0.670869266426644,0.619097191695545,0.5744409688195367,0.5591546586174949,0.5422574519174188,0.5336467797807215,0.510525355205005,0.4902780133862746,0.4816054279773775,0.46741620782977406,0.4604088151273792,0.4652811505971037,0.47561159008231035,0.4908214729318049,0.5111923915261353,0.5031008392229469,0.5156132881255848,0.5091215768113204,0.49462059939193964,0.5274021994440289,0.5136248835132639,0.5239847746455928,0.5187351793921745,0.5369414800935002,0.5515233959349625
