,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.3410893675421287,0.8644985050771847,0.8817810656620205,0.9133929216581151,0.9047400744002827,0.8637195105601163,0.8612010434489407,0.8436320915661712,0.8529846123108088,0.8922063972387927,0.8886171014884328,0.8870160675456037,0.8784061995144049,0.8754274091661128,0.8662135346354184,0.8517265176687255,0.8421880519051885,0.8249989472645677,0.8115271583499081,0.8027709939817878,0.7990991260276447,0.7978773953020193,0.7928123155673674,0.7818968247011829,0.7737375330031557,0.7752801782059947,0.7854142281755152,0.7919746939930513,0.8028871796733741,0.8096842687162354,0.7984316471808881,0.8058893545678288,0.7876093223492594,0.7870893543772577,0.7839580948230438,0.7878157922824244,0.7887293451261446
GM,RSD595,None,-0.3410893675421287,1.0,-0.32179795340891737,-0.35147275681577544,-0.33669102660053635,-0.3235047454429907,-0.2636671843910389,-0.26051705286876287,-0.27628592910512495,-0.3030743727843041,-0.3239301103073819,-0.34127416836296626,-0.33798515582800787,-0.3259854345616025,-0.3075840535287909,-0.3054939994947699,-0.3060199287707303,-0.3073818163269824,-0.2999182848400282,-0.2924620890266261,-0.2839149660581584,-0.27143297940207395,-0.2669419945275693,-0.26830657945113395,-0.27767957565479745,-0.2910930910847497,-0.29318813060743737,-0.3020324880215167,-0.3054685017152572,-0.3027774565533787,-0.3458853098336703,-0.3662304031809013,-0.3886549941190431,-0.38409511637942995,-0.3955028583950739,-0.38572686916238863,-0.3962201818357364,-0.40831617042566715
rotD50,"AvgSA([0, 3])",3.0,0.8644985050771847,-0.32179795340891737,1.0,0.9865678423050559,0.8171305066163851,0.8014261949358672,0.7392922593475008,0.7302841749822695,0.7025970739953925,0.7211943620945601,0.7849522811010528,0.8281506381392291,0.863321530490953,0.8887165416929204,0.9137876938890944,0.9225856766494096,0.9314920262452169,0.9431262796807443,0.9563502653287228,0.9616989839246143,0.9633623710042255,0.9645656364368325,0.9693177233660771,0.9718953689040191,0.9735429831036947,0.9732020242998255,0.9762987770293217,0.9815125403787558,0.9837887570645397,0.9846350418775077,0.9793874513306399,0.9648080143743833,0.9480447193328627,0.9216735474836306,0.9035915704908964,0.8821879464790056,0.861288768419586,0.8392513240133167
rotD50,"AvgSA([0, 6])",6.0,0.8817810656620205,-0.35147275681577544,0.9865678423050559,1.0,0.8522344345136411,0.838626591908326,0.7821670702200026,0.7713181118876563,0.7477730956234266,0.7627571289743725,0.8198336352495085,0.8497107097185734,0.8719943747807894,0.8849304623998696,0.9018508483191496,0.9087790174179523,0.9148358571586116,0.9208190037379609,0.9268380918906068,0.9301184697767217,0.9312798461551788,0.9309667509936216,0.9359635334693712,0.9373170855998113,0.9399271255829127,0.9405008334369047,0.9453790286992777,0.9541466318782423,0.9618428124551578,0.9760459272573168,0.9863807178804693,0.9887992863682564,0.9862130538889313,0.9762662541153985,0.9666610465129903,0.9520958545870124,0.9351374107585783,0.9170377968708242
rotD50,PGA,None,0.9133929216581151,-0.33669102660053635,0.8171305066163851,0.8522344345136411,1.0,0.9987926396066987,0.9761040339738124,0.9757405786789419,0.9633607013979375,0.9698658390030565,0.9677569099450882,0.9406738204184796,0.9069473772590033,0.859106582650788,0.8230528616963005,0.7904517340320982,0.7619461085826867,0.7439766641347644,0.7233229901477899,0.7113609405117367,0.7056295501673988,0.7064588310791573,0.7156185611449613,0.7138194881629998,0.7104549991682398,0.7006365905561254,0.7054562903034474,0.7205789660010049,0.7320926173069983,0.7599523912990749,0.7788731156424076,0.788029859815944,0.8006552074795027,0.7814512794435876,0.7901011231270879,0.7946056160038739,0.7974787096203013,0.7936067699466651
rotD50,SA,0.025,0.9047400744002827,-0.3235047454429907,0.8014261949358672,0.838626591908326,0.9987926396066987,1.0,0.9843913659747114,0.982969687225841,0.9696658423099899,0.9730797548556057,0.963294396001465,0.9307888613478418,0.8944301487576288,0.8437585423600762,0.8055678113837054,0.7719734560941578,0.7427303746400916,0.7242618009484733,0.7039578617150085,0.6922431915349533,0.6865986558890613,0.687713983366118,0.6976399651688826,0.6961627045290142,0.6933231259646535,0.6835057029981495,0.6883252279268687,0.7036177537745634,0.7152924265222413,0.745404738107538,0.7642713292118192,0.7741381526583098,0.7874689975818667,0.7699286770163041,0.7793578215192762,0.7846138844977054,0.7876410342248087,0.7840516766806256
rotD50,SA,0.04,0.8637195105601163,-0.2636671843910389,0.7392922593475008,0.7821670702200026,0.9761040339738124,0.9843913659747114,1.0,0.9909986251354708,0.9755311688756678,0.9665686565196758,0.9312141939381904,0.8806393998857592,0.8370227690315328,0.7797300945594414,0.7366481361248808,0.7012005875954183,0.6705620296179304,0.6517253132295289,0.6337237454063832,0.6231864741143811,0.6179878287714098,0.6200764582557159,0.6319883937223965,0.6310980822250427,0.6292885221400263,0.6196359081417475,0.6242842574238587,0.6403982909079686,0.6515900454891133,0.6880652917835167,0.7049872066450508,0.7161810715329663,0.7318278778908014,0.7227083647790307,0.7338975823540509,0.742327842205268,0.7455970153960971,0.7418983928928161
rotD50,SA,0.05,0.8612010434489407,-0.26051705286876287,0.7302841749822695,0.7713181118876563,0.9757405786789419,0.982969687225841,0.9909986251354708,1.0,0.9828913216605303,0.9736551734285989,0.9365196420281692,0.8823282858913868,0.8343537166390187,0.7727714114699878,0.7273576769356088,0.6904312137464913,0.660201152614559,0.6410826278567251,0.6236939516089549,0.6129276049539774,0.6072199294233402,0.6094311688738527,0.6220004976408452,0.6212148928228408,0.619941022157089,0.6099429300488696,0.614958116878016,0.6308880666213047,0.6420417889798273,0.6794510299347185,0.6960393520253414,0.7072032846651013,0.7203171489448874,0.7048852793195218,0.7152216859215446,0.7202556082959397,0.723138421478818,0.7187388726729558
rotD50,SA,0.07,0.8436320915661712,-0.27628592910512495,0.7025970739953925,0.7477730956234266,0.9633607013979375,0.9696658423099899,0.9755311688756678,0.9828913216605303,1.0,0.9780047382527247,0.9246392797577303,0.8631499226602607,0.8120818747638232,0.744607956384762,0.6984975002433816,0.661965305772341,0.6326394834232082,0.6144726681814727,0.5950023671917493,0.5847853047318934,0.5779321789704605,0.5791980930792331,0.5899617632312405,0.5890587696298794,0.5904415467903759,0.5810122558361265,0.5864165885138036,0.6014066147677045,0.6132153867655306,0.6491154850520408,0.6737551952600949,0.6839188001135764,0.6993710336669526,0.6822900823541039,0.6927999792008456,0.697533461043983,0.6995526702447514,0.6972734321304188
