,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.19318619419089905,-0.19733116485667354,-0.3462726008073758,-0.3380311946596628,-0.3257076063472066,-0.3330825603265727,-0.31954817694374893,-0.30940555993953384,-0.3162427860528938,-0.3112670860732418,-0.2901883737248695,-0.2750109039194255,-0.259180942879414,-0.25371944253453377,-0.2627422466743741,-0.2560140871592106,-0.2562732959207784,-0.23000729225637134,-0.231735954263751,-0.22395104608909858,-0.2016378340144247,-0.17701720825787629,-0.14551328293698834,-0.1326749319090943,-0.13704106110646397,-0.14511346216328402,-0.15541715382452428,-0.16972543222867498,-0.1375095786793726,-0.1594967692956443,-0.16733501679416132,-0.09020089264450734,-0.09763561031230694,-0.18790023617052287,-0.21476496004426585,-0.2274481976387565
rotD50,"AvgSA[0,3]",3.0,-0.19318619419089908,1.0,0.9457348135886899,0.7965167381135541,0.7793247444815232,0.7352515795653786,0.7138976656810827,0.6878551807502129,0.687212028668195,0.7449741274407664,0.7936789158718457,0.8427468835853077,0.881655876457517,0.8993503072860548,0.9155688110430128,0.9257071894858068,0.9338570183782409,0.951887672780837,0.9613053524109821,0.9649267615410574,0.9672326252414951,0.9683064157316754,0.964593745520935,0.9588175835877293,0.9582840926750721,0.9578909326228697,0.9567611043897367,0.9567415351587121,0.9589637283702345,0.9516876569684125,0.9428359074806285,0.9399674961132353,0.9115501504959159,0.9172348480555087,0.8982416189857624,0.896640416649802,0.8938718247969977
rotD50,"AvgSA[0,6]",6.0,-0.19733116485667354,0.9457348135886898,1.0,0.6766082836569308,0.6554326100371222,0.6133080599171393,0.5966992009839782,0.5647985160753749,0.5534311635476902,0.6118896240198073,0.6643719396700462,0.7135039745449365,0.7618806514759172,0.7872562635513186,0.8150948948457977,0.8412446929535022,0.8526046528685737,0.881383489876769,0.9008181104987077,0.910521222340984,0.9183280499147796,0.9236439491809988,0.9148509249508904,0.9198824720082935,0.9243493159461837,0.9243678576382917,0.9223483015437592,0.9193870080081916,0.9294386572762791,0.926452418175556,0.9346783858543848,0.9371551185724651,0.9672772342157179,0.9707050923621698,0.9801780496315747,0.9773359047690185,0.9754965114122597
rotD50,PGA,None,-0.3462726008073758,0.796516738113554,0.6766082836569308,1.0,0.9988186951259903,0.9884773582114389,0.9814013347109943,0.9740266051969827,0.9738100669413693,0.983352564738949,0.9805989973473567,0.9622249825532045,0.9459441548152904,0.9245605560102206,0.9085068692740521,0.8934848818507573,0.8766050322422884,0.841159710485556,0.8138177917952113,0.7941716735887673,0.7833978737562256,0.7626588940235803,0.7388892766933268,0.6941855043872891,0.6749785737028454,0.6602073174207672,0.6550754714710867,0.6574070733821703,0.6634257428970156,0.6543541429556635,0.6617363044054998,0.66538204429187,0.6125880200317073,0.6325738854919104,0.6197005968134388,0.6363866231615097,0.6385008958887624
rotD50,SA,0.025,-0.3380311946596628,0.7793247444815231,0.6554326100371222,0.9988186951259903,1.0,0.9932967139221203,0.986734719394734,0.9794899299072626,0.9771820093273691,0.9817894200874466,0.9756755236676488,0.9535584571718396,0.9348097634258337,0.9126366489135668,0.8957450840210832,0.8803657054563473,0.8630400709526633,0.8265217205628526,0.7985445893492692,0.777822972256427,0.7664849666396801,0.7444784530731693,0.7206466647889026,0.6759280108924806,0.6567984235925688,0.6417032433000113,0.6369022781820805,0.6391692009128318,0.6449348615633093,0.6368900964676719,0.644268730204183,0.6477305140224159,0.5931267287949568,0.6133160639288876,0.6007023596282071,0.6175229516819039,0.6183595517866713
rotD50,SA,0.04,-0.3257076063472065,0.7352515795653785,0.6133080599171393,0.9884773582114389,0.9932967139221204,1.0,0.9960542859899522,0.9889118263963911,0.9808071679174695,0.9729169351883274,0.9558356572225256,0.9247121740872849,0.9019356147245281,0.8785063728706688,0.8608802563667769,0.8460556202748059,0.8274314581167493,0.7886560888663054,0.7617809766577219,0.7404357064135313,0.7291263355932037,0.7038846633275988,0.6789903887670516,0.6335052775376149,0.6148916983282076,0.5995566908609792,0.5950672936696138,0.5971582094450513,0.5997288083934652,0.5910242632497194,0.5997345909423252,0.603161953243581,0.5541294173729377,0.57455949875651,0.563555435708046,0.5826167001509523,0.5834889653376216
rotD50,SA,0.05,-0.3330825603265727,0.7138976656810827,0.5966992009839783,0.9814013347109944,0.986734719394734,0.9960542859899522,1.0,0.9934267187531541,0.9829416915714191,0.9664383415270478,0.9433572993094234,0.907625320244324,0.8849327340558176,0.858920782487229,0.8423302603297448,0.8273427274798076,0.8084953922221738,0.7694413307354152,0.7448564400009685,0.7239912626854714,0.7133758484526328,0.6869371733753591,0.6629617039709439,0.6155306943244213,0.5960535902969419,0.5804462099366097,0.5755498020088972,0.5777588747814474,0.5790191368664033,0.5688701978435816,0.5774568678872654,0.5812219571176014,0.537792630665801,0.5578474808504353,0.5465647346877328,0.5651962260238542,0.5683512702698816
rotD50,SA,0.07,-0.31954817694374893,0.6878551807502128,0.5647985160753749,0.9740266051969827,0.9794899299072625,0.9889118263963911,0.993426718753154,1.0,0.9908449376300905,0.9679650727613759,0.9377824775614766,0.8968443742838016,0.8694551055701073,0.838891668784942,0.8190172074346012,0.8020022387189967,0.7826878034546995,0.7429592061749162,0.7174484915909544,0.6950764621878686,0.6846402460490844,0.6585780351794975,0.6348993229278433,0.5883224985961041,0.5677526823983269,0.5509124813479308,0.5459161874101803,0.5471602954283434,0.5495334948237057,0.542106930243592,0.5470556209340721,0.5508867510943025,0.5078431560255308,0.52824724191494,0.5159494676117339,0.5354068856416668,0.537804723323122
