,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.22421263367499403,-0.21941214098679562,-0.38669709705985744,-0.3777382054951706,-0.35126319190720967,-0.35830186119096125,-0.3524301664278053,-0.3531855474938041,-0.36879920524591336,-0.3913675637881333,-0.37979993069476947,-0.3522852373143225,-0.3217940586937428,-0.30642909724919953,-0.2934249566226645,-0.28177129371293047,-0.25363532831705965,-0.22382377927664776,-0.21651958415759093,-0.20901022023733298,-0.19953299629960408,-0.1888973195003012,-0.15688671351004166,-0.1419905043099654,-0.14137450029864002,-0.14272665113704952,-0.1458229418726194,-0.14646293500946983,-0.14456796512497136,-0.16566306274449372,-0.18398349351264467,-0.20417884494319538,-0.21171489200483307,-0.1933153570662979,-0.23165356383165508,-0.2627177238138039
rotD50,"AvgSA[0,3]",3.0,-0.224212633674994,1.0,0.988727017550373,0.8320874287270571,0.8219570519727369,0.7888866242135705,0.7668941980563062,0.7451899237702527,0.7372848960178626,0.7738355803791669,0.8010832004209203,0.8346890191570661,0.865895760801358,0.8882936603819694,0.906463252872043,0.9190139190903078,0.9323543183074525,0.9523747019266317,0.9646851657516508,0.9686156742246144,0.9713194203911503,0.9739408893531301,0.9754318683678068,0.9742441399860945,0.9748926757767596,0.9746111284881305,0.9729396800178541,0.97122893903782,0.9644879298943108,0.9553401239379183,0.9477697220863756,0.9435159332597585,0.9335965827941343,0.9286271015109541,0.9023593648337623,0.888715980895543,0.8743814972954489
rotD50,"AvgSA[0,6]",6.0,-0.21941214098679562,0.988727017550373,1.0,0.805604877904116,0.7959946485174518,0.7643758567523253,0.7423155703246344,0.7200215196547135,0.7086995130664456,0.7450191173117725,0.7700088079869665,0.7995495735999764,0.826353128655279,0.846793420972995,0.8674702587008661,0.8829692242172628,0.8961312731079075,0.9158952496213052,0.9301865744446033,0.9353897946819515,0.9387074723299901,0.9416291536075685,0.9452680009820988,0.9484086895776755,0.9559199567542888,0.9615355530252853,0.9660584841937389,0.9683550256126376,0.9748769855871281,0.975078255113689,0.9763689767176531,0.9776620866261436,0.973462636637433,0.9719252104805932,0.9546320617063689,0.9426810788545902,0.9285847505744029
rotD50,PGA,None,-0.3866970970598574,0.8320874287270571,0.8056048779041158,1.0,0.998659612077205,0.9874291609612447,0.9802658100258534,0.972661661521975,0.9711622976876193,0.9767386152701948,0.9716741579328346,0.9575216471573357,0.9484923137846043,0.9312221114671495,0.9165067368122516,0.9037061547580398,0.8910286582800094,0.8621031619146952,0.8343611407145837,0.8209642111405729,0.8131877958419116,0.7958372350884446,0.7808900526698991,0.7480145181877509,0.7288629256075959,0.7133295952054909,0.7056343198184902,0.7045439207222095,0.6982902694408559,0.69543609966329,0.7002903614376809,0.7073256792193622,0.704698704342164,0.716085112668773,0.710029156700494,0.7252535667712229,0.7365648769979034
rotD50,SA,0.025,-0.37773820549517056,0.8219570519727369,0.7959946485174518,0.998659612077205,1.0,0.9924832472459025,0.9857599202807824,0.9770015742390722,0.9733320616164101,0.9750878149531766,0.9661764517612521,0.9486739097868986,0.9384573623329094,0.9211147163851745,0.9062502943365518,0.8935566575138448,0.8807197716967364,0.8509241601613554,0.8231452114496017,0.8096065111636355,0.8019590636123209,0.7842694775969491,0.7697917723546907,0.7369389020855114,0.7180123620880139,0.702548473164607,0.6952544239114501,0.6941818418117562,0.6883503161122289,0.6853573134406007,0.6901087742678029,0.6971190774253223,0.6961637392481218,0.7081787933038423,0.7017662681162653,0.7167067466521435,0.7272507864703115
rotD50,SA,0.04,-0.35126319190720967,0.7888866242135705,0.7643758567523253,0.9874291609612448,0.9924832472459026,1.0,0.9952005650178049,0.9838860467409717,0.97305614930633,0.9641621471503085,0.9453477371336438,0.9206334846529903,0.9082125521665539,0.8908950269619409,0.8757150624113141,0.8631972644521346,0.849386217076243,0.8180690983911544,0.7895235719552592,0.7759973388265459,0.7688112975610379,0.7494953391258846,0.7352155319428686,0.7028445474974466,0.6835021825488088,0.6674106413850774,0.6605017011727738,0.6598548459166477,0.654063007497311,0.6506102778306515,0.6566257183676986,0.6631168409706684,0.6646574352116684,0.6782050033370106,0.6736083398186778,0.6899638986436543,0.7015192284444703
rotD50,SA,0.05,-0.35830186119096125,0.7668941980563062,0.7423155703246342,0.9802658100258534,0.9857599202807825,0.9952005650178049,1.0,0.9890843622060916,0.975074531228239,0.9596954748937033,0.9361575438303286,0.9078356829057083,0.8940630702749479,0.8732681548619409,0.8573779009197406,0.8445412238641168,0.8302806707624117,0.7969197620508753,0.7689572469955601,0.7552610836709098,0.7476843440462897,0.7277547032243707,0.7132280799727628,0.6802316283584517,0.6601622877244785,0.6434461842953364,0.6362010538558688,0.6357704422882927,0.6291314543823862,0.6262931388902392,0.6327790824094005,0.6399704315599116,0.6430780052360957,0.6570010978681001,0.650933387800601,0.6688136077776033,0.6824645232008476
rotD50,SA,0.07,-0.3524301664278053,0.7451899237702527,0.7200215196547134,0.972661661521975,0.9770015742390721,0.9838860467409716,0.9890843622060915,1.0,0.9851083510974955,0.9614253198736641,0.9337216712324317,0.9018554430774495,0.8842270741988071,0.8582417736823007,0.8410690479261526,0.8265675812724838,0.8115272903595399,0.7784217859402494,0.7492769493627947,0.7345079613317294,0.7262975551457457,0.7059753421971392,0.6914980660385655,0.6578508623380414,0.6376989913454181,0.6190028181716279,0.6112040355694938,0.6101410987020726,0.6029902880449944,0.6031152769598838,0.6115843566761802,0.6187059015536254,0.6213241170524684,0.6350690053208893,0.6291646239442817,0.647902374156495,0.6610804305091215
