,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0000000000000047,-0.6052805252099067,-0.5793538924477105,-0.6848937964323295,-0.6793486758660793,-0.6280777403986672,-0.6254851848766049,-0.576000773940478,-0.6017075098640369,-0.6430444637582622,-0.62772681388866,-0.6323518426001578,-0.6276503563059589,-0.5914959684314608,-0.5745649323927046,-0.5598358902700824,-0.5582997051721083,-0.5528585986722353,-0.5606235451012302,-0.5475833125792511,-0.5430336914229577,-0.5383201108078634,-0.5430914235560689,-0.541346029228724,-0.5531083398528155,-0.5566489749053775,-0.5743933053575536,-0.5649128181853978,-0.5537396626240048,-0.5440504072203259,-0.5461996810613199,-0.5660123121963238,-0.5399038542067132,-0.5459686250549475,-0.5658287883146011,-0.5811262641504914,-0.5822351129648228
rotD50,"AvgSA[0,3]",3.0,-0.6052805252099067,0.9999999999999895,0.9196339729078733,0.7421664119276932,0.7274547386601373,0.6469895033193453,0.6466466562523303,0.5852423928564501,0.6091728615964125,0.6564890619772128,0.7255348880220917,0.7519016938049721,0.7731464910776583,0.7823000333402869,0.7889557731222078,0.8049769501700751,0.8255087350854555,0.8672966329396107,0.8720226291040404,0.874575782595118,0.8725097533032268,0.8827782110327904,0.8886206555012519,0.8942783234715597,0.9063465056754534,0.9204346806145698,0.9259717088002332,0.9236905104292986,0.9278597759498114,0.9460154241694151,0.9191707727682544,0.9229899166840968,0.8745869392205021,0.8708081808984766,0.8637049803479075,0.8679845768043811,0.8674662459099387
rotD50,"AvgSA[0,6]",6.0,-0.5793538924477104,0.9196339729078733,0.9999999999999991,0.7158935098648741,0.7045938839660064,0.6384792150420854,0.6173949267089005,0.548511300919706,0.549857893349856,0.6233959565898676,0.6740245812966298,0.6650201274769264,0.6846246011319088,0.703058953302978,0.732578016640023,0.7571484889902618,0.7902563530265471,0.8214836036034872,0.804222404753812,0.8091849344309207,0.8092141810004159,0.8039895953405982,0.8122794543915498,0.8236125378574639,0.8206272014272643,0.8289118154537336,0.8272889359943447,0.8292515635237993,0.8467447542038414,0.8755227556965858,0.912929688635376,0.9283850485116177,0.9687171460157055,0.9667135333263,0.971582500567749,0.9673036578979228,0.9625956670779241
rotD50,PGA,None,-0.6848937964323295,0.7421664119276932,0.7158935098648741,0.9999999999999991,0.9981148983324396,0.9566304150798524,0.9417996883828251,0.9057831807600691,0.9084426712583517,0.8961560063398483,0.8781316758763021,0.8373218536496405,0.8167653368642807,0.7763077927349954,0.7339398498454077,0.713360254688052,0.7068965875035674,0.6926683601635332,0.6578122728679096,0.6397060000549417,0.6349603460124886,0.6276497177978528,0.6277870783140919,0.6312641741919173,0.6453682347876225,0.6587128828819179,0.6762477323810806,0.6725143550780837,0.676181987709699,0.6639893537899825,0.6567584964283918,0.6878913870647113,0.6865234886582543,0.6982134256837214,0.7039809583295472,0.7242822561368724,0.733678814489852
rotD50,SA,0.025,-0.6793486758660792,0.7274547386601373,0.7045938839660064,0.9981148983324395,0.9999999999999993,0.9670423091247639,0.9515184298989905,0.9126075128575895,0.9090153661126005,0.8888840404447063,0.8674754111669862,0.827370122856999,0.8062963993063054,0.7640063658321505,0.7217403170303438,0.7010189435670561,0.6949076947556236,0.6811617992548147,0.6454094763624745,0.6268226647977386,0.6212962732620408,0.6139118547078612,0.6135500800397492,0.6169671249478569,0.6312515793507181,0.6442160323163546,0.662098382293013,0.658430188522071,0.6629380044657063,0.6497654188002883,0.6433430595523594,0.6739840010604002,0.6752685438871149,0.6872353945719515,0.6917843879206971,0.7122789311111372,0.7218330352394028
rotD50,SA,0.04,-0.628077740398667,0.6469895033193452,0.6384792150420853,0.9566304150798522,0.9670423091247637,0.9999999999999981,0.9574823670473301,0.9164215347738778,0.8792145645258881,0.837273780734275,0.8000144767813465,0.7613404777563252,0.7406171408906232,0.6944212845915025,0.6517188291312289,0.6303091728944604,0.6267975124442962,0.6182382293866051,0.5774571883862593,0.5563533505196744,0.5479542952010275,0.5419309428372866,0.5383760055563813,0.5428543092389049,0.5565815669401861,0.5674438785642081,0.5886314736975415,0.5834245258776486,0.5940707132330494,0.5749590867495168,0.5742747629483842,0.6035063247831433,0.6132444742765422,0.6248027663983938,0.6252480983389,0.6451815263592374,0.6555985257405618
rotD50,SA,0.05,-0.625485184876605,0.6466466562523304,0.6173949267089005,0.9417996883828252,0.9515184298989906,0.9574823670473303,0.9999999999999984,0.9372410568196926,0.8948964978917245,0.8314541861148782,0.7858845239110059,0.7417906296460673,0.7191865089038,0.6701485965160761,0.6309148431032847,0.6167943939463455,0.6108321877834422,0.604754118549043,0.5697331309485939,0.5501400685581701,0.5430611234388497,0.53726752336953,0.5361470515727353,0.5405875354963251,0.5507714166842592,0.5605752867716657,0.5826934040701459,0.5772148148979931,0.5952265294068428,0.5767412249360392,0.5726461734304259,0.59599131305453,0.5875902288060366,0.5991198806313424,0.5982786327628826,0.6182229104502993,0.6278087768759667
rotD50,SA,0.07,-0.576000773940478,0.5852423928564501,0.5485113009197061,0.9057831807600691,0.9126075128575896,0.9164215347738779,0.9372410568196926,1.0000000000000027,0.8968324453147557,0.8123801682897861,0.7460728306341626,0.6977088327400539,0.6698194743421504,0.6183849556854459,0.5748652113871396,0.5602146368297488,0.5446474639016795,0.53673913132598,0.5144609366877826,0.494313292036605,0.4866657038237134,0.47454218166477935,0.46875411082930507,0.4749887291459099,0.4850018904129936,0.5008746944259904,0.521400422914184,0.5137476278046729,0.5278342037629645,0.5232207594944736,0.5076751765452912,0.5397575652082763,0.5288307437054084,0.5391870650271846,0.5357608748661714,0.5538486914847798,0.5683503694182337
