,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,0.9999999999999939,-0.3448512859840058,-0.3738618335794874,-0.3429796157415275,-0.32879254823060217,-0.26823432886472043,-0.2662390586614049,-0.27847339585810055,-0.3082083050624866,-0.33293512245232637,-0.3554916196834847,-0.35761237535150625,-0.3484349658691137,-0.3310962427971461,-0.32555030159053905,-0.32331539392089864,-0.32826710552947985,-0.32594218294168803,-0.32079169393187357,-0.31202854970249067,-0.3000512916616188,-0.2920875238635933,-0.29389291497312175,-0.3033163179287169,-0.3134992524679473,-0.31568330731167576,-0.3233287500222835,-0.3233245065042355,-0.3310389896325469,-0.3499181751361995,-0.372741505063344,-0.3856185995739348,-0.3733558469588462,-0.3747269991767019,-0.3584544229174758,-0.35734464845389147,-0.3614773328861553
rotD50,"AvgSA[0,3]",3.0,-0.3448512859840058,1.0000000000000049,0.8734242604733422,0.7923354687544202,0.7774218564013277,0.7194097722267431,0.7085579820875989,0.6714830532035231,0.690224711266774,0.7650386321378528,0.8118002173668416,0.8498232896620708,0.8725925412851531,0.8933405942152906,0.9076744978851508,0.9198571558848381,0.929521501326236,0.9440019073062529,0.9506697342031679,0.9510264045062372,0.9502995488518723,0.9548738446074805,0.9556826085508591,0.9583684813613673,0.9577112827223304,0.9589939670467024,0.9618181094551709,0.9627326015718417,0.9810513908669011,0.982342355086391,0.9361373093128871,0.9199647532304949,0.8446686982999598,0.8256833227596032,0.7681341845020155,0.7465530786289414,0.7272174366323593
rotD50,"AvgSA[0,6]",6.0,-0.3738618335794873,0.8734242604733421,1.0000000000000013,0.7621031913832941,0.751414286494323,0.7075756591652232,0.6978845596438197,0.6665113749384133,0.681784291176714,0.7474707194953918,0.764588639051199,0.7691874953612757,0.7611990015429911,0.7626150278521534,0.7722900844660266,0.7848444954251333,0.7907824053518495,0.8064411298488221,0.8091090055956437,0.8113459401920332,0.8116316478517892,0.8223843551029941,0.8218007381576066,0.8240491284111119,0.8149205282227838,0.8135407583158619,0.8145359175466144,0.8176411097582387,0.8486576083928097,0.867883905111185,0.9108649228653832,0.9138552105815824,0.966793924439978,0.9605755731593113,0.948152625965749,0.9303456860328324,0.9137109228786487
rotD50,PGA,None,-0.34297961574152747,0.7923354687544202,0.7621031913832942,1.0000000000000029,0.9988806778210542,0.978285960133116,0.9773182092687397,0.9630162018205213,0.9693740951364171,0.9702432272259254,0.9469696268026023,0.9130157833187127,0.8662775000857472,0.8296735446757676,0.7966387419096257,0.7648513760178717,0.745187022685226,0.7192691172014214,0.7064965973241852,0.7000417245558143,0.7010863340064923,0.7105239548812183,0.7077383821706209,0.7032935455971062,0.6910989981101596,0.6945282900482787,0.7054710736615942,0.7195587702878379,0.7397304988430532,0.7744460578557938,0.7691326277784675,0.7861789621267632,0.7576344933390815,0.7648731011986023,0.7512812311835478,0.7499314414557978,0.745674887565037
rotD50,SA,0.025,-0.32879254823060217,0.7774218564013277,0.7514142864943231,0.9988806778210542,0.9999999999999996,0.9858951521381641,0.9841198304429781,0.9693290668312807,0.9727281404461354,0.9662334301497981,0.9377869210724895,0.9014074514850635,0.8520821835359865,0.8135579242784368,0.7795878682712242,0.7469540112493768,0.7267548252604435,0.7008247661904707,0.6881246451821162,0.6816788702013349,0.68296306736978,0.6930564293812563,0.6905509364437751,0.6864753870633578,0.6741387298464601,0.6774865314902755,0.6887464894716256,0.7030559938317492,0.7248698411472803,0.7603394972923412,0.7556513297809497,0.7734967431533,0.7469706192152482,0.7549436849239142,0.7431152638321898,0.7420362249906468,0.7380665604597807
rotD50,SA,0.04,-0.2682343288647204,0.7194097722267431,0.7075756591652232,0.978285960133116,0.9858951521381641,1.0000000000000018,0.9916748793316279,0.9759782409074399,0.9678523626832607,0.9372752834318113,0.8920507823420862,0.8485693964045526,0.7931943394329717,0.7501698801077324,0.7145190982754426,0.6802031011799715,0.6595404409167709,0.6351779768957655,0.6230845737453082,0.6168817176963264,0.6189659981694905,0.6308268293871159,0.6289386734661059,0.6254568579016689,0.6129328256772844,0.615951258862903,0.6286041202317897,0.6427010000929326,0.6686369816622105,0.7049735281898888,0.702844282627425,0.7231216000019831,0.7034784783838312,0.7133680184900936,0.7074954998533133,0.7073604866913817,0.7038874685843113
rotD50,SA,0.05,-0.26623905866140485,0.7085579820875988,0.6978845596438198,0.9773182092687397,0.984119830442978,0.9916748793316278,1.0000000000000018,0.9834502628279851,0.9749332580475709,0.9419916093360816,0.8925839930750122,0.8441095330289431,0.7840003605982361,0.7387349295518203,0.7015474680828437,0.6672576991887227,0.6460003047893061,0.6218267044392126,0.6094020547661068,0.6026822839738372,0.6047975708791293,0.6172217182486711,0.6152361141391094,0.6118666492865875,0.5987626562195048,0.6020049485806945,0.613996294688611,0.628251557748674,0.6558559762207155,0.6939675100937569,0.6932748719691395,0.7125259222300732,0.691925132256978,0.7017992116280799,0.695877758095737,0.6955528067802906,0.6914769883527955
rotD50,SA,0.07,-0.27847339585810055,0.6714830532035231,0.6665113749384134,0.9630162018205214,0.9693290668312807,0.97597824090744,0.9834502628279852,1.000000000000001,0.9800524606676182,0.9292785776347661,0.8708351093284699,0.8179376570831465,0.7508074283800573,0.7037806251207331,0.6655607347558353,0.6309088813046142,0.6096472362671744,0.5828171145925441,0.5709179904180444,0.5630670874980034,0.5643145194243043,0.5754637125409522,0.5729319554932935,0.5723646410322655,0.5597680374172012,0.5630927984394078,0.5749291693867294,0.5902977638904369,0.6191597276299301,0.6614372711990348,0.6630438214853642,0.6860176293654557,0.6657669156966546,0.677270114888866,0.6742508459675993,0.6742973547539616,0.6725326714347214
