,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.467887450255292,0.7198713743462871,0.6497150757793659,0.9223917536283885,0.9190833921180953,0.9055543675850629,0.8940431321798605,0.8805055410651222,0.8700247988111792,0.8725059274383394,0.8760607326362196,0.8685170004743654,0.8571214297776903,0.8441046121026058,0.8254323939479048,0.8017136557134674,0.7809983544289122,0.7500022388252473,0.7129829455491685,0.694021900359471,0.6827430007018307,0.6549658950901195,0.6331612759625698,0.6062103170988945,0.5889570662351199,0.5723563086104335,0.5619982279366148,0.5563359565046349,0.5547212750824454,0.5492802370139974,0.5265147234532154,0.5175658105160589,0.5257837079942127,0.5269410794065805,0.5194758315394724,0.532848334855842,0.557941089411126
GM,RSD595,None,-0.467887450255292,1.0,0.061597449038896836,0.13995962899109662,-0.40566655148429437,-0.412182041780213,-0.42876694157316253,-0.44868705291338545,-0.4776914796203408,-0.47649200553493576,-0.443627339907581,-0.3859615094099198,-0.3302028652662485,-0.2770680848010436,-0.2285168023182674,-0.17990192887120293,-0.1301613400277818,-0.08658220171859975,-0.03399400406079469,0.012724292473260491,0.03217130731790844,0.045357202553138506,0.07532393177277312,0.10708200163583026,0.14709584679242463,0.1717387962974735,0.19129793840319342,0.20171634791981105,0.20770046933280475,0.21686499597949943,0.21735034144415172,0.22641244068680827,0.24254326513168273,0.22453851891473106,0.22853652663612667,0.24174797414484508,0.23443956587060047,0.20103412679753652
rotD50,"AvgSA([0, 3])",3.0,0.7198713743462871,0.061597449038896836,1.0,0.9593167345140582,0.6984494231848802,0.6834195061922791,0.63106738118997,0.5969957384248614,0.557871428253766,0.5522246173435436,0.6014884737923045,0.6622436402084486,0.7206357010912733,0.7780664848698187,0.82428402573533,0.8559251213003182,0.8815218032501085,0.9013141527416799,0.9296102552835199,0.9458405818438516,0.9499572666661779,0.9527265920818992,0.9563245293699818,0.9594581058408632,0.9615260110892463,0.9636078754775292,0.9621181873235993,0.9595542034246608,0.9562244500968743,0.9486524122758822,0.9334523731731582,0.9108572845896898,0.8947618112335111,0.8720686854542338,0.8611216526655304,0.8346839439376844,0.8333269674281442,0.8365082162798579
rotD50,"AvgSA([0, 6])",6.0,0.6497150757793659,0.13995962899109662,0.9593167345140582,1.0,0.5970437987929307,0.5849625449894792,0.5397059751325809,0.5063762804928167,0.46008642919235415,0.44377201507380465,0.47997169497796505,0.5374248839104917,0.5940976906315181,0.6516237337159286,0.7046718698656181,0.7452714116416312,0.7803414862279923,0.8066417352396774,0.8426160508204616,0.8655465002855541,0.873456853187496,0.8798335757030789,0.8911672933047114,0.9007240947275431,0.9149326059411708,0.9291132725408981,0.9401206225113516,0.9479556083269602,0.9541513818202348,0.9627265697532291,0.9625447832566363,0.960926818576923,0.9550227844015965,0.9541762935011473,0.946493797050258,0.9378895062651997,0.9325029023301608,0.9295066648564998
rotD50,PGA,None,0.9223917536283885,-0.40566655148429437,0.6984494231848802,0.5970437987929307,1.0,0.998274722335047,0.9832889377697305,0.9744009114164142,0.9628973648179923,0.9602160230475736,0.9636353892751357,0.9572877184780597,0.9400043409995621,0.9170330351317809,0.8881705455728633,0.8557406351158472,0.8238275772149107,0.7940263001781844,0.7467307376995783,0.7032542930399153,0.682171639064216,0.6653740286830148,0.6316527209608933,0.6068505545758056,0.5725751257016638,0.5492569202093588,0.5306793704174757,0.5217352156841353,0.5153326063826749,0.5088308211123077,0.49516380782823144,0.45907408136523004,0.44817965855369263,0.44237987874213086,0.44689719023146146,0.4362439303250538,0.45800174060467197,0.482840399900316
rotD50,SA,0.025,0.9190833921180953,-0.412182041780213,0.6834195061922791,0.5849625449894792,0.998274722335047,1.0,0.9902584835917111,0.9821387105847845,0.9692624949416522,0.9616492687431648,0.9595936700262416,0.9494730930334966,0.9291988081582264,0.9042146005167561,0.8739913308508266,0.8404869276520615,0.8079145556156749,0.7777259200515302,0.7298749866310882,0.6863209940852255,0.6652915963887941,0.648501170881016,0.6147319399382719,0.5899181343081342,0.5557562064720937,0.5327873270071709,0.514526014341823,0.5060101711387589,0.500020062083028,0.4937584076196935,0.48101420643980997,0.4450757195763149,0.4340756643389164,0.4303536919322705,0.435428840402792,0.42613557323930057,0.44811182995425086,0.473062272688392
rotD50,SA,0.04,0.9055543675850629,-0.42876694157316253,0.63106738118997,0.5397059751325809,0.9832889377697305,0.9902584835917111,1.0,0.9951325719011477,0.9785543062254983,0.9589063860602957,0.9403801438927163,0.9187678764419466,0.890045375791771,0.8581940466353166,0.8239394572785186,0.7878742353076055,0.7531704315229449,0.7220653114221146,0.6738305715259382,0.629827774490167,0.6088429249899273,0.592338198428789,0.5580871999124796,0.5334122137056777,0.5003658354129827,0.4789700876090999,0.4620494671481602,0.4546954601386264,0.44954188036088666,0.44322563425723427,0.43213765345699895,0.3969792497401953,0.38643847130914116,0.3859372684774878,0.3919894348889301,0.38716234223110546,0.40934349722701036,0.4342007011476722
rotD50,SA,0.05,0.8940431321798605,-0.44868705291338545,0.5969957384248614,0.5063762804928167,0.9744009114164142,0.9821387105847845,0.9951325719011477,1.0,0.9876060025009767,0.9630786029953355,0.9341824814771361,0.9058388998315182,0.8713684923879006,0.8362505890706656,0.7994165620638177,0.7607940917517946,0.7241936782729047,0.6916589580729765,0.6416919674714396,0.5965245621240945,0.5750478379326684,0.5580485470058706,0.5235640497829384,0.4985515629431528,0.46568776803996426,0.4438007335847559,0.4271274707343731,0.4201168303994517,0.4152020819823251,0.4093121095975993,0.3981337072351125,0.3625775376575953,0.3516786061057462,0.35199841007366106,0.35804017971597807,0.35417129617825904,0.3764802168218745,0.4015922102246223
rotD50,SA,0.07,0.8805055410651222,-0.4776914796203408,0.557871428253766,0.46008642919235415,0.9628973648179923,0.9692624949416522,0.9785543062254983,0.9876060025009767,1.0,0.9791403464658626,0.9377561030490973,0.8997135080408522,0.8585358834029008,0.8189809797361781,0.7793547111914721,0.7377650294429813,0.6984431815391207,0.6642086932416079,0.6119141290276396,0.5651292141752722,0.5430817235680815,0.5252841292238015,0.489988579694777,0.46396776395909656,0.42915181935333097,0.40575611006645945,0.38774144824582935,0.3801969565950475,0.37482665341070015,0.36701720837860186,0.3532274610261229,0.3169591429580748,0.3051870643200634,0.30488148411633886,0.3097527077626349,0.30375189466588076,0.3261214597677678,0.3507143175780444
