,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0000000000000024,-0.10608882118306859,-0.040779082769734805,-0.45553906131635546,-0.4537875973195251,-0.4520397354673287,-0.45904618940186637,-0.47206407507689946,-0.4766469263582241,-0.46069099856833723,-0.42718985371981855,-0.39513395057032674,-0.35881716511233464,-0.32771321269943643,-0.2933746803466386,-0.2583509261076186,-0.226664082241605,-0.18965203729231767,-0.14878240493095587,-0.13155168639565817,-0.11765082244232437,-0.08819875980559956,-0.061168615561324816,-0.024424209850365506,0.001376561460616829,0.018826320708627716,0.0323442112165166,0.03602306237202073,0.04019586705719654,0.03675515000709852,0.03854575494675299,0.045327652631578785,0.04014739580343808,0.04360957062949219,0.05268218256349923,0.03742911014126128,0.008949859635236977
rotD50,"AvgSA([0, 3])",3.0,-0.10608882118306859,0.999999999999999,0.9366396511909842,0.7165934000130897,0.7023788027784467,0.658823045949553,0.6313645570220894,0.6003798736337914,0.59344135377166,0.6260869541377975,0.6753161878433384,0.7199597923142923,0.7621240527482676,0.7973230080673771,0.8199993265683871,0.8408755497887417,0.859329093577166,0.8894291890241736,0.9094143431190175,0.9147942391119069,0.9198372106059085,0.9292914699039326,0.935270274317576,0.9392640994514283,0.9407436087451753,0.9396339036161522,0.9385234805329296,0.9349956486534272,0.9267465946998652,0.9068994696371833,0.8653292339892611,0.8458487580074994,0.8215282178256815,0.8090401677939514,0.7794336883347678,0.7787742645039673,0.7843673081135784
rotD50,"AvgSA([0, 6])",6.0,-0.040779082769734805,0.9366396511909842,0.9999999999999993,0.6230120070744225,0.6128974216689008,0.577893050652622,0.5535220669295834,0.5189514653490807,0.5029931364989578,0.5190434359653311,0.5579792657864782,0.5941093769480302,0.632551023757261,0.6688031808273251,0.6953648227011126,0.7199620461303661,0.7425673244259837,0.7858049297890807,0.8120654387883807,0.8197668121683378,0.8268059408117328,0.8421895395128234,0.8513911636226168,0.8678357635139425,0.8792129793425081,0.8847209935800439,0.8923928649921762,0.8967464120193115,0.9161657009039191,0.9276070853573413,0.9372605176828528,0.9302787066276617,0.9460441687443947,0.9370672533801248,0.9177901403204396,0.9079775559112561,0.9023948229265941
rotD50,PGA,None,-0.45553906131635546,0.7165934000130897,0.6230120070744225,1.000000000000002,0.9968752880957792,0.9803510744999024,0.9710834250519804,0.959863785647806,0.954968348551167,0.9515478038746412,0.9425501780661896,0.9245150145462848,0.9030442974132277,0.879682866865477,0.8535950004769741,0.8290078020114718,0.8055516659835333,0.7648971777638994,0.7278070616215787,0.7087922654152746,0.6927215835774676,0.6634330797519365,0.6376311795692905,0.5984153724694864,0.5707052972561188,0.5508071881635006,0.5335424244786646,0.5235810120336389,0.5058514538976563,0.4861739392584416,0.4611160291167865,0.4570579610785693,0.45596033659813934,0.4621467957554509,0.45709863842290965,0.4800208093861411,0.5086189543227707
rotD50,SA,0.025,-0.4537875973195251,0.7023788027784467,0.6128974216689008,0.9968752880957792,0.9999999999999996,0.9881180848335447,0.9786964732257549,0.9646707071407364,0.9545997056120692,0.945483068302906,0.933061575595279,0.9124692741982455,0.8895345152446046,0.865204268990703,0.8382911413907776,0.8135059029848681,0.7897730744288504,0.7488379960728743,0.7118408541939697,0.6928381888548263,0.6769301392755153,0.6477120030785739,0.6219666000952895,0.5830276610079634,0.5556625084558108,0.5359901411054795,0.5191076103646266,0.5094020475911452,0.49208212596727574,0.4733232031783638,0.44901245799965533,0.44519258688115215,0.4461837024518314,0.4527153907397915,0.4495528828624601,0.47259116754033176,0.5010134402647123
rotD50,SA,0.04,-0.4520397354673287,0.658823045949553,0.577893050652622,0.9803510744999024,0.9881180848335447,0.9999999999999999,0.9921178579879899,0.9727558828609641,0.9497865247765718,0.9248206033909718,0.9021731169567181,0.8746938250408249,0.8469110808211493,0.8199573729543799,0.7915496812269791,0.7658731300568955,0.7415554599033687,0.7007691777705516,0.6636014054039829,0.6447338879918366,0.6292451891348263,0.6002712490424225,0.5751377673433176,0.5372198908265045,0.5108995980587995,0.49206040097539117,0.47636116081571755,0.4672020984580686,0.45165791530087557,0.43581901029389425,0.4137124420943163,0.41074855313924463,0.4145976286889863,0.4215980705084529,0.4218203311638087,0.4443507347922853,0.4722271089340811
rotD50,SA,0.05,-0.45904618940186637,0.6313645570220894,0.5535220669295834,0.9710834250519804,0.9786964732257549,0.9921178579879899,0.9999999999999999,0.9821825117743538,0.9537183649866569,0.9188947221480426,0.8893251370206351,0.85667707758121,0.8262225134329115,0.7968335730663733,0.7665834921191746,0.7396894064250741,0.7143731952965748,0.6725094017924247,0.6346651199146611,0.6157305731742019,0.5998317758861452,0.5708771227803128,0.5456067472463256,0.508072455741256,0.48195057578873796,0.46336354657525686,0.4481311968584898,0.4390922674928826,0.4251276071775044,0.4105265248751456,0.38953535014545054,0.3865501821630063,0.3917609352617475,0.39883594750577755,0.39988014466344907,0.42209380895661164,0.45000887516611526
rotD50,SA,0.07,-0.47206407507689946,0.6003798736337914,0.5189514653490807,0.959863785647806,0.9646707071407364,0.9727558828609641,0.9821825117743538,1.0000000000000022,0.9714250818124206,0.9260365687990373,0.8867530267391823,0.8472287169128692,0.8119287488328149,0.7784912020965585,0.7453698716176393,0.7160613664772826,0.6894031587112146,0.6452805708266908,0.6055396272777421,0.5860709677729532,0.5698423424739674,0.5406499060545081,0.5150093507869244,0.4768156054237098,0.4500170218266621,0.43084168727426264,0.4157254785828476,0.4066083798845256,0.3928607736955388,0.37848403999918157,0.3583762896846493,0.35541003311401126,0.3597395058087088,0.36644498002276793,0.3658926171216918,0.38780518176991585,0.4156762528538593
