,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.10143727381441528,-0.053253113284459905,-0.44050442889213515,-0.4387533712376322,-0.436594157744087,-0.4436932844347693,-0.4563896511946846,-0.4608399311550265,-0.4432587691151879,-0.41146524089106945,-0.38113364054170507,-0.3460706330782183,-0.31502388710013973,-0.28163071710162807,-0.24844683391894726,-0.21784168386696456,-0.18214909281359687,-0.14467486861033316,-0.1294217792148618,-0.116855611649336,-0.09088043282851153,-0.06579787620332567,-0.03294753038014993,-0.009486323215595895,0.007001278312507276,0.019277883805205537,0.022965216819465343,0.02932515655841625,0.023652414381340667,0.0347180901908419,0.042870443150725975,0.03854980702937947,0.04248192699204667,0.06420164583807897,0.04824702649503165,0.020636292239792017
rotD50,"AvgSA([0, 3])",3.0,-0.10143727381441528,1.0,0.9705756805120809,0.723562545130298,0.7085567633476529,0.6637079840659702,0.6360797874717797,0.6053883563469836,0.6005633852011246,0.6381672523977087,0.6869787901991288,0.7334601589209179,0.7773739235604668,0.8130057402047729,0.8367509708805537,0.8567249579869723,0.8751322144192202,0.904680710685562,0.9244856926145819,0.9303175334306545,0.9355106461993685,0.9443059852795253,0.9509746884161496,0.9552168147722323,0.9573194170704221,0.9573227539400943,0.9540404112141465,0.950964067646498,0.9355585800833591,0.9119966570083796,0.8857721909380023,0.8689417905373098,0.8509811345578555,0.8383725283969081,0.8124381783613346,0.8139828826219663,0.820947953763527
rotD50,"AvgSA([0, 6])",6.0,-0.053253113284459905,0.9705756805120809,1.0,0.6532106302209236,0.6394510234720364,0.5982192951403184,0.5717254232657671,0.5396894566125783,0.5315271599900994,0.5622213213642334,0.6063760797983345,0.6499885847726748,0.6902655421478417,0.725249617000592,0.7525675675983465,0.775837446161315,0.7966229883242671,0.831587216510866,0.8555798107677327,0.8634219210349395,0.8706318510792869,0.8829312862372897,0.8938959759436843,0.9105064204721672,0.9245893808495496,0.9335469204774678,0.940065385857466,0.9470236652436975,0.957123914364441,0.9583124610359869,0.957540154449615,0.9564203736041315,0.9510039120327751,0.9441751064289913,0.9251647780794581,0.9166893071922976,0.9119557692242063
rotD50,PGA,None,-0.44050442889213515,0.723562545130298,0.6532106302209236,1.0,0.9969699577299099,0.9808919484689446,0.9717369452823652,0.9608568004790318,0.9562841421515705,0.9533831398921274,0.9440452737879583,0.9264547131331806,0.9049371686457186,0.8811598728142972,0.8556679922540658,0.831201373385203,0.8081528063555129,0.768856982839799,0.7328488821777004,0.7142781931301163,0.6989878952538972,0.6708276506083111,0.6456083704773196,0.6076165906927476,0.5802614258966972,0.56045848409671,0.5449178182363902,0.5343867636943302,0.5164401672898221,0.5028804791923646,0.48343128523095213,0.4808272067789354,0.4859655074024651,0.4926870459841803,0.4990692061470689,0.5251911798391548,0.5558590575046946
rotD50,SA,0.025,-0.4387533712376322,0.7085567633476529,0.6394510234720364,0.9969699577299099,1.0,0.9886009798373581,0.9793877829213902,0.9658480298334386,0.956026578655382,0.9473170600810137,0.9345569561604483,0.9143861780239273,0.8912823993129139,0.8664667662352357,0.8401546045330194,0.8154353054975564,0.7921064127229662,0.7526280485524247,0.7166554360088961,0.6980722777520537,0.6829442569022806,0.6549085167985959,0.6297342095567752,0.5920364345587721,0.5650822442488489,0.5454834312955749,0.5302604233984111,0.5200690612707763,0.5025253725187819,0.4901274422337454,0.471122907265561,0.4687262782346547,0.47720881343086397,0.4842101459471223,0.49236007203334586,0.518451245815318,0.5488162559841456
rotD50,SA,0.04,-0.436594157744087,0.6637079840659702,0.5982192951403184,0.9808919484689446,0.9886009798373581,1.0,0.9925591220766092,0.9741723749718703,0.951542039829121,0.9268339073482281,0.9040153728572555,0.8769933612811718,0.8489086499871372,0.8212665471588487,0.7934075699825324,0.7677587922755053,0.7439202271630367,0.7046573404089934,0.6686195209364606,0.6502089061262475,0.6355220570885305,0.6078606100772936,0.5832297271208454,0.5465316215505587,0.5207064108929835,0.501944052400099,0.4876027236202454,0.47798749740490976,0.46211196388506476,0.4528196915727471,0.43530410159942345,0.4335651681350354,0.44589630339663644,0.4534723844837871,0.4651307180121217,0.49053580294224347,0.5200864284062158
rotD50,SA,0.05,-0.4436932844347693,0.6360797874717797,0.5717254232657671,0.9717369452823652,0.9793877829213902,0.9925591220766092,1.0,0.9831593909739416,0.9552427490954147,0.9208400418826973,0.8911819662397501,0.8590594458475849,0.8281801213793113,0.7981948544879267,0.7685765784593839,0.7417007113961948,0.7168875480861426,0.6765837113938593,0.6399273405677035,0.6214614140887826,0.6064474329482822,0.578849421397515,0.5541857912419674,0.5180315468296821,0.4924731801039473,0.47398973894854657,0.46004499396833204,0.450608151023674,0.43659474033848084,0.42868170971935804,0.4117635944899592,0.41000880530324973,0.4228276391045866,0.4304392145296496,0.44306420854578493,0.4680500343650073,0.49749237319596307
rotD50,SA,0.07,-0.4563896511946846,0.6053883563469836,0.5396894566125783,0.9608568004790318,0.9658480298334386,0.9741723749718703,0.9831593909739416,1.0,0.9723041969767496,0.9276156360543154,0.8883625949835308,0.8496129199263264,0.8139367166991733,0.7799992363744743,0.7476370345625319,0.718319237786554,0.6920921529630937,0.6496261019175432,0.6110705248369602,0.5920964322229775,0.5767193448685003,0.5485453547126902,0.5237066252615733,0.48703466813462715,0.4606560455347254,0.4414883769006532,0.4277201052139212,0.41825496078272817,0.40457930235360556,0.3970195767744064,0.38078762103108743,0.37918999094354255,0.38923707056235735,0.39660104791786477,0.40551702454156274,0.4304718794380758,0.45974269981484517
