,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.4604045648838349,0.7534287425561104,0.7647963214441725,0.8770104459696112,0.8651246839038078,0.8270993169482279,0.8188299392542948,0.8027048249947024,0.7944640214505899,0.7870122989287327,0.796968615349347,0.802418673858281,0.8144040595734858,0.8167604965170592,0.8293142971529004,0.8361457301431703,0.8323065354218997,0.8026455945838435,0.7853416827475739,0.7722413363152195,0.7533416492340167,0.7386374747886993,0.7162889062030147,0.7011358366418732,0.6855135264132688,0.6621565668908009,0.6530653077205452,0.6404059527317364,0.6271066391554218,0.6025592823008804,0.6084101787838748,0.6074867931487792,0.5992394446742222,0.6126418377076536,0.6357650688381538,0.6735847738323766,0.6777311700095755
GM,RSD595,None,-0.4604045648838349,1.0,0.02611987373745963,0.0683535144799086,-0.4227902607371044,-0.4124150018826137,-0.3891146467178607,-0.41598308789150307,-0.4402227778520216,-0.4761104142396332,-0.48134835539537285,-0.45535952904530375,-0.43252906756398746,-0.40571847826546886,-0.35445488116267004,-0.31340977961806427,-0.28100590449632484,-0.24800456369113508,-0.19227395828850302,-0.14514494933115485,-0.10632625969072627,-0.0702045618367632,-0.05580756975119251,-0.020437486751188873,0.002486264021191453,0.03816652547138261,0.07682584171116918,0.09541118765962255,0.11716524866452034,0.1394180395163124,0.22154988452474766,0.21347707288494036,0.21660626199466573,0.23819909799961564,0.22846056513728566,0.19979471847297106,0.15439550794939338,0.14231062956837218
rotD50,"AvgSA([0, 3])",3.0,0.7534287425561104,0.02611987373745963,1.0,0.929151883167154,0.6928868240732227,0.6858406108724606,0.6445605065725013,0.6033792105641018,0.5489793690526095,0.5121400479532981,0.4909672948561713,0.549500527574958,0.5848797198680702,0.6333183130202461,0.7129299054900912,0.7785455903712943,0.8226309854040429,0.8519104110797363,0.8979070392534085,0.9270144274070615,0.9413897245525927,0.9489532870751585,0.960293545467426,0.9677211281114809,0.9696269787565072,0.9669571632567183,0.9667102426516617,0.9681437354833958,0.9637354756734577,0.9575495456585406,0.9486047503672522,0.9307091498409342,0.9184951613399127,0.9015297478178952,0.9052698999719483,0.8240703240737816,0.8260353739704841,0.808014921528168
rotD50,"AvgSA([0, 6])",6.0,0.7647963214441725,0.0683535144799086,0.929151883167154,1.0,0.6615472849789044,0.6589404084917102,0.6543742692748615,0.6308933843322009,0.5758220531774283,0.5185122890292675,0.48218915871631424,0.5074158519505073,0.5023284293133958,0.5103117176015368,0.5583851815546083,0.6308209454904028,0.655319555272058,0.6873177135989272,0.7467346312585237,0.8022310876579541,0.818482683740205,0.8390688462511917,0.8600865793052196,0.8725896354085805,0.8841843087512463,0.8969634662390189,0.9121133808655839,0.92435092655208,0.9252838590677955,0.926416800109833,0.9302355078358002,0.9267048488527712,0.9261826376370401,0.9310408316434995,0.9417078291399475,0.9577568559164951,0.9492388863168358,0.9277730163581799
rotD50,PGA,None,0.8770104459696112,-0.4227902607371044,0.6928868240732227,0.6615472849789044,1.0,0.9981008581142415,0.9855806346349063,0.9787538587634996,0.969690157388072,0.9649181732098846,0.9547426666985317,0.9533490146424322,0.9499232107215196,0.9377431308301502,0.9240798469078484,0.9111542204233125,0.8929601742191723,0.8776459420098087,0.8115637829617804,0.7644927494658154,0.7405256459979562,0.7175408670324174,0.6997337423480645,0.6759690668847589,0.6397177738468685,0.6018865581635304,0.581768294777919,0.5778277512189804,0.5723719544418799,0.5454790280319487,0.5122947566743832,0.5302159271626471,0.5379824860900636,0.4828752124172896,0.4982008855283339,0.5307968125660274,0.5748750989700729,0.5893018069274294
rotD50,SA,0.025,0.8651246839038078,-0.4124150018826137,0.6858406108724606,0.6589404084917102,0.9981008581142415,1.0,0.9917462935059109,0.9836910425487673,0.9723540578417476,0.9659963262481583,0.9530379835069706,0.9504370291362682,0.9447690474050103,0.9302780943267366,0.9146027428521991,0.9008415292591181,0.882541359804765,0.8672983897052389,0.8003623030975492,0.7541278456489058,0.7300012729740398,0.7075703931953538,0.6904999695771935,0.6677422091871482,0.6313196916246182,0.5925036306146587,0.5739006059253825,0.5704814181263937,0.566059135860345,0.540769046671799,0.5106213532886296,0.5314926504594424,0.5396234942609969,0.48398775962422047,0.49928322512538537,0.5322088540741132,0.5756078162098626,0.5891458362801846
rotD50,SA,0.04,0.8270993169482279,-0.3891146467178607,0.6445605065725013,0.6543742692748615,0.9855806346349063,0.9917462935059109,1.0,0.9926810050850837,0.9816921883989407,0.9660473482515968,0.9476991889777107,0.9408067083498408,0.9241681008169416,0.901047403377544,0.8803484867503768,0.8636286842568305,0.8420626092023455,0.8262389805972461,0.753506200318256,0.7060481092308653,0.6811126567969755,0.6599084386412823,0.6455860770218876,0.6241917514887252,0.5874283272636253,0.5503373327572227,0.5337645270812061,0.5335453847152141,0.5325907695906056,0.5066194869407039,0.48148520556552327,0.508629021808322,0.5198049018266591,0.4676138144241688,0.4830625524315616,0.5379907248096739,0.5796000856014277,0.5915800568503351
rotD50,SA,0.05,0.8188299392542948,-0.41598308789150307,0.6033792105641018,0.6308933843322009,0.9787538587634996,0.9836910425487673,0.9926810050850837,1.0,0.987839878544929,0.9735019512033503,0.9501366110917957,0.9389048969435393,0.9180102178325426,0.8909451887639397,0.8653182737479365,0.8431964379558732,0.819046454443147,0.8009753102793622,0.7225887630270292,0.6732242897165621,0.6455276297150961,0.6225718467298137,0.6077479344822305,0.5848309158106754,0.5471013326511756,0.5109956037446026,0.4941104090073998,0.4944477927309376,0.4921470620988201,0.4629725210463408,0.43698484177653474,0.4660977223712269,0.47953735533330943,0.42993453900102563,0.4471693007098607,0.5170547436879459,0.5566424750128282,0.5683147813588764
rotD50,SA,0.07,0.8027048249947024,-0.4402227778520216,0.5489793690526095,0.5758220531774283,0.969690157388072,0.9723540578417476,0.9816921883989407,0.987839878544929,1.0,0.9864876209611387,0.9654449174362725,0.9452701415073075,0.9175528992470049,0.8870057897508844,0.8554014968453711,0.8269908275322114,0.7954395634361343,0.7738561121503232,0.6897524256505551,0.6337303685107897,0.603585553268363,0.577803930854429,0.5593595539651686,0.5363150862159168,0.497878893646854,0.4599281464040996,0.4380064054222712,0.43476125354973494,0.4308050588645381,0.4015932300238947,0.37063994436632447,0.40630282480689917,0.42203496238523325,0.36460898959598775,0.3830039855988399,0.45831295132928146,0.5008585777526532,0.5190046828926067
