,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.31196587982702684,-0.13155336341525412,-0.3997116312273822,-0.36152337963848385,-0.3284868155425013,-0.3338662745209771,-0.3473094472009004,-0.3511551237286597,-0.34542960147278173,-0.3336098018249595,-0.33731365367204147,-0.3570854510620451,-0.35390399652692084,-0.34578158110672924,-0.3341567999967475,-0.3485769065019995,-0.36554723193733946,-0.3440651579020428,-0.356265531052541,-0.3348529042798511,-0.28474762583174773,-0.27554665800459327,-0.2785308734831243,-0.23901065391752876,-0.24282719945824793,-0.2228951322256804,-0.2031069847326836,-0.2191296256558887,-0.17074414690480244,-0.14510187831586555,-0.1763497793446468,-0.13978125780297132,-0.10721022848597823,0.0006555326562914992,0.0026298518696497523,-0.007767865892259352
rotD50,"AvgSA([0, 3])",3.0,-0.31196587982702684,1.0,0.8242194411212354,0.7286224959168299,0.7107926093171216,0.6692591918886281,0.6593401958386865,0.6149606822562053,0.5738092508084335,0.5341496429604364,0.5857929946026683,0.6265543431658464,0.7046497761035881,0.6722268645503184,0.7142371121105324,0.7334445907411407,0.7341518380521879,0.7633240876507452,0.785426923066835,0.790072916965573,0.7961341414050935,0.8176425943624773,0.8251586618945486,0.8321291261898338,0.8462724255663978,0.8616419112651577,0.8575377687226117,0.8568763762239662,0.8661469127511038,0.8798527765194981,0.8339979447206934,0.8134728413968738,0.7800041281183276,0.7411590044959122,0.652120655231009,0.628561145770791,0.6111156114233399
rotD50,"AvgSA([0, 6])",6.0,-0.13155336341525412,0.8242194411212354,1.0,0.5824277764205258,0.5662017888100679,0.5260022687773015,0.5173364672447256,0.49052018028006605,0.4566565288191077,0.3988970744739202,0.4611772483122203,0.48622568822141965,0.5200043787556526,0.49554961392384306,0.5386838823441489,0.5616735551031313,0.5583184451325776,0.5598380328760144,0.5398132966048438,0.5581965166139327,0.5733066353832622,0.6042442767444534,0.6237678276771893,0.6666841347103801,0.68705996937154,0.713430064749313,0.7309934219105825,0.7633988151054054,0.8083882974204861,0.8456260880591578,0.8872058695524492,0.8920926052096976,0.9038068633273358,0.8794922726947085,0.9120593400842841,0.8787802237723785,0.850258592156462
rotD50,PGA,None,-0.3997116312273822,0.7286224959168299,0.5824277764205258,1.0,0.9847111161187317,0.9449381475002712,0.9374224053442846,0.9308033307191537,0.9173199490339348,0.8904826386777537,0.8993145654593975,0.8892744936749454,0.8741430807851767,0.8370784787353613,0.8139134032406538,0.783833926383319,0.7437660085968151,0.6811887343584875,0.6394294503392569,0.6074849885473786,0.6040743588878792,0.591774754058283,0.5809512043346763,0.548197150684066,0.5474869540409562,0.559495135323456,0.5195867392021518,0.49950519267387483,0.5371942669416567,0.5183433552733091,0.53153184736707,0.572621912762927,0.5390183895384691,0.5234931531772536,0.4825808996408637,0.4886129967522902,0.48860684601976495
rotD50,SA,0.025,-0.36152337963848385,0.7107926093171216,0.5662017888100679,0.9847111161187317,1.0,0.968591345571871,0.9471832875325477,0.9276570344636,0.9042294777565173,0.8657088817652492,0.873073497746776,0.8628845609022758,0.8479789401528708,0.806406403493551,0.7832240626109597,0.7544768384889086,0.7108905357881621,0.6565603880783172,0.6179662244009495,0.5873548877229873,0.5895264713100455,0.5732281745586683,0.5615290228383336,0.523826757962491,0.5254093432440086,0.5458511899766965,0.5035932219652359,0.48929221851615723,0.5230656141389081,0.5016122401895312,0.5232213781767077,0.5706876881244292,0.5430076468016135,0.5238571876449527,0.474978650122686,0.47663487734407106,0.47738901960817204
rotD50,SA,0.04,-0.3284868155425013,0.6692591918886281,0.5260022687773015,0.9449381475002712,0.968591345571871,1.0,0.9671260388687429,0.9208090944203243,0.879461724118151,0.8191541837720617,0.8240906786610083,0.8089539419088042,0.790746411489153,0.7482319237344178,0.7179046357215635,0.6889703388004176,0.6473098919111208,0.6103216382162251,0.5664652839046835,0.5398884592503578,0.5466609003420076,0.5358696707629947,0.5297986589678125,0.49492133084646756,0.4986263955573772,0.5166464887568852,0.48199241030853296,0.4673338295668994,0.49424647644358083,0.48374742030718604,0.5133505474870703,0.562769249287014,0.532829016923925,0.5140556350489358,0.4656376977642475,0.4652360446196448,0.4658841340242359
rotD50,SA,0.05,-0.3338662745209771,0.6593401958386865,0.5173364672447256,0.9374224053442846,0.9471832875325477,0.9671260388687429,1.0,0.9432474309751203,0.8899796042189235,0.8161758690129356,0.815567584452482,0.8010367082113059,0.778132991262888,0.7361704301921199,0.7021608653267915,0.6705612551350869,0.6310256202838814,0.5902692809661058,0.5478314917866024,0.5231028299444135,0.525869564430909,0.5254712353504077,0.5306290181711832,0.4968534279163775,0.5006962458743899,0.5087789753521388,0.4795630029268126,0.4569805938554048,0.4948713961013793,0.47862448851454703,0.506415477901259,0.5514606089806261,0.5240365277585227,0.5188369947388066,0.4641316765985947,0.46653628366150196,0.46321940635139597
rotD50,SA,0.07,-0.3473094472009004,0.6149606822562053,0.49052018028006605,0.9308033307191537,0.9276570344636,0.9208090944203243,0.9432474309751203,1.0,0.945204090547933,0.8631116703954913,0.8386542926876892,0.8050006065128363,0.7756647609403614,0.7173642855338318,0.674268324451909,0.6382783684986479,0.5912295119869343,0.5427581446304615,0.49583295991133197,0.47168294422631646,0.48485552695171974,0.47943950715961825,0.4880410605771422,0.460623598033253,0.4584679595197202,0.4638059545360593,0.4331572110396987,0.4057383264502246,0.4512401764723829,0.4364109907257825,0.46790291014766616,0.5109066391636704,0.4923047345819117,0.4921248149057563,0.43951572426637586,0.455708112811267,0.46147754237074456
