,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,0.9999999999999998,-0.10805291015700147,-0.08588839731321575,-0.4655155915222091,-0.4581497004829095,-0.4467709361540135,-0.4562342909314039,-0.4708514979920846,-0.48717674606783107,-0.4707841689398417,-0.44165916854456916,-0.40852172574530965,-0.3849959087077947,-0.3504761324812763,-0.3330325856571508,-0.3197994946959468,-0.30129711550398974,-0.275483387525453,-0.23677737377046507,-0.22031265372806083,-0.19999754143157686,-0.17378040592628938,-0.15120387359708587,-0.11884371913948126,-0.10200904376678954,-0.10731933053790084,-0.10042977746011074,-0.10449023634535046,-0.06970834411671871,-0.03187188775419828,-0.04334670613667248,-0.05319223157851596,-0.03264194789793446,-0.032381379996809505,-0.03435834300940821,-0.05288017355200767,-0.05892736382349189
rotD50,"AvgSA([0, 3])",3.0,-0.10805291015700147,0.9999999999999994,0.9200509031330343,0.7043247252623854,0.6895245629073311,0.6541669664340889,0.6290596827422656,0.5882656359532323,0.562188155590025,0.5680636738748385,0.6279824107799296,0.6673137957930562,0.7105271157264104,0.7494174376158833,0.7781934648657325,0.8050960590397384,0.8314037517883771,0.8725783565662419,0.897679864699775,0.9111199772471059,0.9166580019304768,0.9301379343865112,0.9380436484484584,0.9433037797178164,0.9397782803727631,0.9394484234207224,0.9327061567084747,0.9220461237508459,0.920565626560291,0.9375510891171196,0.9123507159335019,0.8994652532099191,0.8858518948069865,0.877637317423027,0.8051909395882141,0.7867738966190586,0.7603333910315794
rotD50,"AvgSA([0, 6])",6.0,-0.08588839731321575,0.9200509031330343,1.0000000000000002,0.662759008596048,0.6486707266564234,0.6278183020759314,0.6065941174673313,0.5715151400464181,0.5299740274327628,0.5175623852969089,0.5630702608433401,0.5776710584007367,0.6061426034635787,0.6327145553433614,0.6691330076725851,0.6947858575127737,0.7187030073726454,0.75630263186428,0.7837375858909144,0.7968048054109266,0.8048301188273175,0.8173312347559547,0.8258737513774409,0.8338410696720747,0.8389432088994129,0.8498339391021247,0.8597017068336974,0.8636663695932482,0.8855803467059001,0.9105623408950091,0.9198972950765766,0.9258703413630319,0.9375559120604614,0.9340182217311147,0.9450746875002402,0.9239868954858306,0.8966966407105824
rotD50,PGA,None,-0.4655155915222091,0.7043247252623854,0.662759008596048,1.0000000000000002,0.9972130187518794,0.9834989506825714,0.9790795136944046,0.970348022578786,0.9670222905545858,0.9659542790522312,0.9682605076774671,0.9560610285924532,0.940931377374772,0.9221164067017826,0.9128598376467497,0.8978986009485871,0.8778992618554164,0.8281635780066385,0.7879756022685689,0.7687135063925012,0.7531660520716371,0.7338021171158509,0.713461950364498,0.6832022416815762,0.6539164836149753,0.6589053685521359,0.6597368005187018,0.6588544235087535,0.6147465569142746,0.5708290003788383,0.5812188254413534,0.5907879116769422,0.5854856013715467,0.588073585954349,0.5853286792897442,0.6060198525130899,0.6097280081942427
rotD50,SA,0.025,-0.4581497004829095,0.6895245629073311,0.6486707266564234,0.9972130187518794,0.9999999999999996,0.9908539188963723,0.984761381180198,0.9738977083796168,0.9687397791902802,0.9642645423476245,0.9643278712205461,0.94930545691135,0.9316870232015312,0.9108378544430329,0.9010412394832898,0.8858002179509538,0.8645697396208079,0.8129683943400802,0.7724580793770425,0.7527255535915451,0.7379009900256914,0.7178903628969892,0.6976924097126093,0.6672795959735225,0.6369610947660412,0.6437901356602579,0.6450830420964118,0.6458319322382475,0.6021223798349997,0.5596550663431298,0.5732894707917846,0.5846438685523303,0.580233398143016,0.583160203105718,0.5792127044828752,0.600005752335491,0.6046547935978573
rotD50,SA,0.04,-0.4467709361540135,0.6541669664340889,0.6278183020759314,0.9834989506825714,0.9908539188963723,0.9999999999999997,0.9933370491565823,0.9809217544152836,0.9690579925355896,0.9564721856688079,0.9482780737977734,0.9236261396263301,0.9003155913777038,0.8755686192158499,0.8650413391581588,0.8493024830083518,0.8264766411882477,0.7718021856682906,0.7300485092915949,0.7102195140436809,0.6967390184950627,0.6774263847260245,0.6585074375616038,0.6285152319676611,0.597544639508765,0.605839631022436,0.6103753535792474,0.6135959614541646,0.5703003093192547,0.5321209946287755,0.5523715041855998,0.5674470583991906,0.565772160458063,0.5715228190966899,0.5758438005486638,0.5957829190265178,0.6016342001486426
rotD50,SA,0.05,-0.4562342909314039,0.6290596827422656,0.6065941174673313,0.9790795136944046,0.984761381180198,0.9933370491565823,0.9999999999999997,0.9866639249363907,0.9733324534546375,0.9554992328697705,0.9438414814295586,0.9159918508783691,0.8906113107596644,0.8636749835800827,0.8515148703078308,0.834534154565135,0.8111875087909706,0.754250857907621,0.7121952857254853,0.6916006740523998,0.6769731899891582,0.6575090383182938,0.6387293125337619,0.6087570715632423,0.577102029064904,0.5840584147427165,0.5892655873003846,0.5915843329943893,0.5470124816182249,0.5065582960812607,0.5277705492531521,0.5438722284624949,0.5435750853944817,0.5521857607224852,0.5598943176841602,0.5810274201359216,0.5870886663808659
rotD50,SA,0.07,-0.4708514979920846,0.5882656359532323,0.5715151400464181,0.970348022578786,0.9738977083796168,0.9809217544152836,0.9866639249363907,1.0,0.9869168271715113,0.9645664935585051,0.941399260997976,0.903738715665197,0.8734441911646136,0.840018766668192,0.824140026003762,0.8033782507124293,0.7769227570302354,0.7181020397513259,0.6731649929514619,0.6514129364925952,0.6355389931671753,0.61496931302566,0.5958416775825905,0.5647223387639118,0.5319278344885849,0.5386108729463249,0.5439122488235575,0.5456157980641101,0.5016389720639831,0.46200920461413486,0.4882753126818788,0.5046949447073562,0.5018687981165001,0.5139454406405927,0.5287527004726181,0.5533418806936474,0.5640132880095223
