,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.02123324764112162,-0.008158391685297186,-0.2710703681269542,-0.266696499622479,-0.24992994804846846,-0.2653963121154753,-0.24260695827780496,-0.2395203353912979,-0.2541429219926701,-0.3047845770841416,-0.2732011542336776,-0.22763541693716427,-0.18272069297860916,-0.17291279633092432,-0.15781939787359117,-0.12797513855139964,-0.07356413933660613,-0.05160429842744268,-0.04599043065759855,-0.03780567051182594,-0.024474588826921204,-0.01985409509492951,0.00814928516250082,0.014472316971548722,0.009176811383091997,0.008914646285352965,0.0076407629308408356,0.017968077859088168,0.03376529185240076,0.008612229371727492,-0.003565048563369429,-0.15190912116025954,-0.16323290310993266,-0.07505569672936045,-0.12478925276294137,-0.16878700798724852
rotD50,"AvgSA([0, 3])",3.0,-0.02123324764112162,1.0,0.9673410434033065,0.8325506114508958,0.8262492899793631,0.7966801865199298,0.7690002769319697,0.7435005332339932,0.7314448782769998,0.7689037256109573,0.7882444129027578,0.8143986675610181,0.8521243854071178,0.8741523474564604,0.8944731335050702,0.9113847521717846,0.9318446197146029,0.9543220527090588,0.968074554533914,0.9704525832596117,0.9733964707313669,0.9772418234433982,0.9806040914624693,0.9825971779521111,0.9831301806263009,0.9841493329562832,0.9822639272659023,0.9820664900861424,0.976916077467634,0.968503350164152,0.955295459539392,0.9429849736592388,0.9328666963068808,0.920996075791819,0.8703744943885589,0.8390816920250583,0.809028611147134
rotD50,"AvgSA([0, 6])",6.0,-0.008158391685297186,0.9673410434033065,1.0,0.7710495786393313,0.769591212735149,0.7552159782080287,0.7271568235309483,0.7094494611468457,0.6772444570483881,0.7043828325496401,0.709636115259095,0.7157855824168445,0.7349741828998416,0.7432893402283002,0.7741235494944708,0.8053210914799303,0.8408574832499887,0.875659472985277,0.8981405175332182,0.9045926539393031,0.9132439398938257,0.925959454206523,0.9367516271827103,0.9366997382935695,0.9461360754580256,0.9568049489252121,0.9634248150649791,0.966443314805103,0.9740075213871109,0.9718681355973021,0.9776473480220397,0.9702344136182609,0.9778283571639595,0.9672643643389813,0.9482346660889446,0.9241300024716831,0.8991919659156838
rotD50,PGA,None,-0.2710703681269542,0.8325506114508958,0.7710495786393313,1.0,0.9991475346041111,0.9894587934732614,0.9847437506454007,0.9715516034830107,0.9673529961834081,0.978747824401054,0.9729394204575822,0.9626170437773203,0.9607614420387643,0.9456875205338683,0.9323054412673364,0.9157514853101321,0.9002640431750348,0.8742423076631868,0.8493978504927485,0.8428870326655246,0.8414310965057732,0.8289328504513142,0.8246816053466354,0.8030605623993894,0.7908864905801688,0.7742693935666549,0.7597161813213122,0.7608844722974548,0.7469953698814329,0.7308626614244341,0.7501546522396247,0.7522922267402791,0.7428138207701193,0.7480986080438977,0.7006266650545905,0.6968422567933735,0.696496959948722
rotD50,SA,0.025,-0.266696499622479,0.8262492899793631,0.769591212735149,0.9991475346041111,1.0,0.9933357420756687,0.988736121688285,0.9742100894893697,0.9684363974480538,0.9782417545166554,0.9689920395584013,0.9565259953283324,0.9532218966482751,0.9384853904653593,0.9247582403329718,0.9077506191894841,0.8916596556587068,0.8652768831512546,0.8410527380937046,0.8347821394584125,0.8336788785710577,0.8216782783705857,0.8178598924462002,0.7969173138768206,0.7848072368355575,0.7681403617395802,0.7535397443421941,0.7544851791573025,0.7417444797686876,0.7260765413017216,0.7461500310497146,0.7484641129178627,0.7402358009258035,0.7460146896137753,0.7003496773398221,0.6967978872815213,0.6957154780318084
rotD50,SA,0.04,-0.24992994804846846,0.7966801865199298,0.7552159782080287,0.9894587934732614,0.9933357420756687,1.0,0.9973866498415899,0.9839167171270817,0.9714649526657514,0.9720063884695326,0.9486565868881328,0.9312913083487299,0.9264986312094354,0.91222597119053,0.8969605403134114,0.8788960956305033,0.8604134303505212,0.830768336021053,0.8063883708317292,0.8000051735109569,0.7995277562302501,0.7877924955452174,0.78531642813888,0.7659994855402512,0.7536789398752561,0.7365957896029365,0.7229630883773444,0.7246637008113667,0.7158040821508814,0.7029011796338144,0.724063818858534,0.7278958876433176,0.7211160635377136,0.7303383918470991,0.701124083770369,0.7003016191261061,0.7015010793428782
rotD50,SA,0.05,-0.2653963121154753,0.7690002769319697,0.7271568235309483,0.9847437506454007,0.988736121688285,0.9973866498415899,1.0,0.9889270988271976,0.9762761986870052,0.9727524683807687,0.9437307694598985,0.9225872552097829,0.9163918687686304,0.8985974296426816,0.8814171583807112,0.8607210777287875,0.8402507432386818,0.8073885220399449,0.7805589122556499,0.7736077105017278,0.772592144073598,0.7599266052589223,0.7574938136173894,0.7371413472725179,0.7237565958199847,0.7064846389346155,0.6927774557851646,0.6950433577939011,0.6862869958757866,0.6738485097006981,0.696093448976907,0.7010417121690334,0.6951353804562521,0.7056029711126286,0.6803699243277871,0.6816092113876381,0.6869668825864212
rotD50,SA,0.07,-0.24260695827780496,0.7435005332339932,0.7094494611468457,0.9715516034830107,0.9742100894893697,0.9839167171270817,0.9889270988271976,1.0,0.9875326291013379,0.970519211378573,0.9332057874165491,0.9059362529137185,0.8974416409810885,0.8721185779651777,0.8561244367537573,0.8340364050964625,0.8141675400441889,0.7828880751611743,0.7552768302030914,0.7475976973867015,0.7465552067329081,0.7337471524168069,0.7319597287730212,0.7123052603882424,0.6992379443550244,0.6797708082518717,0.6665123128572185,0.6700578303424864,0.6611732552439124,0.6505698088197711,0.6791341274349739,0.6852796401244866,0.6728982704598911,0.684180724761513,0.6704797814843443,0.6705605739560692,0.6758048545666377
