,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.46472146054091984,-0.3443667715382935,-0.49939276513503034,-0.4799759903551247,-0.43000502762895204,-0.423865346705565,-0.42961562464646624,-0.446188662590251,-0.4504879191274996,-0.4954126464195775,-0.49225755867345855,-0.4820463316337288,-0.46336958807282597,-0.4686733928752879,-0.4537163770806379,-0.4571124694758054,-0.4333345470739712,-0.40572021840923145,-0.39378239724922376,-0.3910854778400368,-0.38436686856766283,-0.37141121581326864,-0.3300534746073752,-0.322083399304628,-0.30784133270008485,-0.2919922022623184,-0.2876684427027008,-0.2717540980316277,-0.3076879476464083,-0.33824318158875366,-0.3483869053289965,-0.27244455829406944,-0.28121091663650144,-0.2535828586136476,-0.3001419038127441,-0.3295044341920887
rotD50,"AvgSA([0, 3])",3.0,-0.46472146054091984,1.0,0.8419428077545397,0.749548692279965,0.7360323928041094,0.6925641079133275,0.6753733582801763,0.6357048257403759,0.634877219389812,0.6579202671978086,0.6892704110179328,0.7149075949829996,0.741873661572242,0.778122585222957,0.7806572938866724,0.7883893151727465,0.8178009462660851,0.8396980199864753,0.8676948639403173,0.8737062313240961,0.871422999801952,0.8792213141400075,0.8862112011668364,0.887651966841673,0.8839429223862001,0.8832253381683216,0.877191606526497,0.8709520930962023,0.8647624953982521,0.8773088909563346,0.8598314430892064,0.8541072805150005,0.7834064452758555,0.7857242659899001,0.7383342480542455,0.7477308324167838,0.7437193862911143
rotD50,"AvgSA([0, 6])",6.0,-0.3443667715382935,0.8419428077545397,1.0,0.6541280360071149,0.6519757273508053,0.6225765889881635,0.6028236507821522,0.5656288436922546,0.545549186392127,0.5879092483920809,0.5813030810933647,0.560753944445731,0.5686527888396297,0.5851417859282352,0.5895066746152096,0.6166682359691233,0.6587365151072228,0.6780453336932073,0.6977711021284096,0.7173816122208811,0.719170518719527,0.721651972179299,0.7403841287183911,0.7318582441483087,0.722024129663451,0.7352751518040216,0.7419469208805892,0.739519605773183,0.7499715868344186,0.7691199791127624,0.8398345129510928,0.841221319951689,0.9122451536556764,0.9192002936253245,0.9461853945862176,0.9448979224919022,0.9307864999175088
rotD50,PGA,None,-0.49939276513503034,0.749548692279965,0.6541280360071149,1.0,0.9959056094030051,0.9700355206300674,0.9533277039806554,0.9363009416053137,0.9363053151613976,0.9391153101659324,0.9268560112201779,0.9005583334122551,0.894132292683963,0.8758119589890756,0.8442695427380223,0.8259928951265929,0.8242794222140287,0.7909440372937131,0.7527068221020133,0.7308267478817854,0.7110253880047073,0.6716642137376093,0.640634276019312,0.5829508159531075,0.5519459461935069,0.5172378481646724,0.5034983285097746,0.4951282504858396,0.4702841004910595,0.4892559983692601,0.5255214851122196,0.5383297350732485,0.49263084574593563,0.5092438947550241,0.5395045067201781,0.579267798003093,0.6026151480795433
rotD50,SA,0.025,-0.4799759903551247,0.7360323928041094,0.6519757273508053,0.9959056094030051,1.0,0.9824240754921333,0.9649720334510974,0.9429113192633197,0.9396098095934156,0.9352972417424005,0.9151433781252906,0.8817621934487498,0.8749620977327411,0.8585405599654992,0.8273545563130298,0.8096872380013814,0.8081021434595564,0.7739701058847288,0.7339166266023863,0.7135850642469646,0.6943825581877224,0.6538562509666134,0.6243192722573355,0.5662172477851662,0.5361285074249599,0.5022381571852966,0.4905253273258018,0.4824549875046601,0.46112149437229727,0.4831369161088555,0.5203100413265869,0.5331127602229563,0.4931279718257141,0.5097298959979198,0.541886442921745,0.5792810984986541,0.600741430243456
rotD50,SA,0.04,-0.43000502762895204,0.6925641079133275,0.6225765889881635,0.9700355206300674,0.9824240754921333,1.0,0.9823449836235857,0.9453582183536715,0.9227851520719463,0.9075730242631029,0.881659429585897,0.8356088744939916,0.8243156858531737,0.8107680314593028,0.7805599331090656,0.7626749850870349,0.7608503914188052,0.7293062184312892,0.6801472577549048,0.6618267469754625,0.6438120293483875,0.6016090383949366,0.5764283923019496,0.518758261498495,0.49012334044888894,0.453982612175035,0.4449131401427194,0.43802736395877606,0.42028105246285047,0.44888955515037543,0.49058823986706046,0.5033327469907716,0.46745509906094523,0.48564481699012485,0.5200928673297397,0.5575677870000294,0.5777639377529611
rotD50,SA,0.05,-0.423865346705565,0.6753733582801763,0.6028236507821522,0.9533277039806554,0.9649720334510974,0.9823449836235857,1.0,0.9596475820209859,0.9251148880714996,0.9022572010997136,0.8665574256892642,0.8173721317160374,0.8029098292373579,0.779788902043112,0.7464938753819923,0.733896436165548,0.7349199226551951,0.6968221444031837,0.6546007379484295,0.6376168674739221,0.6179242804118648,0.5768021627429389,0.5501972294060858,0.49616974216211907,0.4700551745021339,0.43330709509911375,0.42293000937243325,0.4152745612475212,0.39510043223926694,0.43237998412084166,0.4793156382700697,0.4895781507627409,0.4527245581807433,0.4708070907366677,0.49794810223273606,0.537658548858742,0.5581909220688782
rotD50,SA,0.07,-0.42961562464646624,0.6357048257403759,0.5656288436922546,0.9363009416053137,0.9429113192633197,0.9453582183536715,0.9596475820209859,1.0,0.9481995907330197,0.9008202253570072,0.8635808345331822,0.8147276909692245,0.7959877095962437,0.7670980142610988,0.732965097775537,0.7172866825972233,0.7159794487586851,0.6793734170617505,0.6343652810555019,0.6157060182032235,0.5940131068813319,0.550049521351785,0.5211585421814342,0.46148065859126086,0.4408442417410207,0.39832840125062224,0.38411819988622364,0.37339565231409666,0.3504757494392233,0.38804146321407157,0.43824972418049535,0.4480902263758632,0.4125142745358308,0.42852884334189006,0.4611717818998768,0.5046557132523846,0.5238898368767982
