,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,0.9999999999999997,-0.15206763737887077,-0.11927167784853557,-0.3330110665580866,-0.32241035735275425,-0.29733777540477274,-0.30229153455503505,-0.2942200958916205,-0.29641506615512775,-0.30648788756571754,-0.3352608499499464,-0.32288980802748396,-0.3034682604010476,-0.27496007511461673,-0.2667527961216018,-0.25545876837427195,-0.2419854180537264,-0.2089680610720188,-0.18340986611008364,-0.17527850383729884,-0.1669642889038716,-0.15209833291431576,-0.14058488689477794,-0.10407194817763918,-0.09298053576966558,-0.09032294478335359,-0.08856291120206093,-0.09032156676835441,-0.08698681663498299,-0.08201731749122818,-0.10918277764775107,-0.12057415415335337,-0.14355123491386992,-0.1540949384108349,-0.13293092266661255,-0.171931174775375,-0.20143924201803062
rotD50,"AvgSA([0, 3])",3.0,-0.15206763737887077,0.9999999999999994,0.8622563115982684,0.7836470034735593,0.7688232156927923,0.7238544063433127,0.7005545131681525,0.6753932502970297,0.6719814487942615,0.7190075171463887,0.7509707347509618,0.7894236342920411,0.8306272344058203,0.854322200357105,0.8767128134984555,0.8931783335639566,0.912216334751689,0.9375498624874047,0.9530806884121213,0.9568064429761699,0.959843655854712,0.9648344442098459,0.9657688964678718,0.9681584640970622,0.9661149942778964,0.9630336679798406,0.9596771122133598,0.9562959991293967,0.9565235676182322,0.9514188734419587,0.9332225374165105,0.925248060563629,0.8632208383610478,0.8574543543593472,0.7783575163445768,0.7657400859845448,0.7485098085851025
rotD50,"AvgSA([0, 6])",6.0,-0.11927167784853557,0.8622563115982684,1.0000000000000007,0.652293333925479,0.6447050608990424,0.6178432707084497,0.5981260320334613,0.577243288452944,0.5569962022095206,0.5962834306206839,0.6067849890396799,0.6274024587705593,0.6497517939086196,0.6656960276373233,0.6917574973429146,0.7187526439004808,0.7358378834998935,0.7572441509054523,0.7762005671770552,0.7851300301322051,0.7962654067342158,0.812258152697812,0.8195866144530563,0.8321663141812837,0.8262371138071938,0.8290864630420604,0.8325284370064443,0.8295315005930259,0.8492992272364319,0.865398496261815,0.8812315593866981,0.8845669136054751,0.9160836173536402,0.9074967363816309,0.9522864396157545,0.9378289154561114,0.9192129949301133
rotD50,PGA,None,-0.3330110665580866,0.7836470034735593,0.652293333925479,1.0000000000000002,0.9982346438005638,0.9841701083913226,0.9758541484203983,0.9657511864770871,0.9644351297837755,0.9736567005501181,0.9681919327314981,0.9503637508809192,0.9388046432999774,0.9203623608390357,0.9013441144170315,0.8848992232601642,0.8694436630233082,0.8368384262408071,0.805249033786876,0.7893922260457181,0.7790144749433556,0.7549049934440167,0.7355208461286555,0.699315964725772,0.6796658231362618,0.6589803290988767,0.649545304657951,0.6477621277008361,0.6466358394438094,0.6390400369539793,0.6488730359036026,0.655264571103159,0.5967956543509572,0.6083919187442848,0.5772760373343412,0.5932747417558353,0.5983583655878181
rotD50,SA,0.025,-0.32241035735275425,0.7688232156927923,0.6447050608990424,0.9982346438005638,1.0000000000000002,0.9907930207653729,0.9827688988757679,0.9712461915051197,0.9677232705850878,0.9722993094697808,0.9627095448934034,0.9404355940538809,0.926150388015259,0.9076738370800348,0.8878604671035176,0.8711307347172736,0.8550521415344062,0.8215930569916753,0.7893938176872708,0.773305831924538,0.7627545287307586,0.7379301023321803,0.7187526173587018,0.6827297518027761,0.6633202194871575,0.642707478642286,0.6337714333054513,0.6318602987164692,0.6318671453277894,0.6257398544722103,0.6366056151818722,0.6430709747968345,0.5871437540244642,0.5991450213947224,0.5716195538750982,0.5875893236728029,0.591781723297038
rotD50,SA,0.04,-0.29733777540477274,0.7238544063433127,0.6178432707084497,0.9841701083913226,0.9907930207653729,1.000000000000001,0.9940808576218033,0.9798771930639754,0.9679182415374431,0.9604077512468835,0.9400069625804693,0.9081312797147159,0.8886880452887879,0.8699717977158576,0.848732502260786,0.8317006748410445,0.8137558283319749,0.7783493745540244,0.744492833283523,0.7281449619761093,0.7176047912687215,0.6906733620550739,0.6718856817162874,0.6361100870074728,0.6171444494520422,0.5961762200294575,0.5884016909930042,0.5867722765706594,0.5878573616129761,0.5841991076041841,0.5983615155480869,0.6055043966528346,0.5565749585579719,0.5703720152285583,0.5529646853454993,0.5711239651158849,0.5761197572799324
rotD50,SA,0.05,-0.30229153455503505,0.7005545131681525,0.5981260320334613,0.9758541484203983,0.9827688988757679,0.9940808576218033,1.000000000000001,0.9862586357441311,0.9706815982455743,0.9560876954335333,0.929169092311874,0.893166200218623,0.8726180139431153,0.8498558291692888,0.8281322781081878,0.8112419990390656,0.7929816940691058,0.7552248895383692,0.7227098917943957,0.7065532424007154,0.6958486697974631,0.6682554591071128,0.6494935939978149,0.6132685523986873,0.5939813013194604,0.572707628461897,0.56459434238431,0.5631789019690324,0.5631086665404467,0.5601555706456173,0.5755740382249934,0.5828165274951999,0.5389373712190695,0.5531387380029269,0.5352627586065383,0.5540807703772046,0.5610994997422669
rotD50,SA,0.07,-0.2942200958916205,0.6753932502970297,0.577243288452944,0.9657511864770871,0.9712461915051197,0.9798771930639754,0.9862586357441311,0.9999999999999999,0.9823476738273129,0.9563450957440424,0.9228623378213602,0.8828404723640535,0.8592954776504302,0.8308234257585738,0.8079314951102421,0.7890135370265745,0.7706377607993954,0.7335122618361624,0.7002221516270755,0.6830610913638898,0.6723808988415022,0.6449315179811708,0.6266810498248794,0.5903764532514322,0.5717950436432975,0.5486459244234727,0.5400008185500859,0.5385342102165087,0.537226642427713,0.5353738903181213,0.5524820125265634,0.5597893856340241,0.5193463695064533,0.5335519278216838,0.5179154146779483,0.5367214088792278,0.5433087172496189
