,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.22278356818564787,-0.21624950793446124,-0.38762992040336536,-0.3786381614274413,-0.3521701654570622,-0.35919145890615917,-0.3534287851445992,-0.35423881814770464,-0.36981492770875524,-0.39247071001927963,-0.3807186444972366,-0.35311947565338087,-0.3225611109366118,-0.3071812665095426,-0.29417028084115365,-0.28248467427560753,-0.25419102195634924,-0.22432517889415882,-0.21697479217679302,-0.20944934915454158,-0.19999135208265098,-0.18934021932531084,-0.15727673512430768,-0.14243231129642464,-0.1418250179843024,-0.1432264463700145,-0.14633781369469817,-0.14733205482330444,-0.1458851090846837,-0.16743295548507148,-0.18572241798658154,-0.2065813558780639,-0.2141597174457334,-0.195586239667956,-0.23390509252463265,-0.2649750371676917
rotD50,"AvgSA([0, 3])",3.0,-0.22278356818564787,1.0,0.9872418082810072,0.8322969171145624,0.8224649627363543,0.7899570317850911,0.7681232315975491,0.7461132521654071,0.738537984726399,0.7745914572821052,0.8015462891075454,0.8350784624561021,0.8671137092461662,0.8900256784334981,0.90712326272121,0.9190984416425408,0.9326050600731498,0.9529555369607462,0.9651566223348134,0.9688670172521144,0.9715943051778073,0.9742756879210004,0.9758714672936569,0.9753256317468432,0.9755472873508176,0.9754309929438726,0.973560762323469,0.9726061838411522,0.9651984344064625,0.9567469512492476,0.9487852664040176,0.9425578481499287,0.9359269685471229,0.9294562042066078,0.9053083755178433,0.8901208250924109,0.8745624489990999
rotD50,"AvgSA([0, 6])",6.0,-0.21624950793446124,0.9872418082810072,1.0,0.8075882777221263,0.7988276195261934,0.7694854054721917,0.7482209413539044,0.7247479116123118,0.7130882492907223,0.7479422890120313,0.7726212904063028,0.8023469433619814,0.8307508163428512,0.8520306961157773,0.8702010876802196,0.8840268729767644,0.8979639113178282,0.9182401698506668,0.93317263906151,0.9378349396490797,0.9413109575538164,0.9433885590518424,0.9457675203944222,0.9517000804004202,0.9573444020370053,0.9631564046005127,0.9672362306362626,0.9707679588076282,0.9772881850173856,0.9785067101852992,0.9797349344708677,0.980136127703387,0.9784619467990994,0.97537223296903,0.9603938294874699,0.9457976685162525,0.9297922181300036
rotD50,PGA,None,-0.38762992040336536,0.8322969171145624,0.8075882777221263,1.0,0.9986645349563003,0.9874621888221826,0.9803319096680665,0.972685759377198,0.9711663764797048,0.976723782650839,0.9716594661072177,0.9575374007620311,0.9485516662501327,0.931321858080665,0.9165300072572738,0.9036875011438764,0.8910317038288986,0.8621360642619037,0.8344331164420452,0.8210127868551323,0.8132495003715671,0.7958818145871965,0.7809111224527345,0.7481010997908474,0.7289192352872071,0.713387550949958,0.7056917643703446,0.7046315539378677,0.6983772859998202,0.695549179726644,0.7003755392923269,0.7074306242947276,0.704799629337,0.7161690332189826,0.7102008342089022,0.7253522004857638,0.7365945425100595
rotD50,SA,0.025,-0.3786381614274413,0.8224649627363543,0.7988276195261934,0.9986645349563003,1.0,0.9925296347949467,0.9857912233204655,0.9769923833766874,0.9733699112014876,0.9750640719689331,0.9661582973017343,0.948654913228167,0.9385531028644055,0.9211918127227344,0.9062691687582589,0.8935297715120906,0.8807209501775537,0.8509747144605221,0.8231371694761112,0.8096464619822525,0.8019812968151143,0.784280774703676,0.7697681176792583,0.7370403984914866,0.7180060492539214,0.702585264967007,0.6952329080575655,0.6942422288818534,0.6883616121974326,0.6853999544710626,0.6902091831763953,0.6969022745752139,0.69647589265156,0.7082199969638817,0.701885288013419,0.7167278257372962,0.7272309805560722
rotD50,SA,0.04,-0.3521701654570622,0.7899570317850911,0.7694854054721917,0.9874621888221826,0.9925296347949467,1.0,0.9951305920628616,0.9838711085185046,0.9730342950842935,0.9641880747127679,0.9453694507799821,0.9206313296437962,0.908116385422045,0.8907774980291986,0.8756871559117859,0.8632264717992972,0.8493829547622181,0.8180172085683001,0.7894710062295462,0.7759372635776474,0.7687501992705995,0.7494553289555665,0.7352156895681243,0.7027242594968176,0.6834643032633161,0.6673484388272165,0.6604707680389792,0.659757999855434,0.6539879727366954,0.650499063996577,0.656502521752588,0.6631385571377867,0.6644108380937438,0.6781111571005171,0.6734112065432469,0.689872141191898,0.7014997140499203
rotD50,SA,0.05,-0.35919145890615917,0.7681232315975491,0.7482209413539044,0.9803319096680665,0.9857912233204655,0.9951305920628616,1.0,0.9890504097380395,0.9750556873213884,0.9597299880331962,0.9361877302070073,0.9078198504863485,0.8939379203791624,0.8730906300767055,0.8573361045657528,0.8445803908647953,0.8302752049019223,0.7968515617539451,0.7688519883080623,0.7551710553830715,0.7475815089395029,0.7276849798113753,0.7132128326726855,0.6800638998845902,0.6600853350023982,0.6433493068297165,0.6361280192195579,0.6356216072814327,0.6289952022657573,0.6261068182207858,0.6326062022303702,0.6398812552962393,0.6427992656418497,0.6568486208597658,0.6506297318414955,0.6686520474285262,0.682416643278223
rotD50,SA,0.07,-0.3534287851445992,0.7461132521654071,0.7247479116123118,0.972685759377198,0.9769923833766874,0.9838711085185046,0.9890504097380395,1.0,0.9851118603910614,0.9614336206013431,0.9337285853622211,0.901845753612828,0.8842066577479266,0.8581994322658689,0.8410592544202129,0.8265753782048526,0.8115254174512159,0.7784104621752305,0.7492382961244604,0.7344850181891719,0.7262660464353435,0.7059547171109184,0.6914916558217299,0.6578173211607461,0.6376739128562943,0.6189804764027214,0.6111765220039083,0.6101072974104023,0.6029447751743733,0.6030604546120302,0.6115440157708537,0.618614400493236,0.6212965650044913,0.6350191846222041,0.6290870880802241,0.647847999547731,0.6610524079528836
