,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.550684194852092,0.950019658627397,0.925456288397582,0.9719333162748119,0.9700332484672214,0.9620338803047201,0.9662107281860778,0.9441672918476098,0.9252614787475693,0.9401311347839058,0.9563571670256303,0.961493524387395,0.9714007394562072,0.9763061459304503,0.9741177513536124,0.9689096414750573,0.9687541806137558,0.9604027911547108,0.9597890192784984,0.9547262518269556,0.9502262138782904,0.9418057749600806,0.9418373894396755,0.9331250640766391,0.9255396776242707,0.9258636549020275,0.9244998390012292,0.921364944116008,0.9178511062584145,0.9247406813422488,0.8996364425847629,0.8720936056957526,0.8394583846838184,0.7937199010781254,0.6913502068008234,0.6275263267063913,0.5751870642536775
GM,RSD595,None,-0.550684194852092,1.0,-0.5940794604688294,-0.5461227585294333,-0.532003799521118,-0.5251409830778274,-0.5077839603749457,-0.4929587206584854,-0.4805529585372675,-0.49399037540045493,-0.49831755020496454,-0.5027077189071077,-0.5130767887473485,-0.5089034625776023,-0.5075068093478079,-0.5261517238544094,-0.5117435221339905,-0.5215357146085573,-0.5578334362477186,-0.5729568605936716,-0.5745429146047898,-0.5682090812181984,-0.5647129306500521,-0.5624468454536782,-0.5607933161159856,-0.5687837566829419,-0.5678110031146146,-0.5679736497279401,-0.5600157879322992,-0.5389411612760988,-0.5673124728298478,-0.524206078665953,-0.4901963553779413,-0.47124770859861,-0.42331288021392216,-0.3232318766750826,-0.272772186471465,-0.23279508637936785
rotD50,"AvgSA([0, 3])",3.0,0.950019658627397,-0.5940794604688294,1.0,0.9617201651733628,0.9453181836210942,0.943183902495179,0.9361313825477277,0.928193197157072,0.8961209803998884,0.8767495832569908,0.8968990548537984,0.9252781809435273,0.9412595581620924,0.9538801808059937,0.9565534949650493,0.9626152871949663,0.9702381478271151,0.9778358233767983,0.9799743956985224,0.9865458653911451,0.988838441895586,0.989362098681874,0.9904356654218864,0.9907914445817299,0.990234780243543,0.9883610352236578,0.9882802178038361,0.9876417159838519,0.9867397495494318,0.9884589990412876,0.9901713115441353,0.9688103907989359,0.9397646984518419,0.8837129158710533,0.8398448788307453,0.7415779060432466,0.6766356208435771,0.6249783370053453
rotD50,"AvgSA([0, 6])",6.0,0.925456288397582,-0.5461227585294333,0.9617201651733628,1.0,0.961633706349258,0.9608783589498463,0.9566939758720543,0.9424860403893531,0.9233659974259348,0.9137817986882437,0.9480771893705139,0.9613263393562846,0.9634744435964857,0.9517533203265098,0.9318948049150503,0.9307157055934878,0.9320851674111292,0.9266583001767236,0.9186382509773947,0.9266076002903877,0.9304690396843026,0.9304725583598503,0.9371771034972345,0.9389259343609132,0.9385394794220264,0.9317936842239062,0.930575624161045,0.9331902008312083,0.9373663286126285,0.9547553268418144,0.9769476559502817,0.9906486981227453,0.984693191168698,0.9688015265420618,0.9429677048421264,0.8873095607728451,0.8398458663529452,0.7997675940659408
rotD50,PGA,None,0.9719333162748119,-0.532003799521118,0.9453181836210942,0.961633706349258,1.0,0.9997184319850697,0.9949824951986388,0.9930250892893349,0.9831286830285063,0.9703393258335968,0.9781352467325963,0.988012548280936,0.9844894699341432,0.9752685839257939,0.968478574719883,0.9652675612005759,0.9618922892208148,0.9542360713106106,0.9407353401062445,0.9415722392110558,0.9364607129768688,0.9320433086468367,0.9267758174694123,0.9266931063775284,0.91920953891503,0.910533038494853,0.9097770202375363,0.9099699138875259,0.9096834860626156,0.911642307148749,0.9335939824853244,0.9358817406775196,0.9282486326228976,0.9134949112719014,0.8848065249853285,0.8155841910518692,0.7653663416188486,0.7227711383279979
rotD50,SA,0.025,0.9700332484672214,-0.5251409830778274,0.943183902495179,0.9608783589498463,0.9997184319850697,1.0,0.9964875050077381,0.9943500070468417,0.9848149703983194,0.9718750868292296,0.9778430427201766,0.987071944435887,0.9825911622102296,0.9734602637933121,0.9671801402654725,0.96388981530134,0.9608766446462068,0.9528571955765145,0.9391972520101906,0.9396959689547022,0.9343207780098517,0.929919774474796,0.9243596404371125,0.9241152277870891,0.9164610716558503,0.9075749764117802,0.9068855261957354,0.9072922804024356,0.9071165950045129,0.909754948480647,0.9324731192683203,0.9351053054315043,0.9281661475391462,0.9143341218858548,0.8861329942328454,0.8166321828541263,0.7664136805352021,0.7239458878067851
rotD50,SA,0.04,0.9620338803047201,-0.5077839603749457,0.9361313825477277,0.9566939758720543,0.9949824951986388,0.9964875050077381,1.0,0.9963909410481634,0.9880182863814623,0.9753399285711275,0.9707302876366074,0.9782024265458862,0.9725077447397793,0.9647873222336936,0.9621934382508402,0.9602327312321141,0.9586953715920107,0.9504883956297955,0.9366483675292466,0.9361459772479388,0.9302841576730764,0.9258218173649829,0.9192072120313088,0.9185226959540886,0.91006006217907,0.9011144489756081,0.9005401488163282,0.9012196852014998,0.9010970944842336,0.9047492480244999,0.9282382823983589,0.9308612868280717,0.9256226437746442,0.912830726381966,0.884633693661026,0.8128507419865957,0.7612843311504832,0.718395339316824
rotD50,SA,0.05,0.9662107281860778,-0.4929587206584854,0.928193197157072,0.9424860403893531,0.9930250892893349,0.9943500070468417,0.9963909410481634,1.0,0.9907927525173791,0.9763979448763777,0.970281025807222,0.9744379625179143,0.9670441818376776,0.9600614776986235,0.9603050419739249,0.9585301969782133,0.9561077160944815,0.9480742222947169,0.9340286609503459,0.9318950327686848,0.9242631892475285,0.9191754556687399,0.9102456273351639,0.9092309470695915,0.8993877172722279,0.8897596032939142,0.8889275591598258,0.8881446063344391,0.8874418680337433,0.8889160530809422,0.9145671400409091,0.9117985996124806,0.9045250543642248,0.8934137491364168,0.8637434991522531,0.7864438989871368,0.7332263782331979,0.689307233302569
rotD50,SA,0.07,0.9441672918476098,-0.4805529585372675,0.8961209803998884,0.9233659974259348,0.9831286830285063,0.9848149703983194,0.9880182863814623,0.9907927525173791,1.0,0.9874983738830883,0.9681670121059182,0.9677383601172487,0.9539477300432779,0.940389966309651,0.939135912335759,0.9358379726446117,0.9317696439037944,0.9202591441935908,0.9043701198003873,0.9030331022334187,0.8951150417410861,0.8891669506313554,0.8793243463376698,0.8779299221475609,0.8680037014786588,0.8578211704422989,0.8572814415819785,0.857290533552749,0.8576345333975964,0.8602634190733314,0.8897643535885887,0.8937598897616882,0.8947825986274591,0.8913722055451886,0.8682032530954527,0.8005380043711522,0.7525864506223183,0.7132340630759763
