,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.6051153630630792,-0.5791342843439096,-0.6852276141439316,-0.6797020641679301,-0.6284713974843713,-0.6258943106795227,-0.5764385996131269,-0.6020916940860565,-0.643230540090144,-0.6278546483017523,-0.6325751489217744,-0.6278843748755598,-0.5917169178174913,-0.5747349131268241,-0.5599880220755541,-0.5583919592116822,-0.552861968038271,-0.5605003055768234,-0.5474537661527432,-0.5429097161870303,-0.5381536234541007,-0.5428847140220013,-0.541134429306751,-0.5529398086888192,-0.556508791034573,-0.5742819637829991,-0.5648143501894375,-0.5536538011531077,-0.5438662859601063,-0.546024130985175,-0.5658715094078866,-0.5398295583459166,-0.5459174954296886,-0.5656426317713694,-0.5809284666973678,-0.582022454572206
rotD50,"AvgSA[0,3]",3.0,-0.6051153630630792,1.0,0.919633972907878,0.742166411927697,0.727454738660139,0.646989503319348,0.6466466562523333,0.5852423928564522,0.6091728615964153,0.6564890619772161,0.7255348880220952,0.7519016938049726,0.77314649107766,0.7823000333402896,0.7889557731222118,0.8049769501700774,0.8255087350854583,0.8672966329396117,0.8720226291040434,0.8745757825951203,0.8725097533032291,0.8827782110327945,0.8886206555012555,0.894278323471563,0.9063465056754562,0.9204346806145728,0.9259717088002356,0.923690510429302,0.9278597759498151,0.9460154241694189,0.9191707727682564,0.9229899166840985,0.8745869392205052,0.8708081808984783,0.8637049803479113,0.8679845768043827,0.8674662459099411
rotD50,"AvgSA[0,6]",6.0,-0.5791342843439096,0.919633972907878,1.0,0.7158935098648753,0.7045938839660068,0.6384792150420852,0.6173949267089007,0.5485113009197072,0.5498578933498568,0.6233959565898683,0.6740245812966303,0.6650201274769264,0.6846246011319087,0.7030589533029775,0.7325780166400222,0.7571484889902614,0.7902563530265471,0.8214836036034873,0.8042224047538118,0.8091849344309214,0.8092141810004162,0.8039895953405988,0.8122794543915507,0.8236125378574651,0.8206272014272651,0.8289118154537345,0.8272889359943452,0.8292515635238004,0.8467447542038423,0.8755227556965864,0.9129296886353766,0.9283850485116178,0.9687171460157058,0.9667135333263005,0.9715825005677501,0.967303657897923,0.9625956670779247
rotD50,PGA,None,-0.6852276141439316,0.742166411927697,0.7158935098648753,1.0,0.9981148983324398,0.9566304150798535,0.941799688382826,0.905783180760069,0.908442671258352,0.8961560063398488,0.8781316758763034,0.8373218536496404,0.8167653368642815,0.7763077927349966,0.7339398498454094,0.7133602546880526,0.7068965875035679,0.6926683601635334,0.6578122728679102,0.6397060000549429,0.6349603460124891,0.6276497177978544,0.6277870783140925,0.6312641741919182,0.6453682347876233,0.6587128828819183,0.6762477323810806,0.6725143550780843,0.6761819877097003,0.6639893537899837,0.6567584964283922,0.6878913870647119,0.6865234886582556,0.6982134256837218,0.7039809583295475,0.724282256136873,0.7336788144898527
rotD50,SA,0.025,-0.6797020641679301,0.727454738660139,0.7045938839660068,0.9981148983324398,1.0,0.9670423091247645,0.9515184298989914,0.9126075128575901,0.9090153661126009,0.8888840404447069,0.8674754111669872,0.8273701228569984,0.806296399306305,0.7640063658321505,0.7217403170303449,0.7010189435670559,0.6949076947556234,0.6811617992548139,0.6454094763624753,0.6268226647977392,0.621296273262042,0.6139118547078624,0.6135500800397501,0.6169671249478574,0.6312515793507193,0.6442160323163555,0.6620983822930134,0.6584301885220721,0.6629380044657076,0.6497654188002894,0.6433430595523598,0.6739840010604005,0.6752685438871152,0.6872353945719518,0.691784387920697,0.7122789311111366,0.7218330352394028
rotD50,SA,0.04,-0.6284713974843713,0.646989503319348,0.6384792150420852,0.9566304150798535,0.9670423091247645,1.0,0.9574823670473323,0.9164215347738786,0.8792145645258896,0.8372737807342762,0.8000144767813478,0.761340477756323,0.7406171408906225,0.6944212845915017,0.6517188291312278,0.6303091728944586,0.6267975124442948,0.6182382293866044,0.5774571883862598,0.5563533505196747,0.5479542952010285,0.5419309428372879,0.538376005556383,0.5428543092389068,0.5565815669401878,0.5674438785642101,0.5886314736975434,0.5834245258776507,0.5940707132330513,0.5749590867495178,0.5742747629483846,0.6035063247831434,0.6132444742765423,0.6248027663983942,0.6252480983388998,0.6451815263592366,0.6555985257405609
rotD50,SA,0.05,-0.6258943106795227,0.6466466562523333,0.6173949267089007,0.941799688382826,0.9515184298989914,0.9574823670473323,1.0,0.9372410568196924,0.8948964978917257,0.8314541861148785,0.7858845239110074,0.741790629646065,0.7191865089037993,0.6701485965160758,0.6309148431032845,0.6167943939463443,0.6108321877834412,0.604754118549042,0.5697331309485949,0.5501400685581707,0.5430611234388502,0.5372675233695312,0.5361470515727366,0.5405875354963258,0.55077141668426,0.560575286771666,0.5826934040701467,0.5772148148979939,0.5952265294068451,0.5767412249360399,0.5726461734304268,0.5959913130545296,0.5875902288060373,0.5991198806313425,0.5982786327628826,0.6182229104502988,0.6278087768759661
rotD50,SA,0.07,-0.5764385996131269,0.5852423928564522,0.5485113009197072,0.905783180760069,0.9126075128575901,0.9164215347738786,0.9372410568196924,1.0,0.8968324453147534,0.8123801682897862,0.7460728306341641,0.6977088327400537,0.6698194743421535,0.6183849556854507,0.5748652113871444,0.5602146368297524,0.544647463901683,0.5367391313259813,0.5144609366877833,0.4943132920366052,0.48666570382371355,0.4745421816647796,0.46875411082930496,0.4749887291459082,0.4850018904129913,0.5008746944259889,0.521400422914182,0.5137476278046716,0.5278342037629647,0.5232207594944731,0.5076751765452912,0.5397575652082767,0.5288307437054098,0.5391870650271856,0.5357608748661726,0.5538486914847808,0.5683503694182354
