,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,0.019258078567230923,0.06222725692978239,-0.43197107980277927,-0.4220645706123005,-0.39904209554680636,-0.4255152290790986,-0.4504559516473597,-0.4870497976715159,-0.49218271798629887,-0.466241755991189,-0.44383037857902047,-0.4166295773925675,-0.3644657270214339,-0.3217976677044221,-0.28900447860681977,-0.25550964242082946,-0.19780391396433114,-0.14911840289211492,-0.10975421739844092,-0.07301413102451315,-0.057850094715073325,-0.021787261607705215,0.001853202506972312,0.03812996386905102,0.07734275576937716,0.09592765565136331,0.11767861813962048,0.14045318149465055,0.22162826776254949,0.2138367586424996,0.2174839696880692,0.23819829316008861,0.22880767495665644,0.20025642945150388,0.15534031888752967,0.14355558152894018
rotD50,"AvgSA[0,3]",3.0,0.019258078567230944,1.0,0.9207784980942337,0.6877147442747931,0.6793863681218028,0.6391305756963455,0.5994480609004967,0.5433327659280783,0.5048003781031446,0.4855769851475754,0.5426225877598652,0.5790895386549443,0.6269077212855846,0.7057859774346299,0.7760813532056204,0.8171304506831447,0.8464427155447731,0.8956998080749196,0.9272408164658287,0.9413265197375708,0.9497256832088182,0.9604433026027546,0.9674629815232739,0.9690014140933734,0.9666387537974268,0.9665208355958538,0.968411794589637,0.9638006999850931,0.9590612980396834,0.9492459256746637,0.9300857974497908,0.917296509908134,0.9008657163283295,0.9037826200416271,0.8221802955101836,0.8241708674887988,0.8047246150577617
rotD50,"AvgSA[0,6]",6.0,0.06222725692978241,0.9207784980942337,1.0,0.651543078280635,0.6502871456129017,0.6439499864763208,0.6185818021535929,0.5632701715583125,0.5084505024765544,0.4697555787758889,0.49524986733475523,0.4917381935909562,0.5003298185978667,0.5511827944623007,0.6203044802971353,0.6493890330685785,0.6832173495479142,0.7415760170227335,0.796525264849179,0.812747619212941,0.8322366392315365,0.8555570845617305,0.8681448097864187,0.8803236354524834,0.8931497667924739,0.9083154921970321,0.9194250298330677,0.920585553948106,0.9215594157485928,0.9285277906595536,0.9253422468469708,0.9246367641349958,0.9308006119318322,0.942934375615549,0.9566060093713,0.9483368541357242,0.9257339195495945
rotD50,PGA,None,-0.43197107980277927,0.6877147442747931,0.651543078280635,1.0,0.9985928067056433,0.9859631499503415,0.9793551611599771,0.9697885598769957,0.9631221442210629,0.953095753996005,0.9537614776855473,0.9481505193962878,0.9369933319461943,0.9236184146073733,0.9114062303250718,0.8918110845915748,0.874836785153026,0.8099687717205664,0.7628934305172153,0.7387344011674667,0.7152782989906747,0.6968727168969185,0.6729196131365405,0.6355859735393902,0.5966630293582453,0.5765983881111748,0.5724258246182006,0.5664631557611483,0.5402527136910189,0.5038913165560375,0.5239981803226906,0.5335785877770206,0.47171056575908366,0.4875438765394227,0.5225267313580326,0.5664083026411908,0.5811977066068791
rotD50,SA,0.025,-0.42206457061230046,0.6793863681218028,0.6502871456129017,0.9985928067056433,1.0,0.9915457650328546,0.9833754102578111,0.9720562732088651,0.9646927989961103,0.9512586260583782,0.9504098756032614,0.9429202071846549,0.9299978332182737,0.9152001330690069,0.9004602078922103,0.8828831258677056,0.8662075728594549,0.7993185277373672,0.7518720693335438,0.7282752673077204,0.7048190501708328,0.6871168179723474,0.6644267894888829,0.6269447010291651,0.5871752740232513,0.5679776865481151,0.5640244906364734,0.5593507627582983,0.5338411750308142,0.5019031367137078,0.5243771834655073,0.5341841286843687,0.4730903332501276,0.4881896342482703,0.5244619325262528,0.5669500392314007,0.5803767468186822
rotD50,SA,0.04,-0.3990420955468064,0.6391305756963456,0.6439499864763208,0.9859631499503416,0.9915457650328547,1.0,0.9931360449062077,0.9817134632472306,0.9653654710401883,0.9472358808444683,0.9405622058840736,0.9232150966998239,0.9006456894121967,0.879789922102672,0.8633587193034731,0.8411534950440485,0.824606338688413,0.7521736439664417,0.7041220909918078,0.6789728548280943,0.6573127151473659,0.6420136358066602,0.6202916529178417,0.582405253061448,0.5443382408386489,0.5273558060707124,0.5266427324486573,0.5256010618506471,0.49958414165249587,0.4735891719914195,0.5003155305640792,0.5122917180229145,0.45646833447906365,0.4715784304315545,0.5292462255398324,0.5700510458116901,0.5813195175691284
rotD50,SA,0.05,-0.4255152290790986,0.5994480609004968,0.618581802153593,0.9793551611599772,0.9833754102578112,0.9931360449062077,1.0,0.9888411032453036,0.9723180405643587,0.9507675014995418,0.9391678717800902,0.9175062861737926,0.8903186294712719,0.8632284902101846,0.843760654484826,0.8162473591612628,0.796706345264991,0.7205227896362068,0.671658084879597,0.6431352838603708,0.6202791044884174,0.6042002565560628,0.5807049420789787,0.541391036750057,0.5044855243141529,0.48787268191885497,0.4881714713586614,0.4855044968979753,0.45750449938229704,0.42893704292922874,0.4575546417611089,0.47246288360084826,0.41737833277073205,0.4345499316477952,0.505860701868649,0.5461977067155065,0.557657156707684
rotD50,SA,0.07,-0.45045595164735963,0.5433327659280784,0.5632701715583125,0.9697885598769957,0.9720562732088651,0.9817134632472306,0.9888411032453036,1.0,0.9859614247364635,0.9658755673686145,0.9455277361327595,0.9173523650675872,0.8866332568968581,0.8539490028452754,0.82697374177692,0.793186076348027,0.7704812927424722,0.6875563422712483,0.631429839016387,0.600565576986583,0.5745692642001475,0.5549866899721277,0.5313119900315816,0.4916598856539269,0.45278796221467005,0.43053240066020515,0.4270083081732377,0.4227490772005655,0.3943696945505789,0.3615034793308592,0.396615360951601,0.41292316095536924,0.3517637685300183,0.370010815664153,0.4475781844300471,0.4897718806977951,0.5073057632949738
