,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.022828300879728786,-0.010180595607417938,-0.27136747091146957,-0.26710146632885096,-0.2500834485970683,-0.2654178136784505,-0.24237611848596244,-0.2393160138221084,-0.25418253809958946,-0.3037011078543515,-0.2733291617880567,-0.22747457236893862,-0.18298016122009994,-0.17274309196552876,-0.15749697262080767,-0.1275586035346051,-0.0737254123192476,-0.051435078429774385,-0.045677221917257836,-0.03815180216835967,-0.024551864829919567,-0.01991962418141219,0.008090916586576895,0.014109789899492025,0.009463268676491988,0.00904271027877054,0.007591532909019023,0.01746809309479518,0.03284813568127966,0.006774871787344327,-0.006098225817706623,-0.14620131868058153,-0.15926712223458175,-0.07682641850861893,-0.12554570135963258,-0.16900689213941272
rotD50,"AvgSA[0,3]",3.0,-0.02282830087972879,1.0,0.9626590873572328,0.8333041960521765,0.8272192374119638,0.7972659487423229,0.7689953675458974,0.7433305478376921,0.7297946155614478,0.7684632390526787,0.7889586526220561,0.8152549124898216,0.851792288426941,0.8728457076117234,0.8941004716479273,0.9118609533682971,0.9328139786050688,0.9556329146610504,0.9688903425851074,0.9711092059895085,0.9741953380110321,0.9782283544858625,0.9821685996838301,0.9824830834174678,0.9832870470110454,0.9844569674747814,0.9824727011876412,0.9823905824546837,0.976846456611,0.9680482370375644,0.9554857920885523,0.9435404781408838,0.9279081309990532,0.9168115758376526,0.8678640650590715,0.8366439905802165,0.8066259669783906
rotD50,"AvgSA[0,6]",6.0,-0.010180595607417926,0.9626590873572328,1.0,0.7696573463529695,0.767995685708736,0.7528472562552461,0.7254159564851184,0.7062184469488246,0.6774076604362472,0.7042591048332522,0.7081510556117686,0.7173448615663731,0.7386615077374751,0.7507404876260815,0.7785705466727819,0.8076388784176248,0.8412930178149969,0.8767706841608076,0.8994614333150349,0.9058749705044591,0.9150216240802027,0.926676877418287,0.9355442702593528,0.9393445942470625,0.9477092924229448,0.9564923606710237,0.9627317694843999,0.9653637934959023,0.9734923207875088,0.9713121598516287,0.9774902239005229,0.9694947705389669,0.9727944052455187,0.9642344214381139,0.9489594694398984,0.9215688163694113,0.8939124723852887
rotD50,PGA,None,-0.27136747091146957,0.8333041960521765,0.7696573463529695,1.0,0.9993098622196112,0.9896693878711268,0.9846563788692476,0.9714526300737288,0.9670638409351213,0.9788037557112429,0.9729848454319201,0.9625525780473273,0.960505564081889,0.9451459164223086,0.9320278079183043,0.9157131129043594,0.9001416450143591,0.874263344570911,0.8494604227518581,0.8429816668863278,0.8414773461111178,0.8290010243445227,0.8250679691018749,0.8031058690921992,0.7910542007954565,0.7743381728848027,0.7597836967596197,0.7608687196922734,0.7470842523116773,0.7313793612623641,0.7504154770754228,0.7528049058082444,0.7412718084195627,0.7471171387343397,0.7012485027602671,0.6973026562463676,0.6967784920928348
rotD50,SA,0.025,-0.26710146632885096,0.8272192374119638,0.767995685708736,0.9993098622196113,1.0,0.9935023289889262,0.9885722802668473,0.9740341814878076,0.9681579112935735,0.9783325630169204,0.9690469252524361,0.9564516754801007,0.9529258843020288,0.9378761080175624,0.9243972956603379,0.9077106538056795,0.8914509660846235,0.8651909803339213,0.8411747551146173,0.8349162084109576,0.8337068700353499,0.8218108713040425,0.8182110751245117,0.7971553229969249,0.7851914914730028,0.7681950822082776,0.7535643201614113,0.7544913583401194,0.7417235087810983,0.7267781758648281,0.7465401040901049,0.7491104238310391,0.7382704902178341,0.7445043986219371,0.7010269228514924,0.6972785299669086,0.696440961615328
rotD50,SA,0.04,-0.25008344859706827,0.7972659487423228,0.752847256255246,0.9896693878711267,0.9935023289889261,1.0,0.9977045688377315,0.9844136366640919,0.9709317960604669,0.9716149093434262,0.9487318672878019,0.9314195275967934,0.9259842933805029,0.911218720073409,0.8965027661361107,0.8786883236647874,0.8608665614431565,0.8312799478821457,0.8064269026595123,0.7998012330421216,0.7996515206336725,0.7879322476756899,0.7858724596974147,0.7653725869976138,0.7533914722553916,0.7366492641628054,0.7231597536840044,0.7250756285110586,0.7162541943149602,0.7027767605864197,0.7245671733165482,0.728974922811839,0.7206438380734338,0.7297399875984721,0.7004537427716523,0.7001717952703987,0.7021288036971524
rotD50,SA,0.05,-0.2654178136784506,0.7689953675458973,0.7254159564851184,0.9846563788692475,0.9885722802668472,0.9977045688377315,1.0,0.9894668188898864,0.9759521433308803,0.9723667434682534,0.943670474632563,0.9227910861369779,0.916073089510882,0.8980995637132799,0.8811281045842748,0.8605665440656282,0.8407662720367266,0.8079101588485951,0.7804599365266567,0.7733629293792138,0.7727307430269866,0.7600497202944553,0.7577170558716217,0.7364508989026374,0.723255593689495,0.7064808854232093,0.692918513924099,0.6954612382131988,0.6867149471426234,0.6733315778786058,0.696500371215846,0.701810921597954,0.695215792286536,0.7058472030196418,0.6794911404499578,0.6814589546054598,0.6869606796296622
rotD50,SA,0.07,-0.24237611848596244,0.7433305478376921,0.7062184469488247,0.971452630073729,0.9740341814878076,0.984413636664092,0.9894668188898865,1.0,0.9870781336914907,0.9699473041013718,0.9333904647744602,0.9061624857652885,0.8969918617074082,0.8712291587694598,0.8557500785602662,0.8338526393962499,0.8149213222792266,0.7835526332817876,0.7552551149936059,0.7472981272021156,0.7466460471721653,0.7338745119183201,0.732403232287246,0.7113500735302957,0.6986147551341046,0.6798515707270402,0.6667504119782534,0.6705944239476129,0.6616615497614694,0.6498278844995665,0.6794959293252939,0.6858071884773648,0.6737707432461458,0.6852834411803158,0.6688115683214835,0.6700905732690139,0.6761358218303984
