,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.19119247913580276,-0.19588745648769862,-0.3451002279221379,-0.33685229972732844,-0.3246547125390162,-0.33204650912274464,-0.3185401747078601,-0.3084196655266523,-0.31516199097703995,-0.3101357313781661,-0.2889060714373789,-0.2736833181208151,-0.25781434560376487,-0.252192182159639,-0.2612036267865344,-0.254374070349289,-0.2544985484390523,-0.22814973737383337,-0.2298571207592214,-0.22207250256146754,-0.19973654593688053,-0.1750176108699113,-0.14337391290375395,-0.13057134826431108,-0.1348407013624775,-0.14287022298497287,-0.1531677919843061,-0.16745516526066345,-0.1350966199361544,-0.15710716648520046,-0.16494819054827572,-0.0881550223860654,-0.09557419117277358,-0.18625744011057055,-0.21323338945567163,-0.2259381035025307
rotD50,"AvgSA[0,3]",3.0,-0.19119247913580276,1.0,0.9457302384206604,0.796515926981206,0.7793255306041285,0.735251732492058,0.7138978226840007,0.6878563677979413,0.687210292827232,0.7449736605174226,0.7936792461034154,0.8427475022046851,0.8816547801804089,0.8993491696925072,0.9155696992621584,0.9257074112001619,0.933857546287588,0.9518865210731191,0.9613062227537604,0.9649262953129811,0.9672313845768362,0.9683065677324082,0.9645934031783481,0.9588206610029228,0.9582839557383386,0.9578907404482039,0.9567613460694576,0.9567406902230405,0.9589612547741522,0.9516890120415264,0.9428352662582132,0.9399665114063811,0.9115523226015941,0.91724124316939,0.8982408374610188,0.8966386272095123,0.89387023685536
rotD50,"AvgSA[0,6]",6.0,-0.19588745648769865,0.9457302384206605,1.0,0.6766093290266242,0.655432805031448,0.6133066291769481,0.5966992604645821,0.5647976756122819,0.553432842309243,0.6118898031614056,0.6643715742193834,0.7135032442340946,0.7618816831197558,0.7872566066805486,0.8150950094795996,0.8412442791236404,0.852604207948524,0.8813843785805997,0.9008180669051437,0.9105219479993769,0.9183287759040094,0.9236433961525818,0.9148516458943153,0.9198811475110725,0.9243484166878116,0.924368447962243,0.9223486451390929,0.9193872174857197,0.9294405354305545,0.9264520642697265,0.9346795775731948,0.9371566387008465,0.9672751494917367,0.9707001991907055,0.9801786150207106,0.9773362804398875,0.9754992125646335
rotD50,PGA,None,-0.3451002279221379,0.796515926981206,0.6766093290266242,1.0,0.9988182468934842,0.9884772790757852,0.9814013602726973,0.9740263038413871,0.9738104569452909,0.9833526880642968,0.9805989096569939,0.9622248174441888,0.9459444317124032,0.9245608433168735,0.908506614702911,0.8934848464227138,0.8766048942362762,0.8411600092397841,0.8138175617646682,0.7941718048708933,0.7833981774517589,0.7626588565712645,0.7388893677727588,0.6941847519847956,0.6749786009677329,0.6602073385038958,0.655075430218495,0.657407268480666,0.6634263670518298,0.6543537971553445,0.6617365202606651,0.6653822372617876,0.612587552476518,0.6325721912063093,0.6197008625835282,0.6363871089903386,0.6385012662719838
rotD50,SA,0.025,-0.3368522997273284,0.7793255306041286,0.655432805031448,0.9988182468934842,1.0,0.9932971633383347,0.9867346158347386,0.9794899875977944,0.977181832562453,0.9817894395546216,0.9756755835696583,0.9535585841660125,0.9348096330480801,0.9126367368082515,0.8957449252329335,0.8803657762724604,0.8630401220209355,0.826521636383842,0.7985444641293107,0.7778228166211926,0.7664849632481339,0.7444785960881702,0.7206464975825142,0.675927872371143,0.6567987293175089,0.6417031195117937,0.6369021139357467,0.6391692965721536,0.6449347058837347,0.6368899781594318,0.6442684249833827,0.6477302649741656,0.5931269266829313,0.6133165504285227,0.6007022573636494,0.617523109794069,0.6183590202936633
rotD50,SA,0.04,-0.3246547125390162,0.735251732492058,0.6133066291769481,0.9884772790757852,0.9932971633383346,1.0,0.9960543717620134,0.988912117973223,0.9808068860694578,0.9729167729322367,0.9558356977190655,0.9247122357974935,0.9019354250688182,0.8785059496993438,0.8608807085513129,0.8460555929208736,0.8274315660065383,0.7886558281956033,0.7617813694674913,0.7404357138274871,0.7291259844235479,0.7038845619474853,0.6789904532306612,0.6335062967416214,0.614891355340123,0.5995567875229303,0.5950675114029614,0.5971578826664837,0.5997282405978133,0.5910247847031825,0.5997346582350248,0.6031619726094682,0.5541297731780463,0.5745609623112319,0.5635552414165944,0.5826159803838635,0.583489068965596
rotD50,SA,0.05,-0.3320465091227446,0.7138978226840007,0.5966992604645821,0.9814013602726973,0.9867346158347386,0.9960543717620134,1.0,0.993426716244742,0.9829416534031951,0.9664383542077497,0.9433573072122294,0.9076253381330563,0.8849327179474485,0.8589208174463615,0.8423301999558103,0.8273427493283176,0.8084953953839805,0.7694413292064064,0.7448563957071045,0.7239912380879036,0.7133758597059032,0.6869372049210377,0.6629616715070283,0.615530632747608,0.5960536599020396,0.5804461726651582,0.5755497688502226,0.5777589004026228,0.5790191323417241,0.5688701516104546,0.5774568271799265,0.5812218896105844,0.5377926812844126,0.557847479486304,0.5465647486219912,0.5651962992825647,0.5683511552073058
rotD50,SA,0.07,-0.3185401747078601,0.6878563677979413,0.5647976756122819,0.9740263038413871,0.9794899875977943,0.988912117973223,0.993426716244742,1.0,0.9908444592154905,0.9679649945912755,0.9377825785789381,0.8968445723409715,0.8694548062112101,0.8388914973485362,0.8190172707366169,0.8020023367234919,0.7826879380942285,0.7429589283272092,0.7174485817534128,0.6950762787807293,0.684639992607339,0.658578155063615,0.6348991527245497,0.5883230360207775,0.5677528424007924,0.5509123529182205,0.5459161423903379,0.5471601783854569,0.5495329054585708,0.5421071242762212,0.5470553285224136,0.5508863735198728,0.5078437498294998,0.5282487798796246,0.5159492807457374,0.5354066443955061,0.5378040614475653
