,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.22477127474889455,-0.2199844883628147,-0.3876266068245508,-0.3786406207072825,-0.3521707137901195,-0.3591942499555841,-0.35342952049452453,-0.35424053552959783,-0.3698161360560285,-0.3924705309262304,-0.38072011072884077,-0.35312455096495304,-0.32256987652911057,-0.3071833248257946,-0.2941695638632863,-0.28248465119313315,-0.2541940955834841,-0.22433018018131032,-0.21697706897867822,-0.20945265885998354,-0.19999576408470493,-0.1893471313260146,-0.15728418134694408,-0.14244021730678258,-0.1418325121534687,-0.14323406095141147,-0.14634874984688542,-0.14733736810423778,-0.14589314176902937,-0.1674345191397,-0.18571837077860193,-0.2065839135257179,-0.2141579149195923,-0.19559880591160314,-0.23390835513405803,-0.26496895675114523
rotD50,"AvgSA[0,3]",3.0,-0.22477127474889455,1.0,0.9887248248361082,0.8320812964542541,0.821953456322422,0.7888900932412802,0.7668944923878372,0.7451916307842665,0.7372874979981079,0.7738366441565748,0.8010813269347136,0.834687627233259,0.8658962349050239,0.8882963389198623,0.9064642139259685,0.919013871110078,0.9323541337817508,0.9523749494258272,0.9646871794516338,0.9686165511986441,0.9713206623374164,0.97394194261895,0.9754325124992282,0.9742468559130555,0.9748971269188804,0.9746131952813448,0.9729409680371133,0.9712294584284782,0.9644894690972576,0.9553447929330992,0.9477723301831626,0.9435156966767758,0.9335933555824014,0.928626634697124,0.9023675684300771,0.8887168984709707,0.8743767022538661
rotD50,"AvgSA[0,6]",6.0,-0.21998448836281467,0.9887248248361082,1.0,0.8055841573960679,0.7959819547780959,0.7643838205007701,0.7423152469614022,0.7200270016057033,0.7087074616540533,0.7450221247103406,0.76999793752464,0.7995384028976972,0.8263468373765017,0.8467948982442407,0.8674701601616168,0.8829690995994737,0.8961285200102813,0.9158925584083549,0.9301890799657397,0.9353888621748397,0.9387076784151293,0.9416267613935003,0.945265340873173,0.9484127600750492,0.9559293699895677,0.9615383429924599,0.966058264610509,0.9683533217216266,0.9748797564302947,0.9750882228587237,0.9763706947318946,0.9776596313162018,0.9734395620050709,0.9719087957514357,0.9546502473339835,0.9426787793108642,0.9285670898428614
rotD50,PGA,None,-0.3876266068245508,0.8320812964542542,0.805584157396068,1.0,0.998658121863223,0.9874302964002479,0.9802668694216119,0.9726619402408352,0.9711630534889714,0.9767381551977937,0.9716734714716693,0.9575212993244919,0.9484940953846801,0.931224181619035,0.9165072903837699,0.9037055973631484,0.8910286885751553,0.8621041758023491,0.8343618059115271,0.8209653019518344,0.8131886781320499,0.7958378300008686,0.7808899363185324,0.748016911144455,0.7288636887973159,0.7133307943749774,0.7056346729704897,0.7045455594442112,0.6982914845467858,0.6954380737846713,0.7002927485865975,0.7073236127966441,0.7047036833250273,0.7160865330638212,0.7100325169383652,0.725254918094089,0.7365645959583417
rotD50,SA,0.025,-0.37864062070728255,0.821953456322422,0.7959819547780959,0.998658121863223,1.0,0.9924841748009249,0.9857607908453203,0.9770019125240259,0.9733324560757458,0.9750879208489956,0.966176080832225,0.9486737068270649,0.938458032351643,0.9211161964229774,0.9062504228237174,0.8935563981146031,0.8807195877677695,0.8509243845606405,0.8231461597916753,0.80960688798767,0.8019600271750105,0.7842698267602436,0.7697916821942242,0.7369401237521445,0.7180131570658607,0.7025491386812098,0.6952547500879311,0.694182913220891,0.6883509668950925,0.6853590082193918,0.6901097389215742,0.6971201336786574,0.696164054512973,0.7081781704156774,0.7017706976423363,0.7167074488573458,0.7272501291402564
rotD50,SA,0.04,-0.35217071379011944,0.7888900932412802,0.7643838205007701,0.9874302964002478,0.9924841748009248,1.0,0.9952000197709507,0.9838857708915015,0.9730556357838156,0.9641621441215628,0.945348236158872,0.9206338640202634,0.9082119563060193,0.8908939322753276,0.8757148788393871,0.8631974977447792,0.8493863325585477,0.8180688058448011,0.7895230423517734,0.7759969623352052,0.7688107380978836,0.7494951116133449,0.7352156284025547,0.7028434133673225,0.6835015170691852,0.6674100350808486,0.6605015137109379,0.6598540657060057,0.6540624679019599,0.650609001343826,0.6566247608404853,0.6631172233289395,0.6646564784578934,0.67820527315387,0.6736055015859893,0.6899634170001868,0.701519967904869
rotD50,SA,0.05,-0.3591942499555841,0.7668944923878372,0.7423152469614023,0.9802668694216119,0.9857607908453203,0.9952000197709507,1.0,0.9890840946437105,0.9750740405070966,0.9596953692725921,0.9361581115843992,0.9078362620361422,0.894063167299759,0.8732679077298005,0.8573778520696556,0.8445412819296692,0.8302807943603612,0.7969197888674686,0.7689571247851651,0.7552610304569516,0.7476842709460267,0.7277547826983018,0.7132282748930419,0.680231208625388,0.6601618102130117,0.6434459754398538,0.6362011217746384,0.635770448822531,0.6291312981072477,0.6262925268074845,0.6327787306412236,0.6399709535940586,0.643078484861933,0.657001733552782,0.6509321749732241,0.6688136567270352,0.6824654358215774
rotD50,SA,0.07,-0.35342952049452453,0.7451916307842665,0.7200270016057033,0.9726619402408352,0.9770019125240259,0.9838857708915016,0.9890840946437105,1.0,0.9851081512485513,0.9614254477808486,0.9337219202118672,0.9018555686513091,0.8842266966237152,0.858241274618915,0.8410688872986639,0.8265677151440617,0.811527276614171,0.7784215391930288,0.7492767408341903,0.7345076625058223,0.7262973494217945,0.7059751779687158,0.6914980571623506,0.6578502556873596,0.6376987080319503,0.619002479788227,0.6112038674420244,0.6101406957651342,0.602989867365261,0.60311470979152,0.6115837377279367,0.6187062849772825,0.6213230327964896,0.6350685498379639,0.6291639389448102,0.6479019537771987,0.661080495432369
