,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,0.9999999999999977,-0.34653493287723003,-0.3754038025086759,-0.3451496188731482,-0.33098784465480335,-0.2704941502303758,-0.2685582895821765,-0.28076093318144113,-0.31047178094404904,-0.3349268801864128,-0.3574021312248503,-0.3594819147074013,-0.3500740559960422,-0.33253791278276706,-0.3268528470039711,-0.32452132688692537,-0.32944557435865335,-0.32717377864730957,-0.32206460952355787,-0.3133439211176587,-0.30142540216704533,-0.29354672352761835,-0.29539314310957127,-0.30484741658489023,-0.31502413018613074,-0.3172235466811571,-0.3248807351920207,-0.32488473323653294,-0.3326469855838343,-0.3515444568654274,-0.3743391406628541,-0.3871463996055299,-0.3747736203307017,-0.3760826071815416,-0.3596753173229671,-0.35845107847239005,-0.36246872174696704
rotD50,"AvgSA[0,3]",3.0,-0.34653493287723003,1.0000000000000009,0.8734242604733404,0.7923354687544212,0.7774218564013262,0.7194097722267436,0.7085579820875976,0.671483053203522,0.6902247112667739,0.7650386321378517,0.8118002173668395,0.849823289662068,0.8725925412851494,0.8933405942152888,0.9076744978851501,0.9198571558848379,0.9295215013262342,0.94400190730625,0.9506697342031675,0.9510264045062347,0.9502995488518707,0.9548738446074791,0.955682608550858,0.9583684813613638,0.9577112827223295,0.9589939670467009,0.9618181094551692,0.9627326015718383,0.9810513908668969,0.9823423550863876,0.9361373093128841,0.9199647532304933,0.8446686982999583,0.8256833227596039,0.7681341845020146,0.7465530786289403,0.727217436632357
rotD50,"AvgSA[0,6]",6.0,-0.3754038025086759,0.8734242604733404,1.0000000000000009,0.7621031913832931,0.7514142864943213,0.707575659165223,0.6978845596438183,0.6665113749384124,0.6817842911767139,0.7474707194953905,0.7645886390511977,0.769187495361275,0.76119900154299,0.7626150278521515,0.7722900844660264,0.7848444954251333,0.790782405351849,0.8064411298488211,0.8091090055956438,0.8113459401920328,0.8116316478517888,0.8223843551029943,0.8218007381576057,0.824049128411111,0.8149205282227826,0.8135407583158613,0.8145359175466134,0.8176411097582372,0.8486576083928086,0.867883905111184,0.9108649228653828,0.9138552105815821,0.9667939244399764,0.9605755731593105,0.9481526259657481,0.930345686032832,0.9137109228786481
rotD50,PGA,None,-0.3451496188731482,0.7923354687544212,0.7621031913832931,1.0000000000000018,0.9988806778210527,0.9782859601331148,0.9773182092687392,0.9630162018205229,0.9693740951364165,0.9702432272259247,0.9469696268026014,0.9130157833187125,0.8662775000857461,0.8296735446757663,0.7966387419096239,0.7648513760178718,0.7451870226852244,0.7192691172014202,0.7064965973241839,0.7000417245558133,0.7010863340064912,0.7105239548812168,0.7077383821706189,0.7032935455971057,0.6910989981101578,0.6945282900482771,0.7054710736615921,0.719558770287837,0.7397304988430516,0.7744460578557927,0.7691326277784655,0.7861789621267612,0.7576344933390811,0.7648731011986015,0.751281231183547,0.7499314414557976,0.7456748875650359
rotD50,SA,0.025,-0.33098784465480335,0.7774218564013262,0.7514142864943213,0.9988806778210527,1.0000000000000002,0.9858951521381635,0.9841198304429772,0.9693290668312798,0.9727281404461344,0.9662334301497978,0.9377869210724886,0.9014074514850622,0.8520821835359865,0.8135579242784371,0.7795878682712236,0.7469540112493767,0.7267548252604425,0.7008247661904704,0.6881246451821149,0.6816788702013343,0.6829630673697799,0.6930564293812543,0.6905509364437739,0.6864753870633563,0.67413872984646,0.6774865314902747,0.6887464894716249,0.7030559938317487,0.7248698411472788,0.7603394972923404,0.755651329780949,0.773496743153299,0.7469706192152478,0.7549436849239138,0.7431152638321901,0.742036224990645,0.7380665604597809
rotD50,SA,0.04,-0.27049415023037576,0.7194097722267436,0.707575659165223,0.9782859601331148,0.9858951521381634,1.0000000000000002,0.9916748793316273,0.9759782409074391,0.96785236268326,0.9372752834318104,0.8920507823420862,0.8485693964045512,0.7931943394329714,0.7501698801077319,0.7145190982754421,0.6802031011799711,0.6595404409167708,0.6351779768957646,0.623084573745308,0.6168817176963259,0.6189659981694896,0.630826829387116,0.6289386734661053,0.6254568579016687,0.6129328256772828,0.6159512588629029,0.6286041202317904,0.642701000092932,0.6686369816622101,0.7049735281898878,0.7028442826274244,0.7231216000019836,0.70347847838383,0.7133680184900933,0.707495499853313,0.707360486691382,0.7038874685843113
rotD50,SA,0.05,-0.2685582895821765,0.7085579820875975,0.6978845596438183,0.9773182092687392,0.9841198304429772,0.9916748793316273,1.000000000000001,0.9834502628279846,0.9749332580475705,0.9419916093360815,0.8925839930750106,0.8441095330289431,0.7840003605982361,0.7387349295518196,0.7015474680828429,0.667257699188723,0.6460003047893065,0.621826704439212,0.6094020547661062,0.6026822839738369,0.6047975708791296,0.6172217182486696,0.6152361141391093,0.6118666492865873,0.5987626562195052,0.6020049485806941,0.6139962946886097,0.6282515577486739,0.655855976220715,0.6939675100937566,0.6932748719691394,0.7125259222300725,0.6919251322569786,0.7017992116280793,0.6958777580957369,0.6955528067802901,0.6914769883527955
rotD50,SA,0.07,-0.28076093318144113,0.671483053203522,0.6665113749384124,0.963016201820523,0.9693290668312798,0.9759782409074392,0.9834502628279848,1.0000000000000013,0.9800524606676178,0.9292785776347655,0.8708351093284695,0.8179376570831448,0.7508074283800569,0.7037806251207324,0.6655607347558355,0.6309088813046138,0.6096472362671744,0.5828171145925435,0.5709179904180433,0.5630670874980024,0.5643145194243039,0.5754637125409516,0.5729319554932938,0.5723646410322645,0.5597680374172003,0.5630927984394076,0.5749291693867287,0.5902977638904362,0.6191597276299294,0.6614372711990337,0.6630438214853647,0.6860176293654549,0.6657669156966548,0.6772701148888652,0.6742508459675993,0.6742973547539622,0.6725326714347207
