,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,metadata,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled
,index,event_id,event_time,station_code,location_code,trt,mag,rjb,vs30,max_usable_T,component,RSD595,PGA,"AvgSA([0, 3])",SA(0.025),SA(0.034),SA(0.046),SA(0.062),SA(0.084),SA(0.114),SA(0.155),SA(0.209),SA(0.284),SA(0.384),SA(0.521),SA(0.705),SA(0.955),SA(1.294),SA(1.753),SA(2.375),SA(3.218),SA(4.359),SA(5.905),SA(8.0),alpha,RSD595,PGA,"AvgSA([0, 3])",SA(0.025),SA(0.034),SA(0.046),SA(0.062),SA(0.084),SA(0.114),SA(0.155),SA(0.209),SA(0.284),SA(0.384),SA(0.521),SA(0.705),SA(0.955),SA(1.294),SA(1.753),SA(2.375),SA(3.218),SA(4.359),SA(5.905),SA(8.0)
7326,8308,EMSC-20160824_0000006,2016-08-24 01:36:32,AQG,00,Shallow Default,6.0,29.52,696.0,16.0,U,11.545,0.0519417145769622,0.0301088262120126,0.0531470948012232,0.0568565297506191,0.05794478554057561,0.06577151765676556,0.07344237924143168,0.08388563689386776,0.11100882561642596,0.16788237208890286,0.0958489677014589,0.12076074823946405,0.13226130477176035,0.07274012280294001,0.05282656797970939,0.030624859523458517,0.02348634405148064,0.01566843766680632,0.0076735885285218195,0.005785535142490567,0.002884053545700919,0.0014450254841996998,1.2898857157308956,11.545,0.06699887568339478,0.038836944848299026,0.06855367841669355,0.07333842557135227,0.07474215116987862,0.08483774112740428,0.09473227591281398,0.10820288478438864,0.14318869848268978,0.216549073680495,0.1236342143056638,0.15576756417505958,0.17060196776902423,0.09382644536402351,0.06814023544811426,0.039502568845574425,0.030294699706746166,0.02021049393423339,0.009898052231336758,0.0074626791381576935,0.003720099472002657,0.0018639177309363137
9591,10632,EMSC-20161026_0000095,2016-10-26 19:18:06,MMO,00,Shallow Default,5.9,10.4,787.333015,8.0,U,7.675,0.1701613078491335,0.048969440148017,0.1731243628950051,0.1992068998057276,0.2210635716290379,0.24426861285233684,0.2583590838483478,0.3271093005167605,0.4987600820263157,0.31956826741039085,0.30742931322313777,0.28813224955052136,0.1578624861023392,0.13785588857930461,0.09165234299374955,0.058909081470661734,0.0338901645331074,0.017824809351536717,0.008484972876781436,0.005132682005916602,0.0032469387338740626,0.0017090010193678996,0.7930853350765072,7.675,0.13495243785258673,0.038836944848299026,0.13730239335649197,0.15798807088197767,0.17532227677862497,0.19372585467266917,0.20490080058392637,0.2594255892069769,0.3955593067766268,0.2534449064389887,0.2438176798899127,0.22851346168112305,0.12519842268648415,0.10933148358618745,0.07268812915374484,0.04671992861720903,0.026877792494537443,0.014136594897238357,0.006729307557097281,0.004070654828503528,0.0025750994937274014,0.001355383646091483
28717,8407,EMSC-20160824_0000006,2016-08-24 01:36:32,SPD,00,Shallow Default,6.0,16.12,968.233606,16.0,V,8.615,0.1017818960244648,0.0507473810505501,0.10302854230377162,0.10272487134526345,0.10387687965347114,0.10983330809858169,0.12077591875762651,0.14584497371788346,0.18360165530261727,0.1504738293147025,0.19278860731395844,0.20773174670520075,0.19970437253527024,0.27403263238375586,0.10450448154037811,0.05851003206756324,0.03686096982415543,0.017013787248934313,0.015037752528287278,0.009560781421686754,0.004494870700776922,0.0019476248725790006,0.7652994902261667,8.615,0.07789363314177562,0.038836944848299026,0.07884769090382147,0.07861529167407869,0.07949692304508633,0.08405537469769808,0.0924297490568085,0.1116150840383449,0.14051025320777338,0.11515754486692104,0.14754102289878504,0.15897699985728134,0.1528336544971788,0.2097170338686229,0.07997722644920122,0.04477769771442282,0.028209681415668268,0.013020642708425885,0.011508384344045504,0.007316861148180679,0.0034399222559371116,0.001490516322136512
35447,15810,IT-2009-0102,2009-04-07 17:47:37,RM13,00,Shallow Default,5.54,12.29,792.446158,20.0,V,6.87,0.1334528379204893,0.0247071037478449,0.14053618756371047,0.14934208570695173,0.1705880926942213,0.23318470782086329,0.2535084425631699,0.21049276091016944,0.163924392089634,0.19952912142875381,0.27959550492497254,0.14764609574120835,0.124596432285789,0.09092086870418647,0.047469188714696915,0.026929818497015694,0.011912133045665503,0.006794432688570079,0.003938342280496087,0.002574960211723052,0.001435763161107889,0.0007598236493374,1.5718938668271312,6.87,0.20977369743789231,0.038836944848299026,0.22090797129866385,0.2347499085819292,0.2681463766597846,0.36654161206149155,0.39848836605394483,0.33087227988620505,0.25767174654906155,0.31363860222726403,0.4394944593839993,0.2320839923565768,0.19585236773857367,0.14291795588270556,0.07461652660389174,0.0423308165302268,0.018724608875310397,0.010680127071733082,0.006190656076177777,0.004047564164131357,0.002256867307161825,0.001194362134263668
7405,8387,EMSC-20160824_0000006,2016-08-24 01:36:32,PZI1,00,Shallow Default,6.0,22.73,855.838905,16.0,U,11.635,0.0451939276248725,0.0375823611787012,0.04515810397553511,0.04854194435138545,0.05453087887673936,0.06405177344587794,0.08777291707150697,0.11591348313064027,0.11990683046033539,0.09091672434816836,0.10259304964662946,0.06887865226781319,0.10493646427253628,0.06754409853361583,0.05841815066698957,0.053340260881157814,0.033817026121904924,0.018578347335878435,0.01340329693094111,0.007231614554515091,0.00414475639618047,0.0014187563710499,1.0333822471566483,11.635,0.04670260248682567,0.038836944848299026,0.046665582963572046,0.05016238353518767,0.056351242153071926,0.06618996557786988,0.09070297428284801,0.11978293567329529,0.12390958991053262,0.09395172891103178,0.10601783618648754,0.07117797646163417,0.10843947925862688,0.069798872324838,0.060368279810989335,0.055120878653292724,0.03494591444600918,0.019198534318406787,0.013850729101803731,0.007473022098915529,0.004283117678601865,0.001466117646883357
9616,10657,EMSC-20161026_0000095,2016-10-26 19:18:06,SLO,00,Shallow Default,5.9,11.2,821.321471,11.428571428571429,U,13.535,0.0586800193679918,0.0339186122625662,0.061764627930682894,0.07522700950949204,0.0885638450797472,0.11338470835199445,0.1342711416155639,0.13237735495730343,0.12226192374499983,0.16720310143115358,0.12043110355295424,0.12873215472054877,0.08095754332796769,0.07812823252090617,0.04576980469384973,0.05267234941265149,0.028529036337760195,0.014327493279350288,0.011192436566954879,0.005057336886667689,0.005016824403196242,0.002633251783893901,1.1450039449627152,13.535,0.06718885366683915,0.038836944848299026,0.07072074263978621,0.08613522265611608,0.1014059519973773,0.12982593836148057,0.15374098684446805,0.15157259364984207,0.13999038500675548,0.19144821074867185,0.13789408866434585,0.14739882499857895,0.09269670648501295,0.08945713444940187,0.052406606934630943,0.06031004786794051,0.03266585915272008,0.01640503632628287,0.012815384022908285,0.00579067068623996,0.005744283732844916,0.0030150836806386236
31627,11381,EMSC-20161030_0000029,2016-10-30 06:40:18,PCB,00,Shallow Default,6.5,19.41,654.98483,16.0,V,8.005,0.244199126401631,0.0871725967849265,0.2586136595310907,0.2803350791933994,0.3604853593656893,0.49032450434477326,0.6289997285616333,0.7954296557401279,0.8800890704982616,0.3743859825523192,0.20039237727492196,0.2176494975858387,0.1764334859948561,0.1702587232516377,0.14190272360277495,0.11101562897693129,0.05917195868879803,0.035655386749814784,0.03770756633256904,0.020850082222497564,0.012022600437919565,0.006266941896024398,0.4455178150092064,8.005,0.10879506122161164,0.038836944848299026,0.11521699252582636,0.12489427195267613,0.16060264964741047,0.21844830182115552,0.2802305847101628,0.354378082218867,0.39209535970186893,0.16679562491678412,0.08927837406802377,0.09696672860229441,0.0786042611748857,0.07585329436932679,0.06322019136336364,0.04945944045367517,0.026362161744848324,0.015885109998085692,0.016799392561800873,0.009289083074529412,0.005356282677830652,0.0027920342603064427
4693,4978,EMSC-20141122_0000066,2014-11-22 19:14:16,ODBI,00,Shallow Default,5.5,16.7,584.860285,20.0,U,6.925,0.1957183394495413,0.0471251420609291,0.21299490316004077,0.24652368212677403,0.266004037960246,0.32336627836306153,0.3451449598515654,0.384450290132785,0.5362546086594687,0.598323377015128,0.5615655597086215,0.306996022532442,0.17700743662749782,0.08894695218975919,0.07690651368798941,0.049993680546924886,0.03229636842332188,0.01610648319679951,0.00776793472089326,0.004274894801755512,0.002676554516300327,0.0016784607543322994,0.824123666260484,6.925,0.16129611546156988,0.038836944848299026,0.17553414048704954,0.20316600073435115,0.2192202230038909,0.26649380286957447,0.28444212970419963,0.3168345825991375,0.44194011413752243,0.4930924550750611,0.4627994679126899,0.25300268761682226,0.14587601762882377,0.07330328834132033,0.06338047801985792,0.04120097530218717,0.026616201551927357,0.01327373398270929,0.006401738841454663,0.0035230419769006374,0.0022058119209194815,0.001383259230534672
13943,15598,IT-2009-0009,2009-04-06 01:32:40,CLN,00,Shallow Default,6.33,16.38,868.999685,16.0,U,6.525,0.0813305647298675,0.0257369799126457,0.0888924566768603,0.09133120145484556,0.10164378751009759,0.13225742611303712,0.18643634694388192,0.23397656866005564,0.23067841181287152,0.19341240827822567,0.2186243734711941,0.07362720207972438,0.05345781729261427,0.03814044455136346,0.03634657952356406,0.0317524579856436,0.015336275205144106,0.01030107957130622,0.012042073188859536,0.01185519677128509,0.007515193145990309,0.0038276350662589014,1.5089938671948353,6.525,0.12272732339286263,0.038836944848299026,0.13413817196526479,0.13781822287889797,0.15337985199119225,0.19957564489554708,0.2813313041605264,0.35306920717531526,0.3480923087198678,0.2918581379312261,0.3299028387873451,0.11110299639701891,0.08066751844817695,0.05755369692009213,0.05484676559456754,0.04791426436869786,0.023142345230174673,0.01554426589858709,0.018171414590300392,0.017889419222257213,0.011340380368084038,0.005775877840844579
