NGAsubRSN,count
4016826,27
6000991,26
4034481,22
7011564,19
4017073,19
6000337,19
4034487,18
7006364,18
7006261,17
7005939,17
4017129,17
1002969,17
7006685,16
4022715,16
3001293,15
4022446,15
4034730,15
4007427,14
4022750,14
4022717,14
4007346,14
7007992,13
4016788,13
3001574,13
4034662,13
7011018,13
7011562,13
7001738,12
7006713,12
3001306,12
4022475,12
7006384,12
7006256,11
7006372,11
4021959,11
7006467,11
4034660,11
6000037,10
7006736,10
4027447,10
4021919,10
4034773,10
4028257,10
4028366,10
4027369,9
6001762,9
4021941,9
4007547,9
6001146,9
7006661,9
3001482,9
7007998,9
1002853,8
4028564,8
4028128,8
6001777,8
2001700,8
7001970,8
1002491,8
7005950,8
2000064,8
2000077,7
3000260,7
7006015,7
4007209,7
7005409,7
6000338,7
7007993,7
7007985,7
6000336,7
4034571,7
3000408,7
7006667,7
7006265,7
4028139,7
7001963,7
6001509,6
7004702,6
6000394,6
4007430,6
4007255,6
3000431,6
7006733,6
7004715,6
4009582,6
7011548,6
4025888,6
4028832,6
4033868,6
4034766,6
7004709,6
4021812,6
2000079,6
6002707,6
1002822,6
7001739,6
7004956,6
4033698,6
4022478,6
4028244,6
7005959,6
7011570,5
2000775,5
7005967,5
4007505,5
7006222,5
7004745,5
4022716,5
7006607,5
4034754,5
3000424,5
3001309,5
7006651,5
7004732,5
4008193,5
4033663,5
1000740,5
6001855,5
7004729,5
7005378,5
3000052,5
4017187,5
7005971,5
4016797,5
4016796,5
4027384,5
7005087,5
3001999,5
3001572,5
4028624,5
6001726,5
6001143,5
7006245,4
7006238,4
4028157,4
7006468,4
3001578,4
4028577,4
3001439,4
6001442,4
7006406,4
3001304,4
3001303,4
5001383,4
7004722,4
7006220,4
7006235,4
7006610,4
4028535,4
6001291,4
5001487,4
4034749,4
3001295,4
3000403,4
4026710,4
6001531,4
3001020,4
1002911,4
5004057,4
7007997,4
1002578,4
4021854,4
7008028,4
7007968,4
7007982,4
7010970,4
7011520,4
4027531,4
4027499,4
7005088,4
4017991,4
7004989,4
4008080,4
3000387,4
6001682,4
4019456,4
1002489,4
1002196,4
7011021,4
7011575,4
6004526,4
4040268,4
2000759,4
4031815,4
4039287,4
4022682,4
7008065,4
7005824,4
4016827,4
7005952,4
4007415,4
7005922,4
7005966,4
7005961,4
