record_identifier,component,database
EMSC-20160824_0000013_MSCT_0,U,ESM
EMSC-20161026_0000095_MNF_0,V,ESM
IT-2013-0005_FIVI_0,U,ESM
IT-2012-0061_SDN_0,V,ESM
TK-1999-0389_5401_0,V,ESM
IT-2009-0121_GSA_0,U,ESM
IT-2009-0121_AQV_0,V,ESM
EMSC-20161026_0000077_NRC_0,U,ESM
EMSC-20161026_0000095_MMO_0,V,ESM
GR-1988-0020_PYR1_0,V,ESM
ME-1979-0003_ULA_0,U,ESM
GR-1997-0019_KYP1_0,V,ESM
IT-2012-0008_ZCCA_0,V,ESM
GR-1983-0001_AGR1_0,V,ESM
EMSC-20160824_0000006_PZI1_0,U,ESM
TK-2004-0071_4802_0,V,ESM
IT-1976-0030_SRC0_0,V,ESM
IT-2009-0121_AQM_0,U,ESM
EMSC-20161026_0000095_CLO_0,V,ESM
EMSC-20160824_0000013_MSC_0,U,ESM
IT-2012-0061_LTR_0,V,ESM
EMSC-20161026_0000077_NOR_0,U,ESM
IT-2009-0009_PTF_0,U,ESM
IT-2013-0005_VLM_0,U,ESM
IT-2012-0061_SLC1_0,U,ESM
IT-2012-0011_FIN0_0,V,ESM
GR-1999-0001_RFNA_0,U,ESM
7004715,H1,NGASub
7010968,H2,NGASub
7004702,H2,NGASub
EMSC-20161030_0000029_FRT_0,V,ESM
7004944,H1,NGASub
EMSC-20161026_0000077_CSC_0,V,ESM
EMSC-20160824_0000013_RM33_0,U,ESM
EMSC-20161030_0000029_PZI1_0,V,ESM
GR-1999-0001_ATH4_0,U,ESM
ME-1979-0003_ULA_0,V,ESM
TK-2003-0003_2301_0,U,ESM
IT-2009-0009_CLN_0,V,ESM
IT-1997-0006_MTL_0,V,ESM
IT-1997-0137_CSC_0,U,ESM
EMSC-20161030_0000029_FLT_0,U,ESM
IT-2009-0009_ORC_0,V,ESM
IT-2009-0121_FMG_0,U,ESM
EMSC-20160824_0000006_RM33_0,U,ESM
TK-2003-0038_1201_0,U,ESM
ME-1979-0012_BUD_0,V,ESM
IT-2009-0121_AQG_0,V,ESM
IT-2009-0009_FMG_0,U,ESM
