NGAsubRSN,count
4022446,28
7006261,23
4022750,22
3001289,22
7006384,19
4016826,19
4007547,18
3001293,18
7007993,17
6000991,17
4022475,17
6000337,16
7001738,16
3001306,16
7005899,14
7011548,14
3001020,14
3001288,14
7004709,14
6001726,14
4007427,14
4022715,14
6001682,14
7011564,13
6000336,12
4034773,12
4017129,12
4028577,12
7005922,12
7006685,12
7005959,12
7005939,12
4017187,11
3001482,11
3001041,11
7006736,11
7007973,11
1002969,10
4016827,10
4016792,10
6000338,10
4034481,10
4028087,9
4016788,9
7006372,9
3000390,9
7001969,9
7006364,9
4017073,9
4028564,9
6001777,9
4007346,9
3001999,9
6001698,8
4016796,8
4022837,8
7005950,8
7005966,8
7010968,8
7011505,8
1002822,8
7007992,8
7006402,8
7004845,8
4022755,8
4028257,8
4021919,8
3000185,7
3001291,7
3000400,7
7004694,7
4022649,7
7001970,7
3000052,7
6001143,7
4007256,7
4007430,7
4017176,7
4028832,7
7004734,7
4021959,6
6005167,6
4022478,6
7005961,6
7005969,6
7004724,6
3000254,6
3000391,6
1002907,6
7004729,6
3000431,6
3001308,6
7006733,6
7011565,6
7006253,6
1002852,6
7001732,6
3001493,6
4035517,6
4033698,6
4034730,6
4017830,6
1000040,6
7006220,6
7006235,6
7006435,6
7008019,6
7007968,6
7007982,6
7006554,5
7006638,5
7006245,5
2000774,5
7006692,5
7006707,5
7011018,5
7011562,5
7004736,5
3001304,5
7006725,5
7005971,5
7008004,5
7007997,5
4022449,5
4008080,5
6002707,5
6000037,5
4033868,5
4007209,5
1002853,5
4028061,4
4021854,4
4022835,4
4031874,4
4008216,4
4028369,4
7010384,4
4026936,4
7010261,4
4027499,4
4021941,4
4028139,4
6001533,4
4034487,4
6001675,4
3001578,4
6001680,4
7001746,4
6001697,4
6001688,4
6001720,4
3001290,4
7006668,4
7006467,4
1002975,4
7006416,4
7005978,4
2000812,4
3000260,4
3000367,4
7004745,4
7004686,4
7004701,4
3000415,4
7001981,4
7004747,4
7007976,4
7008065,4
4025927,4
6000994,4
6002695,4
6001240,4
4040066,4
5003392,4
6001539,4
6001689,4
7008080,3
7007970,3
7007981,3
7008018,3
7006256,3
7006391,3
1002965,3
7006640,3
7007979,3
7004896,3
7004699,3
3001303,3
7004711,3
7004778,3
7004771,3
7004708,3
3001309,3
7004723,3
7005967,3
7006053,3
7006096,3
3000382,3
7005946,3
3000257,3
7005904,3
7004889,3
7006240,3
7006238,3
3000105,3
7006406,3
1002829,3
1002808,3
7001967,3
7001747,3
6004613,3
7000975,3
7001223,3
6001221,3
6004532,3
6001150,3
6001442,3
6001706,3
4017771,3
4034548,3
6001673,3
7001735,3
7001782,3
7001739,3
4017823,3
4017991,3
4025829,3
4034662,3
4008193,3
4008104,3
4030513,3
4033564,3
4018055,3
4032552,3
4022716,3
4022833,3
4022854,3
4022836,3
4028535,3
4028417,3
4028244,3
4022757,3
4022453,3
4022523,3
4022717,3
4027465,3
1000740,3
1000336,3
1000109,3
1000086,3
4033850,2
6001703,2
4007252,2
7006689,2
6001395,2
4028366,2
4007432,2
7008164,2
6000858,2
6003695,2
6001863,2
7007990,2
1002798,2
1002861,2
6001524,2
1002487,2
4026654,2
4027384,2
4038463,2
6001518,2
